iter,step,fold,acc,prec,rec,f1score
0,2,0,40.769,39.499,40.769,38.388
1,2,0,42.308,42.37,42.308,40.241
2,2,0,43.077,43.631,43.077,41.508
3,2,0,42.308,41.733,42.308,40.394
4,2,0,42.308,41.733,42.308,40.394
5,2,0,44.615,43.831,44.615,42.743
6,2,0,45.385,45.329,45.385,44.243
7,2,0,45.385,44.869,45.385,44.175
8,2,0,45.385,44.869,45.385,44.175
9,2,0,46.923,46.35,46.923,45.559
10,2,0,44.615,46.123,44.615,43.515
11,2,0,43.077,43.805,43.077,42.195
12,2,0,43.077,43.805,43.077,42.195
13,2,0,42.308,43.154,42.308,41.077
14,2,0,43.077,43.701,43.077,42.03
15,2,0,43.846,45.112,43.846,42.942
16,2,0,43.846,45.112,43.846,42.942
17,2,0,43.846,44.074,43.846,42.558
18,2,0,43.846,44.074,43.846,42.558
19,2,0,42.308,43.107,42.308,41.302
20,2,0,42.308,43.107,42.308,41.302
21,2,0,43.846,45.253,43.846,43.02
22,2,0,45.385,50.249,45.385,43.516
23,2,0,46.154,49.812,46.154,44.994
24,2,0,46.154,49.812,46.154,44.994
25,2,0,45.385,50.784,45.385,44.435
26,2,0,42.308,44.559,42.308,40.836
27,2,0,42.308,44.332,42.308,40.85
28,2,0,42.308,44.332,42.308,40.85
29,2,0,42.308,45.568,42.308,41.052
30,2,0,43.846,48.459,43.846,43.12
31,2,0,45.385,49.967,45.385,44.744
32,2,0,45.385,49.967,45.385,44.744
33,2,0,44.615,48.194,44.615,43.302
34,2,0,46.923,52.76,46.923,44.878
35,2,0,46.923,53.435,46.923,44.913
36,2,0,46.923,53.435,46.923,44.913
37,2,0,47.692,54.18,47.692,46.265
38,2,0,43.077,48.918,43.077,40.924
39,2,0,43.077,48.955,43.077,41.043
40,2,0,46.154,52.006,46.154,44.9
41,2,0,45.385,48.813,45.385,43.481
42,2,0,44.615,48.096,44.615,42.657
43,2,0,43.846,47.518,43.846,41.882
44,2,0,43.846,47.518,43.846,41.882
45,2,0,46.154,51.861,46.154,44.048
46,2,0,46.154,51.861,46.154,44.048
47,2,0,46.154,49.51,46.154,45.231
48,2,0,46.154,49.51,46.154,45.231
49,2,0,46.154,51.214,46.154,45.338
50,2,0,45.385,49.017,45.385,44.484
0,2,1,44.615,43.891,44.615,43.695
1,2,1,46.923,47.69,46.923,46.842
2,2,1,46.923,47.69,46.923,46.842
3,2,1,45.385,46.385,45.385,45.424
4,2,1,44.615,46.102,44.615,44.755
5,2,1,43.846,45.01,43.846,43.419
6,2,1,46.154,50.704,46.154,47.25
7,2,1,47.692,51.507,47.692,48.529
8,2,1,46.154,53.25,46.154,47.611
9,2,1,45.385,51.211,45.385,46.571
10,2,1,45.385,51.211,45.385,46.571
11,2,1,45.385,52.576,45.385,47.073
12,2,1,45.385,52.576,45.385,47.073
13,2,1,44.615,51.242,44.615,46.152
14,2,1,44.615,51.242,44.615,46.152
15,2,1,46.154,52.916,46.154,47.596
16,2,1,46.154,52.916,46.154,47.596
17,2,1,43.846,52.199,43.846,45.221
18,2,1,43.846,49.41,43.846,45.272
19,2,1,44.615,49.769,44.615,46.009
20,2,1,44.615,49.769,44.615,46.009
21,2,1,43.077,47.849,43.077,44.159
22,2,1,43.077,47.849,43.077,44.159
23,2,1,44.615,48.231,44.615,45.025
24,2,1,46.923,56.056,46.923,47.907
25,2,1,46.923,56.673,46.923,48.045
26,2,1,47.692,56.942,47.692,48.468
27,2,1,48.462,54.962,48.462,49.287
28,2,1,48.462,54.962,48.462,49.287
29,2,1,47.692,55.039,47.692,48.487
30,2,1,47.692,55.039,47.692,48.487
31,2,1,46.923,54.253,46.923,47.826
32,2,1,46.923,54.253,46.923,47.826
33,2,1,48.462,54.853,48.462,48.747
34,2,1,48.462,54.853,48.462,48.747
35,2,1,48.462,53.867,48.462,48.703
36,2,1,48.462,53.867,48.462,48.703
37,2,1,49.231,54.669,49.231,49.535
38,2,1,49.231,54.669,49.231,49.535
39,2,1,50.769,57.134,50.769,51.238
40,2,1,50.769,57.134,50.769,51.238
41,2,1,46.923,55.412,46.923,48.49
42,2,1,46.154,54.873,46.154,47.298
43,2,1,46.154,56.686,46.154,48.081
44,2,1,46.154,56.686,46.154,48.081
45,2,1,45.385,56.362,45.385,47.23
46,2,1,45.385,52.79,45.385,46.207
47,2,1,46.154,53.872,46.154,46.85
48,2,1,46.154,53.872,46.154,46.85
49,2,1,46.154,53.285,46.154,47.025
50,2,1,46.154,53.285,46.154,47.025
0,2,2,42.308,43.239,42.308,40.926
1,2,2,42.308,44.377,42.308,41.429
2,2,2,42.308,44.377,42.308,41.429
3,2,2,46.154,48.677,46.154,45.837
4,2,2,46.154,48.677,46.154,45.837
5,2,2,47.692,49.159,47.692,47.189
6,2,2,43.077,44.293,43.077,42.335
7,2,2,43.846,44.252,43.846,43.224
8,2,2,43.846,44.252,43.846,43.224
9,2,2,46.154,46.86,46.154,45.703
10,2,2,46.154,46.86,46.154,45.703
11,2,2,42.308,43.709,42.308,41.799
12,2,2,43.846,45.68,43.846,43.037
13,2,2,44.615,46.773,44.615,44.052
14,2,2,44.615,46.773,44.615,44.052
15,2,2,45.385,48.237,45.385,44.947
16,2,2,47.692,49.58,47.692,46.578
17,2,2,48.462,50.841,48.462,47.809
18,2,2,48.462,50.841,48.462,47.809
19,2,2,49.231,50.709,49.231,48.164
20,2,2,46.154,47.135,46.154,44.665
21,2,2,46.923,48.222,46.923,45.919
22,2,2,46.923,48.222,46.923,45.919
23,2,2,46.154,47.899,46.154,45.065
24,2,2,46.154,47.899,46.154,45.065
25,2,2,46.923,48.884,46.923,45.856
26,2,2,46.923,48.884,46.923,45.856
27,2,2,47.692,49.899,47.692,46.838
28,2,2,47.692,49.899,47.692,46.838
29,2,2,48.462,49.821,48.462,47.267
30,2,2,47.692,49.621,47.692,46.865
31,2,2,47.692,50.17,47.692,46.944
32,2,2,47.692,50.17,47.692,46.944
33,2,2,43.077,45.372,43.077,41.864
34,2,2,45.385,46.064,45.385,44.104
35,2,2,44.615,45.137,44.615,43.621
36,2,2,44.615,45.137,44.615,43.621
37,2,2,43.846,44.832,43.846,42.679
38,2,2,43.846,44.832,43.846,42.679
39,2,2,43.846,44.635,43.846,42.497
40,2,2,43.846,44.635,43.846,42.497
41,2,2,43.846,44.699,43.846,42.576
42,2,2,43.846,44.699,43.846,42.576
43,2,2,46.923,47.791,46.923,45.826
44,2,2,46.923,47.791,46.923,45.826
45,2,2,46.923,46.777,46.923,45.77
46,2,2,44.615,45.21,44.615,44.122
47,2,2,48.462,47.941,48.462,46.436
48,2,2,49.231,48.734,49.231,47.633
49,2,2,49.231,49.038,49.231,48.14
50,2,2,49.231,49.038,49.231,48.14
0,5,0,40.769,39.499,40.769,38.388
1,5,0,45.385,44.275,45.385,43.851
2,5,0,46.923,48.452,46.923,46.324
3,5,0,44.615,45.381,44.615,44.045
4,5,0,46.154,49.194,46.154,46.237
5,5,0,46.154,49.252,46.154,46.464
6,5,0,44.615,48.801,44.615,44.193
7,5,0,42.308,45.649,42.308,41.104
8,5,0,42.308,45.649,42.308,41.104
9,5,0,45.385,48.586,45.385,44.888
10,5,0,43.846,47.219,43.846,43.85
11,5,0,44.615,47.521,44.615,44.345
12,5,0,44.615,47.521,44.615,44.345
13,5,0,45.385,47.832,45.385,45.038
14,5,0,45.385,47.832,45.385,45.038
15,5,0,47.692,49.318,47.692,47.056
16,5,0,47.692,49.318,47.692,47.056
17,5,0,51.538,53.326,51.538,50.882
18,5,0,51.538,53.326,51.538,50.882
19,5,0,49.231,51.595,49.231,48.521
20,5,0,48.462,53.128,48.462,48.464
0,5,1,44.615,43.891,44.615,43.695
1,5,1,46.923,48.245,46.923,47.067
2,5,1,46.923,48.245,46.923,47.067
3,5,1,51.538,54.025,51.538,51.517
4,5,1,51.538,54.025,51.538,51.517
5,5,1,47.692,48.888,47.692,47.313
6,5,1,47.692,48.888,47.692,47.313
7,5,1,52.308,52.905,52.308,51.919
8,5,1,52.308,52.905,52.308,51.919
9,5,1,53.077,52.997,53.077,52.277
10,5,1,53.077,52.997,53.077,52.277
11,5,1,50.0,50.658,50.0,49.915
12,5,1,50.0,50.658,50.0,49.915
13,5,1,52.308,54.358,52.308,52.872
14,5,1,48.462,51.769,48.462,48.351
15,5,1,50.0,54.058,50.0,49.732
16,5,1,56.923,60.101,56.923,57.395
17,5,1,53.077,56.291,53.077,53.561
18,5,1,53.077,56.291,53.077,53.561
19,5,1,53.846,56.648,53.846,53.563
20,5,1,53.846,56.648,53.846,53.563
0,5,2,42.308,43.239,42.308,40.926
1,5,2,46.154,47.931,46.154,45.376
2,5,2,46.154,47.931,46.154,45.376
3,5,2,46.154,46.475,46.154,44.877
4,5,2,46.154,46.475,46.154,44.877
5,5,2,49.231,49.88,49.231,47.831
6,5,2,49.231,49.88,49.231,47.831
7,5,2,47.692,48.388,47.692,46.319
8,5,2,47.692,48.388,47.692,46.319
9,5,2,50.0,51.078,50.0,49.187
10,5,2,50.0,51.078,50.0,49.187
11,5,2,49.231,51.273,49.231,48.412
12,5,2,49.231,51.273,49.231,48.412
13,5,2,49.231,50.509,49.231,48.247
14,5,2,43.846,43.99,43.846,43.04
15,5,2,44.615,45.548,44.615,44.204
16,5,2,44.615,45.548,44.615,44.204
17,5,2,43.846,43.931,43.846,42.787
18,5,2,43.846,43.931,43.846,42.787
19,5,2,44.615,44.982,44.615,43.869
20,5,2,46.923,47.319,46.923,45.836
0,10,0,40.769,39.499,40.769,38.388
1,10,0,41.538,39.805,41.538,39.417
2,10,0,43.077,46.529,43.077,42.186
3,10,0,44.615,48.088,44.615,43.623
4,10,0,44.615,48.088,44.615,43.623
5,10,0,42.308,44.868,42.308,41.264
6,10,0,47.692,50.246,47.692,46.644
7,10,0,50.0,54.541,50.0,49.354
8,10,0,53.846,56.685,53.846,52.515
9,10,0,50.0,50.113,50.0,48.471
10,10,0,50.0,50.113,50.0,48.471
0,10,1,44.615,43.891,44.615,43.695
1,10,1,46.154,48.829,46.154,46.7
2,10,1,46.154,48.829,46.154,46.7
3,10,1,47.692,49.773,47.692,48.142
4,10,1,45.385,49.336,45.385,46.25
5,10,1,49.231,54.199,49.231,50.674
6,10,1,50.769,57.229,50.769,52.029
7,10,1,52.308,57.84,52.308,53.389
8,10,1,52.308,57.84,52.308,53.389
9,10,1,50.769,56.999,50.769,52.15
10,10,1,50.0,56.121,50.0,49.699
0,10,2,42.308,43.239,42.308,40.926
1,10,2,46.923,49.852,46.923,46.238
2,10,2,46.154,47.327,46.154,45.582
3,10,2,46.923,48.317,46.923,45.921
4,10,2,44.615,46.146,44.615,43.176
5,10,2,46.154,47.935,46.154,45.743
6,10,2,46.154,47.935,46.154,45.743
7,10,2,46.923,49.767,46.923,46.543
8,10,2,50.769,52.932,50.769,50.298
9,10,2,52.308,54.761,52.308,51.747
10,10,2,52.308,54.761,52.308,51.747
0,25,0,40.769,39.499,40.769,38.388
1,25,0,43.846,43.535,43.846,42.402
2,25,0,43.846,45.073,43.846,42.831
3,25,0,46.923,48.898,46.923,46.875
4,25,0,46.923,48.898,46.923,46.875
0,25,1,44.615,43.891,44.615,43.695
1,25,1,46.154,47.443,46.154,45.686
2,25,1,47.692,54.063,47.692,47.566
3,25,1,50.0,53.584,50.0,50.482
4,25,1,51.538,56.103,51.538,51.299
0,25,2,42.308,43.239,42.308,40.926
1,25,2,49.231,49.789,49.231,48.175
2,25,2,49.231,49.198,49.231,47.541
3,25,2,46.923,47.263,46.923,45.225
4,25,2,54.615,57.025,54.615,52.851
