iter,step,fold,acc,prec,rec,f1score
0,2,0,40.769,39.499,40.769,38.388
1,2,0,40.769,39.487,40.769,38.628
2,2,0,41.538,43.011,41.538,40.369
3,2,0,41.538,42.733,41.538,40.044
4,2,0,38.462,41.909,38.462,37.305
5,2,0,40.769,45.938,40.769,39.981
6,2,0,38.462,41.9,38.462,37.914
7,2,0,38.462,41.918,38.462,37.922
8,2,0,39.231,42.908,39.231,39.075
9,2,0,40.0,41.35,40.0,39.599
10,2,0,39.231,40.298,39.231,38.322
11,2,0,40.0,41.727,40.0,39.15
12,2,0,43.077,44.73,43.077,42.289
13,2,0,42.308,45.12,42.308,41.837
14,2,0,40.769,40.546,40.769,39.1
15,2,0,41.538,41.658,41.538,39.775
16,2,0,43.846,43.799,43.846,42.064
17,2,0,43.077,43.508,43.077,41.573
18,2,0,46.923,48.252,46.923,46.101
19,2,0,45.385,45.013,45.385,44.024
20,2,0,44.615,45.252,44.615,43.76
21,2,0,44.615,45.266,44.615,43.75
22,2,0,46.154,45.987,46.154,45.066
23,2,0,44.615,45.028,44.615,43.877
24,2,0,45.385,45.428,45.385,44.43
25,2,0,44.615,45.191,44.615,44.007
26,2,0,43.846,44.876,43.846,43.589
27,2,0,42.308,43.602,42.308,41.91
28,2,0,43.846,44.927,43.846,43.482
29,2,0,41.538,42.064,41.538,40.958
30,2,0,41.538,42.112,41.538,41.066
31,2,0,41.538,42.006,41.538,40.96
32,2,0,44.615,44.587,44.615,43.819
33,2,0,43.077,43.82,43.077,42.88
34,2,0,44.615,45.982,44.615,44.599
35,2,0,44.615,45.666,44.615,44.551
36,2,0,45.385,46.965,45.385,45.222
37,2,0,43.846,45.895,43.846,44.094
38,2,0,43.846,45.078,43.846,43.713
39,2,0,43.077,44.442,43.077,43.004
40,2,0,44.615,46.154,44.615,44.667
41,2,0,43.846,45.569,43.846,43.835
42,2,0,43.077,44.772,43.077,43.014
43,2,0,41.538,43.112,41.538,41.332
44,2,0,42.308,43.994,42.308,42.321
45,2,0,40.769,42.385,40.769,40.657
46,2,0,40.0,42.615,40.0,40.101
47,2,0,40.769,43.529,40.769,41.016
