iter,step,fold,acc,prec,rec,f1score
0,2,0,40.769,39.499,40.769,38.388
1,2,0,40.0,39.454,40.0,38.688
2,2,0,43.846,44.19,43.846,42.279
3,2,0,44.615,46.099,44.615,43.72
4,2,0,49.231,49.931,49.231,47.532
5,2,0,49.231,50.865,49.231,48.035
6,2,0,46.923,47.606,46.923,45.664
7,2,0,42.308,44.722,42.308,41.591
8,2,0,43.846,45.188,43.846,43.142
9,2,0,43.077,45.055,43.077,42.622
10,2,0,45.385,47.217,45.385,45.05
11,2,0,46.154,47.176,46.154,45.379
12,2,0,45.385,46.398,45.385,44.752
13,2,0,43.077,43.633,43.077,42.183
14,2,0,42.308,44.252,42.308,42.082
15,2,0,43.077,45.519,43.077,42.819
16,2,0,46.923,48.697,46.923,45.392
17,2,0,46.923,49.927,46.923,46.133
18,2,0,46.923,50.566,46.923,46.291
19,2,0,46.923,50.407,46.923,46.204
20,2,0,46.923,53.102,46.923,46.175
21,2,0,47.692,51.021,47.692,47.027
22,2,0,46.154,48.824,46.154,44.972
23,2,0,43.846,46.347,43.846,43.125
24,2,0,46.154,47.769,46.154,45.074
25,2,0,44.615,46.617,44.615,43.612
26,2,0,45.385,46.865,45.385,43.303
27,2,0,45.385,47.945,45.385,44.042
28,2,0,47.692,51.588,47.692,46.508
29,2,0,46.923,50.493,46.923,45.887
30,2,0,48.462,55.643,48.462,47.873
31,2,0,48.462,55.617,48.462,48.327
32,2,0,46.923,50.99,46.923,47.12
33,2,0,46.154,50.25,46.154,46.35
34,2,0,46.923,50.567,46.923,47.175
35,2,0,46.154,49.384,46.154,46.059
36,2,0,47.692,49.129,47.692,46.803
37,2,0,49.231,51.106,49.231,48.726
38,2,0,46.923,47.753,46.923,45.764
39,2,0,46.154,47.405,46.154,45.084
40,2,0,46.154,47.442,46.154,45.176
41,2,0,46.154,47.425,46.154,45.149
42,2,0,45.385,46.338,45.385,43.829
43,2,0,47.692,49.856,47.692,46.819
44,2,0,49.231,51.721,49.231,48.28
45,2,0,50.0,51.819,50.0,48.488
46,2,0,50.0,52.044,50.0,48.507
47,2,0,50.0,51.784,50.0,48.562
48,2,0,51.538,52.874,51.538,49.536
49,2,0,53.077,55.287,53.077,51.169
50,2,0,51.538,54.98,51.538,49.98
0,2,1,44.615,43.891,44.615,43.695
1,2,1,44.615,44.618,44.615,44.076
2,2,1,44.615,43.932,44.615,43.988
3,2,1,42.308,40.952,42.308,41.15
4,2,1,45.385,46.276,45.385,45.506
5,2,1,46.923,47.846,46.923,47.113
6,2,1,48.462,48.465,48.462,48.236
7,2,1,46.923,46.641,46.923,46.49
8,2,1,51.538,51.432,51.538,51.065
9,2,1,51.538,51.837,51.538,51.448
10,2,1,50.769,50.609,50.769,50.466
11,2,1,49.231,49.65,49.231,49.217
12,2,1,48.462,49.086,48.462,48.234
13,2,1,46.923,49.777,46.923,47.471
14,2,1,46.154,48.819,46.154,46.506
15,2,1,45.385,47.869,45.385,45.753
16,2,1,43.846,46.985,43.846,44.387
17,2,1,43.846,48.792,43.846,44.466
18,2,1,44.615,47.186,44.615,44.781
19,2,1,45.385,48.461,45.385,45.874
20,2,1,40.769,42.786,40.769,40.871
21,2,1,43.846,44.522,43.846,43.502
22,2,1,44.615,47.966,44.615,44.595
23,2,1,44.615,47.966,44.615,44.595
24,2,1,43.846,48.114,43.846,43.574
25,2,1,46.923,49.927,46.923,46.349
26,2,1,45.385,48.509,45.385,44.474
27,2,1,45.385,48.533,45.385,44.444
28,2,1,45.385,47.442,45.385,44.824
29,2,1,45.385,48.675,45.385,45.165
30,2,1,44.615,46.456,44.615,44.079
31,2,1,44.615,46.417,44.615,44.069
32,2,1,51.538,53.889,51.538,51.326
33,2,1,50.769,53.571,50.769,50.327
34,2,1,49.231,53.009,49.231,49.096
35,2,1,50.0,54.964,50.0,50.288
36,2,1,50.0,54.866,50.0,49.712
37,2,1,49.231,53.824,49.231,48.432
38,2,1,53.846,58.462,53.846,53.421
39,2,1,53.846,58.646,53.846,53.38
40,2,1,54.615,59.386,54.615,54.264
41,2,1,51.538,55.392,51.538,51.226
42,2,1,51.538,55.518,51.538,51.287
43,2,1,51.538,56.512,51.538,51.454
44,2,1,50.0,55.185,50.0,49.502
45,2,1,50.0,54.944,50.0,49.671
46,2,1,46.923,52.389,46.923,46.28
47,2,1,46.154,51.531,46.154,45.533
48,2,1,48.462,53.96,48.462,48.121
49,2,1,46.154,51.815,46.154,45.781
50,2,1,46.923,52.515,46.923,46.131
0,2,2,42.308,43.239,42.308,40.926
1,2,2,41.538,42.889,41.538,40.28
2,2,2,43.077,43.477,43.077,41.24
3,2,2,43.077,42.377,43.077,41.035
4,2,2,42.308,42.498,42.308,40.572
5,2,2,42.308,43.018,42.308,41.132
6,2,2,43.077,43.361,43.077,42.125
7,2,2,43.077,43.526,43.077,42.153
8,2,2,43.077,44.16,43.077,42.522
9,2,2,43.846,43.61,43.846,42.423
10,2,2,42.308,41.864,42.308,40.807
11,2,2,45.385,44.451,45.385,43.582
12,2,2,45.385,45.247,45.385,43.844
13,2,2,44.615,43.321,44.615,42.514
14,2,2,47.692,45.382,47.692,45.026
15,2,2,47.692,45.156,47.692,44.976
16,2,2,45.385,43.278,45.385,42.827
