iter,step,fold,acc,prec,rec,f1score
0,2,0,40.769,39.499,40.769,38.388
1,2,0,38.462,38.071,38.462,36.403
2,2,0,40.769,40.201,40.769,39.932
3,2,0,40.0,41.005,40.0,39.704
4,2,0,45.385,48.393,45.385,45.124
5,2,0,45.385,47.189,45.385,44.263
6,2,0,45.385,47.189,45.385,44.263
7,2,0,44.615,45.694,44.615,43.615
8,2,0,43.846,45.19,43.846,42.657
9,2,0,43.077,43.766,43.077,41.817
10,2,0,41.538,43.794,41.538,40.213
11,2,0,44.615,47.25,44.615,43.065
12,2,0,44.615,47.25,44.615,43.065
13,2,0,43.846,46.541,43.846,42.281
14,2,0,43.846,46.541,43.846,42.281
15,2,0,44.615,51.416,44.615,43.551
16,2,0,44.615,51.416,44.615,43.551
17,2,0,43.077,50.7,43.077,42.084
18,2,0,43.077,50.7,43.077,42.084
19,2,0,45.385,47.934,45.385,44.689
20,2,0,47.692,51.218,47.692,46.751
21,2,0,48.462,50.014,48.462,47.353
22,2,0,48.462,50.014,48.462,47.353
23,2,0,47.692,49.77,47.692,46.612
24,2,0,43.077,43.154,43.077,41.539
25,2,0,43.846,44.624,43.846,42.737
26,2,0,43.846,44.624,43.846,42.737
27,2,0,44.615,46.025,44.615,43.79
28,2,0,44.615,45.148,44.615,43.645
29,2,0,44.615,45.365,44.615,43.747
30,2,0,45.385,47.76,45.385,44.968
31,2,0,45.385,47.44,45.385,45.097
32,2,0,45.385,47.44,45.385,45.097
33,2,0,45.385,46.61,45.385,44.245
34,2,0,45.385,46.61,45.385,44.245
35,2,0,44.615,46.47,44.615,44.242
36,2,0,44.615,46.47,44.615,44.242
37,2,0,44.615,46.398,44.615,44.148
38,2,0,47.692,49.041,47.692,46.691
39,2,0,47.692,48.593,47.692,46.8
40,2,0,47.692,49.22,47.692,46.298
41,2,0,46.154,50.093,46.154,45.512
42,2,0,46.154,50.093,46.154,45.512
43,2,0,46.923,50.932,46.923,46.314
44,2,0,46.923,50.932,46.923,46.314
45,2,0,46.923,50.339,46.923,46.602
46,2,0,46.923,50.339,46.923,46.602
47,2,0,47.692,51.958,47.692,47.45
48,2,0,49.231,51.262,49.231,48.682
49,2,0,47.692,50.104,47.692,47.281
50,2,0,47.692,50.104,47.692,47.281
0,2,1,44.615,43.891,44.615,43.695
1,2,1,46.923,46.819,46.923,45.53
2,2,1,46.154,45.591,46.154,44.733
3,2,1,47.692,47.313,47.692,46.771
4,2,1,47.692,47.313,47.692,46.771
5,2,1,46.923,46.99,46.923,46.357
6,2,1,46.923,47.408,46.923,46.482
7,2,1,46.923,48.273,46.923,46.865
8,2,1,45.385,47.187,45.385,45.652
9,2,1,44.615,46.518,44.615,44.534
10,2,1,50.0,51.094,50.0,49.503
11,2,1,50.0,50.653,50.0,49.378
12,2,1,50.0,50.653,50.0,49.378
13,2,1,49.231,49.695,49.231,48.503
14,2,1,49.231,49.695,49.231,48.503
15,2,1,48.462,49.048,48.462,47.787
16,2,1,48.462,49.048,48.462,47.787
17,2,1,48.462,48.906,48.462,47.875
18,2,1,48.462,48.906,48.462,47.875
19,2,1,50.769,53.012,50.769,50.837
20,2,1,53.077,54.631,53.077,52.816
21,2,1,52.308,53.024,52.308,51.673
22,2,1,52.308,53.024,52.308,51.673
23,2,1,51.538,53.095,51.538,51.183
24,2,1,51.538,53.47,51.538,51.57
25,2,1,53.077,54.961,53.077,53.095
26,2,1,53.077,54.961,53.077,53.095
27,2,1,53.846,54.986,53.846,53.767
