iter,step,fold,acc,prec,rec,f1score
0,2,0,94.006,94.087,94.006,94.0
1,2,0,95.268,95.282,95.268,95.267
2,2,0,95.584,95.61,95.584,95.582
3,2,0,95.268,95.352,95.268,95.264
4,2,0,95.268,95.352,95.268,95.264
5,2,0,95.899,95.985,95.899,95.895
6,2,0,96.215,96.329,96.215,96.21
7,2,0,96.215,96.329,96.215,96.21
8,2,0,96.215,96.278,96.215,96.212
9,2,0,96.215,96.242,96.215,96.213
10,2,0,95.584,95.645,95.584,95.58
11,2,0,95.268,95.31,95.268,95.265
12,2,0,95.584,95.584,95.584,95.584
13,2,0,95.899,95.901,95.899,95.899
14,2,0,96.215,96.221,96.215,96.214
15,2,0,96.845,96.852,96.845,96.845
16,2,0,96.53,96.531,96.53,96.53
17,2,0,96.53,96.531,96.53,96.53
18,2,0,96.845,96.852,96.845,96.845
19,2,0,97.161,97.177,97.161,97.16
20,2,0,97.161,97.163,97.161,97.161
21,2,0,96.845,96.845,96.845,96.845
22,2,0,96.845,96.854,96.845,96.846
23,2,0,97.161,97.179,97.161,97.161
24,2,0,96.845,96.845,96.845,96.845
25,2,0,97.476,97.485,97.476,97.477
26,2,0,97.476,97.508,97.476,97.477
27,2,0,97.792,97.81,97.792,97.792
28,2,0,96.845,96.854,96.845,96.846
29,2,0,97.476,97.508,97.476,97.477
30,2,0,97.792,97.81,97.792,97.792
31,2,0,96.845,96.915,96.845,96.846
32,2,0,97.792,97.794,97.792,97.792
33,2,0,97.161,97.163,97.161,97.161
34,2,0,98.107,98.115,98.107,98.107
35,2,0,98.107,98.115,98.107,98.107
36,2,0,98.107,98.139,98.107,98.107
37,2,0,98.107,98.115,98.107,98.107
38,2,0,97.792,97.81,97.792,97.792
39,2,0,98.107,98.139,98.107,98.107
40,2,0,98.107,98.139,98.107,98.107
41,2,0,98.738,98.746,98.738,98.738
42,2,0,98.107,98.115,98.107,98.107
43,2,0,97.792,97.841,97.792,97.792
44,2,0,98.107,98.115,98.107,98.107
45,2,0,97.476,97.547,97.476,97.476
46,2,0,98.107,98.178,98.107,98.107
47,2,0,98.107,98.178,98.107,98.107
48,2,0,98.107,98.178,98.107,98.107
49,2,0,98.107,98.178,98.107,98.107
50,2,0,98.107,98.178,98.107,98.107
51,2,0,97.792,97.841,97.792,97.792
52,2,0,97.161,97.21,97.161,97.161
53,2,0,97.792,97.841,97.792,97.792
54,2,0,97.792,97.841,97.792,97.792
55,2,0,98.107,98.178,98.107,98.107
56,2,0,97.476,97.547,97.476,97.476
57,2,0,98.107,98.115,98.107,98.107
58,2,0,97.792,97.81,97.792,97.792
59,2,0,98.107,98.139,98.107,98.107
60,2,0,98.107,98.139,98.107,98.107
61,2,0,97.476,97.508,97.476,97.477
62,2,0,98.423,98.472,98.423,98.423
63,2,0,97.792,97.841,97.792,97.792
64,2,0,98.107,98.139,98.107,98.107
65,2,0,97.792,97.81,97.792,97.792
