iter,step,fold,acc,prec,rec,f1score
0,2,0,94.006,94.087,94.006,94.0
1,2,0,93.691,93.796,93.691,93.683
2,2,0,94.322,94.429,94.322,94.315
3,2,0,94.322,94.381,94.322,94.317
4,2,0,94.322,94.381,94.322,94.317
5,2,0,95.268,95.352,95.268,95.264
6,2,0,94.953,95.013,94.953,94.949
7,2,0,94.953,95.013,94.953,94.949
8,2,0,94.322,94.381,94.322,94.317
9,2,0,94.006,94.046,94.006,94.003
10,2,0,94.006,94.046,94.006,94.003
11,2,0,94.322,94.381,94.322,94.317
12,2,0,94.006,94.046,94.006,94.003
13,2,0,93.691,93.696,93.691,93.69
14,2,0,94.637,94.678,94.637,94.634
15,2,0,94.637,94.678,94.637,94.634
16,2,0,94.637,94.651,94.637,94.636
17,2,0,94.953,94.979,94.953,94.95
18,2,0,94.006,94.087,94.006,94.0
19,2,0,94.322,94.347,94.322,94.319
20,2,0,94.637,94.678,94.637,94.634
21,2,0,94.322,94.347,94.322,94.319
22,2,0,94.953,95.062,94.953,94.947
23,2,0,93.691,93.748,93.691,93.686
24,2,0,94.006,94.046,94.006,94.003
25,2,0,93.691,93.748,93.691,93.686
26,2,0,95.268,95.352,95.268,95.264
27,2,0,94.322,94.381,94.322,94.317
28,2,0,95.268,95.31,95.268,95.265
29,2,0,93.691,93.715,93.691,93.688
30,2,0,94.637,94.651,94.637,94.636
31,2,0,94.637,94.719,94.637,94.632
32,2,0,94.322,94.381,94.322,94.317
33,2,0,94.322,94.381,94.322,94.317
34,2,0,94.953,95.013,94.953,94.949
35,2,0,94.637,94.678,94.637,94.634
36,2,0,94.953,94.979,94.953,94.95
37,2,0,94.322,94.347,94.322,94.319
38,2,0,94.637,94.678,94.637,94.634
39,2,0,94.637,94.719,94.637,94.632
40,2,0,94.637,94.678,94.637,94.634
41,2,0,94.006,94.046,94.006,94.003
42,2,0,94.322,94.327,94.322,94.321
43,2,0,94.953,95.062,94.953,94.947
44,2,0,94.637,94.719,94.637,94.632
45,2,0,94.322,94.347,94.322,94.319
46,2,0,93.06,93.084,93.06,93.057
47,2,0,93.691,93.696,93.691,93.69
48,2,0,94.637,94.678,94.637,94.634
49,2,0,94.637,94.678,94.637,94.634
50,2,0,93.691,93.696,93.691,93.69
51,2,0,94.322,94.327,94.322,94.321
52,2,0,94.006,94.02,94.006,94.005
53,2,0,93.06,93.065,93.06,93.059
54,2,0,94.322,94.381,94.322,94.317
55,2,0,93.375,93.376,93.375,93.375
56,2,0,94.006,94.02,94.006,94.005
57,2,0,93.375,93.388,93.375,93.373
58,2,0,94.006,94.087,94.006,94.0
59,2,0,94.006,94.087,94.006,94.0
60,2,0,93.691,93.748,93.691,93.686
61,2,0,93.375,93.414,93.375,93.371
62,2,0,93.375,93.454,93.375,93.369
63,2,0,93.06,93.116,93.06,93.055
64,2,0,94.006,94.046,94.006,94.003
65,2,0,93.691,93.748,93.691,93.686
66,2,0,92.114,92.116,92.114,92.114
67,2,0,93.691,93.715,93.691,93.688
68,2,0,93.691,93.748,93.691,93.686
69,2,0,93.375,93.388,93.375,93.373
70,2,0,93.375,93.414,93.375,93.371
71,2,0,93.06,93.06,93.06,93.06
72,2,0,92.429,92.438,92.429,92.43
73,2,0,92.744,92.745,92.744,92.744
74,2,0,93.06,93.06,93.06,93.06
75,2,0,93.691,93.691,93.691,93.691
76,2,0,93.691,93.691,93.691,93.691
77,2,0,92.429,92.46,92.429,92.43
78,2,0,92.744,92.747,92.744,92.745
79,2,0,92.429,92.429,92.429,92.429
80,2,0,93.375,93.378,93.375,93.376
81,2,0,92.744,92.763,92.744,92.745
82,2,0,92.744,92.763,92.744,92.745
83,2,0,93.375,93.376,93.375,93.375
84,2,0,92.429,92.438,92.429,92.43
85,2,0,93.06,93.06,93.06,93.06
86,2,0,93.06,93.069,93.06,93.061
87,2,0,93.691,93.691,93.691,93.691
88,2,0,92.429,92.429,92.429,92.429
89,2,0,92.744,92.745,92.744,92.744
90,2,0,92.744,92.745,92.744,92.744
91,2,0,93.06,93.069,93.06,93.061
92,2,0,92.429,92.438,92.429,92.43
93,2,0,93.06,93.06,93.06,93.06
94,2,0,93.691,93.715,93.691,93.688
95,2,0,92.744,92.782,92.744,92.74
96,2,0,93.691,93.748,93.691,93.686
97,2,0,94.006,94.087,94.006,94.0
98,2,0,94.322,94.381,94.322,94.317
99,2,0,93.375,93.414,93.375,93.371
100,2,0,93.375,93.388,93.375,93.373
0,2,1,93.691,93.712,93.691,93.687
1,2,1,93.691,93.712,93.691,93.687
2,2,1,93.691,93.712,93.691,93.687
3,2,1,93.691,93.744,93.691,93.684
4,2,1,92.744,92.815,92.744,92.734
5,2,1,93.375,93.41,93.375,93.369
6,2,1,94.006,94.043,94.006,94.001
7,2,1,94.006,94.017,94.006,94.003
8,2,1,93.06,93.156,93.06,93.048
9,2,1,94.006,94.043,94.006,94.001
10,2,1,94.006,94.043,94.006,94.001
11,2,1,94.006,94.082,94.006,93.998
12,2,1,94.006,94.043,94.006,94.001
13,2,1,92.429,92.448,92.429,92.424
14,2,1,94.322,94.377,94.322,94.315
15,2,1,93.691,93.744,93.691,93.684
16,2,1,94.006,94.007,94.006,94.005
17,2,1,94.322,94.326,94.322,94.32
18,2,1,94.637,94.649,94.637,94.635
19,2,1,92.744,92.765,92.744,92.747
20,2,1,93.375,93.386,93.375,93.372
21,2,1,93.375,93.41,93.375,93.369
22,2,1,92.429,92.448,92.429,92.424
23,2,1,93.06,93.06,93.06,93.06
24,2,1,93.691,93.712,93.691,93.687
25,2,1,93.691,93.695,93.691,93.689
26,2,1,92.429,92.432,92.429,92.427
27,2,1,93.06,93.06,93.06,93.06
28,2,1,92.744,92.744,92.744,92.743
29,2,1,93.691,93.691,93.691,93.691
30,2,1,93.06,93.06,93.06,93.06
31,2,1,93.375,93.375,93.375,93.374
32,2,1,92.744,92.748,92.744,92.745
33,2,1,93.06,93.06,93.06,93.06
34,2,1,92.429,92.429,92.429,92.429
35,2,1,92.744,92.744,92.744,92.743
36,2,1,93.06,93.063,93.06,93.058
37,2,1,93.375,93.386,93.375,93.372
38,2,1,93.06,93.08,93.06,93.055
39,2,1,93.06,93.08,93.06,93.055
40,2,1,93.375,93.375,93.375,93.374
41,2,1,93.691,93.691,93.691,93.691
42,2,1,92.744,92.744,92.744,92.743
43,2,1,92.744,92.744,92.744,92.743
44,2,1,92.744,92.748,92.744,92.745
45,2,1,92.114,92.113,92.114,92.112
46,2,1,93.06,93.063,93.06,93.058
47,2,1,94.006,94.043,94.006,94.001
48,2,1,94.322,94.326,94.322,94.32
49,2,1,93.691,93.695,93.691,93.689
50,2,1,94.006,94.017,94.006,94.003
51,2,1,93.375,93.375,93.375,93.374
52,2,1,93.06,93.063,93.06,93.058
53,2,1,93.691,93.712,93.691,93.687
54,2,1,94.322,94.326,94.322,94.32
55,2,1,94.006,94.007,94.006,94.005
56,2,1,93.375,93.386,93.375,93.372
57,2,1,93.691,93.691,93.691,93.691
