iter,step,fold,acc,prec,rec,f1score
0,2,0,62.776,62.788,62.776,62.78
1,2,0,62.776,62.788,62.776,62.78
2,2,0,62.776,62.788,62.776,62.78
3,2,0,62.776,62.788,62.776,62.78
4,2,0,62.776,62.788,62.776,62.78
5,2,0,62.145,62.174,62.145,62.15
6,2,0,62.145,62.174,62.145,62.15
7,2,0,62.145,62.174,62.145,62.15
8,2,0,62.145,62.174,62.145,62.15
9,2,0,62.145,62.174,62.145,62.15
10,2,0,62.145,62.174,62.145,62.15
11,2,0,63.091,63.097,63.091,63.094
12,2,0,63.091,63.097,63.091,63.094
13,2,0,63.091,63.097,63.091,63.094
14,2,0,62.776,62.776,62.776,62.776
15,2,0,62.461,62.466,62.461,62.463
16,2,0,62.461,62.466,62.461,62.463
17,2,0,62.461,62.466,62.461,62.463
18,2,0,62.461,62.466,62.461,62.463
19,2,0,62.776,62.805,62.776,62.78
20,2,0,62.145,62.246,62.145,62.134
21,2,0,62.145,62.246,62.145,62.134
22,2,0,62.145,62.246,62.145,62.134
23,2,0,62.145,62.246,62.145,62.134
24,2,0,62.145,62.246,62.145,62.134
25,2,0,62.145,62.246,62.145,62.134
26,2,0,62.145,62.246,62.145,62.134
27,2,0,62.776,62.85,62.776,62.773
28,2,0,62.776,62.85,62.776,62.773
29,2,0,62.776,62.85,62.776,62.773
30,2,0,62.776,62.85,62.776,62.773
31,2,0,62.461,62.578,62.461,62.444
32,2,0,62.461,62.578,62.461,62.444
33,2,0,62.461,62.578,62.461,62.444
34,2,0,62.461,62.578,62.461,62.444
35,2,0,62.145,62.246,62.145,62.134
36,2,0,62.145,62.246,62.145,62.134
37,2,0,62.145,62.246,62.145,62.134
38,2,0,62.145,62.246,62.145,62.134
39,2,0,62.145,62.145,62.145,62.145
40,2,0,62.461,62.448,62.461,62.424
41,2,0,62.461,62.454,62.461,62.407
42,2,0,62.776,62.775,62.776,62.713
43,2,0,62.776,62.775,62.776,62.713
44,2,0,62.776,62.775,62.776,62.713
45,2,0,62.776,62.775,62.776,62.713
46,2,0,62.776,62.775,62.776,62.713
47,2,0,62.776,62.775,62.776,62.713
48,2,0,62.776,62.775,62.776,62.713
49,2,0,62.776,62.775,62.776,62.713
50,2,0,62.776,62.775,62.776,62.713
51,2,0,62.461,62.463,62.461,62.386
52,2,0,62.776,62.775,62.776,62.713
53,2,0,62.776,62.775,62.776,62.713
54,2,0,62.776,62.775,62.776,62.713
55,2,0,62.776,62.775,62.776,62.713
56,2,0,62.776,62.775,62.776,62.713
57,2,0,61.83,61.815,61.83,61.792
58,2,0,61.83,61.815,61.83,61.792
59,2,0,61.83,61.815,61.83,61.792
60,2,0,61.83,61.815,61.83,61.792
61,2,0,62.145,62.131,62.145,62.116
62,2,0,62.145,62.131,62.145,62.116
63,2,0,62.145,62.131,62.145,62.116
64,2,0,62.145,62.131,62.145,62.116
65,2,0,62.145,62.131,62.145,62.116
66,2,0,62.145,62.131,62.145,62.116
67,2,0,62.145,62.131,62.145,62.116
68,2,0,62.145,62.131,62.145,62.116
69,2,0,62.145,62.131,62.145,62.116
70,2,0,62.145,62.131,62.145,62.116
71,2,0,62.145,62.131,62.145,62.116
72,2,0,62.145,62.131,62.145,62.116
73,2,0,62.145,62.131,62.145,62.116
74,2,0,62.145,62.131,62.145,62.116
75,2,0,61.83,61.815,61.83,61.807
