iter,step,fold,acc,prec,rec,f1score
0,2,0,62.776,62.788,62.776,62.78
1,2,0,62.776,62.805,62.776,62.78
2,2,0,62.461,62.499,62.461,62.464
3,2,0,64.353,64.347,64.353,64.318
4,2,0,64.353,64.408,64.353,64.236
5,2,0,65.3,65.596,65.3,65.0
6,2,0,64.669,64.848,64.669,64.443
7,2,0,63.722,63.711,63.722,63.701
8,2,0,64.984,64.98,64.984,64.981
9,2,0,65.3,65.329,65.3,65.304
10,2,0,65.3,65.351,65.3,65.302
11,2,0,65.615,65.709,65.615,65.609
12,2,0,63.722,63.785,63.722,63.722
13,2,0,63.722,63.812,63.722,63.716
14,2,0,61.514,61.586,61.514,61.511
15,2,0,61.83,61.89,61.83,61.83
16,2,0,63.407,63.626,63.407,63.354
17,2,0,63.407,63.626,63.407,63.354
18,2,0,63.407,63.626,63.407,63.354
19,2,0,62.461,62.742,62.461,62.375
20,2,0,63.091,63.331,63.091,63.029
21,2,0,63.091,63.331,63.091,63.029
22,2,0,61.83,61.89,61.83,61.83
23,2,0,62.145,62.314,62.145,62.108
24,2,0,62.145,62.355,62.145,62.091
25,2,0,62.461,62.522,62.461,62.461
26,2,0,62.145,62.194,62.145,62.147
27,2,0,63.407,63.436,63.407,63.411
28,2,0,63.091,63.18,63.091,63.085
29,2,0,63.091,63.153,63.091,63.091
30,2,0,62.776,62.825,62.776,62.778
31,2,0,62.145,62.136,62.145,62.138
32,2,0,63.091,63.097,63.091,63.094
33,2,0,64.038,64.05,64.038,64.041
34,2,0,63.722,63.718,63.722,63.72
35,2,0,63.407,63.399,63.407,63.4
36,2,0,62.461,62.448,62.461,62.424
37,2,0,61.83,61.815,61.83,61.807
38,2,0,61.83,61.815,61.83,61.792
39,2,0,60.568,60.55,60.568,60.529
40,2,0,60.568,60.567,60.568,60.465
41,2,0,60.883,60.88,60.883,60.794
42,2,0,61.199,61.218,61.199,61.071
43,2,0,61.514,61.516,61.514,61.427
44,2,0,62.145,62.152,62.145,62.059
45,2,0,63.091,63.087,63.091,63.038
46,2,0,63.091,63.087,63.091,63.038
47,2,0,63.091,63.098,63.091,63.019
48,2,0,63.407,63.409,63.407,63.345
49,2,0,63.722,63.733,63.722,63.651
50,2,0,63.722,63.721,63.722,63.67
51,2,0,64.038,64.034,64.038,63.995
52,2,0,64.038,64.034,64.038,63.995
53,2,0,63.722,63.749,63.722,63.628
54,2,0,63.407,63.395,63.407,63.391
55,2,0,63.407,63.396,63.407,63.378
56,2,0,63.722,63.721,63.722,63.67
57,2,0,64.669,64.667,64.669,64.626
58,2,0,64.669,64.667,64.669,64.626
59,2,0,63.407,63.399,63.407,63.4
60,2,0,63.091,63.081,63.091,63.08
61,2,0,63.091,63.081,63.091,63.08
62,2,0,63.407,63.395,63.407,63.391
63,2,0,63.407,63.407,63.407,63.407
64,2,0,63.091,63.081,63.091,63.08
65,2,0,63.407,63.4,63.407,63.363
66,2,0,63.722,63.714,63.722,63.687
67,2,0,64.038,64.034,64.038,63.995
68,2,0,63.407,63.396,63.407,63.378
69,2,0,63.407,63.396,63.407,63.378
70,2,0,64.984,65.003,64.984,64.915
71,2,0,64.984,65.003,64.984,64.915
72,2,0,65.615,65.658,65.615,65.526
73,2,0,65.3,65.352,65.3,65.198
74,2,0,65.615,65.684,65.615,65.502
75,2,0,66.562,66.626,66.562,66.463
76,2,0,66.562,66.626,66.562,66.463
77,2,0,66.877,66.96,66.877,66.768
78,2,0,66.877,66.96,66.877,66.768
79,2,0,67.823,67.975,67.823,67.678
80,2,0,67.823,67.975,67.823,67.678
81,2,0,67.823,67.935,67.823,67.705
82,2,0,67.508,67.567,67.508,67.423
83,2,0,67.823,67.901,67.823,67.729
84,2,0,68.454,68.538,68.454,68.362
85,2,0,68.454,68.538,68.454,68.362
86,2,0,68.77,68.813,68.77,68.708
87,2,0,68.77,68.813,68.77,68.708
88,2,0,69.401,69.425,69.401,69.357
89,2,0,69.401,69.425,69.401,69.357
90,2,0,69.085,69.099,69.085,69.048
91,2,0,69.401,69.409,69.401,69.371
92,2,0,69.716,69.733,69.716,69.68
93,2,0,69.401,69.409,69.401,69.371
94,2,0,69.401,69.409,69.401,69.371
95,2,0,69.085,69.087,69.085,69.061
96,2,0,69.716,69.733,69.716,69.68
97,2,0,69.716,69.733,69.716,69.68
98,2,0,69.716,69.733,69.716,69.68
99,2,0,70.347,70.366,70.347,70.312
100,2,0,70.662,70.692,70.662,70.62
0,2,1,61.514,61.7,61.514,61.519
1,2,1,61.199,61.26,61.199,61.214
2,2,1,62.461,62.719,62.461,62.449
3,2,1,62.776,63.011,62.776,62.771
4,2,1,63.407,63.598,63.407,63.411
5,2,1,62.776,63.116,62.776,62.743
6,2,1,64.353,64.677,64.353,64.329
7,2,1,63.722,63.815,63.722,63.738
8,2,1,63.407,63.555,63.407,63.418
9,2,1,63.407,63.598,63.407,63.411
10,2,1,65.3,65.345,65.3,65.312
11,2,1,65.931,66.128,65.931,65.935
12,2,1,66.246,66.583,66.246,66.223
13,2,1,66.562,67.001,66.562,66.515
14,2,1,66.562,67.001,66.562,66.515
15,2,1,66.877,67.218,66.877,66.855
16,2,1,66.246,66.469,66.246,66.246
17,2,1,65.931,66.128,65.931,65.935
18,2,1,65.931,66.128,65.931,65.935
19,2,1,67.508,67.5,67.508,67.503
20,2,1,66.877,66.864,66.877,66.789
21,2,1,65.615,65.586,65.615,65.584
22,2,1,64.353,64.363,64.353,64.358
23,2,1,64.984,64.976,64.984,64.979
24,2,1,66.246,66.22,66.246,66.179
25,2,1,65.615,65.583,65.615,65.567
26,2,1,65.615,65.583,65.615,65.567
27,2,1,65.615,65.604,65.615,65.499
28,2,1,64.984,65.003,64.984,64.805
29,2,1,64.984,65.003,64.984,64.805
30,2,1,64.353,64.33,64.353,64.233
31,2,1,65.3,65.366,65.3,65.069
32,2,1,65.615,65.705,65.615,65.368
33,2,1,65.931,66.01,65.931,65.704
34,2,1,65.615,65.705,65.615,65.368
35,2,1,65.615,65.744,65.615,65.328
36,2,1,65.931,66.139,65.931,65.582
37,2,1,65.615,65.788,65.615,65.285
38,2,1,65.931,66.321,65.931,65.432
39,2,1,64.984,65.183,64.984,64.602
40,2,1,64.984,65.236,64.984,64.552
41,2,1,64.984,65.236,64.984,64.552
42,2,1,65.931,66.139,65.931,65.582
43,2,1,65.3,65.44,65.3,64.989
44,2,1,64.984,65.059,64.984,64.733
45,2,1,64.353,64.385,64.353,64.135
46,2,1,64.353,64.385,64.353,64.135
47,2,1,64.353,64.385,64.353,64.135
48,2,1,64.984,65.003,64.984,64.805
49,2,1,65.931,66.047,65.931,65.666
50,2,1,65.615,65.788,65.615,65.285
51,2,1,65.931,66.09,65.931,65.625
52,2,1,65.931,66.047,65.931,65.666
53,2,1,65.931,65.979,65.931,65.74
