iter,step,fold,acc,prec,rec,f1score
0,2,0,62.776,62.788,62.776,62.78
1,2,0,63.091,63.112,63.091,63.096
2,2,0,63.091,63.112,63.091,63.096
3,2,0,64.038,64.028,64.038,64.01
4,2,0,64.038,64.028,64.038,64.01
5,2,0,64.984,64.979,64.984,64.95
6,2,0,64.984,64.979,64.984,64.95
7,2,0,64.353,64.343,64.353,64.332
8,2,0,64.353,64.343,64.353,64.332
9,2,0,64.353,64.349,64.353,64.35
10,2,0,64.353,64.349,64.353,64.35
11,2,0,61.199,61.183,61.199,61.176
12,2,0,61.199,61.183,61.199,61.176
13,2,0,61.199,61.187,61.199,61.187
14,2,0,61.199,61.187,61.199,61.187
15,2,0,62.776,62.912,62.776,62.538
16,2,0,62.776,62.912,62.776,62.538
17,2,0,62.776,62.787,62.776,62.691
18,2,0,62.776,62.787,62.776,62.691
19,2,0,63.407,63.409,63.407,63.345
20,2,0,63.407,63.409,63.407,63.345
21,2,0,64.669,64.678,64.669,64.609
22,2,0,64.669,64.678,64.669,64.609
23,2,0,64.984,64.99,64.984,64.986
24,2,0,64.984,64.99,64.984,64.986
25,2,0,65.615,65.606,65.615,65.605
26,2,0,65.615,65.606,65.615,65.605
27,2,0,65.931,65.924,65.931,65.924
28,2,0,65.931,65.924,65.931,65.924
29,2,0,65.3,65.292,65.3,65.293
30,2,0,65.3,65.292,65.3,65.293
31,2,0,64.984,64.99,64.984,64.986
32,2,0,64.984,64.99,64.984,64.986
33,2,0,64.984,65.024,64.984,64.988
34,2,0,64.984,65.024,64.984,64.988
35,2,0,64.038,64.03,64.038,64.031
36,2,0,64.038,64.03,64.038,64.031
37,2,0,64.669,64.681,64.669,64.672
38,2,0,64.669,64.681,64.669,64.672
39,2,0,63.407,63.407,63.407,63.407
40,2,0,63.407,63.407,63.407,63.407
41,2,0,62.776,62.776,62.776,62.776
42,2,0,62.776,62.776,62.776,62.776
43,2,0,62.461,62.456,62.461,62.458
44,2,0,62.461,62.456,62.461,62.458
45,2,0,63.091,63.112,63.091,63.096
46,2,0,63.091,63.112,63.091,63.096
47,2,0,64.353,64.373,64.353,64.358
48,2,0,64.353,64.373,64.353,64.358
49,2,0,65.3,65.29,65.3,65.284
50,2,0,65.3,65.29,65.3,65.284
51,2,0,65.3,65.292,65.3,65.293
52,2,0,65.3,65.292,65.3,65.293
53,2,0,67.192,67.215,67.192,67.137
54,2,0,67.192,67.215,67.192,67.137
55,2,0,67.508,67.543,67.508,67.444
56,2,0,67.508,67.543,67.508,67.444
57,2,0,68.77,68.791,68.77,68.725
58,2,0,68.77,68.791,68.77,68.725
59,2,0,68.77,68.767,68.77,68.751
60,2,0,68.77,68.767,68.77,68.751
61,2,0,68.139,68.135,68.139,68.12
62,2,0,68.139,68.135,68.139,68.12
63,2,0,67.823,67.817,67.823,67.818
64,2,0,67.823,67.817,67.823,67.818
65,2,0,67.192,67.222,67.192,67.196
66,2,0,67.192,67.222,67.192,67.196
67,2,0,67.508,67.548,67.508,67.511
68,2,0,67.508,67.548,67.508,67.511
69,2,0,67.192,67.222,67.192,67.196
70,2,0,67.192,67.222,67.192,67.196
71,2,0,67.192,67.204,67.192,67.196
72,2,0,67.192,67.204,67.192,67.196
73,2,0,67.192,67.222,67.192,67.196
74,2,0,67.192,67.222,67.192,67.196
75,2,0,67.192,67.222,67.192,67.196
76,2,0,67.192,67.222,67.192,67.196
77,2,0,67.508,67.548,67.508,67.511
78,2,0,67.508,67.548,67.508,67.511
79,2,0,67.508,67.548,67.508,67.511
80,2,0,67.508,67.548,67.508,67.511
81,2,0,67.508,67.642,67.508,67.494
82,2,0,67.508,67.642,67.508,67.494
83,2,0,66.877,67.009,66.877,66.862
84,2,0,67.823,68.026,67.823,67.792
85,2,0,67.823,68.026,67.823,67.792
86,2,0,67.823,68.026,67.823,67.792
87,2,0,68.139,68.275,68.139,68.125
88,2,0,68.139,68.275,68.139,68.125
89,2,0,67.508,67.734,67.508,67.469
90,2,0,67.508,67.734,67.508,67.469
91,2,0,66.246,66.376,66.246,66.231
92,2,0,66.246,66.376,66.246,66.231
93,2,0,66.246,66.417,66.246,66.22
94,2,0,66.246,66.417,66.246,66.22
95,2,0,65.615,65.828,65.615,65.574
96,2,0,65.615,65.828,65.615,65.574
97,2,0,65.615,65.783,65.615,65.588
98,2,0,65.931,66.042,65.931,65.92
99,2,0,65.931,66.009,65.931,65.928
100,2,0,65.931,66.009,65.931,65.928
0,2,1,61.514,61.7,61.514,61.519
1,2,1,60.568,60.517,60.568,60.513
2,2,1,60.568,60.517,60.568,60.513
3,2,1,60.883,60.838,60.883,60.839
4,2,1,60.883,60.838,60.883,60.839
5,2,1,59.621,59.621,59.621,59.621
6,2,1,59.621,59.621,59.621,59.621
7,2,1,58.675,58.737,58.675,58.692
8,2,1,58.675,58.737,58.675,58.692
9,2,1,58.675,58.737,58.675,58.692
10,2,1,58.675,58.737,58.675,58.692
11,2,1,62.145,62.102,62.145,62.002
12,2,1,62.145,62.102,62.145,62.002
