iter,step,fold,acc,prec,rec,f1score
0,2,0,57.413,57.949,57.413,57.047
1,2,0,58.991,59.116,58.991,58.586
2,2,0,63.722,63.994,63.722,63.387
3,2,0,63.722,64.174,63.722,63.238
4,2,0,63.722,64.174,63.722,63.238
5,2,0,62.461,62.689,62.461,62.114
6,2,0,62.145,62.342,62.145,61.818
7,2,0,61.514,61.732,61.514,61.134
8,2,0,61.199,61.385,61.199,60.84
9,2,0,61.199,61.523,61.199,60.681
10,2,0,61.199,61.523,61.199,60.681
11,2,0,61.514,61.654,61.514,61.227
12,2,0,61.199,61.347,61.199,60.887
13,2,0,61.83,61.82,61.83,61.775
14,2,0,61.514,61.506,61.514,61.449
15,2,0,59.306,59.534,59.306,58.763
16,2,0,59.937,60.115,59.937,59.515
17,2,0,51.104,52.323,51.104,47.67
18,2,0,60.568,60.966,60.568,59.916
19,2,0,63.091,63.579,63.091,62.542
20,2,0,63.407,63.811,63.407,62.945
21,2,0,61.83,62.037,61.83,61.477
22,2,0,61.83,62.037,61.83,61.477
23,2,0,62.145,62.435,62.145,61.721
24,2,0,61.83,62.082,61.83,61.428
25,2,0,63.091,63.393,63.091,62.703
26,2,0,62.461,62.689,62.461,62.114
27,2,0,64.353,64.912,64.353,63.823
28,2,0,64.038,64.618,64.038,63.473
29,2,0,64.038,64.788,64.038,63.35
30,2,0,64.038,64.788,64.038,63.35
31,2,0,62.461,62.849,62.461,61.959
32,2,0,62.461,62.849,62.461,61.959
33,2,0,60.568,60.64,60.568,60.335
34,2,0,60.252,60.306,60.252,60.037
35,2,0,59.937,60.048,59.937,59.615
36,2,0,59.937,60.02,59.937,59.659
37,2,0,60.568,60.596,60.568,60.407
38,2,0,59.937,59.942,59.937,59.805
39,2,0,61.514,61.516,61.514,61.427
40,2,0,61.83,61.84,61.83,61.73
41,2,0,61.83,61.82,61.83,61.775
42,2,0,61.83,61.82,61.83,61.775
43,2,0,61.199,61.204,61.199,61.098
44,2,0,61.199,61.204,61.199,61.098
45,2,0,61.83,61.828,61.83,61.754
46,2,0,61.514,61.506,61.514,61.449
47,2,0,62.776,62.775,62.776,62.713
48,2,0,63.091,63.081,63.091,63.055
49,2,0,62.776,62.763,62.776,62.747
50,2,0,63.722,63.711,63.722,63.701
51,2,0,64.669,64.694,64.669,64.588
52,2,0,64.984,65.022,64.984,64.893
53,2,0,65.3,65.352,65.3,65.198
54,2,0,64.984,65.022,64.984,64.893
55,2,0,66.246,66.355,66.246,66.108
56,2,0,66.246,66.355,66.246,66.108
57,2,0,67.192,67.379,67.192,67.015
58,2,0,66.877,67.192,66.877,66.611
59,2,0,66.877,67.081,66.877,66.682
60,2,0,66.562,66.694,66.562,66.411
