iter,step,fold,acc,prec,rec,f1score
0,2,0,57.413,65.904,57.413,51.698
1,2,0,61.514,67.132,61.514,58.594
2,2,0,61.514,61.973,61.514,61.324
3,2,0,62.776,64.193,62.776,62.101
4,2,0,60.568,61.305,60.568,60.18
5,2,0,55.836,66.108,55.836,48.454
6,2,0,55.205,65.327,55.205,47.425
7,2,0,57.729,65.201,57.729,52.622
8,2,0,56.782,64.679,56.782,50.982
9,2,0,56.782,66.462,56.782,50.233
10,2,0,58.675,66.153,58.675,53.996
11,2,0,57.413,65.366,57.413,51.931
12,2,0,62.145,68.024,62.145,59.272
13,2,0,60.252,66.375,60.252,56.754
14,2,0,63.722,67.524,63.722,62.012
15,2,0,62.776,63.486,62.776,62.478
16,2,0,60.568,66.659,60.568,57.18
17,2,0,63.722,67.524,63.722,62.012
18,2,0,63.407,64.321,63.407,63.024
19,2,0,60.883,65.921,60.883,58.063
20,2,0,64.038,66.687,64.038,62.867
21,2,0,63.722,64.425,63.722,63.452
22,2,0,63.407,67.795,63.407,61.402
23,2,0,62.776,66.989,62.776,60.737
24,2,0,64.353,66.264,64.353,63.542
25,2,0,59.937,60.111,59.937,59.889
26,2,0,63.091,63.943,63.091,62.729
27,2,0,63.091,66.994,63.091,61.242
28,2,0,62.461,64.171,62.461,61.606
29,2,0,63.091,65.17,63.091,62.099
30,2,0,61.514,61.859,61.514,61.388
31,2,0,64.669,68.306,64.669,63.154
32,2,0,61.83,66.456,61.83,59.422
33,2,0,64.353,67.357,64.353,63.062
34,2,0,59.621,59.89,59.621,59.517
35,2,0,64.038,66.152,64.038,63.109
36,2,0,63.722,66.05,63.722,62.667
37,2,0,60.568,65.957,60.568,57.499
38,2,0,71.293,71.757,71.293,71.209
39,2,0,72.24,72.53,72.24,72.2
40,2,0,73.186,73.295,73.186,73.181
41,2,0,72.555,72.662,72.555,72.55
42,2,0,74.448,74.467,74.448,74.451
43,2,0,74.132,74.162,74.132,74.136
44,2,0,75.71,75.892,75.71,75.63
45,2,0,74.763,74.76,74.763,74.759
46,2,0,76.341,76.477,76.341,76.279
47,2,0,74.132,74.133,74.132,74.121
48,2,0,74.448,74.567,74.448,74.382
49,2,0,74.132,74.133,74.132,74.121
50,2,0,76.972,77.168,76.972,76.896
51,2,0,76.972,77.113,76.972,76.912
52,2,0,80.442,81.094,80.442,80.295
53,2,0,77.918,78.228,77.918,77.818
54,2,0,78.864,79.652,78.864,78.669
55,2,0,78.864,79.32,78.864,78.74
56,2,0,77.287,77.365,77.287,77.249
57,2,0,78.233,78.881,78.233,78.058
58,2,0,78.549,79.833,78.549,78.246
59,2,0,63.722,63.711,63.722,63.701
60,2,0,64.984,65.075,64.984,64.841
61,2,0,76.656,77.427,76.656,76.426
62,2,0,79.495,81.511,79.495,79.084
63,2,0,76.972,77.48,76.972,76.812
64,2,0,79.18,80.673,79.18,78.853
65,2,0,80.126,81.975,80.126,79.764
66,2,0,80.442,82.209,80.442,80.102
67,2,0,77.918,78.228,77.918,77.818
68,2,0,79.811,80.566,79.811,79.636
69,2,0,75.71,75.718,75.71,75.695
70,2,0,78.864,81.285,78.864,78.359
71,2,0,74.132,74.193,74.132,74.089
72,2,0,77.603,79.469,77.603,77.154
73,2,0,76.972,78.417,76.972,76.591
74,2,0,74.763,75.174,74.763,74.602
75,2,0,77.287,79.03,77.287,76.853
76,2,0,52.05,51.904,52.05,50.645
77,2,0,58.044,65.069,58.044,53.294
78,2,0,54.89,76.04,54.89,42.482
79,2,0,51.104,26.116,51.104,34.567
80,2,0,52.997,53.117,52.997,50.544
81,2,0,57.729,58.43,57.729,57.228
82,2,0,60.252,61.73,60.252,58.476
83,2,0,61.514,61.761,61.514,61.438
84,2,0,58.991,69.439,58.991,51.863
85,2,0,55.836,69.362,55.836,45.484
86,2,0,71.293,75.703,71.293,69.795
87,2,0,63.091,69.061,63.091,59.47
88,2,0,75.394,78.306,75.394,74.616
89,2,0,48.58,47.386,48.58,45.021
90,2,0,61.83,64.392,61.83,59.59
91,2,0,58.675,58.658,58.675,58.568
92,2,0,66.246,66.242,66.246,66.243
93,2,0,51.735,75.178,51.735,35.958
94,2,0,61.199,62.012,61.199,60.189
95,2,0,68.77,68.767,68.77,68.751
96,2,0,60.883,61.083,60.883,60.827
97,2,0,78.864,79.151,78.864,78.778
98,2,0,72.871,72.899,72.871,72.838
99,2,0,76.972,80.841,76.972,76.1
100,2,0,76.341,77.92,76.341,75.909
0,2,1,52.366,59.674,52.366,44.484
1,2,1,59.937,66.182,59.937,56.769
2,2,1,58.36,65.52,58.36,54.276
3,2,1,60.883,64.052,60.883,59.382
4,2,1,60.883,62.243,60.883,60.347
5,2,1,60.252,65.467,60.252,57.63
6,2,1,52.681,60.722,52.681,44.7
7,2,1,56.467,62.83,56.467,51.999
8,2,1,56.467,64.057,56.467,51.367
9,2,1,56.467,64.53,56.467,51.144
10,2,1,54.574,62.85,54.574,48.024
11,2,1,60.883,66.655,60.883,58.162
12,2,1,58.675,65.816,58.675,54.715
13,2,1,55.836,63.839,55.836,50.204
14,2,1,54.259,62.444,54.259,47.529
15,2,1,52.366,60.801,52.366,43.86
16,2,1,58.675,66.246,58.675,54.529
17,2,1,61.199,65.997,61.199,58.969
18,2,1,60.568,61.385,60.568,60.308
19,2,1,58.675,58.914,58.675,58.663
20,2,1,61.514,64.603,61.514,60.136
21,2,1,57.729,65.814,57.729,52.987
22,2,1,56.467,64.53,56.467,51.144
23,2,1,54.259,63.003,54.259,47.257
24,2,1,58.36,66.415,58.36,53.89
25,2,1,52.05,60.914,52.05,42.994
26,2,1,55.205,63.111,55.205,49.25
27,2,1,53.312,60.639,53.312,46.306
28,2,1,53.312,60.639,53.312,46.306
29,2,1,53.628,61.59,53.628,46.529
30,2,1,57.413,65.035,57.413,52.74
31,2,1,61.199,66.597,61.199,58.707
32,2,1,60.883,63.673,60.883,59.579
33,2,1,58.991,65.705,58.991,55.328
34,2,1,58.044,64.813,58.044,54.023
35,2,1,59.621,66.276,59.621,56.184
36,2,1,56.467,64.057,56.467,51.367
37,2,1,60.883,67.001,60.883,58.017
38,2,1,60.252,66.459,60.252,57.187
39,2,1,60.883,65.447,60.883,58.699
40,2,1,60.883,66.018,60.883,58.439
41,2,1,60.252,66.459,60.252,57.187
42,2,1,58.044,65.219,58.044,53.834
43,2,1,61.514,67.188,61.514,58.975
44,2,1,60.252,66.109,60.252,57.339
45,2,1,58.675,66.246,58.675,54.529
46,2,1,56.782,64.862,56.782,51.61
47,2,1,56.782,64.39,56.782,51.828
48,2,1,61.199,67.267,61.199,58.428
49,2,1,61.514,65.729,61.514,59.605
50,2,1,61.83,66.258,61.83,59.878
51,2,1,61.199,65.997,61.199,58.969
52,2,1,61.514,67.188,61.514,58.975
53,2,1,61.514,65.99,61.514,59.487
54,2,1,61.199,65.997,61.199,58.969
55,2,1,61.514,67.188,61.514,58.975
56,2,1,61.514,65.48,61.514,59.719
57,2,1,61.199,65.72,61.199,59.094
58,2,1,61.514,63.884,61.514,60.494
59,2,1,61.514,62.597,61.514,61.148
60,2,1,68.454,69.174,68.454,68.348
61,2,1,67.823,68.627,67.823,67.689
62,2,1,68.454,69.174,68.454,68.348
63,2,1,70.662,70.756,70.662,70.675
64,2,1,71.293,72.019,71.293,71.208
65,2,1,70.347,71.72,70.347,70.101
66,2,1,70.662,71.481,70.662,70.552
67,2,1,56.782,56.733,56.782,56.744
68,2,1,64.669,65.794,64.669,64.376
69,2,1,61.83,62.084,61.83,61.818
70,2,1,63.091,66.359,63.091,61.816
71,2,1,62.776,66.547,62.776,61.249
72,2,1,62.461,66.529,62.461,60.764
73,2,1,63.722,66.677,63.722,62.641
74,2,1,64.984,66.427,64.984,64.581
75,2,1,64.353,64.737,64.353,64.313
76,2,1,47.319,47.433,47.319,47.337
77,2,1,60.252,64.377,60.252,58.159
78,2,1,54.574,54.629,54.574,51.91
79,2,1,52.366,53.847,52.366,38.412
80,2,1,52.997,53.342,52.997,45.088
81,2,1,59.937,61.189,59.937,57.785
82,2,1,67.508,69.835,67.508,66.06
83,2,1,56.467,70.997,56.467,45.596
84,2,1,57.098,73.835,57.098,46.384
85,2,1,64.353,65.117,64.353,64.188
86,2,1,56.782,56.862,56.782,55.524
87,2,1,64.038,69.899,64.038,60.329
88,2,1,56.151,56.252,56.151,54.556
89,2,1,63.091,63.219,63.091,62.688
90,2,1,66.562,67.156,66.562,66.474
91,2,1,68.454,68.69,68.454,68.172
92,2,1,57.729,61.99,57.729,51.803
93,2,1,68.454,69.269,68.454,67.83
94,2,1,69.401,71.072,69.401,68.439
95,2,1,64.353,64.386,64.353,64.364
96,2,1,67.823,67.873,67.823,67.674
97,2,1,66.877,67.053,66.877,66.884
98,2,1,68.139,69.101,68.139,67.416
99,2,1,67.508,67.735,67.508,67.508
100,2,1,74.132,74.175,74.132,74.142
0,2,2,55.521,62.895,55.521,48.893
1,2,2,61.83,66.331,61.83,59.349
2,2,2,59.621,59.993,59.621,59.401
3,2,2,56.467,64.067,56.467,50.362
4,2,2,55.521,64.03,55.521,48.347
5,2,2,59.621,64.303,59.621,56.471
6,2,2,60.252,61.197,60.252,59.629
7,2,2,58.044,58.399,58.044,57.795
8,2,2,57.729,66.013,57.729,52.039
9,2,2,51.735,60.406,51.735,40.447
10,2,2,51.104,57.701,51.104,39.669
11,2,2,54.89,63.836,54.89,47.03
12,2,2,59.306,65.712,59.306,55.174
13,2,2,52.05,60.272,52.05,41.422
14,2,2,51.735,58.717,51.735,41.227
15,2,2,57.098,65.917,57.098,50.832
16,2,2,60.883,65.782,60.883,57.982
17,2,2,61.514,66.052,61.514,58.944
18,2,2,59.621,60.894,59.621,58.699
19,2,2,56.151,56.194,56.151,56.145
20,2,2,61.83,64.668,61.83,60.189
21,2,2,57.729,58.365,57.729,57.195
22,2,2,60.252,65.858,60.252,56.829
23,2,2,60.883,62.948,60.883,59.559
24,2,2,58.675,66.447,58.675,53.668
25,2,2,62.461,66.881,62.461,60.151
26,2,2,62.461,66.096,62.461,60.517
27,2,2,58.044,58.606,58.044,57.602
28,2,2,60.883,67.58,60.883,57.177
29,2,2,61.83,66.052,61.83,59.481
30,2,2,61.514,66.348,61.514,58.804
31,2,2,61.83,67.623,61.83,58.775
32,2,2,61.514,67.35,61.514,58.357
33,2,2,61.199,63.726,61.199,59.637
34,2,2,59.937,66.724,59.937,55.869
35,2,2,60.568,64.646,60.568,58.005
36,2,2,60.568,61.676,60.568,59.85
37,2,2,62.145,65.15,62.145,60.465
38,2,2,61.199,65.223,61.199,58.811
39,2,2,61.83,67.998,61.83,58.621
40,2,2,62.461,66.343,62.461,60.399
41,2,2,61.514,66.662,61.514,58.66
42,2,2,61.514,66.662,61.514,58.66
43,2,2,63.091,65.596,63.091,61.796
44,2,2,58.36,58.797,58.36,58.047
45,2,2,63.722,66.145,63.722,62.538
46,2,2,59.621,60.292,59.621,59.169
47,2,2,62.145,63.439,62.145,61.423
48,2,2,62.461,63.841,62.461,61.71
49,2,2,58.675,58.957,58.675,58.504
50,2,2,71.293,71.907,71.293,71.15
51,2,2,70.978,72.22,70.978,70.652
52,2,2,70.032,70.919,70.032,69.79
53,2,2,70.662,71.693,70.662,70.391
54,2,2,71.609,72.382,71.609,71.426
55,2,2,73.186,73.574,73.186,73.115
56,2,2,71.924,72.552,71.924,71.784
57,2,2,72.24,72.737,72.24,72.136
58,2,2,71.924,72.374,71.924,71.83
59,2,2,71.293,71.816,71.293,71.175
60,2,2,74.763,75.213,74.763,74.688
61,2,2,75.079,75.491,75.079,75.013
62,2,2,63.722,67.95,63.722,61.73
63,2,2,64.669,66.319,64.669,63.929
64,2,2,63.722,66.33,63.722,62.449
65,2,2,64.038,66.242,64.038,62.989
66,2,2,65.615,66.255,65.615,65.376
67,2,2,64.669,64.664,64.669,64.664
68,2,2,63.091,65.089,63.091,62.056
69,2,2,65.615,66.174,65.615,65.411
70,2,2,64.984,65.977,64.984,64.567
71,2,2,64.038,66.417,64.038,62.906
72,2,2,60.568,65.811,60.568,57.413
73,2,2,62.776,66.37,62.776,60.906
74,2,2,63.722,65.493,63.722,62.857
75,2,2,66.246,66.822,66.246,66.046
76,2,2,60.252,61.947,60.252,59.093
77,2,2,56.467,56.724,56.467,55.671
78,2,2,67.508,68.207,67.508,67.282
79,2,2,60.568,67.736,60.568,56.564
80,2,2,56.467,57.186,56.467,54.819
81,2,2,55.205,55.889,55.205,53.139
