iter,step,fold,acc,prec,rec,f1score
0,2,0,57.413,65.904,57.413,51.698
1,2,0,51.42,60.303,51.42,40.099
2,2,0,50.158,66.799,50.158,35.359
3,2,0,67.823,67.817,67.823,67.809
4,2,0,69.085,69.143,69.085,69.015
5,2,0,68.454,68.466,68.454,68.417
6,2,0,67.508,67.501,67.508,67.498
7,2,0,69.085,69.175,69.085,68.994
8,2,0,68.454,68.454,68.454,68.43
9,2,0,70.662,70.674,70.662,70.634
10,2,0,66.877,66.942,66.877,66.877
11,2,0,67.508,67.513,67.508,67.51
12,2,0,69.716,69.711,69.716,69.711
13,2,0,70.032,70.031,70.032,70.014
14,2,0,66.562,66.713,66.562,66.542
15,2,0,65.3,65.409,65.3,65.289
16,2,0,48.896,23.908,48.896,32.114
17,2,0,70.347,70.359,70.347,70.35
18,2,0,69.085,69.138,69.085,69.087
19,2,0,68.454,68.448,68.454,68.449
20,2,0,70.978,71.007,70.978,70.981
21,2,0,72.24,72.295,72.24,72.241
22,2,0,71.924,71.929,71.924,71.926
23,2,0,71.609,71.609,71.609,71.609
24,2,0,71.293,71.335,71.293,71.296
25,2,0,70.347,70.376,70.347,70.351
26,2,0,71.609,71.638,71.609,71.612
27,2,0,71.293,71.298,71.293,71.295
28,2,0,72.24,72.295,72.24,72.241
29,2,0,70.978,71.007,70.978,70.981
30,2,0,72.24,72.327,72.24,72.238
31,2,0,71.609,71.664,71.609,71.611
32,2,0,71.609,71.664,71.609,71.611
33,2,0,71.609,71.664,71.609,71.611
34,2,0,70.032,70.174,70.032,70.018
35,2,0,69.716,69.88,69.716,69.698
36,2,0,72.24,72.414,72.24,72.223
37,2,0,48.896,23.908,48.896,32.114
38,2,0,48.896,23.908,48.896,32.114
39,2,0,71.609,71.781,71.609,71.592
40,2,0,70.347,70.622,70.347,70.304
41,2,0,70.978,71.064,70.978,70.976
42,2,0,70.662,70.807,70.662,70.65
43,2,0,70.978,71.032,70.978,70.98
44,2,0,70.347,70.432,70.347,70.345
45,2,0,70.978,71.064,70.978,70.976
46,2,0,72.871,72.959,72.871,72.869
47,2,0,71.609,71.696,71.609,71.607
48,2,0,72.555,72.662,72.555,72.55
49,2,0,72.555,72.662,72.555,72.55
50,2,0,72.24,72.367,72.24,72.231
51,2,0,72.24,72.295,72.24,72.241
52,2,0,71.924,72.073,71.924,71.912
53,2,0,72.24,72.295,72.24,72.241
54,2,0,71.609,71.735,71.609,71.6
55,2,0,71.609,71.696,71.609,71.607
56,2,0,71.924,71.966,71.924,71.927
57,2,0,71.609,71.638,71.609,71.612
58,2,0,70.347,70.342,70.347,70.342
59,2,0,71.293,71.335,71.293,71.296
60,2,0,70.978,71.064,70.978,70.976
61,2,0,71.293,71.335,71.293,71.296
62,2,0,71.293,71.335,71.293,71.296
63,2,0,70.662,70.703,70.662,70.665
64,2,0,70.032,70.072,70.032,70.035
65,2,0,70.347,70.359,70.347,70.35
66,2,0,71.609,71.735,71.609,71.6
67,2,0,71.609,71.696,71.609,71.607
68,2,0,71.293,71.363,71.293,71.293
69,2,0,71.293,71.363,71.293,71.293
70,2,0,70.978,71.032,70.978,70.98
71,2,0,72.555,72.757,72.555,72.534
72,2,0,72.871,73.166,72.871,72.832
73,2,0,73.502,73.681,73.502,73.486
74,2,0,71.609,71.781,71.609,71.592
75,2,0,71.924,72.123,71.924,71.902
76,2,0,54.574,65.317,54.574,46.065
77,2,0,53.628,53.593,53.628,52.782
78,2,0,58.675,63.846,58.675,55.125
79,2,0,61.514,66.796,61.514,58.74
80,2,0,70.032,71.606,70.032,69.314
81,2,0,59.937,64.467,59.937,57.123
82,2,0,55.521,68.506,55.521,47.031
83,2,0,57.413,64.869,57.413,52.157
84,2,0,72.555,73.567,72.555,72.351
85,2,0,70.978,70.975,70.978,70.965
