iter,step,fold,acc,prec,rec,f1score
0,2,0,65.3,65.409,65.3,65.289
1,2,0,68.77,68.775,68.77,68.772
2,2,0,68.77,68.775,68.77,68.772
3,2,0,66.562,66.674,66.562,66.552
4,2,0,70.032,70.15,70.032,69.933
5,2,0,66.562,66.613,66.562,66.564
6,2,0,67.192,67.307,67.192,67.183
7,2,0,68.454,68.507,68.454,68.456
8,2,0,68.454,68.507,68.454,68.456
9,2,0,73.186,73.523,73.186,73.028
10,2,0,70.347,70.343,70.347,70.334
11,2,0,70.347,70.401,70.347,70.349
12,2,0,70.347,70.401,70.347,70.349
13,2,0,75.71,76.506,75.71,75.454
14,2,0,75.71,76.506,75.71,75.454
15,2,0,71.924,71.944,71.924,71.928
16,2,0,71.924,71.944,71.924,71.928
17,2,0,72.24,72.67,72.24,72.032
18,2,0,72.24,72.67,72.24,72.032
19,2,0,73.502,73.685,73.502,73.404
20,2,0,73.502,73.685,73.502,73.404
21,2,0,64.669,64.848,64.669,64.443
22,2,0,76.025,76.465,76.025,75.872
23,2,0,58.36,59.897,58.36,57.195
24,2,0,77.918,78.095,77.918,77.853
25,2,0,62.461,62.516,62.461,62.307
26,2,0,62.461,62.516,62.461,62.307
27,2,0,61.514,61.567,61.514,61.341
28,2,0,61.514,61.567,61.514,61.341
29,2,0,61.83,61.96,61.83,61.565
30,2,0,72.871,72.926,72.871,72.872
31,2,0,57.098,57.705,57.098,56.648
32,2,0,71.609,72.022,71.609,71.397
33,2,0,69.716,69.852,69.716,69.605
34,2,0,70.978,71.102,70.978,70.969
35,2,0,67.192,67.245,67.192,67.194
36,2,0,67.192,67.245,67.192,67.194
37,2,0,58.991,60.993,58.991,57.556
38,2,0,58.991,60.993,58.991,57.556
39,2,0,58.36,59.167,58.36,57.807
40,2,0,72.871,73.166,72.871,72.724
41,2,0,66.562,67.201,66.562,66.09
42,2,0,67.192,67.273,67.192,67.19
43,2,0,74.763,75.174,74.763,74.602
44,2,0,72.24,72.251,72.24,72.243
45,2,0,71.924,72.572,71.924,71.629
46,2,0,71.924,72.572,71.924,71.629
47,2,0,75.71,76.099,75.71,75.567
48,2,0,75.71,76.099,75.71,75.567
49,2,0,74.132,74.528,74.132,73.967
50,2,0,74.132,74.528,74.132,73.967
51,2,0,63.091,63.184,63.091,62.909
52,2,0,63.091,63.184,63.091,62.909
53,2,0,75.394,75.819,75.394,75.237
54,2,0,71.609,71.604,71.609,71.604
55,2,0,63.722,63.733,63.722,63.651
56,2,0,63.722,63.733,63.722,63.651
57,2,0,65.931,65.965,65.931,65.853
58,2,0,65.931,65.965,65.931,65.853
59,2,0,62.776,62.878,62.776,62.575
60,2,0,62.776,62.878,62.776,62.575
61,2,0,79.495,79.72,79.495,79.428
62,2,0,79.495,79.72,79.495,79.428
63,2,0,62.461,62.463,62.461,62.386
64,2,0,62.461,62.463,62.461,62.386
65,2,0,77.918,78.31,77.918,77.798
66,2,0,77.918,78.31,77.918,77.798
67,2,0,69.401,69.406,69.401,69.402
68,2,0,76.341,76.432,76.341,76.294
69,2,0,76.972,77.48,76.972,76.812
70,2,0,82.019,82.653,82.019,81.894
71,2,0,76.972,77.817,76.972,76.729
72,2,0,76.972,77.817,76.972,76.729
73,2,0,81.073,81.524,81.073,80.97
74,2,0,81.073,81.524,81.073,80.97
75,2,0,69.085,69.097,69.085,69.088
76,2,0,69.085,69.097,69.085,69.088
77,2,0,75.079,75.696,75.079,74.987
78,2,0,79.495,80.587,79.495,79.251
79,2,0,68.139,68.204,68.139,68.056
80,2,0,68.139,68.204,68.139,68.056
81,2,0,60.883,63.369,60.883,59.416
82,2,0,71.609,71.894,71.609,71.568
83,2,0,64.038,64.982,64.038,63.661
84,2,0,80.126,80.204,80.126,80.126
85,2,0,69.716,69.812,69.716,69.627
86,2,0,79.811,79.958,79.811,79.805
87,2,0,80.126,80.302,80.126,80.117
88,2,0,80.126,80.302,80.126,80.117
89,2,0,78.864,78.984,78.864,78.861
90,2,0,82.965,83.453,82.965,82.873
91,2,0,82.965,83.127,82.965,82.927
92,2,0,82.965,83.127,82.965,82.927
93,2,0,62.145,68.024,62.145,59.272
94,2,0,82.019,82.1,82.019,81.993
95,2,0,77.287,77.428,77.287,77.28
96,2,0,77.287,77.428,77.287,77.28
97,2,0,60.252,68.597,60.252,55.85
98,2,0,82.019,82.541,82.019,81.913
99,2,0,78.864,78.863,78.864,78.863
100,2,0,78.864,78.863,78.864,78.863
0,2,1,67.508,67.539,67.508,67.518
1,2,1,69.716,69.873,69.716,69.725
2,2,1,71.609,71.593,71.609,71.59
3,2,1,67.508,67.685,67.508,67.515
4,2,1,69.716,69.716,69.716,69.716
5,2,1,69.085,69.477,69.085,69.057
6,2,1,66.877,67.52,66.877,66.778
7,2,1,70.347,70.366,70.347,70.354
8,2,1,70.347,70.366,70.347,70.354
9,2,1,67.192,67.268,67.192,67.206
10,2,1,67.508,67.685,67.508,67.515
11,2,1,71.609,71.609,71.609,71.609
12,2,1,68.454,69.495,68.454,68.263
13,2,1,70.662,71.279,70.662,70.595
14,2,1,72.555,72.8,72.555,72.555
15,2,1,71.609,71.627,71.609,71.615
16,2,1,71.609,71.627,71.609,71.615
17,2,1,73.502,73.719,73.502,73.505
18,2,1,76.656,76.672,76.656,76.661
19,2,1,75.079,75.565,75.079,75.051
20,2,1,75.079,75.565,75.079,75.051
21,2,1,76.656,76.648,76.656,76.649
22,2,1,76.656,76.648,76.656,76.649
23,2,1,77.287,77.28,77.287,77.28
24,2,1,77.287,77.28,77.287,77.28
25,2,1,77.918,77.911,77.918,77.911
26,2,1,77.918,77.911,77.918,77.911
27,2,1,77.603,77.609,77.603,77.605
28,2,1,77.603,77.609,77.603,77.605
29,2,1,76.341,76.336,76.341,76.319
30,2,1,76.341,76.336,76.341,76.319
31,2,1,77.287,77.303,77.287,77.292
32,2,1,77.287,77.303,77.287,77.292
33,2,1,74.132,74.132,74.132,74.132
34,2,1,79.495,79.491,79.495,79.492
35,2,1,79.495,79.498,79.495,79.477
36,2,1,79.495,79.498,79.495,79.477
37,2,1,79.495,79.58,79.495,79.441
38,2,1,79.811,79.885,79.811,79.819
39,2,1,76.656,76.882,76.656,76.659
40,2,1,76.656,76.882,76.656,76.659
41,2,1,80.126,80.216,80.126,80.074
42,2,1,82.65,82.648,82.65,82.642
43,2,1,77.918,78.705,77.918,77.86
44,2,1,77.918,78.705,77.918,77.86
45,2,1,77.603,77.826,77.603,77.488
46,2,1,77.603,77.826,77.603,77.488
47,2,1,69.085,70.193,69.085,68.352
48,2,1,81.073,81.191,81.073,81.08
49,2,1,53.312,54.909,53.312,51.64
50,2,1,81.388,82.347,81.388,81.158
51,2,1,53.943,55.153,53.943,52.911
52,2,1,53.943,55.153,53.943,52.911
53,2,1,82.965,82.986,82.965,82.946
54,2,1,82.965,82.986,82.965,82.946
55,2,1,83.912,84.031,83.912,83.869
56,2,1,83.912,84.031,83.912,83.869
