iter,step,fold,acc,prec,rec,f1score
0,2,0,88.959,89.024,88.959,88.948
1,2,0,89.905,89.909,89.905,89.904
2,2,0,89.59,89.622,89.59,89.584
3,2,0,89.905,89.925,89.905,89.901
4,2,0,88.644,88.662,88.644,88.639
5,2,0,88.959,88.968,88.959,88.956
6,2,0,94.322,94.492,94.322,94.312
7,2,0,92.429,92.589,92.429,92.416
8,2,0,91.798,92.026,91.798,91.779
9,2,0,92.429,92.662,92.429,92.412
10,2,0,91.798,92.112,91.798,91.774
11,2,0,91.798,92.112,91.798,91.774
12,2,0,91.798,92.212,91.798,91.768
13,2,0,90.536,90.934,90.536,90.501
14,2,0,90.221,90.668,90.221,90.181
15,2,0,90.852,91.203,90.852,90.822
16,2,0,90.852,91.203,90.852,90.822
17,2,0,90.852,91.113,90.852,90.828
18,2,0,92.114,92.24,92.114,92.102
19,2,0,92.114,92.24,92.114,92.102
20,2,0,92.744,92.821,92.744,92.737
21,2,0,92.744,92.821,92.744,92.737
22,2,0,92.429,92.484,92.429,92.423
23,2,0,92.744,92.782,92.744,92.74
24,2,0,92.429,92.434,92.429,92.428
25,2,0,92.744,92.745,92.744,92.744
26,2,0,92.114,92.132,92.114,92.115
27,2,0,92.744,92.757,92.744,92.742
28,2,0,92.744,92.745,92.744,92.744
29,2,0,92.429,92.429,92.429,92.429
30,2,0,92.429,92.429,92.429,92.429
31,2,0,92.429,92.434,92.429,92.428
32,2,0,92.114,92.114,92.114,92.113
33,2,0,92.114,92.116,92.114,92.114
34,2,0,92.114,92.116,92.114,92.114
35,2,0,92.429,92.429,92.429,92.429
36,2,0,92.114,92.116,92.114,92.114
37,2,0,92.114,92.114,92.114,92.113
38,2,0,92.744,92.745,92.744,92.744
39,2,0,93.375,93.378,93.375,93.376
40,2,0,93.06,93.06,93.06,93.06
41,2,0,93.375,93.376,93.375,93.375
42,2,0,92.744,92.747,92.744,92.745
43,2,0,92.744,92.745,92.744,92.744
44,2,0,93.06,93.06,93.06,93.06
45,2,0,93.06,93.06,93.06,93.06
46,2,0,92.429,92.434,92.429,92.428
47,2,0,92.429,92.434,92.429,92.428
48,2,0,92.744,92.782,92.744,92.74
49,2,0,92.429,92.484,92.429,92.423
50,2,0,92.744,92.821,92.744,92.737
51,2,0,92.429,92.484,92.429,92.423
52,2,0,92.744,92.821,92.744,92.737
53,2,0,93.06,93.116,93.06,93.055
54,2,0,93.06,93.116,93.06,93.055
55,2,0,93.06,93.116,93.06,93.055
56,2,0,93.06,93.116,93.06,93.055
57,2,0,92.429,92.529,92.429,92.42
58,2,0,92.114,92.24,92.114,92.102
59,2,0,92.114,92.24,92.114,92.102
60,2,0,92.429,92.529,92.429,92.42
61,2,0,92.429,92.529,92.429,92.42
62,2,0,91.798,91.896,91.798,91.788
63,2,0,91.798,91.896,91.798,91.788
64,2,0,91.798,91.896,91.798,91.788
65,2,0,91.798,91.851,91.798,91.792
66,2,0,92.114,92.188,92.114,92.106
67,2,0,91.798,91.896,91.798,91.788
68,2,0,91.798,91.896,91.798,91.788
69,2,0,92.429,92.529,92.429,92.42
70,2,0,91.798,91.896,91.798,91.788
71,2,0,92.114,92.188,92.114,92.106
72,2,0,92.744,92.874,92.744,92.734
73,2,0,92.429,92.529,92.429,92.42
74,2,0,91.798,91.851,91.798,91.792
75,2,0,92.114,92.188,92.114,92.106
76,2,0,91.798,91.851,91.798,91.792
77,2,0,92.429,92.529,92.429,92.42
78,2,0,92.429,92.529,92.429,92.42
79,2,0,92.114,92.24,92.114,92.102
80,2,0,92.114,92.24,92.114,92.102
81,2,0,92.114,92.188,92.114,92.106
82,2,0,91.798,91.896,91.798,91.788
83,2,0,92.114,92.24,92.114,92.102
84,2,0,92.114,92.24,92.114,92.102
85,2,0,91.798,91.896,91.798,91.788
86,2,0,91.798,91.896,91.798,91.788
87,2,0,92.744,92.941,92.744,92.73
88,2,0,92.744,92.941,92.744,92.73
89,2,0,93.06,93.297,93.06,93.044
90,2,0,93.06,93.297,93.06,93.044
91,2,0,93.06,93.297,93.06,93.044
92,2,0,93.06,93.297,93.06,93.044
93,2,0,93.375,93.658,93.375,93.358
94,2,0,93.375,93.658,93.375,93.358
95,2,0,93.375,93.658,93.375,93.358
96,2,0,93.06,93.297,93.06,93.044
97,2,0,93.06,93.297,93.06,93.044
98,2,0,93.06,93.297,93.06,93.044
99,2,0,93.06,93.297,93.06,93.044
100,2,0,93.06,93.297,93.06,93.044
0,2,1,89.274,89.314,89.274,89.262
1,2,1,90.221,90.282,90.221,90.207
2,2,1,91.798,91.945,91.798,91.779
3,2,1,92.114,92.182,92.114,92.103
4,2,1,91.483,91.549,91.483,91.471
5,2,1,91.483,91.549,91.483,91.471
6,2,1,91.483,91.549,91.483,91.471
7,2,1,91.483,91.513,91.483,91.475
8,2,1,92.744,92.754,92.744,92.741
9,2,1,92.429,92.429,92.429,92.429
10,2,1,92.429,92.44,92.429,92.431
11,2,1,92.429,92.429,92.429,92.429
12,2,1,92.114,92.113,92.114,92.112
13,2,1,92.114,92.117,92.114,92.115
14,2,1,91.798,91.809,91.798,91.8
15,2,1,92.429,92.429,92.429,92.429
16,2,1,92.429,92.44,92.429,92.431
17,2,1,92.744,92.748,92.744,92.745
18,2,1,91.483,91.535,91.483,91.486
19,2,1,92.114,92.117,92.114,92.115
20,2,1,91.167,91.203,91.167,91.17
21,2,1,91.483,91.504,91.483,91.485
22,2,1,88.959,89.259,88.959,88.959
23,2,1,89.274,89.459,89.274,89.278
24,2,1,88.959,89.178,88.959,88.961
25,2,1,89.905,90.028,89.905,89.909
26,2,1,89.59,89.742,89.59,89.594
27,2,1,90.852,90.904,90.852,90.855
28,2,1,91.483,91.504,91.483,91.485
29,2,1,92.429,92.429,92.429,92.429
30,2,1,92.744,92.748,92.744,92.745
31,2,1,92.744,92.748,92.744,92.745
32,2,1,92.429,92.44,92.429,92.431
33,2,1,92.429,92.429,92.429,92.429
34,2,1,92.114,92.117,92.114,92.115
35,2,1,92.114,92.123,92.114,92.11
36,2,1,91.798,91.816,91.798,91.793
37,2,1,92.114,92.123,92.114,92.11
38,2,1,92.114,92.123,92.114,92.11
39,2,1,92.114,92.123,92.114,92.11
40,2,1,92.114,92.123,92.114,92.11
41,2,1,92.114,92.123,92.114,92.11
42,2,1,91.798,91.816,91.798,91.793
43,2,1,92.114,92.123,92.114,92.11
44,2,1,91.798,91.816,91.798,91.793
45,2,1,91.798,91.816,91.798,91.793
46,2,1,92.114,92.123,92.114,92.11
47,2,1,92.114,92.123,92.114,92.11
48,2,1,92.114,92.123,92.114,92.11
49,2,1,92.114,92.123,92.114,92.11
50,2,1,92.114,92.123,92.114,92.11
51,2,1,92.114,92.123,92.114,92.11
52,2,1,92.114,92.123,92.114,92.11
53,2,1,92.114,92.123,92.114,92.11
54,2,1,92.114,92.123,92.114,92.11
55,2,1,92.114,92.123,92.114,92.11
56,2,1,92.114,92.117,92.114,92.115
57,2,1,91.483,91.487,91.483,91.484
58,2,1,89.59,89.612,89.59,89.593
59,2,1,89.274,89.311,89.274,89.278
60,2,1,90.536,90.609,90.536,90.54
61,2,1,91.167,91.203,91.167,91.17
62,2,1,91.167,91.203,91.167,91.17
63,2,1,90.852,90.873,90.852,90.854
64,2,1,90.852,90.873,90.852,90.854
65,2,1,90.852,90.873,90.852,90.854
66,2,1,91.167,91.203,91.167,91.17
67,2,1,91.167,91.203,91.167,91.17
68,2,1,92.429,92.429,92.429,92.429
69,2,1,92.744,92.744,92.744,92.743
70,2,1,92.744,92.744,92.744,92.743
71,2,1,92.744,92.744,92.744,92.743
72,2,1,92.744,92.744,92.744,92.743
73,2,1,92.744,92.744,92.744,92.743
74,2,1,92.114,92.117,92.114,92.115
75,2,1,92.744,92.765,92.744,92.747
76,2,1,91.798,91.871,91.798,91.802
77,2,1,92.744,92.765,92.744,92.747
78,2,1,91.483,91.535,91.483,91.486
79,2,1,92.114,92.135,92.114,92.116
80,2,1,92.744,92.765,92.744,92.747
81,2,1,92.114,92.117,92.114,92.115
82,2,1,92.114,92.117,92.114,92.115
83,2,1,92.429,92.429,92.429,92.429
84,2,1,92.114,92.117,92.114,92.115
85,2,1,92.429,92.429,92.429,92.429
86,2,1,92.114,92.117,92.114,92.115
87,2,1,92.429,92.429,92.429,92.429
88,2,1,92.114,92.117,92.114,92.115
89,2,1,92.429,92.429,92.429,92.429
90,2,1,92.114,92.135,92.114,92.116
91,2,1,92.114,92.117,92.114,92.115
92,2,1,91.798,91.809,91.798,91.8
93,2,1,92.114,92.117,92.114,92.115
94,2,1,91.798,91.809,91.798,91.8
95,2,1,91.798,91.809,91.798,91.8
96,2,1,91.483,91.487,91.483,91.484
97,2,1,91.798,91.798,91.798,91.798
98,2,1,91.167,91.167,91.167,91.167
99,2,1,91.167,91.167,91.167,91.167
100,2,1,91.167,91.178,91.167,91.169
0,2,2,91.483,91.753,91.483,91.463
1,2,2,93.375,93.51,93.375,93.367
2,2,2,91.483,91.558,91.483,91.476
3,2,2,91.483,91.52,91.483,91.478
4,2,2,92.429,92.591,92.429,92.418
5,2,2,92.744,92.876,92.744,92.735
6,2,2,92.114,92.243,92.114,92.104
7,2,2,92.429,92.591,92.429,92.418
8,2,2,91.798,91.899,91.798,91.79
9,2,2,92.114,92.309,92.114,92.1
10,2,2,90.221,90.571,90.221,90.192
11,2,2,89.274,89.77,89.274,89.23
12,2,2,88.644,89.381,88.644,88.576
13,2,2,87.697,88.633,87.697,87.605
14,2,2,86.751,88.084,86.751,86.611
15,2,2,87.382,88.557,87.382,87.264
16,2,2,86.435,87.85,86.435,86.283
17,2,2,86.751,88.084,86.751,86.611
18,2,2,87.066,88.509,87.066,86.921
19,2,2,87.697,88.974,87.697,87.575
20,2,2,87.382,88.74,87.382,87.248
21,2,2,87.697,88.974,87.697,87.575
22,2,2,88.328,89.629,88.328,88.212
23,2,2,88.328,89.448,88.328,88.227
24,2,2,89.274,90.026,89.274,89.211
25,2,2,90.536,91.051,90.536,90.497
26,2,2,91.167,91.479,91.167,91.144
27,2,2,92.114,92.389,92.114,92.095
28,2,2,92.114,92.243,92.114,92.104
29,2,2,91.483,91.753,91.483,91.463
30,2,2,92.429,92.591,92.429,92.418
31,2,2,93.06,93.165,93.06,93.053
32,2,2,93.06,93.165,93.06,93.053
33,2,2,92.429,92.485,92.429,92.424
34,2,2,92.429,92.485,92.429,92.424
35,2,2,92.744,92.823,92.744,92.738
36,2,2,92.744,92.783,92.744,92.741
37,2,2,92.744,92.823,92.744,92.738
38,2,2,93.06,93.085,93.06,93.057
39,2,2,92.429,92.532,92.429,92.421
40,2,2,92.744,92.783,92.744,92.741
41,2,2,93.06,93.085,93.06,93.057
42,2,2,93.06,93.085,93.06,93.057
43,2,2,93.06,93.085,93.06,93.057
44,2,2,93.06,93.085,93.06,93.057
45,2,2,92.744,92.783,92.744,92.741
46,2,2,93.06,93.118,93.06,93.055
47,2,2,93.06,93.085,93.06,93.057
48,2,2,93.06,93.085,93.06,93.057
49,2,2,93.06,93.085,93.06,93.057
50,2,2,92.744,92.783,92.744,92.741
51,2,2,92.744,92.783,92.744,92.741
52,2,2,92.744,92.783,92.744,92.741
53,2,2,92.429,92.485,92.429,92.424
54,2,2,93.06,93.085,93.06,93.057
55,2,2,93.375,93.389,93.375,93.374
56,2,2,92.744,92.745,92.744,92.744
57,2,2,93.691,93.697,93.691,93.69
58,2,2,93.691,93.697,93.691,93.69
59,2,2,93.691,93.716,93.691,93.689
60,2,2,93.691,93.691,93.691,93.691
61,2,2,93.375,93.376,93.375,93.375
62,2,2,92.744,92.745,92.744,92.744
63,2,2,93.06,93.065,93.06,93.059
64,2,2,93.06,93.065,93.06,93.059
65,2,2,93.06,93.065,93.06,93.059
66,2,2,93.06,93.065,93.06,93.059
67,2,2,93.06,93.065,93.06,93.059
68,2,2,92.744,92.745,92.744,92.744
69,2,2,93.06,93.065,93.06,93.059
70,2,2,92.429,92.429,92.429,92.429
71,2,2,92.744,92.758,92.744,92.743
72,2,2,92.429,92.434,92.429,92.428
73,2,2,92.429,92.434,92.429,92.428
74,2,2,92.114,92.126,92.114,92.112
75,2,2,92.744,92.783,92.744,92.741
76,2,2,92.429,92.485,92.429,92.424
77,2,2,92.429,92.485,92.429,92.424
78,2,2,92.429,92.485,92.429,92.424
79,2,2,92.429,92.485,92.429,92.424
80,2,2,92.744,92.783,92.744,92.741
81,2,2,92.429,92.485,92.429,92.424
82,2,2,92.429,92.485,92.429,92.424
83,2,2,92.429,92.532,92.429,92.421
84,2,2,91.798,91.957,91.798,91.786
85,2,2,91.798,91.957,91.798,91.786
86,2,2,92.114,92.309,92.114,92.1
87,2,2,92.114,92.309,92.114,92.1
88,2,2,92.114,92.309,92.114,92.1
89,2,2,92.114,92.309,92.114,92.1
90,2,2,92.114,92.309,92.114,92.1
91,2,2,92.114,92.309,92.114,92.1
92,2,2,92.429,92.591,92.429,92.418
93,2,2,92.114,92.309,92.114,92.1
94,2,2,92.429,92.591,92.429,92.418
95,2,2,92.114,92.309,92.114,92.1
96,2,2,92.429,92.591,92.429,92.418
97,2,2,92.429,92.665,92.429,92.414
98,2,2,92.744,92.944,92.744,92.732
99,2,2,92.744,92.944,92.744,92.732
100,2,2,92.429,92.665,92.429,92.414
0,5,0,88.959,89.024,88.959,88.948
1,5,0,89.59,89.59,89.59,89.589
2,5,0,91.798,91.896,91.798,91.788
3,5,0,92.429,92.484,92.429,92.423
4,5,0,91.483,91.671,91.483,91.466
5,5,0,91.798,91.896,91.798,91.788
6,5,0,90.852,91.113,90.852,90.828
7,5,0,91.483,91.671,91.483,91.466
8,5,0,90.536,90.838,90.536,90.508
9,5,0,91.798,92.026,91.798,91.779
10,5,0,91.167,91.263,91.167,91.157
11,5,0,91.798,91.896,91.798,91.788
12,5,0,91.483,91.518,91.483,91.478
13,5,0,91.798,91.82,91.798,91.795
14,5,0,92.114,92.125,92.114,92.111
15,5,0,92.114,92.125,92.114,92.111
16,5,0,91.798,91.798,91.798,91.798
17,5,0,92.114,92.116,92.114,92.114
18,5,0,92.744,92.745,92.744,92.744
19,5,0,92.114,92.114,92.114,92.113
20,5,0,91.167,91.167,91.167,91.167
21,5,0,91.798,91.802,91.798,91.797
22,5,0,91.483,91.483,91.483,91.482
23,5,0,91.483,91.483,91.483,91.482
24,5,0,91.167,91.167,91.167,91.167
25,5,0,91.167,91.167,91.167,91.167
26,5,0,91.798,91.802,91.798,91.797
27,5,0,91.798,91.82,91.798,91.795
28,5,0,91.167,91.189,91.167,91.163
29,5,0,91.483,91.556,91.483,91.474
30,5,0,91.483,91.556,91.483,91.474
31,5,0,91.798,91.851,91.798,91.792
32,5,0,91.483,91.556,91.483,91.474
33,5,0,92.114,92.188,92.114,92.106
34,5,0,92.429,92.484,92.429,92.423
35,5,0,92.114,92.15,92.114,92.109
36,5,0,92.429,92.484,92.429,92.423
37,5,0,92.429,92.589,92.429,92.416
38,5,0,92.429,92.589,92.429,92.416
39,5,0,92.744,92.821,92.744,92.737
40,5,0,93.06,93.162,93.06,93.052
0,5,1,89.274,89.314,89.274,89.262
1,5,1,90.536,90.58,90.536,90.526
2,5,1,91.167,91.31,91.167,91.147
3,5,1,91.798,91.945,91.798,91.779
4,5,1,88.644,89.1,88.644,88.58
5,5,1,88.328,88.956,88.328,88.244
6,5,1,83.912,85.333,83.912,83.663
7,5,1,86.12,87.037,86.12,85.978
8,5,1,91.167,91.558,91.167,91.126
9,5,1,90.536,91.027,90.536,90.483
10,5,1,90.221,90.765,90.221,90.161
11,5,1,91.798,92.439,91.798,91.744
12,5,1,91.798,92.015,91.798,91.773
13,5,1,91.167,91.461,91.167,91.134
