iter,step,fold,acc,prec,rec,f1score
0,2,0,88.959,89.024,88.959,88.948
1,2,0,89.905,89.909,89.905,89.904
2,2,0,89.59,89.59,89.59,89.589
3,2,0,89.905,89.909,89.905,89.904
4,2,0,90.221,90.221,90.221,90.22
5,2,0,89.905,89.915,89.905,89.906
6,2,0,89.905,89.915,89.905,89.906
7,2,0,89.905,89.915,89.905,89.906
8,2,0,90.536,90.602,90.536,90.537
9,2,0,90.221,90.224,90.221,90.221
10,2,0,89.59,89.608,89.59,89.591
11,2,0,90.852,90.855,90.852,90.852
12,2,0,90.852,90.855,90.852,90.852
13,2,0,90.852,90.855,90.852,90.852
14,2,0,91.167,91.176,91.167,91.168
15,2,0,91.167,91.176,91.167,91.168
16,2,0,90.536,90.536,90.536,90.536
17,2,0,94.637,94.638,94.637,94.637
18,2,0,93.691,93.696,93.691,93.69
19,2,0,93.691,93.696,93.691,93.69
20,2,0,94.006,94.009,94.006,94.007
21,2,0,94.006,94.009,94.006,94.007
22,2,0,92.744,92.747,92.744,92.745
23,2,0,93.06,93.065,93.06,93.059
24,2,0,93.06,93.06,93.06,93.06
25,2,0,94.322,94.347,94.322,94.319
26,2,0,94.953,94.953,94.953,94.953
27,2,0,94.637,94.651,94.637,94.636
28,2,0,94.637,94.651,94.637,94.636
29,2,0,94.637,94.651,94.637,94.636
30,2,0,94.953,94.961,94.953,94.953
31,2,0,95.584,95.584,95.584,95.584
32,2,0,95.268,95.269,95.268,95.268
33,2,0,95.584,95.584,95.584,95.584
34,2,0,94.637,94.64,94.637,94.638
35,2,0,95.584,95.592,95.584,95.584
36,2,0,95.899,95.914,95.899,95.898
37,2,0,95.899,95.914,95.899,95.898
38,2,0,95.899,95.9,95.899,95.899
39,2,0,95.584,95.592,95.584,95.584
40,2,0,95.584,95.584,95.584,95.584
41,2,0,95.899,95.9,95.899,95.899
42,2,0,95.584,95.59,95.584,95.583
43,2,0,96.53,96.532,96.53,96.53
44,2,0,96.53,96.545,96.53,96.529
45,2,0,96.215,96.278,96.215,96.212
46,2,0,96.53,96.574,96.53,96.528
47,2,0,96.53,96.574,96.53,96.528
48,2,0,96.53,96.574,96.53,96.528
49,2,0,97.476,97.483,97.476,97.476
50,2,0,96.53,96.531,96.53,96.53
51,2,0,95.584,95.592,95.584,95.584
52,2,0,95.268,95.271,95.268,95.268
53,2,0,95.584,95.592,95.584,95.584
54,2,0,94.953,94.961,94.953,94.953
55,2,0,94.953,94.961,94.953,94.953
56,2,0,95.268,95.271,95.268,95.268
57,2,0,95.584,95.584,95.584,95.584
58,2,0,95.899,95.901,95.899,95.899
59,2,0,96.215,96.215,96.215,96.215
60,2,0,95.899,95.901,95.899,95.899
61,2,0,96.53,96.545,96.53,96.529
62,2,0,97.161,97.177,97.161,97.16
63,2,0,96.53,96.545,96.53,96.529
64,2,0,97.476,97.483,97.476,97.476
65,2,0,97.161,97.162,97.161,97.161
66,2,0,96.845,96.852,96.845,96.845
67,2,0,96.845,96.852,96.845,96.845
68,2,0,97.161,97.163,97.161,97.161
69,2,0,96.845,96.845,96.845,96.845
70,2,0,97.161,97.162,97.161,97.161
71,2,0,96.845,96.845,96.845,96.845
72,2,0,96.845,96.852,96.845,96.845
73,2,0,96.845,96.852,96.845,96.845
74,2,0,96.53,96.531,96.53,96.53
75,2,0,96.53,96.531,96.53,96.53
76,2,0,96.215,96.221,96.215,96.214
77,2,0,96.53,96.531,96.53,96.53
78,2,0,96.53,96.545,96.53,96.529
79,2,0,96.53,96.545,96.53,96.529
80,2,0,96.215,96.221,96.215,96.214
81,2,0,96.845,96.852,96.845,96.845
82,2,0,96.53,96.531,96.53,96.53
83,2,0,96.53,96.531,96.53,96.53
84,2,0,96.215,96.215,96.215,96.215
85,2,0,95.268,95.286,95.268,95.269
86,2,0,95.584,95.592,95.584,95.584
87,2,0,95.584,95.592,95.584,95.584
88,2,0,96.215,96.215,96.215,96.215
89,2,0,95.899,95.901,95.899,95.899
90,2,0,95.268,95.286,95.268,95.269
91,2,0,95.584,95.615,95.584,95.584
92,2,0,95.268,95.286,95.268,95.269
93,2,0,95.899,95.917,95.899,95.9
94,2,0,95.899,95.917,95.899,95.9
95,2,0,95.899,95.901,95.899,95.899
96,2,0,95.584,95.592,95.584,95.584
97,2,0,95.584,95.592,95.584,95.584
98,2,0,96.215,96.223,96.215,96.215
99,2,0,95.899,95.901,95.899,95.899
100,2,0,95.899,95.901,95.899,95.899
0,2,1,89.274,89.314,89.274,89.262
1,2,1,90.221,90.282,90.221,90.207
2,2,1,89.905,89.947,89.905,89.894
3,2,1,90.536,90.58,90.536,90.526
4,2,1,91.483,91.549,91.483,91.471
5,2,1,91.483,91.549,91.483,91.471
6,2,1,91.483,91.513,91.483,91.475
7,2,1,91.798,91.846,91.798,91.789
8,2,1,92.114,92.145,92.114,92.106
9,2,1,92.744,92.744,92.744,92.743
10,2,1,93.06,93.06,93.06,93.06
11,2,1,93.691,93.695,93.691,93.689
12,2,1,94.953,94.953,94.953,94.953
13,2,1,95.584,95.593,95.584,95.585
14,2,1,94.953,94.957,94.953,94.951
15,2,1,94.953,94.957,94.953,94.951
16,2,1,95.268,95.281,95.268,95.266
17,2,1,95.268,95.269,95.268,95.267
18,2,1,94.637,94.649,94.637,94.635
19,2,1,94.953,94.957,94.953,94.951
20,2,1,95.268,95.269,95.268,95.267
21,2,1,95.268,95.307,95.268,95.264
22,2,1,94.322,94.322,94.322,94.322
23,2,1,95.584,95.584,95.584,95.584
24,2,1,95.584,95.584,95.584,95.584
25,2,1,95.268,95.269,95.268,95.267
26,2,1,94.953,94.957,94.953,94.951
27,2,1,95.584,95.584,95.584,95.584
28,2,1,95.268,95.269,95.268,95.267
29,2,1,95.899,95.902,95.899,95.9
30,2,1,95.268,95.288,95.268,95.27
31,2,1,94.953,94.987,94.953,94.954
32,2,1,95.268,95.288,95.268,95.27
33,2,1,95.899,95.902,95.899,95.9
34,2,1,94.953,94.953,94.953,94.953
35,2,1,94.637,94.638,94.637,94.636
36,2,1,95.584,95.589,95.584,95.582
37,2,1,95.584,95.589,95.584,95.582
38,2,1,94.953,94.953,94.953,94.953
39,2,1,96.215,96.215,96.215,96.215
40,2,1,95.899,95.902,95.899,95.9
41,2,1,95.899,95.902,95.899,95.9
42,2,1,96.53,96.549,96.53,96.531
43,2,1,96.53,96.549,96.53,96.531
44,2,1,95.584,95.593,95.584,95.585
45,2,1,95.584,95.593,95.584,95.585
46,2,1,96.845,96.855,96.845,96.846
47,2,1,95.899,95.902,95.899,95.9
48,2,1,96.215,96.248,96.215,96.216
49,2,1,96.215,96.248,96.215,96.216
50,2,1,95.899,95.902,95.899,95.9
51,2,1,97.161,97.163,97.161,97.161
52,2,1,96.53,96.533,96.53,96.53
53,2,1,96.53,96.533,96.53,96.53
54,2,1,96.845,96.845,96.845,96.845
55,2,1,96.845,96.855,96.845,96.846
56,2,1,96.845,96.845,96.845,96.845
57,2,1,96.215,96.224,96.215,96.215
58,2,1,96.215,96.224,96.215,96.215
59,2,1,96.215,96.224,96.215,96.215
60,2,1,96.215,96.224,96.215,96.215
61,2,1,95.584,95.593,95.584,95.585
62,2,1,95.584,95.593,95.584,95.585
63,2,1,95.584,95.593,95.584,95.585
64,2,1,95.584,95.593,95.584,95.585
65,2,1,95.584,95.593,95.584,95.585
66,2,1,95.584,95.593,95.584,95.585
67,2,1,96.215,96.215,96.215,96.215
68,2,1,95.584,95.593,95.584,95.585
69,2,1,96.215,96.215,96.215,96.215
70,2,1,94.322,94.326,94.322,94.32
71,2,1,95.268,95.281,95.268,95.266
72,2,1,95.899,95.996,95.899,95.901
73,2,1,95.268,95.319,95.268,95.27
74,2,1,95.899,95.902,95.899,95.9
75,2,1,95.899,95.9,95.899,95.898
76,2,1,95.584,95.593,95.584,95.585
77,2,1,95.584,95.593,95.584,95.585
78,2,1,95.899,95.902,95.899,95.9
79,2,1,95.899,95.919,95.899,95.9
80,2,1,95.268,95.288,95.268,95.27
81,2,1,95.899,95.902,95.899,95.9
82,2,1,96.215,96.224,96.215,96.215
83,2,1,96.53,96.549,96.53,96.531
84,2,1,96.215,96.224,96.215,96.215
85,2,1,96.215,96.224,96.215,96.215
86,2,1,96.215,96.224,96.215,96.215
87,2,1,95.899,95.902,95.899,95.9
88,2,1,96.215,96.224,96.215,96.215
89,2,1,95.584,95.593,95.584,95.585
90,2,1,95.899,95.919,95.899,95.9
91,2,1,95.584,95.589,95.584,95.582
92,2,1,95.899,95.95,95.899,95.901
93,2,1,96.53,96.549,96.53,96.531
94,2,1,96.215,96.224,96.215,96.215
95,2,1,96.215,96.248,96.215,96.216
96,2,1,95.899,95.919,95.899,95.9
97,2,1,95.584,95.593,95.584,95.585
98,2,1,96.215,96.224,96.215,96.215
99,2,1,95.899,95.9,95.899,95.898
100,2,1,95.584,95.584,95.584,95.584
0,2,2,91.483,91.753,91.483,91.463
1,2,2,93.375,93.51,93.375,93.367
2,2,2,93.691,93.798,93.691,93.684
3,2,2,93.06,93.118,93.06,93.055
4,2,2,93.691,93.716,93.691,93.689
5,2,2,94.006,94.088,94.006,94.001
6,2,2,94.637,94.721,94.637,94.633
7,2,2,94.953,95.014,94.953,94.949
8,2,2,95.268,95.311,95.268,95.266
9,2,2,95.899,95.914,95.899,95.898
10,2,2,96.53,96.546,96.53,96.529
11,2,2,95.584,95.611,95.584,95.582
12,2,2,95.268,95.283,95.268,95.267
13,2,2,95.584,95.59,95.584,95.583
14,2,2,95.584,95.611,95.584,95.582
15,2,2,95.268,95.283,95.268,95.267
16,2,2,95.268,95.283,95.268,95.267
17,2,2,95.268,95.283,95.268,95.267
18,2,2,96.53,96.546,96.53,96.529
19,2,2,96.53,96.546,96.53,96.529
20,2,2,96.215,96.221,96.215,96.214
21,2,2,95.899,95.9,95.899,95.899
22,2,2,95.899,95.914,95.899,95.898
23,2,2,96.215,96.221,96.215,96.214
24,2,2,96.215,96.221,96.215,96.214
25,2,2,96.215,96.221,96.215,96.214
26,2,2,95.899,95.914,95.899,95.898
27,2,2,95.584,95.611,95.584,95.582
28,2,2,95.899,95.9,95.899,95.899
29,2,2,94.637,94.638,94.637,94.637
30,2,2,94.953,94.959,94.953,94.952
31,2,2,94.637,94.638,94.637,94.637
32,2,2,94.322,94.322,94.322,94.322
33,2,2,94.953,94.953,94.953,94.953
34,2,2,95.584,95.59,95.584,95.583
35,2,2,95.584,95.59,95.584,95.583
36,2,2,95.584,95.59,95.584,95.583
37,2,2,95.584,95.59,95.584,95.583
38,2,2,96.215,96.221,96.215,96.214
39,2,2,95.899,95.9,95.899,95.899
40,2,2,95.584,95.59,95.584,95.583
41,2,2,95.268,95.283,95.268,95.267
42,2,2,96.845,96.852,96.845,96.845
43,2,2,95.268,95.269,95.268,95.268
44,2,2,95.584,95.592,95.584,95.584
45,2,2,96.53,96.546,96.53,96.529
46,2,2,94.953,94.983,94.953,94.953
47,2,2,95.584,95.592,95.584,95.584
48,2,2,95.268,95.316,95.268,95.268
49,2,2,95.899,95.917,95.899,95.899
50,2,2,96.53,96.548,96.53,96.53
51,2,2,95.584,95.592,95.584,95.584
52,2,2,95.899,95.901,95.899,95.899
53,2,2,95.584,95.592,95.584,95.584
54,2,2,95.584,95.592,95.584,95.584
55,2,2,96.53,96.532,96.53,96.53
56,2,2,97.476,97.476,97.476,97.476
57,2,2,97.476,97.476,97.476,97.476
58,2,2,97.476,97.476,97.476,97.476
59,2,2,97.792,97.808,97.792,97.791
60,2,2,97.792,97.793,97.792,97.792
61,2,2,97.792,97.794,97.792,97.792
62,2,2,97.161,97.163,97.161,97.161
63,2,2,96.215,96.283,96.215,96.214
64,2,2,97.161,97.209,97.161,97.161
65,2,2,97.476,97.484,97.476,97.476
66,2,2,97.161,97.179,97.161,97.161
67,2,2,96.53,96.578,96.53,96.53
68,2,2,95.899,95.992,95.899,95.898
69,2,2,96.53,96.578,96.53,96.53
70,2,2,95.899,95.992,95.899,95.898
71,2,2,96.53,96.623,96.53,96.529
72,2,2,97.161,97.179,97.161,97.161
73,2,2,97.161,97.209,97.161,97.161
74,2,2,96.845,96.877,96.845,96.846
75,2,2,96.845,96.877,96.845,96.846
76,2,2,96.53,96.578,96.53,96.53
77,2,2,96.845,96.877,96.845,96.846
78,2,2,96.845,96.877,96.845,96.846
79,2,2,96.845,96.877,96.845,96.846
80,2,2,96.845,96.877,96.845,96.846
81,2,2,96.845,96.877,96.845,96.846
82,2,2,95.268,95.316,95.268,95.268
83,2,2,95.899,95.917,95.899,95.899
84,2,2,95.584,95.592,95.584,95.584
85,2,2,97.476,97.484,97.476,97.476
86,2,2,96.845,96.877,96.845,96.846
87,2,2,96.845,96.877,96.845,96.846
88,2,2,96.845,96.877,96.845,96.846
89,2,2,97.161,97.209,97.161,97.161
90,2,2,97.161,97.209,97.161,97.161
91,2,2,97.476,97.476,97.476,97.476
92,2,2,97.161,97.179,97.161,97.161
93,2,2,97.792,97.794,97.792,97.792
94,2,2,96.845,96.914,96.845,96.845
95,2,2,96.845,96.914,96.845,96.845
96,2,2,96.845,96.914,96.845,96.845
97,2,2,97.161,97.209,97.161,97.161
98,2,2,97.476,97.484,97.476,97.476
99,2,2,97.161,97.179,97.161,97.161
100,2,2,97.792,97.794,97.792,97.792
0,5,0,88.959,89.024,88.959,88.948
1,5,0,89.59,89.59,89.59,89.589
2,5,0,89.274,89.278,89.274,89.273
3,5,0,89.274,89.294,89.274,89.27
4,5,0,90.852,90.863,90.852,90.849
5,5,0,91.483,91.483,91.483,91.482
6,5,0,90.852,90.863,90.852,90.849
7,5,0,91.483,91.485,91.483,91.483
8,5,0,91.167,91.167,91.167,91.167
9,5,0,91.167,91.198,91.167,91.168
10,5,0,91.483,91.53,91.483,91.483
11,5,0,92.429,92.46,92.429,92.43
12,5,0,92.429,92.46,92.429,92.43
13,5,0,92.429,92.46,92.429,92.43
14,5,0,94.953,94.979,94.953,94.95
15,5,0,95.899,95.942,95.899,95.897
16,5,0,95.899,95.9,95.899,95.899
17,5,0,95.899,95.985,95.899,95.895
18,5,0,96.53,96.574,96.53,96.528
19,5,0,96.845,96.852,96.845,96.845
20,5,0,95.584,95.592,95.584,95.584
21,5,0,96.215,96.221,96.215,96.214
22,5,0,95.584,95.584,95.584,95.584
23,5,0,95.268,95.282,95.268,95.267
24,5,0,94.953,94.953,94.953,94.953
25,5,0,96.215,96.242,96.215,96.213
26,5,0,94.953,94.958,94.953,94.952
27,5,0,95.899,95.942,95.899,95.897
28,5,0,95.584,95.61,95.584,95.582
29,5,0,95.268,95.269,95.268,95.268
30,5,0,95.899,95.9,95.899,95.899
31,5,0,96.845,96.874,96.845,96.844
32,5,0,94.006,94.054,94.006,94.007
33,5,0,95.899,95.914,95.899,95.898
34,5,0,95.584,95.615,95.584,95.584
35,5,0,95.584,95.615,95.584,95.584
36,5,0,95.584,95.592,95.584,95.584
37,5,0,96.215,96.215,96.215,96.215
38,5,0,94.322,94.347,94.322,94.319
39,5,0,95.899,95.914,95.899,95.898
40,5,0,96.215,96.215,96.215,96.215
0,5,1,89.274,89.314,89.274,89.262
1,5,1,90.536,90.58,90.536,90.526
2,5,1,91.798,91.809,91.798,91.8
3,5,1,92.114,92.135,92.114,92.116
4,5,1,92.429,92.464,92.429,92.432
5,5,1,92.744,92.796,92.744,92.747
6,5,1,92.114,92.166,92.114,92.117
7,5,1,91.798,91.922,91.798,91.801
8,5,1,91.798,91.922,91.798,91.801
9,5,1,91.798,91.922,91.798,91.801
10,5,1,93.375,93.379,93.375,93.376
11,5,1,93.375,93.396,93.375,93.377
12,5,1,94.322,94.332,94.322,94.323
13,5,1,94.006,94.017,94.006,94.003
