iter,step,fold,acc,prec,rec,f1score
0,2,0,94.953,94.958,94.953,94.952
1,2,0,96.215,96.221,96.215,96.214
2,2,0,96.215,96.221,96.215,96.214
3,2,0,93.375,93.524,93.375,93.374
4,2,0,94.637,94.655,94.637,94.638
5,2,0,94.322,94.347,94.322,94.319
6,2,0,94.637,94.651,94.637,94.636
7,2,0,94.953,94.979,94.953,94.95
8,2,0,95.268,95.282,95.268,95.267
9,2,0,94.637,94.651,94.637,94.636
10,2,0,95.268,95.31,95.268,95.265
11,2,0,95.268,95.269,95.268,95.268
12,2,0,95.584,95.59,95.584,95.583
13,2,0,95.268,95.31,95.268,95.265
14,2,0,94.953,94.979,94.953,94.95
15,2,0,94.322,94.322,94.322,94.322
16,2,0,94.322,94.322,94.322,94.322
17,2,0,95.584,95.61,95.584,95.582
18,2,0,95.584,95.59,95.584,95.583
19,2,0,95.268,95.269,95.268,95.268
20,2,0,95.268,95.269,95.268,95.268
21,2,0,95.584,95.59,95.584,95.583
22,2,0,95.584,95.59,95.584,95.583
23,2,0,95.268,95.269,95.268,95.268
24,2,0,95.268,95.269,95.268,95.268
25,2,0,96.53,96.532,96.53,96.53
26,2,0,95.899,95.901,95.899,95.899
27,2,0,95.268,95.271,95.268,95.268
28,2,0,95.268,95.286,95.268,95.269
29,2,0,96.215,96.223,96.215,96.215
30,2,0,95.899,95.917,95.899,95.9
31,2,0,96.215,96.223,96.215,96.215
32,2,0,96.845,96.845,96.845,96.845
33,2,0,96.53,96.579,96.53,96.53
34,2,0,96.53,96.548,96.53,96.53
35,2,0,96.215,96.223,96.215,96.215
36,2,0,95.899,95.917,95.899,95.9
37,2,0,96.215,96.246,96.215,96.215
38,2,0,96.215,96.223,96.215,96.215
39,2,0,96.53,96.532,96.53,96.53
40,2,0,95.899,95.901,95.899,95.899
41,2,0,96.215,96.223,96.215,96.215
42,2,0,96.53,96.532,96.53,96.53
43,2,0,96.53,96.548,96.53,96.53
44,2,0,96.845,96.854,96.845,96.846
45,2,0,97.161,97.163,97.161,97.161
46,2,0,97.161,97.163,97.161,97.161
47,2,0,96.845,96.854,96.845,96.846
48,2,0,96.845,96.845,96.845,96.845
49,2,0,96.845,96.854,96.845,96.846
50,2,0,96.845,96.845,96.845,96.845
51,2,0,96.53,96.548,96.53,96.53
52,2,0,96.53,96.532,96.53,96.53
53,2,0,96.845,96.854,96.845,96.846
54,2,0,96.53,96.548,96.53,96.53
55,2,0,96.215,96.223,96.215,96.215
56,2,0,96.215,96.223,96.215,96.215
57,2,0,95.584,95.615,95.584,95.584
58,2,0,95.899,95.917,95.899,95.9
59,2,0,96.845,96.854,96.845,96.846
60,2,0,96.845,96.854,96.845,96.846
61,2,0,96.845,96.854,96.845,96.846
62,2,0,96.53,96.548,96.53,96.53
63,2,0,96.215,96.223,96.215,96.215
64,2,0,96.845,96.854,96.845,96.846
65,2,0,96.53,96.548,96.53,96.53
66,2,0,96.53,96.548,96.53,96.53
67,2,0,96.845,96.854,96.845,96.846
68,2,0,96.845,96.854,96.845,96.846
69,2,0,96.845,96.854,96.845,96.846
70,2,0,96.845,96.854,96.845,96.846
71,2,0,96.53,96.548,96.53,96.53
72,2,0,96.53,96.548,96.53,96.53
73,2,0,96.845,96.854,96.845,96.846
74,2,0,97.161,97.163,97.161,97.161
75,2,0,97.161,97.163,97.161,97.161
76,2,0,96.845,96.854,96.845,96.846
77,2,0,97.161,97.163,97.161,97.161
78,2,0,97.476,97.485,97.476,97.477
79,2,0,97.161,97.179,97.161,97.161
80,2,0,96.845,96.854,96.845,96.846
81,2,0,96.845,96.854,96.845,96.846
82,2,0,96.845,96.854,96.845,96.846
83,2,0,97.161,97.179,97.161,97.161
84,2,0,96.845,96.854,96.845,96.846
85,2,0,96.845,96.854,96.845,96.846
86,2,0,97.161,97.179,97.161,97.161
87,2,0,97.161,97.179,97.161,97.161
88,2,0,96.845,96.854,96.845,96.846
89,2,0,96.53,96.548,96.53,96.53
90,2,0,97.161,97.179,97.161,97.161
91,2,0,96.845,96.854,96.845,96.846
92,2,0,96.53,96.548,96.53,96.53
93,2,0,96.845,96.854,96.845,96.846
94,2,0,96.845,96.854,96.845,96.846
95,2,0,96.845,96.854,96.845,96.846
96,2,0,96.845,96.854,96.845,96.846
97,2,0,96.845,96.854,96.845,96.846
98,2,0,97.161,97.179,97.161,97.161
99,2,0,97.161,97.179,97.161,97.161
100,2,0,96.845,96.854,96.845,96.846
0,2,1,95.268,95.281,95.268,95.266
1,2,1,94.953,94.976,94.953,94.949
2,2,1,94.953,94.976,94.953,94.949
3,2,1,94.322,94.377,94.322,94.315
4,2,1,94.006,94.043,94.006,94.001
5,2,1,94.637,94.638,94.637,94.636
6,2,1,95.268,95.281,95.268,95.266
7,2,1,95.899,95.912,95.899,95.897
8,2,1,95.584,95.608,95.584,95.581
9,2,1,95.899,95.912,95.899,95.897
10,2,1,95.584,95.608,95.584,95.581
11,2,1,94.953,95.01,94.953,94.947
12,2,1,95.268,95.307,95.268,95.264
13,2,1,96.53,96.531,96.53,96.529
14,2,1,96.215,96.22,96.215,96.213
15,2,1,96.53,96.531,96.53,96.529
16,2,1,96.53,96.531,96.53,96.529
17,2,1,96.53,96.531,96.53,96.529
18,2,1,96.53,96.531,96.53,96.529
19,2,1,96.845,96.845,96.845,96.845
20,2,1,96.845,96.845,96.845,96.845
21,2,1,96.53,96.531,96.53,96.529
22,2,1,96.53,96.531,96.53,96.529
23,2,1,96.845,96.845,96.845,96.845
24,2,1,96.845,96.845,96.845,96.845
25,2,1,96.215,96.215,96.215,96.215
26,2,1,96.215,96.215,96.215,96.215
27,2,1,95.899,95.902,95.899,95.9
28,2,1,96.215,96.215,96.215,96.215
29,2,1,96.53,96.533,96.53,96.53
30,2,1,96.53,96.533,96.53,96.53
31,2,1,96.215,96.215,96.215,96.215
32,2,1,95.899,95.9,95.899,95.898
33,2,1,96.845,96.855,96.845,96.846
34,2,1,96.53,96.533,96.53,96.53
35,2,1,96.845,96.879,96.845,96.847
36,2,1,96.215,96.248,96.215,96.216
