iter,step,fold,acc,prec,rec,f1score
0,2,0,94.953,94.958,94.953,94.952
1,2,0,94.953,94.958,94.953,94.952
2,2,0,94.953,94.979,94.953,94.95
3,2,0,94.953,94.958,94.953,94.952
4,2,0,94.953,94.958,94.953,94.952
5,2,0,95.584,95.61,95.584,95.582
6,2,0,95.584,95.61,95.584,95.582
7,2,0,95.584,95.61,95.584,95.582
8,2,0,95.268,95.31,95.268,95.265
9,2,0,95.268,95.31,95.268,95.265
10,2,0,95.268,95.31,95.268,95.265
11,2,0,94.953,94.979,94.953,94.95
12,2,0,95.268,95.31,95.268,95.265
13,2,0,94.637,94.651,94.637,94.636
14,2,0,95.584,95.59,95.584,95.583
15,2,0,95.268,95.282,95.268,95.267
16,2,0,95.268,95.282,95.268,95.267
17,2,0,94.953,94.958,94.953,94.952
18,2,0,95.584,95.59,95.584,95.583
19,2,0,95.268,95.282,95.268,95.267
20,2,0,95.584,95.59,95.584,95.583
21,2,0,94.953,94.958,94.953,94.952
22,2,0,95.268,95.282,95.268,95.267
23,2,0,94.953,94.958,94.953,94.952
24,2,0,94.953,94.958,94.953,94.952
25,2,0,94.953,94.958,94.953,94.952
26,2,0,94.953,94.958,94.953,94.952
27,2,0,95.584,95.61,95.584,95.582
28,2,0,95.584,95.61,95.584,95.582
29,2,0,94.322,94.322,94.322,94.322
30,2,0,94.637,94.638,94.637,94.637
31,2,0,95.268,95.282,95.268,95.267
32,2,0,94.953,94.958,94.953,94.952
33,2,0,95.268,95.269,95.268,95.268
34,2,0,94.953,94.953,94.953,94.953
35,2,0,94.953,94.958,94.953,94.952
36,2,0,95.899,95.914,95.899,95.898
37,2,0,94.953,94.958,94.953,94.952
38,2,0,94.953,94.958,94.953,94.952
39,2,0,94.953,94.958,94.953,94.952
40,2,0,95.268,95.282,95.268,95.267
41,2,0,95.268,95.282,95.268,95.267
42,2,0,95.268,95.282,95.268,95.267
43,2,0,95.584,95.61,95.584,95.582
44,2,0,94.953,94.958,94.953,94.952
45,2,0,95.584,95.61,95.584,95.582
46,2,0,95.268,95.282,95.268,95.267
47,2,0,95.268,95.282,95.268,95.267
48,2,0,95.584,95.61,95.584,95.582
49,2,0,95.268,95.282,95.268,95.267
50,2,0,94.953,94.958,94.953,94.952
51,2,0,95.584,95.61,95.584,95.582
52,2,0,95.268,95.282,95.268,95.267
53,2,0,95.584,95.61,95.584,95.582
54,2,0,95.584,95.61,95.584,95.582
55,2,0,95.584,95.61,95.584,95.582
56,2,0,95.584,95.61,95.584,95.582
57,2,0,95.584,95.61,95.584,95.582
58,2,0,95.584,95.61,95.584,95.582
59,2,0,95.268,95.282,95.268,95.267
60,2,0,94.953,94.958,94.953,94.952
61,2,0,94.637,94.638,94.637,94.637
62,2,0,94.322,94.322,94.322,94.322
63,2,0,95.268,95.282,95.268,95.267
64,2,0,95.268,95.282,95.268,95.267
65,2,0,94.637,94.638,94.637,94.637
66,2,0,94.953,94.958,94.953,94.952
67,2,0,95.584,95.61,95.584,95.582
68,2,0,95.268,95.282,95.268,95.267
69,2,0,95.268,95.282,95.268,95.267
70,2,0,94.953,94.958,94.953,94.952
71,2,0,94.953,94.958,94.953,94.952
72,2,0,94.953,94.958,94.953,94.952
73,2,0,95.268,95.282,95.268,95.267
74,2,0,95.268,95.282,95.268,95.267
75,2,0,94.953,94.958,94.953,94.952
76,2,0,95.268,95.282,95.268,95.267
77,2,0,94.953,94.958,94.953,94.952
78,2,0,95.268,95.282,95.268,95.267
79,2,0,94.953,94.958,94.953,94.952
80,2,0,94.953,94.958,94.953,94.952
81,2,0,95.268,95.282,95.268,95.267
82,2,0,94.953,94.958,94.953,94.952
83,2,0,94.953,94.958,94.953,94.952
84,2,0,94.953,94.958,94.953,94.952
85,2,0,94.953,94.958,94.953,94.952
86,2,0,94.953,94.958,94.953,94.952
87,2,0,94.953,94.958,94.953,94.952
88,2,0,94.006,94.009,94.006,94.007
89,2,0,94.953,94.958,94.953,94.952
90,2,0,94.953,94.958,94.953,94.952
91,2,0,94.953,94.958,94.953,94.952
92,2,0,94.637,94.638,94.637,94.637
93,2,0,94.953,94.958,94.953,94.952
94,2,0,94.953,94.958,94.953,94.952
95,2,0,94.953,94.958,94.953,94.952
96,2,0,94.637,94.638,94.637,94.637
97,2,0,94.953,94.958,94.953,94.952
98,2,0,94.953,94.958,94.953,94.952
99,2,0,94.322,94.322,94.322,94.322
100,2,0,94.637,94.638,94.637,94.637
0,2,1,95.268,95.281,95.268,95.266
1,2,1,94.637,94.638,94.637,94.636
2,2,1,94.637,94.638,94.637,94.636
