iter,step,fold,acc,prec,rec,f1score
0,2,0,94.953,94.958,94.953,94.952
1,2,0,95.584,95.61,95.584,95.582
2,2,0,94.953,94.979,94.953,94.95
3,2,0,95.584,95.61,95.584,95.582
4,2,0,95.584,95.61,95.584,95.582
5,2,0,95.584,95.61,95.584,95.582
6,2,0,95.584,95.61,95.584,95.582
7,2,0,95.584,95.61,95.584,95.582
8,2,0,95.899,95.914,95.899,95.898
9,2,0,95.268,95.282,95.268,95.267
10,2,0,95.268,95.282,95.268,95.267
11,2,0,95.584,95.61,95.584,95.582
12,2,0,95.268,95.282,95.268,95.267
13,2,0,95.584,95.61,95.584,95.582
14,2,0,95.268,95.31,95.268,95.265
15,2,0,95.268,95.31,95.268,95.265
16,2,0,95.584,95.61,95.584,95.582
17,2,0,95.268,95.282,95.268,95.267
18,2,0,95.899,95.914,95.899,95.898
19,2,0,95.584,95.61,95.584,95.582
20,2,0,95.268,95.31,95.268,95.265
21,2,0,95.268,95.31,95.268,95.265
22,2,0,94.953,95.013,94.953,94.949
23,2,0,94.953,95.013,94.953,94.949
24,2,0,95.268,95.31,95.268,95.265
25,2,0,94.953,95.013,94.953,94.949
26,2,0,95.268,95.31,95.268,95.265
27,2,0,95.268,95.31,95.268,95.265
28,2,0,95.268,95.31,95.268,95.265
29,2,0,95.268,95.31,95.268,95.265
30,2,0,94.953,95.013,94.953,94.949
31,2,0,94.953,94.979,94.953,94.95
32,2,0,95.268,95.282,95.268,95.267
33,2,0,95.899,95.914,95.899,95.898
34,2,0,95.584,95.61,95.584,95.582
35,2,0,95.584,95.59,95.584,95.583
36,2,0,95.268,95.269,95.268,95.268
37,2,0,95.584,95.584,95.584,95.584
38,2,0,95.268,95.282,95.268,95.267
39,2,0,95.268,95.282,95.268,95.267
40,2,0,95.268,95.282,95.268,95.267
41,2,0,94.953,94.979,94.953,94.95
42,2,0,95.268,95.282,95.268,95.267
43,2,0,95.268,95.282,95.268,95.267
44,2,0,95.268,95.282,95.268,95.267
