iter,step,fold,acc,prec,rec,f1score
0,2,0,88.644,89.24,88.644,88.582
1,2,0,89.59,90.142,89.59,89.538
2,2,0,88.328,88.982,88.328,88.259
3,2,0,88.328,88.859,88.328,88.27
4,2,0,88.013,88.727,88.013,87.936
5,2,0,87.066,88.307,87.066,86.93
6,2,0,87.382,88.728,87.382,87.24
7,2,0,88.013,89.027,88.013,87.909
8,2,0,87.066,88.133,87.066,86.947
9,2,0,88.328,88.982,88.328,88.259
10,2,0,88.013,88.87,88.013,87.923
11,2,0,88.328,89.12,88.328,88.247
12,2,0,88.013,88.87,88.013,87.923
13,2,0,88.013,88.87,88.013,87.923
14,2,0,88.328,89.437,88.328,88.22
15,2,0,88.644,90.043,88.644,88.516
16,2,0,88.013,89.386,88.013,87.878
17,2,0,89.59,91.132,89.59,89.466
18,2,0,88.644,90.47,88.644,88.483
19,2,0,89.274,90.91,89.274,89.139
20,2,0,89.274,90.91,89.274,89.139
21,2,0,89.59,91.132,89.59,89.466
22,2,0,88.959,90.689,88.959,88.812
23,2,0,89.274,90.91,89.274,89.139
24,2,0,89.59,91.132,89.59,89.466
25,2,0,90.221,91.585,90.221,90.118
26,2,0,89.59,91.132,89.59,89.466
27,2,0,89.905,91.358,89.905,89.792
28,2,0,89.59,91.132,89.59,89.466
29,2,0,89.274,90.91,89.274,89.139
30,2,0,89.59,91.132,89.59,89.466
31,2,0,89.274,90.91,89.274,89.139
32,2,0,89.274,90.91,89.274,89.139
33,2,0,89.274,90.91,89.274,89.139
34,2,0,89.274,90.91,89.274,89.139
35,2,0,89.274,90.91,89.274,89.139
36,2,0,89.274,90.91,89.274,89.139
37,2,0,88.959,90.689,88.959,88.812
38,2,0,88.644,90.043,88.644,88.516
39,2,0,88.644,90.043,88.644,88.516
40,2,0,88.644,90.043,88.644,88.516
41,2,0,89.274,90.507,89.274,89.169
42,2,0,88.959,90.09,88.959,88.857
43,2,0,89.274,90.329,89.274,89.182
44,2,0,89.59,90.742,89.59,89.494
45,2,0,89.59,90.742,89.59,89.494
46,2,0,89.274,90.507,89.274,89.169
47,2,0,89.274,90.507,89.274,89.169
48,2,0,88.959,90.274,88.959,88.843
49,2,0,88.959,90.274,88.959,88.843
50,2,0,89.274,90.507,89.274,89.169
51,2,0,88.644,90.043,88.644,88.516
52,2,0,88.644,90.043,88.644,88.516
53,2,0,88.644,90.043,88.644,88.516
54,2,0,88.959,90.274,88.959,88.843
55,2,0,89.274,90.507,89.274,89.169
56,2,0,89.59,90.742,89.59,89.494
57,2,0,89.59,90.742,89.59,89.494
58,2,0,89.59,90.742,89.59,89.494
59,2,0,90.221,91.22,90.221,90.142
60,2,0,90.221,91.22,90.221,90.142
61,2,0,90.221,91.22,90.221,90.142
62,2,0,90.536,91.462,90.536,90.466
63,2,0,90.852,91.707,90.852,90.788
64,2,0,90.221,91.22,90.221,90.142
65,2,0,89.905,90.98,89.905,89.818
66,2,0,90.221,91.22,90.221,90.142
67,2,0,90.221,91.06,90.221,90.153
68,2,0,90.221,91.06,90.221,90.153
69,2,0,89.59,90.742,89.59,89.494
70,2,0,89.59,90.742,89.59,89.494
71,2,0,89.274,90.507,89.274,89.169
72,2,0,89.59,90.742,89.59,89.494
73,2,0,89.59,90.742,89.59,89.494
74,2,0,89.59,90.57,89.59,89.506
75,2,0,89.59,90.57,89.59,89.506
76,2,0,88.959,90.09,88.959,88.857
77,2,0,89.905,90.814,89.905,89.83
78,2,0,89.905,90.814,89.905,89.83
79,2,0,89.905,90.814,89.905,89.83
80,2,0,89.905,90.814,89.905,89.83
81,2,0,89.905,90.98,89.905,89.818
82,2,0,89.905,90.98,89.905,89.818
83,2,0,89.59,90.742,89.59,89.494
84,2,0,89.59,90.742,89.59,89.494
85,2,0,89.59,90.742,89.59,89.494
86,2,0,89.59,90.742,89.59,89.494
87,2,0,89.59,90.742,89.59,89.494
88,2,0,89.59,90.742,89.59,89.494
89,2,0,89.59,90.742,89.59,89.494
90,2,0,89.905,90.98,89.905,89.818
91,2,0,89.59,90.57,89.59,89.506
92,2,0,89.59,90.57,89.59,89.506
93,2,0,89.59,90.742,89.59,89.494
94,2,0,89.59,90.742,89.59,89.494
95,2,0,89.59,90.742,89.59,89.494
96,2,0,89.59,90.742,89.59,89.494
97,2,0,89.59,90.742,89.59,89.494
98,2,0,89.59,90.742,89.59,89.494
99,2,0,89.59,90.742,89.59,89.494
100,2,0,90.536,91.462,90.536,90.466
0,2,1,89.59,90.009,89.59,89.537
1,2,1,90.852,91.188,90.852,90.813
2,2,1,89.59,90.121,89.59,89.526
3,2,1,89.274,89.742,89.274,89.214
4,2,1,89.274,89.742,89.274,89.214
5,2,1,89.59,90.009,89.59,89.537
6,2,1,88.959,89.478,88.959,88.892
7,2,1,88.959,89.368,88.959,88.902
8,2,1,88.328,88.835,88.328,88.257
9,2,1,88.959,89.478,88.959,88.892
10,2,1,87.697,88.444,87.697,87.594
11,2,1,88.328,88.835,88.328,88.257
12,2,1,88.328,88.956,88.328,88.244
13,2,1,89.59,90.121,89.59,89.526
14,2,1,89.59,90.121,89.59,89.526
15,2,1,89.59,90.545,89.59,89.49
16,2,1,89.905,90.79,89.905,89.815
17,2,1,89.905,90.79,89.905,89.815
18,2,1,89.59,90.545,89.59,89.49
19,2,1,89.59,90.545,89.59,89.49
20,2,1,89.274,90.302,89.274,89.165
21,2,1,90.221,91.038,90.221,90.139
22,2,1,89.59,90.545,89.59,89.49
23,2,1,88.959,90.062,88.959,88.838
24,2,1,88.959,90.062,88.959,88.838
25,2,1,90.536,91.288,90.536,90.463
26,2,1,90.221,91.038,90.221,90.139
27,2,1,88.959,90.062,88.959,88.838
28,2,1,88.959,90.062,88.959,88.838
29,2,1,89.274,90.302,89.274,89.165
30,2,1,89.59,90.545,89.59,89.49
31,2,1,90.221,91.038,90.221,90.139
32,2,1,90.536,91.15,90.536,90.473
33,2,1,90.852,91.408,90.852,90.796
34,2,1,90.852,91.408,90.852,90.796
35,2,1,89.274,90.14,89.274,89.178
36,2,1,89.274,89.993,89.274,89.191
37,2,1,90.221,90.894,90.221,90.151
38,2,1,90.221,91.038,90.221,90.139
39,2,1,90.536,91.288,90.536,90.463
40,2,1,89.905,90.505,89.905,89.838
41,2,1,89.59,90.248,89.59,89.515
42,2,1,89.59,90.248,89.59,89.515
43,2,1,89.905,90.505,89.905,89.838
44,2,1,89.905,90.505,89.905,89.838
45,2,1,89.905,90.505,89.905,89.838
46,2,1,89.905,90.505,89.905,89.838
47,2,1,89.905,90.505,89.905,89.838
48,2,1,89.905,90.505,89.905,89.838
49,2,1,89.59,90.121,89.59,89.526
50,2,1,89.905,90.505,89.905,89.838
51,2,1,89.59,90.248,89.59,89.515
52,2,1,89.59,90.248,89.59,89.515
53,2,1,89.274,89.861,89.274,89.203
54,2,1,89.59,90.248,89.59,89.515
55,2,1,89.59,90.248,89.59,89.515
56,2,1,89.59,90.248,89.59,89.515
57,2,1,89.905,90.64,89.905,89.827
58,2,1,89.59,90.389,89.59,89.503
59,2,1,90.221,90.894,90.221,90.151
60,2,1,89.59,90.389,89.59,89.503
61,2,1,89.905,90.64,89.905,89.827
62,2,1,89.59,90.389,89.59,89.503
63,2,1,89.905,90.64,89.905,89.827
64,2,1,89.274,89.861,89.274,89.203
65,2,1,89.905,90.384,89.905,89.849
66,2,1,89.905,90.384,89.905,89.849
67,2,1,89.905,90.384,89.905,89.849
68,2,1,89.905,90.384,89.905,89.849
69,2,1,90.221,90.65,90.221,90.171
70,2,1,90.221,90.65,90.221,90.171
71,2,1,90.536,90.918,90.536,90.492
72,2,1,89.59,89.825,89.59,89.555
73,2,1,90.536,90.918,90.536,90.492
74,2,1,90.221,90.549,90.221,90.18
75,2,1,90.536,90.823,90.536,90.5
76,2,1,89.59,89.753,89.59,89.562
77,2,1,90.852,91.1,90.852,90.821
78,2,1,89.59,89.753,89.59,89.562
79,2,1,90.221,90.389,90.221,90.195
80,2,1,89.274,89.469,89.274,89.242
81,2,1,89.905,90.04,89.905,89.882
82,2,1,89.905,90.04,89.905,89.882
83,2,1,89.905,90.105,89.905,89.875
84,2,1,89.905,90.105,89.905,89.875
85,2,1,90.536,90.823,90.536,90.5
86,2,1,89.59,89.753,89.59,89.562
87,2,1,89.59,89.753,89.59,89.562
88,2,1,89.274,89.353,89.274,89.256
89,2,1,89.59,89.694,89.59,89.569
90,2,1,89.59,89.694,89.59,89.569
91,2,1,89.59,89.694,89.59,89.569
92,2,1,89.274,89.353,89.274,89.256
93,2,1,89.274,89.353,89.274,89.256
94,2,1,88.644,88.719,88.644,88.624
95,2,1,88.644,88.719,88.644,88.624
96,2,1,88.328,88.382,88.328,88.312
97,2,1,88.013,88.049,88.013,87.999
98,2,1,87.697,87.719,87.697,87.686
99,2,1,87.697,87.719,87.697,87.686
100,2,1,88.013,88.012,88.013,88.009
0,2,2,90.221,91.067,90.221,90.158
1,2,2,89.905,90.988,89.905,89.824
2,2,2,89.905,90.988,89.905,89.824
3,2,2,91.167,91.96,91.167,91.115
4,2,2,89.905,90.988,89.905,89.824
5,2,2,89.59,90.751,89.59,89.499
6,2,2,88.644,90.053,88.644,88.523
7,2,2,87.066,89.169,87.066,86.863
8,2,2,87.382,89.383,87.382,87.193
9,2,2,87.382,89.383,87.382,87.193
10,2,2,87.066,89.169,87.066,86.863
11,2,2,87.697,89.599,87.697,87.523
12,2,2,87.382,89.383,87.382,87.193
13,2,2,87.697,89.599,87.697,87.523
14,2,2,87.697,89.599,87.697,87.523
15,2,2,87.697,89.599,87.697,87.523
16,2,2,88.013,89.817,88.013,87.852
17,2,2,87.697,89.599,87.697,87.523
18,2,2,88.013,89.817,88.013,87.852
19,2,2,88.013,89.817,88.013,87.852
20,2,2,88.013,89.817,88.013,87.852
21,2,2,88.644,90.259,88.644,88.508
22,2,2,86.751,88.957,86.751,86.531
23,2,2,86.435,88.747,86.435,86.199
24,2,2,86.435,88.499,86.435,86.222
25,2,2,86.12,88.285,86.12,85.89
26,2,2,85.489,87.862,85.489,85.224
27,2,2,87.382,89.153,87.382,87.213
28,2,2,87.382,89.153,87.382,87.213
29,2,2,88.328,89.825,88.328,88.197
30,2,2,86.751,88.489,86.751,86.573
