iter,step,fold,acc,prec,rec,f1score
0,2,0,94.006,94.087,94.006,94.0
1,2,0,94.637,94.678,94.637,94.634
2,2,0,94.953,95.204,94.953,94.941
3,2,0,94.637,94.775,94.637,94.63
4,2,0,94.953,95.062,94.953,94.947
5,2,0,94.637,94.678,94.637,94.634
6,2,0,94.637,94.775,94.637,94.63
7,2,0,94.006,94.142,94.006,93.998
8,2,0,94.006,94.142,94.006,93.998
9,2,0,94.006,94.046,94.006,94.003
10,2,0,93.691,93.748,93.691,93.686
11,2,0,94.322,94.429,94.322,94.315
12,2,0,94.637,94.775,94.637,94.63
13,2,0,94.953,95.062,94.953,94.947
14,2,0,94.953,94.979,94.953,94.95
15,2,0,95.268,95.31,95.268,95.265
16,2,0,93.691,93.715,93.691,93.688
17,2,0,94.953,95.013,94.953,94.949
18,2,0,95.899,95.985,95.899,95.895
19,2,0,94.953,95.062,94.953,94.947
20,2,0,94.637,94.678,94.637,94.634
21,2,0,94.953,94.979,94.953,94.95
22,2,0,95.268,95.31,95.268,95.265
23,2,0,94.322,94.327,94.322,94.321
24,2,0,94.006,94.046,94.006,94.003
25,2,0,94.322,94.381,94.322,94.317
26,2,0,95.268,95.31,95.268,95.265
27,2,0,94.637,94.678,94.637,94.634
28,2,0,94.637,94.678,94.637,94.634
29,2,0,94.637,94.651,94.637,94.636
30,2,0,94.637,94.678,94.637,94.634
31,2,0,94.637,94.678,94.637,94.634
32,2,0,94.322,94.381,94.322,94.317
33,2,0,94.953,94.979,94.953,94.95
34,2,0,95.268,95.31,95.268,95.265
35,2,0,95.268,95.352,95.268,95.264
36,2,0,94.953,94.958,94.953,94.952
37,2,0,94.006,94.087,94.006,94.0
38,2,0,93.691,93.715,93.691,93.688
39,2,0,94.322,94.347,94.322,94.319
40,2,0,94.637,94.678,94.637,94.634
41,2,0,94.637,94.719,94.637,94.632
42,2,0,94.637,94.719,94.637,94.632
43,2,0,94.322,94.347,94.322,94.319
44,2,0,93.691,93.715,93.691,93.688
45,2,0,93.691,93.715,93.691,93.688
46,2,0,94.006,94.02,94.006,94.005
47,2,0,95.268,95.282,95.268,95.267
48,2,0,93.375,93.388,93.375,93.373
49,2,0,94.006,94.087,94.006,94.0
