iter,step,fold,acc,prec,rec,f1score
0,2,0,94.006,94.087,94.006,94.0
1,2,0,94.637,94.678,94.637,94.634
2,2,0,94.953,95.062,94.953,94.947
3,2,0,94.637,94.775,94.637,94.63
4,2,0,94.953,95.013,94.953,94.949
5,2,0,94.637,94.719,94.637,94.632
6,2,0,94.953,95.062,94.953,94.947
7,2,0,94.953,95.126,94.953,94.944
8,2,0,95.268,95.352,95.268,95.264
9,2,0,94.637,94.775,94.637,94.63
10,2,0,94.637,94.775,94.637,94.63
11,2,0,95.268,95.352,95.268,95.264
12,2,0,95.584,95.695,95.584,95.578
13,2,0,94.322,94.381,94.322,94.317
14,2,0,94.637,94.775,94.637,94.63
15,2,0,94.322,94.429,94.322,94.315
16,2,0,94.006,94.142,94.006,93.998
17,2,0,94.006,94.142,94.006,93.998
18,2,0,94.322,94.381,94.322,94.317
19,2,0,93.375,93.454,93.375,93.369
20,2,0,92.744,92.782,92.744,92.74
21,2,0,92.114,92.125,92.114,92.111
22,2,0,92.744,92.821,92.744,92.737
23,2,0,93.691,93.715,93.691,93.688
24,2,0,93.06,93.065,93.06,93.059
25,2,0,92.744,92.745,92.744,92.744
26,2,0,93.06,93.162,93.06,93.052
27,2,0,93.06,93.084,93.06,93.057
28,2,0,93.375,93.414,93.375,93.371
29,2,0,94.006,94.02,94.006,94.005
30,2,0,92.114,92.125,92.114,92.111
31,2,0,94.637,94.651,94.637,94.636
32,2,0,93.06,93.065,93.06,93.059
33,2,0,94.322,94.347,94.322,94.319
34,2,0,93.375,93.378,93.375,93.376
35,2,0,92.744,92.745,92.744,92.744
36,2,0,93.06,93.065,93.06,93.059
37,2,0,93.375,93.376,93.375,93.375
38,2,0,94.322,94.347,94.322,94.319
39,2,0,93.375,93.388,93.375,93.373
40,2,0,93.691,93.715,93.691,93.688
41,2,0,94.006,94.046,94.006,94.003
42,2,0,94.006,94.02,94.006,94.005
43,2,0,94.322,94.347,94.322,94.319
44,2,0,93.375,93.388,93.375,93.373
45,2,0,93.375,93.388,93.375,93.373
46,2,0,93.375,93.388,93.375,93.373
47,2,0,92.744,92.745,92.744,92.744
48,2,0,93.691,93.796,93.691,93.683
49,2,0,93.06,93.065,93.06,93.059
