iter,step,fold,acc,prec,rec,f1score
0,2,0,94.006,94.087,94.006,94.0
1,2,0,94.006,94.046,94.006,94.003
2,2,0,94.006,94.046,94.006,94.003
3,2,0,94.006,94.087,94.006,94.0
4,2,0,94.006,94.087,94.006,94.0
5,2,0,94.006,94.087,94.006,94.0
6,2,0,94.006,94.087,94.006,94.0
7,2,0,94.006,94.087,94.006,94.0
8,2,0,94.006,94.087,94.006,94.0
9,2,0,93.691,93.748,93.691,93.686
10,2,0,93.691,93.748,93.691,93.686
11,2,0,93.375,93.454,93.375,93.369
12,2,0,93.375,93.454,93.375,93.369
13,2,0,93.691,93.796,93.691,93.683
14,2,0,93.691,93.796,93.691,93.683
15,2,0,93.691,93.796,93.691,93.683
16,2,0,94.322,94.381,94.322,94.317
17,2,0,93.375,93.414,93.375,93.371
18,2,0,93.375,93.414,93.375,93.371
19,2,0,93.375,93.414,93.375,93.371
20,2,0,93.375,93.414,93.375,93.371
21,2,0,93.375,93.414,93.375,93.371
22,2,0,93.375,93.414,93.375,93.371
23,2,0,93.06,93.084,93.06,93.057
24,2,0,93.06,93.084,93.06,93.057
25,2,0,94.637,94.651,94.637,94.636
26,2,0,93.06,93.084,93.06,93.057
27,2,0,92.429,92.452,92.429,92.426
28,2,0,92.429,92.452,92.429,92.426
29,2,0,93.691,93.715,93.691,93.688
30,2,0,93.06,93.116,93.06,93.055
31,2,0,93.375,93.414,93.375,93.371
32,2,0,93.375,93.414,93.375,93.371
33,2,0,93.691,93.748,93.691,93.686
34,2,0,94.006,94.142,94.006,93.998
35,2,0,93.375,93.414,93.375,93.371
36,2,0,94.322,94.429,94.322,94.315
37,2,0,93.691,93.748,93.691,93.686
38,2,0,93.691,93.748,93.691,93.686
39,2,0,93.691,93.748,93.691,93.686
40,2,0,93.691,93.748,93.691,93.686
41,2,0,93.691,93.748,93.691,93.686
42,2,0,93.691,93.748,93.691,93.686
43,2,0,93.691,93.748,93.691,93.686
44,2,0,93.691,93.748,93.691,93.686
45,2,0,93.691,93.748,93.691,93.686
46,2,0,93.691,93.748,93.691,93.686
47,2,0,94.006,94.046,94.006,94.003
48,2,0,92.744,92.757,92.744,92.742
49,2,0,93.375,93.414,93.375,93.371
50,2,0,93.375,93.414,93.375,93.371
0,2,1,93.691,93.712,93.691,93.687
1,2,1,92.744,92.754,92.744,92.741
2,2,1,92.744,92.754,92.744,92.741
3,2,1,93.375,93.386,93.375,93.372
4,2,1,93.375,93.386,93.375,93.372
5,2,1,92.744,92.815,92.744,92.734
6,2,1,92.744,92.815,92.744,92.734
7,2,1,93.06,93.156,93.06,93.048
8,2,1,93.06,93.156,93.06,93.048
9,2,1,92.744,92.815,92.744,92.734
10,2,1,92.744,92.815,92.744,92.734
11,2,1,93.06,93.111,93.06,93.052
12,2,1,93.06,93.111,93.06,93.052
13,2,1,93.375,93.41,93.375,93.369
14,2,1,93.375,93.41,93.375,93.369
15,2,1,93.691,93.712,93.691,93.687
16,2,1,93.691,93.712,93.691,93.687
17,2,1,93.375,93.41,93.375,93.369
18,2,1,93.375,93.41,93.375,93.369
19,2,1,93.06,93.111,93.06,93.052
20,2,1,93.06,93.111,93.06,93.052
21,2,1,92.744,92.815,92.744,92.734
22,2,1,92.744,92.815,92.744,92.734
23,2,1,93.06,93.111,93.06,93.052
24,2,1,93.06,93.111,93.06,93.052
25,2,1,93.691,93.712,93.691,93.687
26,2,1,93.06,93.111,93.06,93.052
27,2,1,93.06,93.111,93.06,93.052
28,2,1,93.06,93.111,93.06,93.052
29,2,1,92.744,92.778,92.744,92.738
30,2,1,92.744,92.778,92.744,92.738
31,2,1,94.006,94.017,94.006,94.003
32,2,1,93.06,93.111,93.06,93.052
33,2,1,93.06,93.111,93.06,93.052
34,2,1,93.06,93.111,93.06,93.052
35,2,1,92.744,92.815,92.744,92.734
36,2,1,93.375,93.41,93.375,93.369
37,2,1,93.06,93.111,93.06,93.052
38,2,1,93.06,93.111,93.06,93.052
39,2,1,92.744,92.815,92.744,92.734
40,2,1,92.744,92.815,92.744,92.734
41,2,1,93.06,93.111,93.06,93.052
42,2,1,93.06,93.111,93.06,93.052
43,2,1,93.06,93.111,93.06,93.052
44,2,1,93.06,93.111,93.06,93.052
45,2,1,93.06,93.111,93.06,93.052
46,2,1,93.06,93.111,93.06,93.052
47,2,1,92.744,92.815,92.744,92.734
48,2,1,92.744,92.815,92.744,92.734
49,2,1,93.375,93.41,93.375,93.369
50,2,1,93.375,93.41,93.375,93.369
0,2,2,93.375,93.456,93.375,93.37
1,2,2,93.375,93.579,93.375,93.364
2,2,2,95.584,95.646,95.584,95.581
3,2,2,94.953,95.064,94.953,94.947
4,2,2,94.953,95.064,94.953,94.947
5,2,2,94.637,94.679,94.637,94.635
6,2,2,94.637,94.679,94.637,94.635
7,2,2,94.953,95.014,94.953,94.949
8,2,2,94.953,95.014,94.953,94.949
9,2,2,95.899,95.943,95.899,95.897
10,2,2,95.899,95.943,95.899,95.897
11,2,2,94.637,94.638,94.637,94.637
12,2,2,95.268,95.283,95.268,95.267
13,2,2,95.268,95.283,95.268,95.267
14,2,2,95.268,95.283,95.268,95.267
15,2,2,95.584,95.611,95.584,95.582
16,2,2,95.584,95.611,95.584,95.582
17,2,2,94.637,94.638,94.637,94.637
18,2,2,94.637,94.638,94.637,94.637
19,2,2,94.953,95.014,94.953,94.949
20,2,2,94.953,95.014,94.953,94.949
21,2,2,94.637,94.652,94.637,94.636
22,2,2,94.637,94.652,94.637,94.636
23,2,2,95.584,95.611,95.584,95.582
24,2,2,95.584,95.611,95.584,95.582
25,2,2,95.268,95.311,95.268,95.266
26,2,2,96.215,96.215,96.215,96.215
27,2,2,95.584,95.59,95.584,95.583
28,2,2,94.006,94.007,94.006,94.006
29,2,2,94.322,94.328,94.322,94.321
30,2,2,94.322,94.328,94.322,94.321
31,2,2,93.691,93.697,93.691,93.69
32,2,2,93.691,93.697,93.691,93.69
33,2,2,94.006,94.02,94.006,94.005
34,2,2,94.637,94.638,94.637,94.637
35,2,2,94.006,94.009,94.006,94.007
36,2,2,94.006,94.009,94.006,94.007
37,2,2,94.953,94.953,94.953,94.953
38,2,2,94.953,94.953,94.953,94.953
39,2,2,95.268,95.269,95.268,95.268
40,2,2,95.268,95.269,95.268,95.268
41,2,2,94.637,94.64,94.637,94.637
42,2,2,94.637,94.64,94.637,94.637
43,2,2,94.006,94.007,94.006,94.006
44,2,2,94.006,94.007,94.006,94.006
45,2,2,94.637,94.64,94.637,94.637
46,2,2,94.953,94.959,94.953,94.952
47,2,2,95.584,95.592,95.584,95.584
48,2,2,95.584,95.592,95.584,95.584
49,2,2,94.953,94.953,94.953,94.953
50,2,2,95.268,95.269,95.268,95.268
0,5,0,94.006,94.087,94.006,94.0
1,5,0,94.006,94.087,94.006,94.0
2,5,0,94.006,94.087,94.006,94.0
3,5,0,94.006,94.046,94.006,94.003
4,5,0,94.006,94.046,94.006,94.003
5,5,0,94.637,94.719,94.637,94.632
6,5,0,94.637,94.719,94.637,94.632
7,5,0,93.06,93.223,93.06,93.048
8,5,0,93.06,93.223,93.06,93.048
9,5,0,93.06,93.084,93.06,93.057
10,5,0,94.322,94.381,94.322,94.317
11,5,0,94.006,94.046,94.006,94.003
12,5,0,94.006,94.046,94.006,94.003
13,5,0,93.375,93.454,93.375,93.369
14,5,0,93.375,93.454,93.375,93.369
15,5,0,93.375,93.414,93.375,93.371
16,5,0,93.375,93.414,93.375,93.371
17,5,0,94.006,94.087,94.006,94.0
18,5,0,93.06,93.116,93.06,93.055
19,5,0,92.114,92.114,92.114,92.113
20,5,0,92.114,92.114,92.114,92.113
0,5,1,93.691,93.712,93.691,93.687
1,5,1,93.375,93.41,93.375,93.369
2,5,1,93.06,93.08,93.06,93.055
