iter,step,fold,acc,prec,rec,f1score
0,2,0,94.006,94.087,94.006,94.0
1,2,0,95.268,95.282,95.268,95.267
2,2,0,94.953,94.979,94.953,94.95
3,2,0,95.584,95.59,95.584,95.583
4,2,0,95.584,95.59,95.584,95.583
5,2,0,96.53,96.532,96.53,96.53
6,2,0,95.899,95.901,95.899,95.899
7,2,0,95.584,95.61,95.584,95.582
8,2,0,95.899,95.9,95.899,95.899
9,2,0,95.584,95.59,95.584,95.583
10,2,0,95.899,95.9,95.899,95.899
11,2,0,95.584,95.584,95.584,95.584
12,2,0,95.899,95.9,95.899,95.899
13,2,0,95.584,95.584,95.584,95.584
14,2,0,95.899,95.901,95.899,95.899
15,2,0,95.899,95.9,95.899,95.899
16,2,0,96.215,96.215,96.215,96.215
17,2,0,96.53,96.545,96.53,96.529
18,2,0,96.53,96.531,96.53,96.53
19,2,0,96.215,96.221,96.215,96.214
20,2,0,95.584,95.59,95.584,95.583
21,2,0,96.215,96.242,96.215,96.213
22,2,0,96.53,96.545,96.53,96.529
23,2,0,96.215,96.221,96.215,96.214
24,2,0,96.215,96.215,96.215,96.215
25,2,0,95.584,95.59,95.584,95.583
26,2,0,96.215,96.221,96.215,96.214
27,2,0,96.53,96.545,96.53,96.529
28,2,0,96.53,96.531,96.53,96.53
29,2,0,96.215,96.215,96.215,96.215
30,2,0,96.53,96.548,96.53,96.53
31,2,0,97.161,97.162,97.161,97.161
32,2,0,96.215,96.215,96.215,96.215
33,2,0,96.215,96.215,96.215,96.215
34,2,0,96.845,96.845,96.845,96.845
35,2,0,96.53,96.531,96.53,96.53
36,2,0,96.215,96.215,96.215,96.215
37,2,0,96.215,96.223,96.215,96.215
38,2,0,97.161,97.163,97.161,97.161
39,2,0,96.215,96.215,96.215,96.215
40,2,0,96.53,96.531,96.53,96.53
41,2,0,96.845,96.852,96.845,96.845
42,2,0,97.476,97.483,97.476,97.476
43,2,0,96.845,96.845,96.845,96.845
44,2,0,96.53,96.532,96.53,96.53
45,2,0,96.845,96.845,96.845,96.845
46,2,0,96.845,96.845,96.845,96.845
47,2,0,97.161,97.162,97.161,97.161
48,2,0,96.53,96.531,96.53,96.53
49,2,0,96.845,96.854,96.845,96.846
50,2,0,96.53,96.532,96.53,96.53
0,2,1,93.691,93.712,93.691,93.687
1,2,1,94.322,94.326,94.322,94.32
2,2,1,93.691,93.712,93.691,93.687
3,2,1,94.006,94.01,94.006,94.007
4,2,1,93.375,93.379,93.375,93.376
5,2,1,94.953,94.957,94.953,94.951
6,2,1,94.637,94.638,94.637,94.636
7,2,1,94.637,94.64,94.637,94.638
8,2,1,95.268,95.271,95.268,95.269
9,2,1,94.953,94.962,94.953,94.954
10,2,1,94.637,94.657,94.637,94.639
11,2,1,95.584,95.617,95.584,95.585
12,2,1,96.53,96.549,96.53,96.531
13,2,1,95.584,95.593,95.584,95.585
14,2,1,95.584,95.593,95.584,95.585
