iter,step,fold,acc,prec,rec,f1score
0,2,0,94.006,94.087,94.006,94.0
1,2,0,94.006,94.087,94.006,94.0
2,2,0,94.006,94.087,94.006,94.0
3,2,0,94.322,94.381,94.322,94.317
4,2,0,94.322,94.381,94.322,94.317
5,2,0,94.322,94.381,94.322,94.317
6,2,0,94.322,94.381,94.322,94.317
7,2,0,94.322,94.381,94.322,94.317
8,2,0,94.637,94.678,94.637,94.634
9,2,0,94.637,94.678,94.637,94.634
10,2,0,94.637,94.678,94.637,94.634
11,2,0,94.637,94.678,94.637,94.634
12,2,0,94.637,94.678,94.637,94.634
13,2,0,94.637,94.678,94.637,94.634
14,2,0,94.637,94.678,94.637,94.634
15,2,0,94.637,94.678,94.637,94.634
16,2,0,94.637,94.678,94.637,94.634
17,2,0,94.637,94.678,94.637,94.634
18,2,0,94.637,94.678,94.637,94.634
19,2,0,94.637,94.678,94.637,94.634
20,2,0,95.268,95.352,95.268,95.264
21,2,0,95.268,95.352,95.268,95.264
22,2,0,95.268,95.352,95.268,95.264
23,2,0,95.268,95.352,95.268,95.264
24,2,0,95.268,95.352,95.268,95.264
25,2,0,95.268,95.352,95.268,95.264
26,2,0,95.268,95.352,95.268,95.264
27,2,0,95.268,95.352,95.268,95.264
28,2,0,95.268,95.352,95.268,95.264
29,2,0,95.268,95.352,95.268,95.264
30,2,0,95.268,95.352,95.268,95.264
31,2,0,95.268,95.352,95.268,95.264
32,2,0,95.268,95.352,95.268,95.264
33,2,0,95.268,95.352,95.268,95.264
34,2,0,95.268,95.352,95.268,95.264
35,2,0,95.268,95.352,95.268,95.264
36,2,0,95.268,95.352,95.268,95.264
37,2,0,95.268,95.352,95.268,95.264
38,2,0,95.268,95.352,95.268,95.264
39,2,0,95.268,95.352,95.268,95.264
40,2,0,95.268,95.352,95.268,95.264
41,2,0,95.268,95.352,95.268,95.264
42,2,0,95.268,95.352,95.268,95.264
43,2,0,95.268,95.352,95.268,95.264
44,2,0,95.268,95.352,95.268,95.264
45,2,0,95.268,95.352,95.268,95.264
46,2,0,95.268,95.352,95.268,95.264
47,2,0,95.268,95.352,95.268,95.264
48,2,0,95.268,95.352,95.268,95.264
49,2,0,95.268,95.352,95.268,95.264
50,2,0,95.268,95.352,95.268,95.264
0,2,1,93.691,93.712,93.691,93.687
1,2,1,93.691,93.712,93.691,93.687
2,2,1,93.691,93.712,93.691,93.687
3,2,1,93.691,93.712,93.691,93.687
4,2,1,93.691,93.712,93.691,93.687
5,2,1,94.006,94.043,94.006,94.001
6,2,1,94.006,94.043,94.006,94.001
7,2,1,94.006,94.043,94.006,94.001
8,2,1,94.006,94.043,94.006,94.001
9,2,1,94.006,94.043,94.006,94.001
10,2,1,94.006,94.043,94.006,94.001
11,2,1,94.006,94.043,94.006,94.001
12,2,1,94.006,94.043,94.006,94.001
13,2,1,94.006,94.043,94.006,94.001
14,2,1,94.006,94.043,94.006,94.001
15,2,1,94.006,94.043,94.006,94.001
16,2,1,94.006,94.043,94.006,94.001
17,2,1,94.006,94.043,94.006,94.001
18,2,1,94.006,94.043,94.006,94.001
19,2,1,94.006,94.043,94.006,94.001
20,2,1,94.006,94.043,94.006,94.001
21,2,1,94.006,94.043,94.006,94.001
22,2,1,94.006,94.043,94.006,94.001
23,2,1,94.006,94.043,94.006,94.001
24,2,1,94.006,94.043,94.006,94.001
25,2,1,94.006,94.043,94.006,94.001
26,2,1,94.006,94.043,94.006,94.001
27,2,1,94.006,94.043,94.006,94.001
28,2,1,94.006,94.043,94.006,94.001
29,2,1,94.006,94.043,94.006,94.001
30,2,1,94.006,94.043,94.006,94.001
31,2,1,94.006,94.043,94.006,94.001
32,2,1,94.006,94.043,94.006,94.001
33,2,1,94.006,94.043,94.006,94.001
34,2,1,94.006,94.043,94.006,94.001
35,2,1,94.006,94.043,94.006,94.001
36,2,1,94.006,94.043,94.006,94.001
37,2,1,94.006,94.043,94.006,94.001
38,2,1,94.006,94.043,94.006,94.001
39,2,1,94.006,94.043,94.006,94.001
40,2,1,94.006,94.043,94.006,94.001
41,2,1,94.006,94.043,94.006,94.001
42,2,1,94.006,94.043,94.006,94.001
43,2,1,94.006,94.043,94.006,94.001
44,2,1,94.006,94.043,94.006,94.001
45,2,1,94.006,94.043,94.006,94.001
46,2,1,94.006,94.043,94.006,94.001
47,2,1,94.006,94.043,94.006,94.001
48,2,1,94.006,94.043,94.006,94.001
49,2,1,94.006,94.043,94.006,94.001
50,2,1,94.006,94.043,94.006,94.001
0,2,2,93.375,93.456,93.375,93.37
