iter,step,fold,acc,prec,rec,f1score
0,2,0,94.006,94.087,94.006,94.0
1,2,0,94.322,94.492,94.322,94.312
2,2,0,94.953,95.062,94.953,94.947
3,2,0,95.268,95.352,95.268,95.264
4,2,0,95.584,95.645,95.584,95.58
5,2,0,94.953,94.979,94.953,94.95
6,2,0,94.637,94.678,94.637,94.634
7,2,0,94.953,95.013,94.953,94.949
8,2,0,95.584,95.59,95.584,95.583
9,2,0,95.584,95.59,95.584,95.583
10,2,0,95.899,95.9,95.899,95.899
11,2,0,95.899,95.985,95.899,95.895
12,2,0,95.584,95.61,95.584,95.582
13,2,0,94.953,95.013,94.953,94.949
14,2,0,95.584,95.61,95.584,95.582
15,2,0,95.584,95.61,95.584,95.582
16,2,0,95.268,95.31,95.268,95.265
17,2,0,95.584,95.645,95.584,95.58
18,2,0,96.215,96.242,96.215,96.213
19,2,0,95.899,95.942,95.899,95.897
20,2,0,96.215,96.242,96.215,96.213
21,2,0,94.953,94.958,94.953,94.952
22,2,0,95.584,95.61,95.584,95.582
23,2,0,95.899,95.9,95.899,95.899
24,2,0,96.53,96.545,96.53,96.529
25,2,0,95.899,95.942,95.899,95.897
26,2,0,96.215,96.242,96.215,96.213
27,2,0,96.845,96.852,96.845,96.845
28,2,0,96.845,96.874,96.845,96.844
29,2,0,96.215,96.242,96.215,96.213
30,2,0,95.584,95.61,95.584,95.582
31,2,0,96.215,96.278,96.215,96.212
32,2,0,96.53,96.574,96.53,96.528
33,2,0,95.899,95.942,95.899,95.897
34,2,0,95.899,96.043,95.899,95.893
35,2,0,96.215,96.278,96.215,96.212
36,2,0,96.215,96.278,96.215,96.212
37,2,0,95.899,96.043,95.899,95.893
38,2,0,95.899,96.043,95.899,95.893
39,2,0,95.899,95.985,95.899,95.895
40,2,0,95.899,95.985,95.899,95.895
41,2,0,95.584,95.695,95.584,95.578
42,2,0,95.899,95.985,95.899,95.895
43,2,0,95.899,95.985,95.899,95.895
44,2,0,95.899,95.985,95.899,95.895
45,2,0,95.584,95.695,95.584,95.578
46,2,0,94.953,95.126,94.953,94.944
47,2,0,95.584,95.695,95.584,95.578
48,2,0,95.899,96.043,95.899,95.893
49,2,0,95.268,95.409,95.268,95.261
50,2,0,95.584,95.645,95.584,95.58
0,2,1,93.691,93.712,93.691,93.687
1,2,1,93.06,93.111,93.06,93.052
2,2,1,94.322,94.377,94.322,94.315
3,2,1,94.322,94.377,94.322,94.315
4,2,1,94.637,94.675,94.637,94.632
5,2,1,94.953,94.957,94.953,94.951
6,2,1,94.637,94.649,94.637,94.635
7,2,1,94.637,94.649,94.637,94.635
8,2,1,94.322,94.377,94.322,94.315
9,2,1,94.637,94.675,94.637,94.632
10,2,1,94.953,94.976,94.953,94.949
11,2,1,94.953,94.957,94.953,94.951
12,2,1,94.953,94.976,94.953,94.949
13,2,1,94.006,94.082,94.006,93.998
14,2,1,94.953,94.976,94.953,94.949
15,2,1,94.953,95.198,94.953,94.938
16,2,1,94.322,94.561,94.322,94.305
17,2,1,95.268,95.348,95.268,95.262
18,2,1,95.584,95.642,95.584,95.579
19,2,1,95.584,95.642,95.584,95.579
20,2,1,95.899,95.982,95.899,95.893
21,2,1,95.584,95.691,95.584,95.576
22,2,1,95.584,95.642,95.584,95.579
23,2,1,95.584,95.642,95.584,95.579
24,2,1,95.584,95.642,95.584,95.579
25,2,1,95.268,95.307,95.268,95.264
26,2,1,95.899,95.94,95.899,95.895
27,2,1,96.215,96.24,96.215,96.212
28,2,1,95.268,95.348,95.268,95.262
29,2,1,95.899,95.982,95.899,95.893
30,2,1,95.584,95.691,95.584,95.576
31,2,1,95.268,95.348,95.268,95.262
32,2,1,95.584,95.691,95.584,95.576
33,2,1,94.953,95.12,94.953,94.941
34,2,1,95.268,95.348,95.268,95.262
35,2,1,94.953,95.01,94.953,94.947
36,2,1,94.953,95.058,94.953,94.944
37,2,1,94.637,94.77,94.637,94.627
38,2,1,94.953,95.058,94.953,94.944
39,2,1,95.899,95.982,95.899,95.893
