iter,step,fold,acc,prec,rec,f1score
0,2,0,62.776,62.788,62.776,62.78
1,2,0,62.776,62.788,62.776,62.78
2,2,0,63.407,63.396,63.407,63.378
3,2,0,63.407,63.396,63.407,63.378
4,2,0,63.722,63.711,63.722,63.701
5,2,0,63.722,63.711,63.722,63.701
6,2,0,63.407,63.396,63.407,63.378
7,2,0,63.407,63.396,63.407,63.378
8,2,0,63.407,63.396,63.407,63.378
9,2,0,63.407,63.396,63.407,63.378
10,2,0,62.776,62.768,62.776,62.769
11,2,0,62.776,62.768,62.776,62.769
12,2,0,62.776,62.768,62.776,62.769
13,2,0,62.776,62.768,62.776,62.769
14,2,0,62.776,62.768,62.776,62.769
15,2,0,62.145,62.132,62.145,62.129
16,2,0,61.514,61.506,61.514,61.449
17,2,0,61.514,61.516,61.514,61.427
18,2,0,61.514,61.506,61.514,61.449
19,2,0,61.514,61.506,61.514,61.449
20,2,0,61.83,61.84,61.83,61.73
21,2,0,61.83,61.84,61.83,61.73
22,2,0,62.461,62.463,62.461,62.386
23,2,0,62.461,62.463,62.461,62.386
24,2,0,61.199,61.183,61.199,61.176
25,2,0,61.199,61.183,61.199,61.176
26,2,0,61.514,61.5,61.514,61.497
27,2,0,61.514,61.5,61.514,61.497
28,2,0,61.199,61.183,61.199,61.176
29,2,0,61.199,61.183,61.199,61.176
30,2,0,61.199,61.183,61.199,61.176
31,2,0,61.199,61.183,61.199,61.176
32,2,0,61.514,61.5,61.514,61.497
33,2,0,61.514,61.5,61.514,61.497
34,2,0,61.199,61.187,61.199,61.187
35,2,0,61.514,61.5,61.514,61.497
36,2,0,61.514,61.5,61.514,61.497
37,2,0,61.514,61.5,61.514,61.497
38,2,0,61.199,61.187,61.199,61.187
39,2,0,61.199,61.187,61.199,61.187
40,2,0,60.883,60.866,60.883,60.853
41,2,0,61.199,61.183,61.199,61.176
42,2,0,62.145,62.136,62.145,62.138
43,2,0,62.145,62.136,62.145,62.138
44,2,0,61.199,61.194,61.199,61.196
45,2,0,61.199,61.194,61.199,61.196
46,2,0,61.83,61.818,61.83,61.818
47,2,0,62.145,62.136,62.145,62.138
48,2,0,62.145,62.145,62.145,62.145
49,2,0,62.145,62.145,62.145,62.145
50,2,0,62.145,62.145,62.145,62.145
0,2,1,61.514,61.7,61.514,61.519
1,2,1,61.199,61.325,61.199,61.213
2,2,1,61.199,61.325,61.199,61.213
3,2,1,61.199,61.325,61.199,61.213
4,2,1,61.199,61.325,61.199,61.213
5,2,1,61.514,61.7,61.514,61.519
6,2,1,60.883,61.157,60.883,60.865
7,2,1,60.883,61.157,60.883,60.865
8,2,1,60.568,60.864,60.568,60.541
9,2,1,60.883,60.992,60.883,60.899
10,2,1,60.883,60.992,60.883,60.899
11,2,1,60.883,60.992,60.883,60.899
12,2,1,60.568,60.694,60.568,60.582
13,2,1,60.252,60.396,60.252,60.264
14,2,1,60.568,60.694,60.568,60.582
15,2,1,60.568,60.694,60.568,60.582
16,2,1,60.568,60.694,60.568,60.582
17,2,1,60.568,60.694,60.568,60.582
18,2,1,60.568,60.694,60.568,60.582
19,2,1,60.568,60.694,60.568,60.582
20,2,1,59.937,60.099,59.937,59.946
21,2,1,60.252,60.435,60.252,60.257
22,2,1,60.568,60.694,60.568,60.582
23,2,1,60.252,60.477,60.252,60.247
24,2,1,60.252,60.477,60.252,60.247
