iter,step,fold,acc,prec,rec,f1score
0,2,0,62.776,62.788,62.776,62.78
1,2,0,62.776,62.788,62.776,62.78
2,2,0,62.776,62.788,62.776,62.78
3,2,0,62.776,62.788,62.776,62.78
4,2,0,62.776,62.788,62.776,62.78
5,2,0,62.776,62.788,62.776,62.78
6,2,0,62.776,62.788,62.776,62.78
7,2,0,62.461,62.481,62.461,62.465
8,2,0,63.091,63.081,63.091,63.08
9,2,0,63.091,63.081,63.091,63.08
10,2,0,63.091,63.081,63.091,63.08
11,2,0,63.091,63.081,63.091,63.08
12,2,0,63.091,63.081,63.091,63.08
13,2,0,63.091,63.081,63.091,63.08
14,2,0,63.091,63.081,63.091,63.08
15,2,0,63.091,63.081,63.091,63.08
16,2,0,63.091,63.081,63.091,63.08
17,2,0,63.091,63.081,63.091,63.08
18,2,0,63.091,63.081,63.091,63.08
19,2,0,62.776,62.776,62.776,62.776
20,2,0,62.776,62.776,62.776,62.776
21,2,0,62.776,62.776,62.776,62.776
22,2,0,62.776,62.776,62.776,62.776
23,2,0,62.776,62.776,62.776,62.776
24,2,0,62.776,62.776,62.776,62.776
25,2,0,62.776,62.776,62.776,62.776
26,2,0,62.776,62.776,62.776,62.776
27,2,0,62.461,62.466,62.461,62.463
28,2,0,62.461,62.466,62.461,62.463
29,2,0,62.461,62.466,62.461,62.463
30,2,0,62.461,62.466,62.461,62.463
31,2,0,61.199,61.187,61.199,61.187
32,2,0,61.199,61.187,61.199,61.187
33,2,0,61.199,61.187,61.199,61.187
34,2,0,61.199,61.187,61.199,61.187
35,2,0,61.199,61.187,61.199,61.187
36,2,0,61.199,61.187,61.199,61.187
37,2,0,60.568,60.606,60.568,60.572
38,2,0,60.568,60.606,60.568,60.572
39,2,0,60.568,60.606,60.568,60.572
40,2,0,60.568,60.606,60.568,60.572
41,2,0,60.568,60.606,60.568,60.572
42,2,0,60.568,60.606,60.568,60.572
43,2,0,60.883,60.912,60.883,60.888
44,2,0,60.883,60.912,60.883,60.888
45,2,0,60.883,60.912,60.883,60.888
46,2,0,60.883,60.912,60.883,60.888
47,2,0,60.883,60.932,60.883,60.886
48,2,0,60.883,60.932,60.883,60.886
49,2,0,60.883,60.932,60.883,60.886
50,2,0,60.883,60.932,60.883,60.886
0,2,1,61.514,61.7,61.514,61.519
1,2,1,61.514,61.7,61.514,61.519
2,2,1,63.091,63.184,63.091,63.107
3,2,1,63.091,63.184,63.091,63.107
4,2,1,63.091,63.184,63.091,63.107
5,2,1,63.091,63.184,63.091,63.107
6,2,1,63.091,63.184,63.091,63.107
7,2,1,63.091,63.184,63.091,63.107
8,2,1,63.091,63.184,63.091,63.107
9,2,1,63.091,63.184,63.091,63.107
10,2,1,63.091,63.184,63.091,63.107
11,2,1,63.091,63.184,63.091,63.107
12,2,1,63.091,63.184,63.091,63.107
13,2,1,63.091,63.184,63.091,63.107
14,2,1,63.091,63.184,63.091,63.107
15,2,1,63.091,63.184,63.091,63.107
16,2,1,63.091,63.184,63.091,63.107
17,2,1,63.091,63.184,63.091,63.107
18,2,1,63.091,63.184,63.091,63.107
19,2,1,63.091,63.184,63.091,63.107
20,2,1,63.091,63.184,63.091,63.107
21,2,1,63.091,63.184,63.091,63.107
22,2,1,63.091,63.184,63.091,63.107
23,2,1,63.091,63.184,63.091,63.107
24,2,1,63.091,63.184,63.091,63.107
