iter,step,fold,acc,prec,rec,f1score
0,2,0,57.413,57.949,57.413,57.047
1,2,0,57.729,57.7,57.729,57.657
2,2,0,57.729,57.7,57.729,57.657
3,2,0,57.098,58.044,57.098,55.055
4,2,0,57.098,58.044,57.098,55.055
5,2,0,58.36,59.041,58.36,57.043
6,2,0,58.36,59.041,58.36,57.043
7,2,0,56.782,56.787,56.782,56.483
8,2,0,56.782,56.787,56.782,56.483
9,2,0,55.836,55.795,55.836,55.706
10,2,0,55.836,55.795,55.836,55.706
11,2,0,56.151,56.114,56.151,56.065
12,2,0,66.877,68.592,66.877,65.868
13,2,0,65.931,67.936,65.931,64.685
14,2,0,65.931,67.936,65.931,64.685
15,2,0,68.77,70.077,68.77,68.084
16,2,0,68.77,70.077,68.77,68.084
17,2,0,69.085,70.348,69.085,68.437
18,2,0,69.085,70.348,69.085,68.437
19,2,0,71.293,72.248,71.293,70.866
20,2,0,71.293,72.248,71.293,70.866
21,2,0,70.978,71.977,70.978,70.522
22,2,0,70.978,71.977,70.978,70.522
23,2,0,71.924,72.475,71.924,71.665
24,2,0,71.924,72.475,71.924,71.665
25,2,0,71.609,72.105,71.609,71.364
26,2,0,71.609,72.105,71.609,71.364
27,2,0,70.347,70.387,70.347,70.297
28,2,0,70.347,70.387,70.347,70.297
29,2,0,69.085,69.118,69.085,69.033
30,2,0,69.085,69.118,69.085,69.033
31,2,0,68.77,68.766,68.77,68.767
32,2,0,71.609,71.62,71.609,71.612
33,2,0,73.502,73.743,73.502,73.382
34,2,0,73.502,73.743,73.502,73.382
35,2,0,74.763,74.963,74.763,74.67
36,2,0,74.763,74.963,74.763,74.67
37,2,0,73.502,73.593,73.502,73.441
38,2,0,73.502,73.593,73.502,73.441
39,2,0,73.186,73.257,73.186,73.133
40,2,0,73.186,73.257,73.186,73.133
41,2,0,76.972,77.03,76.972,76.939
42,2,0,75.079,75.077,75.079,75.071
43,2,0,75.394,75.462,75.394,75.353
44,2,0,75.394,75.462,75.394,75.353
45,2,0,76.025,76.096,76.025,75.985
46,2,0,76.656,76.654,76.656,76.652
47,2,0,75.71,75.714,75.71,75.711
48,2,0,75.71,75.714,75.71,75.711
49,2,0,76.341,76.338,76.341,76.339
50,2,0,76.341,76.338,76.341,76.339
0,2,1,58.044,58.322,58.044,58.016
1,2,1,60.883,60.826,60.883,60.735
2,2,1,60.883,60.826,60.883,60.735
3,2,1,59.306,59.262,59.306,59.269
4,2,1,59.306,59.262,59.306,59.269
5,2,1,57.098,57.314,57.098,55.591
6,2,1,63.407,64.286,63.407,62.3
7,2,1,66.877,68.545,66.877,65.672
8,2,1,65.615,66.693,65.615,64.614
9,2,1,66.877,68.545,66.877,65.672
10,2,1,66.877,68.545,66.877,65.672
11,2,1,68.139,68.779,68.139,67.594
12,2,1,68.139,68.779,68.139,67.594
13,2,1,67.823,68.398,67.823,67.3
14,2,1,67.823,68.398,67.823,67.3
15,2,1,67.508,68.663,67.508,66.635
16,2,1,67.508,68.663,67.508,66.635
17,2,1,66.877,68.097,66.877,65.913
18,2,1,66.877,67.967,66.877,65.987
19,2,1,46.688,47.064,46.688,45.916
20,2,1,65.615,66.267,65.615,64.902
21,2,1,65.3,65.884,65.3,64.613
22,2,1,65.3,65.884,65.3,64.613
23,2,1,64.353,64.83,64.353,63.68
24,2,1,64.353,64.83,64.353,63.68
25,2,1,64.669,65.13,64.669,64.033
26,2,1,64.669,65.13,64.669,64.033
27,2,1,64.353,64.692,64.353,63.803
28,2,1,64.353,64.692,64.353,63.803
29,2,1,63.407,63.666,63.407,62.872
30,2,1,63.407,63.666,63.407,62.872
31,2,1,64.669,64.993,64.669,64.152
32,2,1,64.669,64.993,64.669,64.152
33,2,1,65.931,66.394,65.931,65.377
34,2,1,65.931,66.394,65.931,65.377
35,2,1,65.3,65.657,65.3,64.792
36,2,1,65.3,65.657,65.3,64.792
