iter,step,fold,acc,prec,rec,f1score
0,2,0,57.413,57.949,57.413,57.047
1,2,0,64.038,64.164,64.038,63.843
2,2,0,64.669,64.807,64.669,64.478
3,2,0,63.407,63.463,63.407,63.272
4,2,0,64.353,64.468,64.353,64.177
5,2,0,64.038,64.102,64.038,63.905
6,2,0,65.3,65.412,65.3,65.143
7,2,0,64.669,64.741,64.669,64.539
8,2,0,64.353,64.408,64.353,64.236
9,2,0,64.669,64.715,64.669,64.565
10,2,0,65.931,65.933,65.931,65.89
11,2,0,65.615,65.612,65.615,65.582
12,2,0,65.615,65.622,65.615,65.566
13,2,0,65.615,65.622,65.615,65.566
14,2,0,64.984,65.022,64.984,64.893
15,2,0,65.931,65.989,65.931,65.83
16,2,0,66.246,66.295,66.246,66.158
17,2,0,66.877,66.931,66.877,66.791
18,2,0,65.615,65.638,65.615,65.547
19,2,0,64.669,64.667,64.669,64.626
20,2,0,64.984,64.979,64.984,64.95
21,2,0,64.984,64.975,64.984,64.963
22,2,0,64.984,64.975,64.984,64.963
23,2,0,64.984,64.975,64.984,64.963
24,2,0,63.722,63.718,63.722,63.72
25,2,0,63.722,63.718,63.722,63.72
26,2,0,65.3,65.29,65.3,65.284
27,2,0,64.984,64.975,64.984,64.963
28,2,0,65.3,65.293,65.3,65.273
29,2,0,65.3,65.293,65.3,65.273
30,2,0,65.3,65.292,65.3,65.293
31,2,0,65.3,65.292,65.3,65.293
32,2,0,64.353,64.349,64.353,64.35
33,2,0,64.353,64.349,64.353,64.35
34,2,0,64.669,64.669,64.669,64.669
35,2,0,64.669,64.669,64.669,64.669
36,2,0,64.038,64.027,64.038,64.022
37,2,0,64.038,64.038,64.038,64.038
38,2,0,48.896,49.428,48.896,36.559
39,2,0,48.265,23.749,48.265,31.834
40,2,0,61.199,61.745,61.199,60.951
41,2,0,53.628,61.644,53.628,45.419
42,2,0,64.038,64.034,64.038,63.995
43,2,0,60.568,62.2,60.568,59.591
44,2,0,54.89,57.378,54.89,51.885
45,2,0,56.151,59.868,56.151,52.564
46,2,0,63.091,63.491,63.091,62.956
47,2,0,52.681,56.842,52.681,46.199
48,2,0,63.722,63.761,63.722,63.726
49,2,0,64.038,64.556,64.038,63.86
50,2,0,64.669,64.741,64.669,64.539
0,2,1,58.044,58.322,58.044,58.016
1,2,1,65.931,65.931,65.931,65.802
2,2,1,65.3,65.293,65.3,65.168
3,2,1,66.246,66.285,66.246,66.073
4,2,1,64.984,64.983,64.984,64.837
5,2,1,64.984,64.983,64.984,64.837
6,2,1,64.353,64.343,64.353,64.203
7,2,1,64.353,64.362,64.353,64.171
8,2,1,63.407,63.432,63.407,63.164
9,2,1,63.407,63.432,63.407,63.164
10,2,1,63.091,63.098,63.091,62.866
11,2,1,63.091,63.098,63.091,62.866
12,2,1,62.145,62.111,62.145,61.969
13,2,1,62.145,62.111,62.145,61.969
14,2,1,61.199,61.148,61.199,61.035
15,2,1,60.568,60.505,60.568,60.434
16,2,1,62.776,62.84,62.776,62.443
17,2,1,62.776,62.84,62.776,62.443
18,2,1,62.461,62.531,62.461,62.101
19,2,1,62.145,62.22,62.145,61.757
20,2,1,62.461,62.476,62.461,62.191
21,2,1,62.145,62.164,62.145,61.851
22,2,1,62.145,62.125,62.145,61.933
23,2,1,62.145,62.125,62.145,61.933
24,2,1,62.145,62.143,62.145,61.894
25,2,1,62.461,62.476,62.461,62.191
26,2,1,62.776,62.911,62.776,62.344
27,2,1,62.776,62.873,62.776,62.395
28,2,1,63.407,63.527,63.407,63.032
29,2,1,62.461,62.501,62.461,62.147
30,2,1,63.407,63.568,63.407,62.982
31,2,1,63.722,63.874,63.722,63.326
32,2,1,63.407,63.49,63.407,63.079
33,2,1,63.407,63.459,63.407,63.123
34,2,1,62.461,62.501,62.461,62.147
35,2,1,62.145,62.22,62.145,61.757
36,2,1,65.615,65.894,65.615,65.191
37,2,1,65.931,65.952,65.931,65.772
38,2,1,50.473,57.596,50.473,40.222
39,2,1,47.95,22.992,47.95,31.08
40,2,1,58.36,58.872,58.36,58.219
41,2,1,50.473,66.957,50.473,37.358
42,2,1,47.95,22.992,47.95,31.08
43,2,1,57.413,57.476,57.413,57.43
44,2,1,55.205,57.777,55.205,52.983
45,2,1,60.883,61.051,60.883,60.247
46,2,1,55.205,56.644,55.205,54.112
47,2,1,58.044,58.995,58.044,57.618
48,2,1,65.615,66.267,65.615,64.902
49,2,1,60.252,60.233,60.252,60.24
50,2,1,61.514,61.674,61.514,60.951
0,2,2,58.991,59.258,58.991,58.837
1,2,2,64.669,64.763,64.669,64.55
2,2,2,64.669,64.735,64.669,64.575
3,2,2,63.722,63.768,63.722,63.638
4,2,2,64.669,64.711,64.669,64.597
5,2,2,63.722,63.749,63.722,63.659
6,2,2,64.353,64.384,64.353,64.291
7,2,2,63.722,63.734,63.722,63.677
8,2,2,63.091,63.086,63.091,63.073
9,2,2,64.353,64.43,64.353,64.246
