iter,step,fold,acc,prec,rec,f1score
0,2,0,57.413,65.904,57.413,51.698
1,2,0,61.83,67.403,61.83,59.006
2,2,0,69.085,69.118,69.085,69.033
3,2,0,68.139,68.236,68.139,68.034
4,2,0,68.77,69.073,68.77,68.553
5,2,0,69.085,69.099,69.085,69.048
6,2,0,69.085,69.099,69.085,69.048
7,2,0,69.085,69.099,69.085,69.048
8,2,0,69.085,69.099,69.085,69.048
9,2,0,68.77,68.791,68.77,68.725
10,2,0,68.77,68.791,68.77,68.725
11,2,0,69.085,69.099,69.085,69.048
12,2,0,69.085,69.099,69.085,69.048
13,2,0,69.401,69.395,69.401,69.391
14,2,0,69.401,69.395,69.401,69.391
15,2,0,70.032,70.028,70.032,70.029
16,2,0,70.032,70.028,70.032,70.029
17,2,0,70.032,70.026,70.032,70.023
18,2,0,70.032,70.026,70.032,70.023
19,2,0,70.347,70.342,70.347,70.342
20,2,0,70.347,70.347,70.347,70.347
21,2,0,70.662,70.667,70.662,70.664
22,2,0,70.662,70.667,70.662,70.664
23,2,0,72.24,72.269,72.24,72.243
24,2,0,72.24,72.269,72.24,72.243
25,2,0,72.871,72.926,72.871,72.872
26,2,0,70.347,70.376,70.347,70.351
27,2,0,71.293,71.363,71.293,71.293
28,2,0,71.293,71.363,71.293,71.293
29,2,0,71.293,71.313,71.293,71.297
30,2,0,71.293,71.313,71.293,71.297
31,2,0,70.978,70.973,70.978,70.973
32,2,0,70.978,70.973,70.978,70.973
33,2,0,71.293,71.289,71.293,71.285
34,2,0,71.293,71.289,71.293,71.285
35,2,0,72.555,72.552,72.555,72.553
36,2,0,72.555,72.552,72.555,72.553
37,2,0,71.293,71.289,71.293,71.285
38,2,0,71.293,71.289,71.293,71.285
39,2,0,70.978,70.999,70.978,70.943
40,2,0,70.978,70.999,70.978,70.943
41,2,0,69.401,69.397,69.401,69.398
42,2,0,69.401,69.397,69.401,69.398
43,2,0,70.347,70.366,70.347,70.312
44,2,0,70.347,70.366,70.347,70.312
45,2,0,70.347,70.387,70.347,70.297
46,2,0,70.347,70.351,70.347,70.324
47,2,0,71.293,71.289,71.293,71.285
48,2,0,71.293,71.289,71.293,71.285
49,2,0,53.312,72.927,53.312,41.639
50,2,0,69.401,69.477,69.401,69.321
0,2,1,52.366,59.674,52.366,44.484
1,2,1,59.937,66.182,59.937,56.769
2,2,1,65.615,65.583,65.615,65.567
3,2,1,67.823,67.802,67.823,67.769
4,2,1,67.823,67.802,67.823,67.769
5,2,1,66.877,66.927,66.877,66.707
6,2,1,66.877,66.927,66.877,66.707
7,2,1,65.615,65.592,65.615,65.524
8,2,1,65.615,65.592,65.615,65.524
9,2,1,67.823,67.873,67.823,67.674
10,2,1,68.139,68.779,68.139,67.594
11,2,1,68.139,68.178,68.139,68.005
12,2,1,67.823,67.826,67.823,67.727
13,2,1,67.823,68.04,67.823,67.535
14,2,1,67.823,68.04,67.823,67.535
15,2,1,67.823,67.944,67.823,67.61
16,2,1,67.823,67.944,67.823,67.61
17,2,1,67.508,67.689,67.508,67.237
18,2,1,67.192,67.445,67.192,66.856
19,2,1,67.823,67.846,67.823,67.701
20,2,1,67.823,67.846,67.823,67.701
