iter,step,fold,acc,prec,rec,f1score
0,2,0,57.413,65.904,57.413,51.698
1,2,0,61.514,67.132,61.514,58.594
2,2,0,69.401,69.448,69.401,69.34
3,2,0,67.823,67.872,67.823,67.75
4,2,0,68.454,68.508,68.454,68.382
5,2,0,65.931,65.96,65.931,65.935
6,2,0,66.246,66.355,66.246,66.108
7,2,0,66.877,66.995,66.877,66.742
8,2,0,67.192,67.237,67.192,67.118
9,2,0,68.454,68.466,68.454,68.417
10,2,0,52.681,72.305,52.681,40.431
11,2,0,52.681,72.305,52.681,40.431
12,2,0,51.735,71.066,51.735,38.576
13,2,0,63.722,63.785,63.722,63.722
14,2,0,63.722,63.785,63.722,63.722
15,2,0,63.407,63.545,63.407,63.385
16,2,0,62.776,62.879,62.776,62.765
17,2,0,66.562,66.674,66.562,66.552
18,2,0,63.407,63.783,63.407,63.287
19,2,0,65.931,66.859,65.931,65.617
20,2,0,65.615,66.133,65.615,65.461
21,2,0,64.984,65.644,64.984,64.761
22,2,0,66.246,66.778,66.246,66.094
23,2,0,67.508,68.945,67.508,67.052
24,2,0,66.562,68.005,66.562,66.066
25,2,0,66.246,67.037,66.246,65.995
26,2,0,66.562,67.517,66.562,66.254
27,2,0,65.3,68.144,65.3,64.17
28,2,0,67.508,69.242,67.508,66.947
29,2,0,69.085,70.149,69.085,68.801
30,2,0,69.401,70.418,69.401,69.138
31,2,0,64.669,66.11,64.669,64.088
32,2,0,67.823,69.078,67.823,67.443
33,2,0,67.823,69.663,67.823,67.24
34,2,0,64.353,66.113,64.353,63.61
35,2,0,64.984,66.962,64.984,64.187
36,2,0,65.3,67.394,65.3,64.475
37,2,0,65.615,67.497,65.615,64.898
38,2,0,48.896,23.908,48.896,32.114
39,2,0,47.95,44.08,47.95,34.707
40,2,0,47.95,33.885,47.95,32.232
41,2,0,55.521,58.569,55.521,52.23
42,2,0,52.366,65.121,52.366,41.068
43,2,0,48.896,23.908,48.896,32.114
44,2,0,53.312,60.027,53.312,45.509
45,2,0,53.312,72.927,53.312,41.639
46,2,0,49.211,52.363,49.211,34.882
47,2,0,52.681,57.745,52.681,45.367
48,2,0,48.896,23.908,48.896,32.114
49,2,0,53.312,70.446,53.312,42.041
50,2,0,52.681,67.444,52.681,41.258
0,2,1,52.366,59.674,52.366,44.484
1,2,1,59.937,66.182,59.937,56.769
2,2,1,65.615,65.583,65.615,65.567
3,2,1,67.823,67.802,67.823,67.769
4,2,1,68.139,68.116,68.139,68.11
5,2,1,66.877,66.854,66.877,66.811
6,2,1,67.192,67.189,67.192,67.094
7,2,1,64.353,64.483,64.353,64.366
8,2,1,64.353,64.345,64.353,64.348
9,2,1,66.246,66.255,66.246,66.25
10,2,1,65.615,65.592,65.615,65.524
11,2,1,48.265,52.79,48.265,33.349
12,2,1,48.896,56.314,48.896,35.13
13,2,1,66.246,66.242,66.246,66.132
14,2,1,47.95,49.011,47.95,31.631
15,2,1,48.265,75.115,48.265,31.774
16,2,1,47.634,43.719,47.634,32.02
17,2,1,47.95,48.998,47.95,32.688
18,2,1,48.265,52.79,48.265,33.349
19,2,1,47.634,45.199,47.634,32.537
20,2,1,47.95,48.991,47.95,33.195
21,2,1,48.265,51.958,48.265,33.846
22,2,1,67.508,67.517,67.508,67.512
23,2,1,68.139,68.148,68.139,68.143
24,2,1,67.823,67.899,67.823,67.837
25,2,1,68.454,68.436,68.454,68.401
26,2,1,68.77,68.748,68.77,68.742
27,2,1,68.454,68.432,68.454,68.418
28,2,1,67.508,67.517,67.508,67.512
29,2,1,69.401,69.384,69.401,69.386
30,2,1,69.085,69.072,69.085,69.076
31,2,1,68.454,68.499,68.454,68.466
32,2,1,65.615,65.947,65.615,65.592
33,2,1,67.823,68.026,67.823,67.827
34,2,1,66.562,66.933,66.562,66.532
35,2,1,68.77,69.001,68.77,68.77
36,2,1,67.823,68.205,67.823,67.795
37,2,1,67.508,67.854,67.508,67.486
38,2,1,50.158,59.106,50.158,38.469
39,2,1,55.205,58.773,55.205,52.089
40,2,1,49.527,61.203,49.527,35.93
41,2,1,61.199,62.315,61.199,60.805
42,2,1,61.199,62.882,61.199,60.509
43,2,1,59.621,63.809,59.621,57.367
44,2,1,58.991,63.48,58.991,56.428
45,2,1,59.306,61.313,59.306,58.27
46,2,1,62.461,63.539,62.461,62.127
47,2,1,59.621,64.326,59.621,57.098
48,2,1,63.091,64.944,63.091,62.435
49,2,1,59.937,65.831,59.937,56.925
50,2,1,62.145,66.524,62.145,60.267
0,2,2,55.521,62.895,55.521,48.893
1,2,2,61.83,66.331,61.83,59.349
2,2,2,64.353,64.348,64.353,64.345
3,2,2,65.615,65.614,65.615,65.598
4,2,2,66.246,66.254,66.246,66.218
5,2,2,67.508,67.509,67.508,67.492
6,2,2,67.823,67.822,67.823,67.812
7,2,2,68.139,68.136,68.139,68.131
8,2,2,66.246,66.288,66.246,66.187
9,2,2,64.984,64.981,64.984,64.982
10,2,2,64.669,64.669,64.669,64.646
11,2,2,64.984,65.064,64.984,64.972
12,2,2,64.669,64.711,64.669,64.667
13,2,2,65.931,65.954,65.931,65.932
14,2,2,65.3,65.342,65.3,65.298
15,2,2,67.508,67.524,67.508,67.51
16,2,2,67.823,67.927,67.823,67.807
17,2,2,66.246,66.607,66.246,66.133
18,2,2,66.246,66.744,66.246,66.077
19,2,2,65.615,65.765,65.615,65.58
20,2,2,66.877,66.995,66.877,66.855
21,2,2,67.192,67.294,67.192,67.176
22,2,2,68.139,68.261,68.139,68.118
23,2,2,66.562,66.63,66.562,66.554
24,2,2,66.877,66.893,66.877,66.879
25,2,2,67.192,67.422,67.192,67.135
26,2,2,66.562,66.785,66.562,66.503
27,2,2,66.877,67.185,66.877,66.789
28,2,2,65.931,66.028,65.931,65.914
29,2,2,49.211,24.218,49.211,32.461
30,2,2,49.211,24.218,49.211,32.461
31,2,2,49.211,24.218,49.211,32.461
32,2,2,66.562,66.96,66.562,66.437
33,2,2,66.877,67.315,66.877,66.74
34,2,2,66.877,67.315,66.877,66.74
35,2,2,67.192,67.476,67.192,67.116
36,2,2,66.562,66.896,66.562,66.461
37,2,2,67.192,67.476,67.192,67.116
38,2,2,50.789,54.703,50.789,40.643
39,2,2,50.789,75.394,50.789,35.867
40,2,2,50.789,75.394,50.789,35.867
41,2,2,49.211,49.607,49.211,33.549
42,2,2,51.42,75.553,51.42,37.181
43,2,2,58.991,63.688,58.991,55.627
44,2,2,56.782,64.974,56.782,50.597
45,2,2,49.211,49.607,49.211,33.549
46,2,2,55.205,61.132,55.205,49.176
47,2,2,56.467,65.85,56.467,49.583
48,2,2,54.89,61.56,54.89,48.168
49,2,2,51.104,69.125,51.104,37.015
50,2,2,50.158,75.238,50.158,34.526
0,5,0,57.413,65.904,57.413,51.698
1,5,0,63.722,67.524,63.722,62.012
2,5,0,56.782,56.787,56.782,56.483
3,5,0,70.662,70.692,70.662,70.62
4,5,0,54.259,66.931,54.259,44.861
5,5,0,70.662,70.659,70.662,70.66
6,5,0,53.312,72.927,53.312,41.639
7,5,0,50.789,62.696,50.789,37.6
8,5,0,68.454,68.466,68.454,68.417
9,5,0,70.032,70.026,70.032,70.023
10,5,0,68.454,68.508,68.454,68.382
11,5,0,52.681,67.444,52.681,41.258
12,5,0,52.366,66.86,52.366,40.663
13,5,0,52.366,66.86,52.366,40.663
14,5,0,52.05,66.214,52.05,40.062
15,5,0,53.628,66.001,53.628,43.747
16,5,0,53.628,63.048,53.628,44.778
17,5,0,57.098,65.027,57.098,51.458
18,5,0,62.145,65.254,62.145,60.522
19,5,0,63.722,66.826,63.722,62.314
20,5,0,63.407,64.321,63.407,63.024
0,5,1,52.366,59.674,52.366,44.484
1,5,1,60.252,65.172,60.252,57.769
2,5,1,67.508,67.539,67.508,67.371
3,5,1,69.401,69.431,69.401,69.41
4,5,1,67.508,67.643,67.508,67.274
5,5,1,48.265,75.115,48.265,31.774
6,5,1,70.347,70.347,70.347,70.347
7,5,1,68.139,69.228,68.139,67.929
8,5,1,47.95,22.992,47.95,31.08
9,5,1,66.877,67.921,66.877,66.659
10,5,1,64.669,66.157,64.669,64.237
11,5,1,68.139,68.9,68.139,68.019
12,5,1,65.931,66.995,65.931,65.687
13,5,1,64.353,66.82,64.353,63.519
14,5,1,67.192,68.191,67.192,66.993
15,5,1,66.877,67.811,66.877,66.692
16,5,1,55.836,64.909,55.836,49.72
17,5,1,50.473,75.637,50.473,36.434
18,5,1,60.568,65.45,60.568,58.171
19,5,1,63.722,67.1,63.722,62.468
20,5,1,51.735,61.929,51.735,41.745
0,5,2,55.521,62.895,55.521,48.893
1,5,2,63.722,67.181,63.722,62.06
2,5,2,68.139,68.152,68.139,68.112
3,5,2,56.782,56.942,56.782,56.235
4,5,2,51.42,59.521,51.42,39.855
5,5,2,66.246,66.25,66.246,66.247
6,5,2,55.205,65.834,55.205,46.943
7,5,2,55.205,65.834,55.205,46.943
8,5,2,66.877,66.902,66.877,66.835
9,5,2,58.044,66.34,58.044,52.513
10,5,2,67.823,67.82,67.823,67.819
11,5,2,69.401,69.435,69.401,69.401
12,5,2,69.716,69.762,69.716,69.714
13,5,2,69.401,69.528,69.401,69.381
14,5,2,69.401,69.571,69.401,69.369
15,5,2,65.931,66.716,65.931,65.636
16,5,2,52.05,61.216,52.05,41.034
17,5,2,63.091,63.458,63.091,62.939
18,5,2,63.091,69.436,63.091,60.138
19,5,2,64.984,66.202,64.984,64.463
20,5,2,65.615,66.03,65.615,65.473
0,10,0,57.413,65.904,57.413,51.698
1,10,0,63.407,64.524,63.407,62.921
2,10,0,65.615,67.198,65.615,65.021
3,10,0,62.145,62.447,62.145,62.047
4,10,0,70.347,70.449,70.347,70.26
5,10,0,62.461,64.171,62.461,61.606
6,10,0,58.675,61.137,58.675,56.846
7,10,0,61.514,62.254,61.514,61.16
8,10,0,67.508,69.089,67.508,67.001
9,10,0,69.401,69.72,69.401,69.189
10,10,0,69.401,70.14,69.401,68.992
0,10,1,52.366,59.674,52.366,44.484
1,10,1,60.568,60.772,60.568,60.568
2,10,1,67.508,67.568,67.508,67.341
3,10,1,52.997,55.266,52.997,50.296
4,10,1,66.562,66.85,66.562,66.173
5,10,1,68.139,69.817,68.139,67.06
6,10,1,67.823,68.04,67.823,67.535
7,10,1,69.716,70.214,69.716,69.32
8,10,1,58.044,62.848,58.044,55.048
9,10,1,58.991,64.027,58.991,56.137
10,10,1,65.3,65.802,65.3,64.676
0,10,2,55.521,62.895,55.521,48.893
1,10,2,62.776,63.606,62.776,62.359
2,10,2,64.353,66.044,64.353,63.573
3,10,2,54.259,63.647,54.259,45.662
4,10,2,58.044,67.546,58.044,52.04
5,10,2,61.514,64.797,61.514,59.58
6,10,2,60.252,63.033,60.252,58.374
7,10,2,49.842,56.11,49.842,35.389
8,10,2,63.722,63.943,63.722,63.649
9,10,2,60.883,64.936,60.883,58.409
10,10,2,62.776,63.697,62.776,62.306
0,25,0,57.413,65.904,57.413,51.698
1,25,0,49.842,49.441,49.842,48.429
2,25,0,71.609,71.62,71.609,71.612
3,25,0,55.205,56.013,55.205,52.502
4,25,0,52.366,65.121,52.366,41.068
0,25,1,52.366,59.674,52.366,44.484
1,25,1,55.205,55.037,55.205,54.746
2,25,1,58.36,59.617,58.36,55.627
3,25,1,58.044,58.421,58.044,56.518
4,25,1,65.931,66.047,65.931,65.666
0,25,2,55.521,62.895,55.521,48.893
1,25,2,53.943,54.184,53.943,52.431
2,25,2,56.467,58.251,56.467,53.293
3,25,2,55.205,55.199,55.205,54.981
4,25,2,57.729,58.178,57.729,56.8
