iter,step,fold,acc,prec,rec,f1score
0,2,0,57.413,65.904,57.413,51.698
1,2,0,65.3,65.329,65.3,65.304
2,2,0,64.984,65.024,64.984,64.988
3,2,0,64.984,65.024,64.984,64.988
4,2,0,64.984,65.024,64.984,64.988
5,2,0,64.984,65.024,64.984,64.988
6,2,0,64.984,65.024,64.984,64.988
7,2,0,64.984,65.024,64.984,64.988
8,2,0,64.984,65.024,64.984,64.988
9,2,0,64.984,65.024,64.984,64.988
10,2,0,64.984,65.024,64.984,64.988
11,2,0,64.984,65.024,64.984,64.988
12,2,0,64.984,65.024,64.984,64.988
13,2,0,64.984,65.024,64.984,64.988
14,2,0,64.984,65.024,64.984,64.988
15,2,0,64.984,65.024,64.984,64.988
16,2,0,64.984,65.024,64.984,64.988
17,2,0,64.984,65.024,64.984,64.988
18,2,0,64.984,65.024,64.984,64.988
19,2,0,64.984,65.024,64.984,64.988
20,2,0,64.984,65.024,64.984,64.988
21,2,0,64.984,65.024,64.984,64.988
22,2,0,64.984,65.024,64.984,64.988
23,2,0,64.984,65.024,64.984,64.988
24,2,0,64.984,65.024,64.984,64.988
25,2,0,64.984,65.024,64.984,64.988
26,2,0,64.984,65.024,64.984,64.988
27,2,0,64.984,65.024,64.984,64.988
28,2,0,64.984,65.024,64.984,64.988
29,2,0,64.984,65.024,64.984,64.988
30,2,0,64.984,65.024,64.984,64.988
31,2,0,64.984,65.024,64.984,64.988
32,2,0,64.984,65.024,64.984,64.988
33,2,0,64.984,65.024,64.984,64.988
34,2,0,64.984,65.024,64.984,64.988
35,2,0,64.984,65.024,64.984,64.988
36,2,0,64.984,65.024,64.984,64.988
37,2,0,64.984,65.024,64.984,64.988
38,2,0,64.984,65.024,64.984,64.988
39,2,0,64.984,65.024,64.984,64.988
40,2,0,64.984,65.024,64.984,64.988
41,2,0,64.984,65.024,64.984,64.988
42,2,0,64.984,65.024,64.984,64.988
43,2,0,64.984,65.024,64.984,64.988
44,2,0,64.984,65.024,64.984,64.988
45,2,0,64.984,65.024,64.984,64.988
46,2,0,64.984,65.024,64.984,64.988
47,2,0,64.984,65.024,64.984,64.988
48,2,0,64.984,65.024,64.984,64.988
49,2,0,64.984,65.024,64.984,64.988
50,2,0,64.984,65.024,64.984,64.988
0,2,1,52.366,59.674,52.366,44.484
1,2,1,66.246,66.218,66.246,66.216
2,2,1,66.246,66.218,66.246,66.216
3,2,1,67.192,67.176,67.192,67.117
4,2,1,67.192,67.176,67.192,67.117
5,2,1,67.192,67.176,67.192,67.117
6,2,1,67.192,67.176,67.192,67.117
7,2,1,67.192,67.176,67.192,67.117
8,2,1,67.192,67.176,67.192,67.117
9,2,1,67.192,67.176,67.192,67.117
10,2,1,67.192,67.176,67.192,67.117
11,2,1,67.192,67.176,67.192,67.117
12,2,1,67.192,67.176,67.192,67.117
13,2,1,67.192,67.176,67.192,67.117
14,2,1,67.192,67.176,67.192,67.117
15,2,1,67.192,67.176,67.192,67.117
16,2,1,67.192,67.176,67.192,67.117
17,2,1,67.192,67.176,67.192,67.117
18,2,1,68.139,68.154,68.139,68.031
19,2,1,68.139,68.154,68.139,68.031
20,2,1,68.139,68.154,68.139,68.031
21,2,1,68.139,68.154,68.139,68.031
22,2,1,68.139,68.154,68.139,68.031
23,2,1,68.139,68.154,68.139,68.031
24,2,1,68.139,68.154,68.139,68.031
25,2,1,68.139,68.154,68.139,68.031
26,2,1,68.139,68.154,68.139,68.031
27,2,1,68.139,68.154,68.139,68.031
28,2,1,68.139,68.154,68.139,68.031
29,2,1,68.139,68.154,68.139,68.031
30,2,1,68.139,68.154,68.139,68.031
31,2,1,68.139,68.154,68.139,68.031
32,2,1,68.139,68.154,68.139,68.031
33,2,1,68.139,68.154,68.139,68.031
34,2,1,68.139,68.154,68.139,68.031
35,2,1,68.139,68.154,68.139,68.031
36,2,1,68.139,68.154,68.139,68.031
37,2,1,68.139,68.154,68.139,68.031
38,2,1,68.139,68.154,68.139,68.031
39,2,1,68.139,68.154,68.139,68.031
40,2,1,68.139,68.154,68.139,68.031
41,2,1,68.139,68.154,68.139,68.031
42,2,1,68.139,68.154,68.139,68.031
43,2,1,68.139,68.154,68.139,68.031
44,2,1,68.139,68.154,68.139,68.031
45,2,1,68.139,68.154,68.139,68.031
46,2,1,68.139,68.154,68.139,68.031
47,2,1,68.139,68.154,68.139,68.031
48,2,1,68.139,68.154,68.139,68.031
49,2,1,68.139,68.154,68.139,68.031
50,2,1,68.139,68.154,68.139,68.031
0,2,2,55.521,62.895,55.521,48.893
1,2,2,64.038,64.033,64.038,64.033
2,2,2,64.038,64.033,64.038,64.033
3,2,2,64.038,64.033,64.038,64.033
4,2,2,64.038,64.033,64.038,64.033
5,2,2,64.038,64.033,64.038,64.033
6,2,2,64.038,64.033,64.038,64.033
7,2,2,64.038,64.033,64.038,64.033
8,2,2,64.984,64.989,64.984,64.955
9,2,2,64.984,65.0,64.984,64.986
10,2,2,64.984,65.0,64.984,64.986
11,2,2,64.984,65.0,64.984,64.986
12,2,2,64.984,65.0,64.984,64.986
13,2,2,64.984,65.0,64.984,64.986
14,2,2,64.984,65.0,64.984,64.986
15,2,2,64.984,65.0,64.984,64.986
16,2,2,64.984,65.0,64.984,64.986
17,2,2,66.246,66.245,66.246,66.229
18,2,2,66.246,66.245,66.246,66.229
19,2,2,66.246,66.245,66.246,66.229
20,2,2,66.246,66.245,66.246,66.229
21,2,2,66.246,66.245,66.246,66.229
22,2,2,66.246,66.245,66.246,66.229
23,2,2,66.246,66.245,66.246,66.229
24,2,2,66.246,66.245,66.246,66.229
25,2,2,66.246,66.245,66.246,66.229
26,2,2,66.246,66.245,66.246,66.229
27,2,2,66.246,66.245,66.246,66.229
28,2,2,66.246,66.245,66.246,66.229
29,2,2,66.246,66.245,66.246,66.229
30,2,2,66.246,66.245,66.246,66.229
31,2,2,66.246,66.245,66.246,66.229
32,2,2,66.246,66.245,66.246,66.229
33,2,2,66.246,66.245,66.246,66.229
34,2,2,66.246,66.245,66.246,66.229
35,2,2,66.246,66.245,66.246,66.229
36,2,2,66.246,66.245,66.246,66.229
37,2,2,66.246,66.245,66.246,66.229
38,2,2,66.246,66.245,66.246,66.229
39,2,2,66.246,66.245,66.246,66.229
40,2,2,66.246,66.245,66.246,66.229
41,2,2,66.246,66.245,66.246,66.229
42,2,2,66.246,66.245,66.246,66.229
43,2,2,66.246,66.245,66.246,66.229
44,2,2,66.246,66.245,66.246,66.229
45,2,2,66.246,66.245,66.246,66.229
46,2,2,66.246,66.245,66.246,66.229
47,2,2,66.246,66.245,66.246,66.229
48,2,2,66.246,66.245,66.246,66.229
49,2,2,66.246,66.245,66.246,66.229
50,2,2,66.246,66.245,66.246,66.229
0,5,0,57.413,65.904,57.413,51.698
1,5,0,69.085,69.118,69.085,69.033
2,5,0,69.085,69.118,69.085,69.033
3,5,0,69.085,69.118,69.085,69.033
4,5,0,69.085,69.118,69.085,69.033
5,5,0,69.085,69.118,69.085,69.033
6,5,0,69.085,69.118,69.085,69.033
7,5,0,69.085,69.118,69.085,69.033
8,5,0,69.085,69.099,69.085,69.048
9,5,0,69.085,69.099,69.085,69.048
10,5,0,69.085,69.099,69.085,69.048
11,5,0,69.085,69.099,69.085,69.048
12,5,0,66.562,66.591,66.562,66.566
13,5,0,66.877,66.942,66.877,66.877
14,5,0,66.877,66.942,66.877,66.877
15,5,0,66.877,66.942,66.877,66.877
16,5,0,66.877,66.942,66.877,66.877
17,5,0,66.877,66.942,66.877,66.877
18,5,0,66.877,66.942,66.877,66.877
19,5,0,66.877,66.942,66.877,66.877
20,5,0,66.877,66.942,66.877,66.877
0,5,1,52.366,59.674,52.366,44.484
1,5,1,64.669,64.669,64.669,64.669
2,5,1,64.669,64.669,64.669,64.669
3,5,1,66.562,66.581,66.562,66.569
4,5,1,65.615,65.744,65.615,65.328
5,5,1,65.615,65.744,65.615,65.328
6,5,1,65.615,65.744,65.615,65.328
7,5,1,65.615,65.744,65.615,65.328
8,5,1,65.615,65.744,65.615,65.328
9,5,1,65.615,65.744,65.615,65.328
10,5,1,65.615,65.744,65.615,65.328
11,5,1,65.615,65.744,65.615,65.328
12,5,1,65.615,65.744,65.615,65.328
13,5,1,65.615,65.744,65.615,65.328
14,5,1,65.615,65.744,65.615,65.328
15,5,1,65.615,65.744,65.615,65.328
16,5,1,65.615,65.744,65.615,65.328
17,5,1,65.615,65.744,65.615,65.328
18,5,1,65.615,65.744,65.615,65.328
19,5,1,65.615,65.744,65.615,65.328
20,5,1,65.615,65.744,65.615,65.328
0,5,2,55.521,62.895,55.521,48.893
1,5,2,64.038,64.038,64.038,64.038
2,5,2,64.038,64.038,64.038,64.038
3,5,2,64.984,64.989,64.984,64.955
4,5,2,64.984,64.989,64.984,64.955
5,5,2,67.823,67.863,67.823,67.775
6,5,2,67.823,67.863,67.823,67.775
7,5,2,67.823,67.863,67.823,67.775
8,5,2,67.823,67.863,67.823,67.775
9,5,2,67.823,67.863,67.823,67.775
10,5,2,67.823,67.863,67.823,67.775
11,5,2,67.823,67.863,67.823,67.775
12,5,2,67.823,67.863,67.823,67.775
13,5,2,67.823,67.863,67.823,67.775
14,5,2,67.823,67.863,67.823,67.775
15,5,2,67.823,67.863,67.823,67.775
16,5,2,67.823,67.863,67.823,67.775
17,5,2,67.823,67.863,67.823,67.775
18,5,2,67.823,67.863,67.823,67.775
19,5,2,67.823,67.863,67.823,67.775
20,5,2,67.823,67.863,67.823,67.775
0,10,0,57.413,65.904,57.413,51.698
1,10,0,68.77,68.791,68.77,68.725
2,10,0,68.77,68.791,68.77,68.725
3,10,0,68.77,68.791,68.77,68.725
4,10,0,69.401,69.397,69.401,69.398
5,10,0,69.401,69.397,69.401,69.398
6,10,0,67.823,67.835,67.823,67.827
7,10,0,67.823,67.835,67.823,67.827
8,10,0,70.347,70.347,70.347,70.347
9,10,0,70.347,70.347,70.347,70.347
10,10,0,70.347,70.347,70.347,70.347
0,10,1,52.366,59.674,52.366,44.484
1,10,1,67.823,67.846,67.823,67.701
2,10,1,67.823,67.846,67.823,67.701
3,10,1,65.931,65.979,65.931,65.74
4,10,1,63.407,63.409,63.407,63.202
5,10,1,63.407,63.409,63.407,63.202
6,10,1,63.407,63.409,63.407,63.202
7,10,1,64.353,64.413,64.353,64.097
8,10,1,64.353,64.413,64.353,64.097
9,10,1,64.353,64.413,64.353,64.097
10,10,1,64.353,64.413,64.353,64.097
0,10,2,55.521,62.895,55.521,48.893
1,10,2,64.984,65.018,64.984,64.923
2,10,2,64.984,65.018,64.984,64.923
3,10,2,64.984,65.018,64.984,64.923
4,10,2,64.984,65.018,64.984,64.923
5,10,2,64.984,65.018,64.984,64.923
6,10,2,68.454,68.454,68.454,68.454
7,10,2,68.454,68.454,68.454,68.454
8,10,2,68.454,68.454,68.454,68.454
9,10,2,68.454,68.454,68.454,68.454
10,10,2,68.454,68.454,68.454,68.454
0,25,0,57.413,65.904,57.413,51.698
1,25,0,69.401,69.448,69.401,69.34
2,25,0,69.401,69.448,69.401,69.34
3,25,0,70.032,70.028,70.032,70.029
4,25,0,70.662,70.855,70.662,70.64
0,25,1,52.366,59.674,52.366,44.484
1,25,1,66.246,66.315,66.246,66.04
2,25,1,66.246,66.315,66.246,66.04
3,25,1,66.562,66.541,66.562,66.485
4,25,1,65.3,65.268,65.3,65.26
0,25,2,55.521,62.895,55.521,48.893
1,25,2,55.521,62.895,55.521,48.893
2,25,2,66.562,66.565,66.562,66.54
3,25,2,66.562,66.565,66.562,66.54
4,25,2,66.562,66.565,66.562,66.54
