iter,step,fold,acc,prec,rec,f1score
0,2,0,57.413,65.904,57.413,51.698
1,2,0,69.085,69.085,69.085,69.085
2,2,0,49.527,55.992,49.527,35.041
3,2,0,48.896,23.908,48.896,32.114
4,2,0,68.454,68.454,68.454,68.454
5,2,0,67.192,67.204,67.192,67.196
6,2,0,54.89,62.361,54.89,48.053
7,2,0,52.681,62.213,52.681,42.781
8,2,0,69.401,69.409,69.401,69.371
9,2,0,69.716,69.712,69.716,69.703
10,2,0,49.211,53.177,49.211,34.385
11,2,0,49.211,53.177,49.211,34.385
12,2,0,64.669,65.064,64.669,64.273
13,2,0,61.83,61.9,61.83,61.641
14,2,0,48.896,23.908,48.896,32.114
15,2,0,49.211,54.64,49.211,33.875
16,2,0,64.038,64.471,64.038,63.584
17,2,0,64.353,64.705,64.353,63.978
18,2,0,64.353,64.705,64.353,63.978
19,2,0,52.366,71.943,52.366,39.819
20,2,0,51.104,75.552,51.104,36.831
21,2,0,50.473,75.395,50.473,35.518
22,2,0,50.789,75.473,50.789,36.178
23,2,0,50.789,75.473,50.789,36.178
24,2,0,50.158,66.799,50.158,35.359
25,2,0,50.158,66.799,50.158,35.359
26,2,0,50.473,68.094,50.473,36.016
27,2,0,50.473,75.395,50.473,35.518
28,2,0,68.139,68.178,68.139,68.076
29,2,0,68.139,68.178,68.139,68.076
30,2,0,50.789,69.085,50.789,36.665
31,2,0,67.823,67.822,67.823,67.798
32,2,0,68.139,68.135,68.139,68.12
33,2,0,48.896,23.908,48.896,32.114
34,2,0,48.896,23.908,48.896,32.114
35,2,0,48.896,23.908,48.896,32.114
36,2,0,66.246,66.251,66.246,66.248
37,2,0,65.615,65.611,65.615,65.612
38,2,0,48.896,23.908,48.896,32.114
39,2,0,59.621,61.73,59.621,58.209
40,2,0,60.568,68.867,60.568,56.296
41,2,0,52.997,64.941,52.997,42.614
42,2,0,54.89,64.169,54.89,47.203
43,2,0,63.722,67.047,63.722,62.217
44,2,0,66.877,70.319,66.877,65.677
45,2,0,52.366,60.032,52.366,42.932
46,2,0,64.984,66.028,64.984,64.594
47,2,0,65.615,70.149,65.615,63.892
48,2,0,62.461,63.792,62.461,61.812
49,2,0,62.461,66.999,62.461,60.22
50,2,0,66.246,70.938,66.246,64.554
0,2,1,52.366,59.674,52.366,44.484
1,2,1,50.158,57.431,50.158,39.269
2,2,1,66.246,66.238,66.246,66.241
3,2,1,67.192,67.178,67.192,67.183
4,2,1,67.508,67.64,67.508,67.52
5,2,1,67.823,67.843,67.823,67.83
6,2,1,66.246,66.306,66.246,66.26
7,2,1,68.77,68.829,68.77,68.782
8,2,1,69.085,69.241,69.085,69.094
9,2,1,68.139,68.368,68.139,68.139
10,2,1,70.347,70.335,70.347,70.338
11,2,1,67.823,68.139,67.823,67.808
12,2,1,67.823,68.08,67.823,67.819
13,2,1,66.246,66.583,66.246,66.223
14,2,1,67.192,67.505,67.192,67.177
15,2,1,68.139,68.559,68.139,68.103
16,2,1,47.95,22.992,47.95,31.08
17,2,1,70.032,70.125,70.032,70.044
18,2,1,68.454,69.081,68.454,68.371
19,2,1,66.877,67.811,66.877,66.692
20,2,1,67.192,68.191,67.192,66.993
21,2,1,68.454,69.882,68.454,68.154
22,2,1,68.139,69.482,68.139,67.856
23,2,1,67.508,68.461,67.508,67.327
24,2,1,67.508,68.461,67.508,67.327
25,2,1,69.401,70.803,69.401,69.129
26,2,1,68.454,70.026,68.454,68.113
27,2,1,68.454,69.495,68.454,68.263
28,2,1,67.823,68.961,67.823,67.594
29,2,1,65.931,66.599,65.931,65.816
30,2,1,67.508,68.574,67.508,67.294
31,2,1,67.508,67.854,67.508,67.486
32,2,1,68.139,68.559,68.139,68.103
33,2,1,66.246,66.648,66.246,66.208
34,2,1,66.562,66.933,66.562,66.532
35,2,1,66.877,67.52,66.877,66.778
36,2,1,66.246,66.877,66.246,66.145
37,2,1,67.192,67.981,67.192,67.055
38,2,1,52.05,57.868,52.05,44.854
39,2,1,49.842,56.529,49.842,38.687
