iter,step,fold,acc,prec,rec,f1score
0,2,0,65.3,65.409,65.3,65.289
1,2,0,65.3,65.446,65.3,65.279
2,2,0,62.776,62.768,62.776,62.769
3,2,0,65.615,65.793,65.615,65.412
4,2,0,63.722,66.229,63.722,62.584
5,2,0,64.669,65.131,64.669,64.525
6,2,0,64.353,64.347,64.353,64.318
7,2,0,64.038,65.085,64.038,63.612
8,2,0,60.252,60.576,60.252,60.122
9,2,0,61.199,65.096,61.199,59.011
10,2,0,63.091,66.077,63.091,61.659
11,2,0,65.615,65.783,65.615,65.588
12,2,0,70.032,70.083,70.032,69.972
13,2,0,66.246,66.376,66.246,66.231
14,2,0,67.508,68.46,67.508,66.915
15,2,0,70.347,70.449,70.347,70.26
16,2,0,63.722,64.134,63.722,63.589
17,2,0,64.984,64.98,64.984,64.981
18,2,0,67.823,67.935,67.823,67.705
19,2,0,65.931,66.053,65.931,65.777
20,2,0,54.259,55.674,54.259,52.361
21,2,0,65.615,66.211,65.615,65.43
22,2,0,66.246,66.245,66.246,66.213
23,2,0,66.562,66.736,66.562,66.381
24,2,0,71.293,71.386,71.293,71.219
25,2,0,65.931,66.247,65.931,65.637
26,2,0,68.139,68.274,68.139,68.009
27,2,0,65.931,66.379,65.931,65.549
28,2,0,63.407,64.228,63.407,63.07
29,2,0,53.312,54.993,53.312,50.603
30,2,0,66.246,66.311,66.246,66.246
31,2,0,60.252,65.348,60.252,57.236
32,2,0,57.729,63.553,57.729,53.448
33,2,0,63.722,64.344,63.722,63.491
34,2,0,54.89,59.646,54.89,49.782
35,2,0,65.615,67.198,65.615,65.021
36,2,0,63.722,65.567,63.722,62.896
37,2,0,64.984,64.989,64.984,64.934
38,2,0,54.259,56.526,54.259,51.212
39,2,0,55.836,56.122,55.836,55.656
40,2,0,62.776,62.912,62.776,62.538
41,2,0,53.943,61.015,53.943,46.538
42,2,0,54.574,57.844,54.574,50.576
43,2,0,61.199,62.775,61.199,60.315
44,2,0,59.937,60.507,59.937,59.639
45,2,0,59.306,61.582,59.306,57.726
46,2,0,62.461,62.912,62.461,61.902
47,2,0,63.091,63.772,63.091,62.817
48,2,0,61.514,61.732,61.514,61.134
49,2,0,62.776,62.879,62.776,62.765
50,2,0,66.246,66.393,66.246,66.079
0,2,1,67.508,67.539,67.508,67.518
1,2,1,67.508,67.539,67.508,67.518
2,2,1,67.508,67.488,67.508,67.444
3,2,1,58.36,58.537,58.36,58.365
4,2,1,57.729,58.624,57.729,57.327
5,2,1,57.729,57.777,57.729,57.744
6,2,1,68.77,68.903,68.77,68.781
7,2,1,63.407,63.527,63.407,63.032
8,2,1,55.205,57.381,55.205,53.367
9,2,1,68.77,68.791,68.77,68.664
10,2,1,63.407,63.49,63.407,63.079
11,2,1,58.044,59.772,58.044,57.062
12,2,1,58.36,59.134,58.36,58.062
13,2,1,68.139,68.135,68.139,68.055
14,2,1,56.782,58.695,56.782,55.494
15,2,1,67.508,67.689,67.508,67.237
16,2,1,69.716,69.716,69.716,69.646
17,2,1,70.662,70.872,70.662,70.452
18,2,1,54.259,59.938,54.259,49.015
19,2,1,50.473,51.842,50.473,47.941
20,2,1,56.467,57.443,56.467,55.935
21,2,1,53.943,56.572,53.943,51.221
22,2,1,70.347,70.433,70.347,70.209
23,2,1,51.104,54.936,51.104,44.737
24,2,1,65.615,65.675,65.615,65.629
25,2,1,58.36,58.576,58.36,58.354
26,2,1,63.091,63.984,63.091,61.931
27,2,1,67.508,67.689,67.508,67.237
28,2,1,70.032,70.284,70.032,69.781
29,2,1,59.621,59.572,59.621,59.575
30,2,1,53.312,59.036,53.312,47.358
31,2,1,54.89,55.735,54.89,54.37
32,2,1,55.836,59.445,55.836,52.922
33,2,1,51.735,57.349,51.735,44.347
34,2,1,57.413,57.607,57.413,57.413
35,2,1,57.413,57.687,57.413,57.384
36,2,1,54.574,55.055,54.574,54.384
37,2,1,49.211,50.664,49.211,44.782
38,2,1,53.943,55.562,53.943,52.407
39,2,1,48.58,49.371,48.58,46.4
40,2,1,51.104,51.929,51.104,50.147
41,2,1,52.05,66.111,52.05,41.196
42,2,1,54.574,55.936,54.574,53.465
43,2,1,54.574,55.371,54.574,54.082
44,2,1,55.521,55.781,55.521,55.49
45,2,1,56.467,56.755,56.467,56.428
46,2,1,59.306,59.246,59.306,59.013
47,2,1,59.621,59.935,59.621,59.585
48,2,1,50.158,51.224,50.158,48.245
49,2,1,58.36,58.436,58.36,58.377
50,2,1,58.675,58.665,58.675,58.669
0,2,2,66.246,66.262,66.246,66.248
1,2,2,65.931,65.974,65.931,65.929
2,2,2,63.091,63.167,63.091,63.078
3,2,2,61.199,61.27,61.199,61.185
4,2,2,61.199,61.638,61.199,60.968
5,2,2,64.038,64.234,64.038,63.824
6,2,2,65.615,65.622,65.615,65.586
7,2,2,66.562,66.617,66.562,66.493
8,2,2,62.145,62.231,62.145,62.126
9,2,2,61.199,61.295,61.199,61.173
10,2,2,61.199,61.191,61.199,61.179
11,2,2,61.199,61.48,61.199,61.069
12,2,2,67.823,67.83,67.823,67.802
13,2,2,53.312,54.732,53.312,50.673
14,2,2,51.42,57.279,51.42,41.033
15,2,2,64.353,64.357,64.353,64.355
16,2,2,66.562,66.594,66.562,66.511
17,2,2,63.091,63.132,63.091,63.005
18,2,2,66.246,66.362,66.246,66.224
19,2,2,54.259,54.948,54.259,53.258
20,2,2,65.931,66.878,65.931,65.308
21,2,2,52.366,53.019,52.366,50.922
22,2,2,56.782,57.028,56.782,56.604
23,2,2,51.104,53.898,51.104,43.219
24,2,2,58.044,58.241,58.044,57.933
25,2,2,50.789,51.494,50.789,48.007
26,2,2,56.782,57.103,56.782,56.526
27,2,2,53.628,54.015,53.628,53.076
28,2,2,54.259,54.642,54.259,53.776
29,2,2,67.508,68.02,67.508,67.185
30,2,2,59.621,59.62,59.621,59.561
31,2,2,57.729,58.496,57.729,57.066
32,2,2,64.669,65.338,64.669,64.141
33,2,2,61.83,63.795,61.83,60.124
34,2,2,55.521,55.742,55.521,55.337
35,2,2,63.091,64.674,63.091,61.834
36,2,2,55.521,56.696,55.521,54.068
37,2,2,59.937,60.479,59.937,59.169
38,2,2,48.265,48.19,48.265,44.622
39,2,2,50.158,50.58,50.158,48.084
40,2,2,45.11,41.336,45.11,37.413
41,2,2,59.306,59.996,59.306,58.822
42,2,2,56.151,56.673,56.151,55.629
43,2,2,53.312,55.215,53.312,49.85
44,2,2,53.312,53.312,53.312,53.312
45,2,2,56.151,56.534,56.151,55.797
46,2,2,57.729,58.012,57.729,57.536
47,2,2,59.621,59.696,59.621,59.419
48,2,2,59.306,59.396,59.306,59.279
49,2,2,58.675,60.667,58.675,56.183
50,2,2,59.621,59.898,59.621,59.139
0,5,0,65.3,65.409,65.3,65.289
1,5,0,65.931,66.079,65.931,65.91
2,5,0,68.454,68.536,68.454,68.452
3,5,0,73.186,73.205,73.186,73.16
4,5,0,62.461,63.119,62.461,62.181
5,5,0,72.24,72.24,72.24,72.24
6,5,0,68.139,68.319,68.139,68.114
7,5,0,66.877,67.327,66.877,66.528
8,5,0,65.615,67.198,65.615,65.021
9,5,0,66.562,67.517,66.562,66.254
10,5,0,73.817,74.096,73.817,73.687
11,5,0,74.763,74.963,74.763,74.67
12,5,0,54.574,60.991,54.574,48.092
13,5,0,57.729,62.886,57.729,53.827
14,5,0,53.628,60.531,53.628,46.026
15,5,0,75.394,76.995,75.394,74.924
16,5,0,56.467,56.694,56.467,56.354
17,5,0,56.782,62.533,56.782,52.1
18,5,0,60.252,61.562,60.252,59.461
19,5,0,52.05,57.774,52.05,43.4
20,5,0,57.729,61.544,57.729,54.682
0,5,1,67.508,67.539,67.508,67.518
1,5,1,66.562,67.156,66.562,66.474
2,5,1,70.978,71.167,70.978,70.785
3,5,1,68.77,68.779,68.77,68.773
4,5,1,52.681,59.695,52.681,45.294
5,5,1,70.662,70.703,70.662,70.563
6,5,1,68.454,68.474,68.454,68.461
7,5,1,65.3,65.594,65.3,64.846
8,5,1,70.662,70.819,70.662,70.483
9,5,1,70.978,71.29,70.978,70.718
10,5,1,68.139,68.394,68.139,67.833
11,5,1,56.467,57.37,56.467,55.996
12,5,1,64.669,64.993,64.669,64.152
13,5,1,65.3,65.726,65.3,64.735
14,5,1,54.259,55.466,54.259,53.278
15,5,1,48.896,75.262,48.896,33.139
16,5,1,48.58,75.188,48.58,32.46
17,5,1,48.58,75.188,48.58,32.46
18,5,1,56.782,57.187,56.782,56.683
19,5,1,50.158,51.224,50.158,48.245
20,5,1,51.104,53.427,51.104,47.042
0,5,2,66.246,66.262,66.246,66.248
1,5,2,65.931,65.998,65.931,65.922
2,5,2,72.871,72.97,72.871,72.815
3,5,2,70.347,70.423,70.347,70.34
4,5,2,70.347,70.458,70.347,70.332
5,5,2,69.085,69.158,69.085,69.078
6,5,2,69.401,69.435,69.401,69.401
7,5,2,57.098,63.031,57.098,52.227
8,5,2,53.628,59.27,53.628,46.438
9,5,2,49.527,75.083,49.527,33.157
10,5,2,65.931,65.927,65.931,65.918
11,5,2,63.722,63.754,63.722,63.722
12,5,2,62.461,62.934,62.461,62.238
13,5,2,59.306,62.525,59.306,56.939
14,5,2,63.722,63.774,63.722,63.717
15,5,2,55.521,57.63,55.521,52.933
16,5,2,52.05,52.897,52.05,49.922
17,5,2,51.735,54.043,51.735,45.888
18,5,2,50.789,52.953,50.789,43.308
19,5,2,53.628,59.27,53.628,46.438
20,5,2,48.896,47.818,48.896,35.845
0,10,0,65.3,65.409,65.3,65.289
1,10,0,71.293,71.59,71.293,71.124
2,10,0,69.716,69.728,69.716,69.719
3,10,0,74.448,74.567,74.448,74.382
4,10,0,69.401,69.395,69.401,69.391
5,10,0,55.521,61.063,55.521,50.261
6,10,0,64.984,65.757,64.984,64.346
7,10,0,48.58,47.038,48.58,34.561
8,10,0,57.098,57.764,57.098,56.59
9,10,0,57.413,63.984,57.413,52.592
10,10,0,59.306,63.599,59.306,56.448
0,10,1,67.508,67.539,67.508,67.518
1,10,1,69.716,69.93,69.716,69.481
2,10,1,68.139,68.116,68.139,68.11
3,10,1,70.347,70.433,70.347,70.209
4,10,1,58.044,58.916,58.044,57.671
5,10,1,70.032,70.284,70.032,69.781
6,10,1,53.312,54.202,53.312,52.599
7,10,1,58.991,59.348,58.991,58.933
8,10,1,55.836,56.203,55.836,55.749
9,10,1,57.098,57.64,57.098,56.918
10,10,1,58.36,58.383,58.36,58.369
0,10,2,66.246,66.262,66.246,66.248
1,10,2,68.77,69.171,68.77,68.535
2,10,2,68.77,68.786,68.77,68.772
3,10,2,64.038,64.036,64.038,64.014
4,10,2,63.722,64.555,63.722,63.027
5,10,2,51.104,51.839,51.104,48.572
6,10,2,50.473,50.97,50.473,48.344
7,10,2,50.789,52.822,50.789,43.602
8,10,2,51.42,51.988,51.42,49.775
9,10,2,56.782,57.965,56.782,55.569
10,10,2,62.776,62.769,62.776,62.763
0,25,0,65.3,65.409,65.3,65.289
1,25,0,71.609,71.616,71.609,71.587
2,25,0,67.192,67.222,67.192,67.196
3,25,0,68.139,68.427,68.139,67.918
4,25,0,64.353,64.373,64.353,64.358
0,25,1,67.508,67.539,67.508,67.518
1,25,1,67.192,67.176,67.192,67.117
2,25,1,67.508,67.568,67.508,67.341
3,25,1,73.502,73.634,73.502,73.378
