iter,step,fold,acc,prec,rec,f1score
0,2,0,88.959,89.024,88.959,88.948
1,2,0,89.905,89.909,89.905,89.904
2,2,0,93.691,93.933,93.691,93.676
3,2,0,93.375,93.576,93.375,93.362
4,2,0,92.114,92.71,92.114,92.075
5,2,0,92.114,92.479,92.114,92.088
6,2,0,90.536,91.462,90.536,90.466
7,2,0,90.536,91.045,90.536,90.494
8,2,0,91.798,92.455,91.798,91.754
9,2,0,92.114,92.71,92.114,92.075
10,2,0,91.483,92.203,91.483,91.432
11,2,0,91.798,92.455,91.798,91.754
12,2,0,90.852,91.707,90.852,90.788
13,2,0,89.59,90.413,89.59,89.518
14,2,0,89.59,90.028,89.59,89.547
15,2,0,90.536,90.838,90.536,90.508
16,2,0,90.852,90.923,90.852,90.843
17,2,0,90.536,90.629,90.536,90.525
18,2,0,90.852,90.923,90.852,90.843
19,2,0,90.852,90.923,90.852,90.843
20,2,0,90.221,90.254,90.221,90.215
21,2,0,90.852,90.923,90.852,90.843
22,2,0,90.536,90.587,90.536,90.529
23,2,0,90.536,90.587,90.536,90.529
24,2,0,89.905,89.925,89.905,89.901
25,2,0,90.221,90.254,90.221,90.215
26,2,0,89.59,89.6,89.59,89.587
27,2,0,89.905,89.925,89.905,89.901
28,2,0,89.59,89.6,89.59,89.587
29,2,0,90.852,90.923,90.852,90.843
30,2,0,90.221,90.254,90.221,90.215
31,2,0,90.852,90.923,90.852,90.843
32,2,0,90.221,90.254,90.221,90.215
33,2,0,90.852,90.923,90.852,90.843
34,2,0,90.852,90.923,90.852,90.843
35,2,0,90.852,90.923,90.852,90.843
36,2,0,90.852,90.923,90.852,90.843
37,2,0,90.852,90.923,90.852,90.843
38,2,0,90.221,90.254,90.221,90.215
39,2,0,90.536,90.629,90.536,90.525
40,2,0,89.905,89.954,89.905,89.898
41,2,0,90.536,90.629,90.536,90.525
42,2,0,89.905,89.954,89.905,89.898
43,2,0,90.536,90.629,90.536,90.525
44,2,0,89.905,89.954,89.905,89.898
45,2,0,90.221,90.254,90.221,90.215
46,2,0,90.221,90.254,90.221,90.215
47,2,0,90.221,90.29,90.221,90.211
48,2,0,89.59,89.657,89.59,89.58
49,2,0,89.905,90.051,89.905,89.888
50,2,0,89.905,89.996,89.905,89.893
0,2,1,89.274,89.314,89.274,89.262
1,2,1,90.221,90.282,90.221,90.207
2,2,1,90.852,91.1,90.852,90.821
3,2,1,91.483,91.66,91.483,91.46
4,2,1,89.59,90.009,89.59,89.537
5,2,1,90.536,90.823,90.536,90.5
6,2,1,88.328,88.956,88.328,88.244
7,2,1,88.013,88.571,88.013,87.933
8,2,1,86.12,86.89,86.12,85.996
9,2,1,83.281,84.667,83.281,83.023
10,2,1,87.382,88.19,87.382,87.269
11,2,1,88.328,88.956,88.328,88.244
12,2,1,89.274,89.742,89.274,89.214
13,2,1,89.274,89.742,89.274,89.214
14,2,1,88.644,88.997,88.644,88.591
15,2,1,88.644,88.997,88.644,88.591
16,2,1,88.959,89.117,88.959,88.93
17,2,1,88.959,89.117,88.959,88.93
18,2,1,88.644,88.832,88.644,88.609
19,2,1,89.274,89.547,89.274,89.234
20,2,1,88.013,88.085,88.013,87.992
21,2,1,88.959,89.06,88.959,88.937
22,2,1,87.697,87.913,87.697,87.655
23,2,1,88.328,88.481,88.328,88.297
24,2,1,88.013,88.134,88.013,87.985
25,2,1,87.697,87.913,87.697,87.655
26,2,1,87.382,87.499,87.382,87.353
27,2,1,86.12,86.355,86.12,86.067
28,2,1,85.489,85.717,85.489,85.434
29,2,1,85.804,86.162,85.804,85.732
30,2,1,85.174,85.436,85.174,85.111
31,2,1,87.066,87.353,87.066,87.012
32,2,1,86.12,86.531,86.12,86.042
33,2,1,86.435,86.803,86.435,86.366
34,2,1,85.804,86.162,85.804,85.732
35,2,1,87.066,87.353,87.066,87.012
36,2,1,85.489,85.797,85.489,85.421
37,2,1,86.12,86.286,86.12,86.078
38,2,1,85.489,85.594,85.489,85.456
39,2,1,85.174,85.302,85.174,85.134
40,2,1,84.543,84.619,84.543,84.512
41,2,1,85.489,85.65,85.489,85.445
42,2,1,84.858,85.013,84.858,84.813
43,2,1,85.489,85.65,85.489,85.445
44,2,1,83.596,83.802,83.596,83.534
45,2,1,83.912,84.157,83.912,83.844
46,2,1,82.65,82.759,82.65,82.604
47,2,1,83.281,83.451,83.281,83.224
48,2,1,82.334,82.418,82.334,82.294
49,2,1,82.65,82.759,82.65,82.604
50,2,1,82.334,82.418,82.334,82.294
0,2,2,91.483,91.753,91.483,91.463
1,2,2,93.375,93.51,93.375,93.367
2,2,2,92.429,92.591,92.429,92.418
3,2,2,92.744,92.876,92.744,92.735
4,2,2,88.959,89.508,88.959,88.909
5,2,2,88.959,89.635,88.959,88.899
6,2,2,86.751,88.279,86.751,86.593
7,2,2,87.066,88.509,87.066,86.921
8,2,2,85.489,87.379,85.489,85.272
9,2,2,86.435,88.051,86.435,86.264
10,2,2,85.804,87.601,85.804,85.603
11,2,2,86.751,88.279,86.751,86.593
12,2,2,87.382,88.74,87.382,87.248
13,2,2,87.697,89.167,87.697,87.559
14,2,2,87.697,89.167,87.697,87.559
15,2,2,87.697,89.167,87.697,87.559
16,2,2,88.013,89.397,88.013,87.886
17,2,2,89.274,90.338,89.274,89.188
18,2,2,89.274,90.338,89.274,89.188
19,2,2,89.905,90.988,89.905,89.824
20,2,2,89.59,90.579,89.59,89.512
21,2,2,90.221,91.067,90.221,90.158
22,2,2,89.59,90.579,89.59,89.512
23,2,2,90.221,91.067,90.221,90.158
24,2,2,89.905,90.822,89.905,89.835
25,2,2,90.221,91.067,90.221,90.158
26,2,2,89.59,90.421,89.59,89.523
27,2,2,89.905,90.822,89.905,89.835
28,2,2,90.221,91.227,90.221,90.147
29,2,2,89.905,90.988,89.905,89.824
30,2,2,89.274,90.516,89.274,89.175
31,2,2,89.905,90.988,89.905,89.824
32,2,2,90.221,91.227,90.221,90.147
33,2,2,90.536,91.469,90.536,90.47
34,2,2,89.905,90.988,89.905,89.824
35,2,2,89.274,90.516,89.274,89.175
36,2,2,89.905,90.988,89.905,89.824
37,2,2,89.59,90.751,89.59,89.499
38,2,2,88.644,89.688,88.644,88.552
39,2,2,89.274,90.174,89.274,89.2
40,2,2,89.274,90.026,89.274,89.211
41,2,2,89.59,90.278,89.59,89.533
42,2,2,88.959,89.775,88.959,88.888
43,2,2,89.274,90.026,89.274,89.211
44,2,2,88.959,89.635,88.959,88.899
45,2,2,89.59,90.278,89.59,89.533
46,2,2,89.59,90.278,89.59,89.533
47,2,2,89.59,90.278,89.59,89.533
48,2,2,88.959,89.775,88.959,88.888
49,2,2,89.274,90.026,89.274,89.211
50,2,2,88.644,89.527,88.644,88.564
0,5,0,88.959,89.024,88.959,88.948
1,5,0,89.59,89.59,89.59,89.589
2,5,0,93.06,93.49,93.06,93.034
3,5,0,92.744,93.022,92.744,92.726
4,5,0,91.167,92.11,91.167,91.101
5,5,0,91.798,92.212,91.798,91.768
6,5,0,91.167,91.32,91.167,91.152
7,5,0,90.852,91.203,90.852,90.822
8,5,0,90.221,90.401,90.221,90.201
9,5,0,90.852,90.863,90.852,90.849
10,5,0,90.536,90.629,90.536,90.525
11,5,0,91.483,91.518,91.483,91.478
12,5,0,91.167,91.263,91.167,91.157
13,5,0,91.483,91.606,91.483,91.47
14,5,0,90.852,90.973,90.852,90.839
15,5,0,91.167,91.32,91.167,91.152
16,5,0,90.852,90.973,90.852,90.839
17,5,0,91.167,91.32,91.167,91.152
18,5,0,90.221,90.401,90.221,90.201
19,5,0,89.274,89.484,89.274,89.25
20,5,0,87.697,87.931,87.697,87.665
0,5,1,89.274,89.314,89.274,89.262
1,5,1,90.536,90.58,90.536,90.526
2,5,1,89.59,90.009,89.59,89.537
3,5,1,90.221,90.65,90.221,90.171
4,5,1,87.066,87.939,87.066,86.942
5,5,1,85.174,86.473,85.174,84.968
6,5,1,84.858,85.348,84.858,84.758
7,5,1,86.435,87.288,86.435,86.305
8,5,1,84.858,85.013,84.858,84.813
9,5,1,85.489,85.993,85.489,85.393
10,5,1,81.703,82.035,81.703,81.601
11,5,1,80.126,80.322,80.126,80.042
12,5,1,78.864,78.944,78.864,78.809
13,5,1,79.811,80.035,79.811,79.717
14,5,1,78.233,78.352,78.233,78.16
15,5,1,78.864,78.989,78.864,78.793
16,5,1,78.549,78.608,78.549,78.5
17,5,1,79.811,79.92,79.811,79.75
18,5,1,78.864,78.944,78.864,78.809
19,5,1,79.811,79.973,79.811,79.734
20,5,1,79.18,79.243,79.18,79.132
0,5,2,91.483,91.753,91.483,91.463
1,5,2,93.691,93.75,93.691,93.687
2,5,2,91.167,91.479,91.167,91.144
3,5,2,92.429,92.591,92.429,92.418
4,5,2,90.852,91.117,90.852,90.83
5,5,2,91.483,91.675,91.483,91.468
6,5,2,90.536,90.632,90.536,90.526
7,5,2,92.114,92.309,92.114,92.1
8,5,2,85.174,85.607,85.174,85.143
9,5,2,88.959,88.962,88.959,88.959
10,5,2,86.435,86.478,86.435,86.435
11,5,2,89.274,89.295,89.274,89.271
12,5,2,86.435,86.478,86.435,86.435
13,5,2,88.328,88.328,88.328,88.327
14,5,2,87.066,87.069,87.066,87.067
15,5,2,88.644,88.664,88.644,88.639
16,5,2,86.12,86.12,86.12,86.12
17,5,2,87.697,87.729,87.697,87.691
18,5,2,82.019,82.259,82.019,82.0
19,5,2,83.912,83.989,83.912,83.909
20,5,2,80.442,80.785,80.442,80.407
0,10,0,88.959,89.024,88.959,88.948
1,10,0,90.536,90.567,90.536,90.537
2,10,0,92.429,92.434,92.429,92.428
3,10,0,94.322,94.347,94.322,94.319
4,10,0,89.274,89.363,89.274,89.262
5,10,0,91.483,91.556,91.483,91.474
6,10,0,90.852,91.113,90.852,90.828
7,10,0,92.114,92.479,92.114,92.088
8,10,0,90.536,91.045,90.536,90.494
9,10,0,91.483,91.947,91.483,91.448
10,10,0,87.697,87.804,87.697,87.679
0,10,1,89.274,89.314,89.274,89.262
1,10,1,90.852,90.856,90.852,90.853
2,10,1,92.114,92.123,92.114,92.11
3,10,1,91.483,91.598,91.483,91.466
4,10,1,88.644,88.908,88.644,88.601
5,10,1,89.59,89.91,89.59,89.546
6,10,1,85.804,86.0,85.804,85.756
7,10,1,88.328,88.835,88.328,88.257
8,10,1,86.12,86.355,86.12,86.067
9,10,1,88.328,88.726,88.328,88.268
10,10,1,85.804,85.938,85.804,85.767
0,10,2,91.483,91.753,91.483,91.463
1,10,2,93.691,93.697,93.691,93.69
2,10,2,91.483,91.609,91.483,91.472
3,10,2,93.691,93.798,93.691,93.684
4,10,2,91.798,92.116,91.798,91.776
5,10,2,92.744,92.876,92.744,92.735
6,10,2,90.221,90.481,90.221,90.198
7,10,2,92.429,92.753,92.429,92.409
8,10,2,91.798,92.331,91.798,91.764
9,10,2,92.744,93.121,92.744,92.723
10,10,2,90.536,90.843,90.536,90.511
0,25,0,88.959,89.024,88.959,88.948
1,25,0,90.221,90.43,90.221,90.217
2,25,0,76.656,78.214,76.656,76.412
3,25,0,84.543,84.804,84.543,84.531
4,25,0,79.811,80.016,79.811,79.799
0,25,1,89.274,89.314,89.274,89.262
1,25,1,91.798,91.922,91.798,91.801
2,25,1,72.24,76.626,72.24,71.38
3,25,1,84.543,84.913,84.543,84.538
4,25,1,78.864,78.891,78.864,78.871
0,25,2,91.483,91.753,91.483,91.463
1,25,2,95.584,95.592,95.584,95.584
2,25,2,87.697,88.116,87.697,87.651
3,25,2,91.167,91.691,91.167,91.131
4,25,2,88.328,88.501,88.328,88.308
