iter,step,fold,acc,prec,rec,f1score
0,2,0,88.959,89.024,88.959,88.948
1,2,0,88.644,88.73,88.644,88.63
2,2,0,88.328,88.392,88.328,88.317
3,2,0,91.483,91.749,91.483,91.461
4,2,0,91.167,91.475,91.167,91.141
5,2,0,91.483,91.947,91.483,91.448
6,2,0,91.483,91.749,91.483,91.461
7,2,0,92.114,92.386,92.114,92.093
8,2,0,92.114,92.386,92.114,92.093
9,2,0,92.114,92.306,92.114,92.098
10,2,0,92.429,92.589,92.429,92.416
11,2,0,92.114,92.306,92.114,92.098
12,2,0,92.114,92.386,92.114,92.093
13,2,0,91.483,91.841,91.483,91.455
14,2,0,91.167,91.475,91.167,91.141
15,2,0,91.483,91.749,91.483,91.461
16,2,0,90.852,91.113,90.852,90.828
17,2,0,90.536,90.755,90.536,90.515
18,2,0,90.536,90.755,90.536,90.515
19,2,0,90.536,90.755,90.536,90.515
20,2,0,90.536,90.755,90.536,90.515
21,2,0,90.536,90.838,90.536,90.508
22,2,0,88.959,89.071,88.959,88.943
23,2,0,88.959,89.071,88.959,88.943
24,2,0,89.59,89.766,89.59,89.569
25,2,0,88.959,89.071,88.959,88.943
26,2,0,89.905,90.051,89.905,89.888
27,2,0,89.905,90.051,89.905,89.888
28,2,0,90.852,91.203,90.852,90.822
29,2,0,90.852,91.203,90.852,90.822
30,2,0,90.852,91.203,90.852,90.822
31,2,0,90.221,90.668,90.221,90.181
32,2,0,89.905,90.404,89.905,89.86
33,2,0,89.905,90.404,89.905,89.86
34,2,0,89.905,90.404,89.905,89.86
35,2,0,89.905,90.404,89.905,89.86
36,2,0,89.59,90.142,89.59,89.538
37,2,0,90.536,90.934,90.536,90.501
38,2,0,90.536,90.934,90.536,90.501
39,2,0,90.221,90.668,90.221,90.181
40,2,0,90.536,90.934,90.536,90.501
41,2,0,90.221,90.476,90.221,90.195
42,2,0,89.59,89.766,89.59,89.569
43,2,0,89.59,89.766,89.59,89.569
44,2,0,89.905,90.119,89.905,89.882
45,2,0,90.221,90.401,90.221,90.201
46,2,0,89.905,90.051,89.905,89.888
47,2,0,89.274,89.417,89.274,89.256
48,2,0,89.59,89.705,89.59,89.575
49,2,0,89.59,89.705,89.59,89.575
50,2,0,89.59,89.705,89.59,89.575
0,2,1,89.274,89.314,89.274,89.262
1,2,1,89.274,89.314,89.274,89.262
2,2,1,88.959,88.984,88.959,88.949
3,2,1,88.644,88.656,88.644,88.636
4,2,1,87.382,87.392,87.382,87.373
5,2,1,87.697,87.701,87.697,87.691
6,2,1,88.959,89.015,88.959,88.944
7,2,1,89.274,89.288,89.274,89.267
8,2,1,89.274,89.288,89.274,89.267
