iter,step,fold,acc,prec,rec,f1score
0,2,0,94.953,94.958,94.953,94.952
1,2,0,95.584,95.61,95.584,95.582
2,2,0,95.584,95.61,95.584,95.582
3,2,0,95.584,95.61,95.584,95.582
4,2,0,94.953,94.958,94.953,94.952
5,2,0,95.268,95.269,95.268,95.268
6,2,0,95.584,95.584,95.584,95.584
7,2,0,95.584,95.59,95.584,95.583
8,2,0,95.584,95.59,95.584,95.583
9,2,0,94.953,94.953,94.953,94.953
10,2,0,94.953,94.953,94.953,94.953
11,2,0,95.268,95.269,95.268,95.268
12,2,0,95.268,95.269,95.268,95.268
13,2,0,95.899,95.917,95.899,95.9
14,2,0,95.899,95.917,95.899,95.9
15,2,0,96.215,96.337,96.215,96.214
16,2,0,96.215,96.246,96.215,96.215
17,2,0,96.53,96.548,96.53,96.53
18,2,0,96.53,96.548,96.53,96.53
19,2,0,96.845,96.877,96.845,96.846
20,2,0,96.845,96.877,96.845,96.846
21,2,0,96.845,96.854,96.845,96.846
22,2,0,96.845,96.854,96.845,96.846
23,2,0,96.845,96.854,96.845,96.846
24,2,0,96.845,96.854,96.845,96.846
25,2,0,96.845,96.854,96.845,96.846
26,2,0,96.845,96.854,96.845,96.846
27,2,0,96.215,96.223,96.215,96.215
28,2,0,96.215,96.223,96.215,96.215
29,2,0,96.215,96.223,96.215,96.215
30,2,0,96.215,96.223,96.215,96.215
31,2,0,96.845,96.854,96.845,96.846
32,2,0,96.845,96.854,96.845,96.846
33,2,0,97.161,97.179,97.161,97.161
34,2,0,97.161,97.179,97.161,97.161
35,2,0,96.845,96.854,96.845,96.846
36,2,0,97.161,97.179,97.161,97.161
37,2,0,96.53,96.548,96.53,96.53
38,2,0,97.161,97.179,97.161,97.161
39,2,0,96.53,96.532,96.53,96.53
40,2,0,96.53,96.532,96.53,96.53
41,2,0,97.161,97.179,97.161,97.161
42,2,0,97.161,97.179,97.161,97.161
43,2,0,97.476,97.485,97.476,97.477
44,2,0,97.161,97.179,97.161,97.161
