iter,step,fold,acc,prec,rec,f1score
0,2,0,94.953,94.958,94.953,94.952
1,2,0,96.215,96.221,96.215,96.214
2,2,0,95.268,95.271,95.268,95.268
3,2,0,95.268,95.282,95.268,95.267
4,2,0,95.899,95.948,95.899,95.899
5,2,0,96.215,96.215,96.215,96.215
6,2,0,96.845,96.854,96.845,96.846
7,2,0,96.53,96.531,96.53,96.53
8,2,0,96.53,96.545,96.53,96.529
9,2,0,96.53,96.531,96.53,96.53
10,2,0,97.161,97.163,97.161,97.161
11,2,0,96.845,96.845,96.845,96.845
12,2,0,96.845,96.845,96.845,96.845
13,2,0,97.161,97.179,97.161,97.161
14,2,0,96.845,96.854,96.845,96.846
15,2,0,96.845,96.854,96.845,96.846
16,2,0,96.53,96.532,96.53,96.53
17,2,0,97.161,97.179,97.161,97.161
18,2,0,96.845,96.854,96.845,96.846
19,2,0,97.161,97.179,97.161,97.161
20,2,0,96.845,96.854,96.845,96.846
21,2,0,96.845,96.854,96.845,96.846
22,2,0,96.845,96.854,96.845,96.846
23,2,0,97.161,97.179,97.161,97.161
24,2,0,96.845,96.854,96.845,96.846
25,2,0,97.476,97.508,97.476,97.477
26,2,0,97.161,97.163,97.161,97.161
27,2,0,97.792,97.81,97.792,97.792
28,2,0,97.161,97.163,97.161,97.161
29,2,0,96.845,96.854,96.845,96.846
30,2,0,96.845,96.854,96.845,96.846
31,2,0,97.161,97.179,97.161,97.161
32,2,0,97.476,97.508,97.476,97.477
33,2,0,97.792,97.841,97.792,97.792
34,2,0,97.476,97.508,97.476,97.477
35,2,0,97.161,97.179,97.161,97.161
36,2,0,97.161,97.21,97.161,97.161
37,2,0,97.161,97.179,97.161,97.161
38,2,0,97.476,97.547,97.476,97.476
39,2,0,97.476,97.547,97.476,97.476
40,2,0,97.792,97.81,97.792,97.792
41,2,0,97.476,97.508,97.476,97.477
42,2,0,97.476,97.485,97.476,97.477
43,2,0,97.161,97.179,97.161,97.161
44,2,0,97.476,97.508,97.476,97.477
45,2,0,97.476,97.508,97.476,97.477
46,2,0,97.476,97.508,97.476,97.477
47,2,0,97.476,97.508,97.476,97.477
48,2,0,97.161,97.179,97.161,97.161
49,2,0,97.476,97.508,97.476,97.477
50,2,0,97.161,97.179,97.161,97.161
0,2,1,95.268,95.281,95.268,95.266
1,2,1,94.953,94.976,94.953,94.949
2,2,1,96.215,96.22,96.215,96.213
3,2,1,94.637,94.649,94.637,94.635
4,2,1,95.899,95.902,95.899,95.9
5,2,1,96.215,96.224,96.215,96.215
6,2,1,96.215,96.24,96.215,96.212
7,2,1,96.53,96.544,96.53,96.528
8,2,1,97.161,97.162,97.161,97.16
9,2,1,96.845,96.845,96.845,96.845
10,2,1,96.53,96.533,96.53,96.53
11,2,1,96.845,96.845,96.845,96.845
12,2,1,96.215,96.22,96.215,96.213
13,2,1,96.845,96.855,96.845,96.846
14,2,1,97.476,97.476,97.476,97.476
15,2,1,96.845,96.851,96.845,96.844
16,2,1,97.792,97.794,97.792,97.792
17,2,1,98.107,98.14,98.107,98.108
18,2,1,96.845,96.855,96.845,96.846
19,2,1,96.845,96.879,96.845,96.847
20,2,1,96.53,96.533,96.53,96.53
21,2,1,97.161,97.162,97.161,97.16
22,2,1,96.53,96.533,96.53,96.53
23,2,1,96.845,96.855,96.845,96.846
24,2,1,97.792,97.794,97.792,97.792
25,2,1,98.107,98.116,98.107,98.108
26,2,1,97.161,97.18,97.161,97.162
27,2,1,96.845,96.845,96.845,96.845
28,2,1,97.161,97.18,97.161,97.162
29,2,1,96.53,96.549,96.53,96.531
30,2,1,97.476,97.476,97.476,97.476
31,2,1,97.476,97.476,97.476,97.476
32,2,1,96.845,96.851,96.845,96.844
33,2,1,96.845,96.851,96.845,96.844
34,2,1,97.792,97.811,97.792,97.792
35,2,1,96.845,96.845,96.845,96.845
36,2,1,97.476,97.476,97.476,97.476
37,2,1,97.161,97.162,97.161,97.16
38,2,1,97.476,97.476,97.476,97.476
39,2,1,97.792,97.794,97.792,97.792
40,2,1,97.792,97.794,97.792,97.792
41,2,1,97.476,97.476,97.476,97.476
42,2,1,97.476,97.476,97.476,97.476
43,2,1,97.476,97.476,97.476,97.476
44,2,1,97.161,97.162,97.161,97.16
45,2,1,97.792,97.794,97.792,97.792
46,2,1,97.792,97.794,97.792,97.792
47,2,1,97.476,97.476,97.476,97.476
48,2,1,97.476,97.476,97.476,97.476
49,2,1,97.476,97.476,97.476,97.476
50,2,1,97.792,97.793,97.792,97.791
0,2,2,97.161,97.163,97.161,97.161
1,2,2,96.53,96.532,96.53,96.53
2,2,2,96.845,96.852,96.845,96.845
3,2,2,97.161,97.162,97.161,97.161
4,2,2,96.845,96.877,96.845,96.846
5,2,2,97.161,97.209,97.161,97.161
6,2,2,97.161,97.209,97.161,97.161
7,2,2,97.161,97.209,97.161,97.161
8,2,2,97.792,97.81,97.792,97.792
9,2,2,97.792,97.81,97.792,97.792
10,2,2,97.476,97.508,97.476,97.476
11,2,2,97.792,97.84,97.792,97.792
12,2,2,97.476,97.599,97.476,97.476
13,2,2,97.792,97.887,97.792,97.791
14,2,2,97.792,97.84,97.792,97.792
15,2,2,97.476,97.546,97.476,97.476
16,2,2,97.792,97.84,97.792,97.792
17,2,2,97.792,97.84,97.792,97.792
18,2,2,97.792,97.887,97.792,97.791
19,2,2,97.792,97.887,97.792,97.791
20,2,2,98.107,98.177,98.107,98.107
21,2,2,98.738,98.77,98.738,98.738
22,2,2,98.738,98.77,98.738,98.738
23,2,2,98.423,98.472,98.423,98.423
24,2,2,98.423,98.441,98.423,98.423
25,2,2,98.107,98.139,98.107,98.107
26,2,2,98.738,98.77,98.738,98.738
27,2,2,97.792,97.81,97.792,97.792
28,2,2,98.738,98.77,98.738,98.738
29,2,2,98.738,98.77,98.738,98.738
30,2,2,98.423,98.441,98.423,98.423
31,2,2,98.423,98.441,98.423,98.423
32,2,2,98.738,98.746,98.738,98.738
33,2,2,98.738,98.746,98.738,98.738
34,2,2,98.423,98.441,98.423,98.423
35,2,2,98.107,98.139,98.107,98.107
