iter,step,fold,acc,prec,rec,f1score
0,2,0,94.953,94.958,94.953,94.952
1,2,0,94.322,94.347,94.322,94.319
2,2,0,94.953,94.979,94.953,94.95
3,2,0,95.584,95.61,95.584,95.582
4,2,0,95.584,95.61,95.584,95.582
5,2,0,95.584,95.61,95.584,95.582
6,2,0,95.268,95.282,95.268,95.267
7,2,0,94.322,94.429,94.322,94.315
8,2,0,95.268,95.31,95.268,95.265
9,2,0,95.584,95.61,95.584,95.582
10,2,0,95.268,95.31,95.268,95.265
11,2,0,94.322,94.429,94.322,94.315
12,2,0,94.953,95.013,94.953,94.949
13,2,0,95.268,95.31,95.268,95.265
14,2,0,95.584,95.61,95.584,95.582
15,2,0,95.584,95.61,95.584,95.582
16,2,0,95.584,95.61,95.584,95.582
17,2,0,95.584,95.61,95.584,95.582
18,2,0,95.268,95.31,95.268,95.265
19,2,0,95.584,95.61,95.584,95.582
20,2,0,95.584,95.61,95.584,95.582
21,2,0,95.584,95.61,95.584,95.582
22,2,0,95.584,95.61,95.584,95.582
23,2,0,95.268,95.31,95.268,95.265
24,2,0,95.268,95.31,95.268,95.265
25,2,0,95.268,95.31,95.268,95.265
26,2,0,95.268,95.31,95.268,95.265
27,2,0,95.268,95.31,95.268,95.265
28,2,0,95.268,95.31,95.268,95.265
29,2,0,95.268,95.31,95.268,95.265
30,2,0,95.268,95.31,95.268,95.265
31,2,0,95.268,95.31,95.268,95.265
32,2,0,95.268,95.31,95.268,95.265
33,2,0,95.268,95.31,95.268,95.265
34,2,0,95.268,95.31,95.268,95.265
35,2,0,95.584,95.61,95.584,95.582
36,2,0,94.953,95.013,94.953,94.949
37,2,0,94.637,94.719,94.637,94.632
38,2,0,95.268,95.31,95.268,95.265
39,2,0,95.268,95.31,95.268,95.265
40,2,0,95.268,95.31,95.268,95.265
41,2,0,95.268,95.31,95.268,95.265
42,2,0,95.268,95.31,95.268,95.265
43,2,0,94.953,95.013,94.953,94.949
44,2,0,94.637,94.719,94.637,94.632
45,2,0,95.268,95.31,95.268,95.265
46,2,0,94.953,95.013,94.953,94.949
47,2,0,94.953,95.013,94.953,94.949
48,2,0,95.268,95.31,95.268,95.265
49,2,0,94.953,95.013,94.953,94.949
50,2,0,94.637,94.719,94.637,94.632
0,2,1,95.268,95.281,95.268,95.266
1,2,1,94.637,94.638,94.637,94.636
2,2,1,95.268,95.271,95.268,95.269
3,2,1,96.215,96.248,96.215,96.216
4,2,1,95.584,95.593,95.584,95.585
5,2,1,95.584,95.593,95.584,95.585
6,2,1,95.584,95.593,95.584,95.585
7,2,1,95.899,95.902,95.899,95.9
8,2,1,95.584,95.584,95.584,95.584
9,2,1,95.899,95.902,95.899,95.9
10,2,1,95.899,95.919,95.899,95.9
11,2,1,96.215,96.224,96.215,96.215
12,2,1,96.53,96.533,96.53,96.53
13,2,1,95.584,95.584,95.584,95.584
14,2,1,95.584,95.593,95.584,95.585
15,2,1,95.584,95.584,95.584,95.584
16,2,1,95.899,95.919,95.899,95.9
17,2,1,95.899,95.919,95.899,95.9
18,2,1,95.268,95.271,95.268,95.269
19,2,1,95.584,95.593,95.584,95.585
20,2,1,95.268,95.269,95.268,95.267
21,2,1,95.268,95.271,95.268,95.269
22,2,1,95.268,95.271,95.268,95.269
23,2,1,95.584,95.593,95.584,95.585
24,2,1,95.584,95.593,95.584,95.585
25,2,1,95.584,95.593,95.584,95.585
26,2,1,95.584,95.593,95.584,95.585
27,2,1,95.584,95.593,95.584,95.585
28,2,1,95.584,95.593,95.584,95.585
29,2,1,95.584,95.593,95.584,95.585
30,2,1,95.584,95.593,95.584,95.585
31,2,1,95.268,95.271,95.268,95.269
32,2,1,95.584,95.593,95.584,95.585
33,2,1,95.268,95.288,95.268,95.27
34,2,1,95.899,95.919,95.899,95.9
35,2,1,96.215,96.224,96.215,96.215
36,2,1,95.584,95.593,95.584,95.585
37,2,1,95.584,95.593,95.584,95.585
38,2,1,95.584,95.593,95.584,95.585
39,2,1,95.584,95.593,95.584,95.585
40,2,1,95.899,95.919,95.899,95.9
41,2,1,95.899,95.919,95.899,95.9
42,2,1,95.899,95.919,95.899,95.9
43,2,1,95.584,95.593,95.584,95.585
44,2,1,95.584,95.593,95.584,95.585
45,2,1,95.584,95.584,95.584,95.584
46,2,1,95.584,95.584,95.584,95.584
47,2,1,95.899,95.902,95.899,95.9
48,2,1,95.899,95.919,95.899,95.9
49,2,1,95.899,95.919,95.899,95.9
50,2,1,95.899,95.919,95.899,95.9
0,2,2,97.161,97.163,97.161,97.161
1,2,2,97.161,97.163,97.161,97.161
2,2,2,96.53,96.531,96.53,96.53
3,2,2,96.53,96.532,96.53,96.53
4,2,2,97.161,97.163,97.161,97.161
5,2,2,96.53,96.546,96.53,96.529
6,2,2,97.161,97.162,97.161,97.161
7,2,2,97.161,97.162,97.161,97.161
8,2,2,97.476,97.476,97.476,97.476
