iter,step,fold,acc,prec,rec,f1score
0,2,0,83.596,84.209,83.596,83.491
1,2,0,82.965,83.453,82.965,82.873
2,2,0,88.013,88.87,88.013,87.923
3,2,0,88.959,89.921,88.959,88.87
4,2,0,92.114,92.71,92.114,92.075
5,2,0,91.798,91.82,91.798,91.795
6,2,0,91.483,91.556,91.483,91.474
7,2,0,91.167,91.219,91.167,91.16
8,2,0,92.429,92.484,92.429,92.423
9,2,0,92.114,92.15,92.114,92.109
10,2,0,93.375,93.388,93.375,93.373
11,2,0,94.322,94.327,94.322,94.321
12,2,0,93.691,93.696,93.691,93.69
13,2,0,93.691,93.715,93.691,93.688
14,2,0,93.06,93.06,93.06,93.06
15,2,0,94.006,94.046,94.006,94.003
16,2,0,94.322,94.492,94.322,94.312
17,2,0,94.322,94.492,94.322,94.312
18,2,0,95.268,95.481,95.268,95.259
19,2,0,95.268,95.481,95.268,95.259
20,2,0,94.637,94.846,94.637,94.627
21,2,0,94.637,94.846,94.637,94.627
22,2,0,94.637,94.931,94.637,94.623
23,2,0,94.953,95.204,94.953,94.941
24,2,0,94.953,95.204,94.953,94.941
25,2,0,95.584,95.76,95.584,95.576
26,2,0,95.268,95.409,95.268,95.261
27,2,0,95.584,95.695,95.584,95.578
28,2,0,95.899,95.985,95.899,95.895
29,2,0,95.584,95.645,95.584,95.58
30,2,0,96.215,96.329,96.215,96.21
31,2,0,95.899,96.043,95.899,95.893
32,2,0,95.899,96.043,95.899,95.893
33,2,0,95.584,95.76,95.584,95.576
34,2,0,95.899,95.985,95.899,95.895
35,2,0,95.899,95.985,95.899,95.895
36,2,0,96.215,96.278,96.215,96.212
37,2,0,96.215,96.278,96.215,96.212
38,2,0,95.584,95.645,95.584,95.58
39,2,0,95.899,95.985,95.899,95.895
40,2,0,95.899,95.985,95.899,95.895
41,2,0,95.899,95.985,95.899,95.895
42,2,0,95.268,95.352,95.268,95.264
43,2,0,95.268,95.31,95.268,95.265
44,2,0,95.584,95.645,95.584,95.58
45,2,0,95.584,95.695,95.584,95.578
46,2,0,95.268,95.31,95.268,95.265
47,2,0,95.584,95.61,95.584,95.582
48,2,0,94.953,95.013,94.953,94.949
49,2,0,94.953,95.013,94.953,94.949
50,2,0,94.953,95.013,94.953,94.949
0,2,1,79.811,80.39,79.811,79.63
1,2,1,80.442,80.676,80.442,80.351
2,2,1,85.174,85.618,85.174,85.083
3,2,1,86.751,87.173,86.751,86.677
4,2,1,88.644,88.656,88.644,88.636
5,2,1,88.644,88.832,88.644,88.609
6,2,1,90.852,90.915,90.852,90.839
7,2,1,91.483,91.491,91.483,91.479
8,2,1,93.691,93.712,93.691,93.687
9,2,1,93.691,93.744,93.691,93.684
10,2,1,94.637,94.649,94.637,94.635
11,2,1,95.268,95.269,95.268,95.267
12,2,1,95.899,95.912,95.899,95.897
13,2,1,95.899,95.912,95.899,95.897
14,2,1,95.268,95.288,95.268,95.27
15,2,1,95.584,95.593,95.584,95.585
16,2,1,95.584,95.593,95.584,95.585
17,2,1,95.584,95.593,95.584,95.585
