iter,step,fold,acc,prec,rec,f1score
0,2,0,83.596,84.209,83.596,83.491
1,2,0,82.965,83.453,82.965,82.873
2,2,0,82.65,83.566,82.65,82.489
3,2,0,84.227,85.622,84.227,84.028
4,2,0,84.543,86.471,84.543,84.287
5,2,0,84.227,87.019,84.227,83.866
6,2,0,84.858,88.004,84.858,84.48
7,2,0,85.174,87.909,85.174,84.848
8,2,0,84.543,87.81,84.543,84.141
9,2,0,84.858,87.707,84.858,84.511
10,2,0,83.912,86.537,83.912,83.559
11,2,0,84.543,86.956,84.543,84.233
12,2,0,83.912,86.537,83.912,83.559
13,2,0,84.543,86.705,84.543,84.261
14,2,0,84.543,86.471,84.543,84.287
15,2,0,84.858,86.694,84.858,84.62
16,2,0,84.858,86.694,84.858,84.62
17,2,0,84.858,86.694,84.858,84.62
18,2,0,84.227,86.025,84.227,83.98
19,2,0,84.858,86.923,84.858,84.595
20,2,0,84.227,86.025,84.227,83.98
21,2,0,83.912,85.586,83.912,83.672
22,2,0,84.227,86.025,84.227,83.98
23,2,0,83.912,85.586,83.912,83.672
24,2,0,83.596,85.152,83.596,83.365
25,2,0,83.912,85.586,83.912,83.672
26,2,0,83.912,85.586,83.912,83.672
27,2,0,84.227,86.025,84.227,83.98
28,2,0,83.912,85.586,83.912,83.672
29,2,0,83.912,85.586,83.912,83.672
30,2,0,82.65,83.882,82.65,82.443
31,2,0,82.65,83.882,82.65,82.443
32,2,0,83.281,84.723,83.281,83.058
33,2,0,83.281,84.723,83.281,83.058
34,2,0,82.334,83.639,82.334,82.112
35,2,0,82.965,84.487,82.965,82.725
36,2,0,82.65,84.06,82.65,82.418
37,2,0,82.965,84.487,82.965,82.725
38,2,0,82.965,84.487,82.965,82.725
39,2,0,82.65,84.06,82.65,82.418
40,2,0,82.65,84.06,82.65,82.418
41,2,0,82.334,83.639,82.334,82.112
42,2,0,82.965,84.487,82.965,82.725
43,2,0,82.965,84.487,82.965,82.725
44,2,0,83.281,85.129,83.281,83.005
45,2,0,83.596,85.356,83.596,83.339
46,2,0,82.965,84.903,82.965,82.669
47,2,0,83.281,85.129,83.281,83.005
48,2,0,83.281,85.129,83.281,83.005
49,2,0,83.596,85.576,83.596,83.311
50,2,0,83.281,85.354,83.281,82.976
0,2,1,79.811,80.39,79.811,79.63
1,2,1,80.442,80.676,80.442,80.351
2,2,1,79.811,80.773,79.811,79.547
3,2,1,79.495,81.886,79.495,78.944
4,2,1,77.918,81.053,77.918,77.143
5,2,1,78.233,81.269,78.233,77.496
6,2,1,77.603,80.286,77.603,76.898
7,2,1,78.549,81.772,78.549,77.796
8,2,1,78.549,82.077,78.549,77.74
9,2,1,78.864,82.94,78.864,77.982
10,2,1,78.233,82.201,78.233,77.325
11,2,1,78.864,82.94,78.864,77.982
12,2,1,76.972,80.115,76.972,76.134
13,2,1,77.287,80.333,77.287,76.49
14,2,1,77.918,80.511,77.918,77.25
15,2,1,76.972,79.837,76.972,76.192
16,2,1,77.918,80.511,77.918,77.25
17,2,1,77.603,80.286,77.603,76.898
