iter,step,fold,acc,prec,rec,f1score
0,2,0,83.596,84.209,83.596,83.491
1,2,0,82.965,83.453,82.965,82.873
2,2,0,88.013,88.87,88.013,87.923
3,2,0,88.959,89.921,88.959,88.87
4,2,0,92.114,92.71,92.114,92.075
5,2,0,93.691,93.796,93.691,93.683
6,2,0,94.006,94.087,94.006,94.0
7,2,0,93.691,93.748,93.691,93.686
8,2,0,92.114,92.161,92.114,92.114
9,2,0,91.798,91.865,91.798,91.799
10,2,0,92.429,92.496,92.429,92.429
11,2,0,92.744,92.792,92.744,92.745
12,2,0,92.429,92.496,92.429,92.429
13,2,0,91.167,91.282,91.167,91.166
14,2,0,90.852,90.94,90.852,90.852
15,2,0,90.536,90.65,90.536,90.536
16,2,0,91.167,91.198,91.167,91.168
17,2,0,91.167,91.198,91.167,91.168
18,2,0,92.744,92.792,92.744,92.745
19,2,0,92.744,92.763,92.744,92.745
20,2,0,93.06,93.091,93.06,93.061
21,2,0,92.429,92.429,92.429,92.429
22,2,0,92.744,92.747,92.744,92.745
23,2,0,93.375,93.423,93.375,93.376
24,2,0,95.268,95.269,95.268,95.268
25,2,0,95.584,95.59,95.584,95.583
26,2,0,94.953,94.958,94.953,94.952
27,2,0,94.637,94.64,94.637,94.638
28,2,0,94.953,94.961,94.953,94.953
29,2,0,95.584,95.584,95.584,95.584
30,2,0,94.637,94.655,94.637,94.638
31,2,0,94.953,94.953,94.953,94.953
32,2,0,95.268,95.269,95.268,95.268
33,2,0,95.584,95.584,95.584,95.584
34,2,0,95.584,95.592,95.584,95.584
35,2,0,95.584,95.592,95.584,95.584
36,2,0,96.53,96.532,96.53,96.53
37,2,0,96.53,96.532,96.53,96.53
38,2,0,96.845,96.854,96.845,96.846
39,2,0,96.53,96.532,96.53,96.53
40,2,0,96.215,96.223,96.215,96.215
41,2,0,95.899,95.917,95.899,95.9
42,2,0,96.215,96.223,96.215,96.215
43,2,0,95.899,95.901,95.899,95.899
44,2,0,96.215,96.215,96.215,96.215
45,2,0,96.845,96.854,96.845,96.846
46,2,0,96.845,96.854,96.845,96.846
47,2,0,96.845,96.854,96.845,96.846
48,2,0,96.215,96.223,96.215,96.215
49,2,0,96.215,96.223,96.215,96.215
50,2,0,96.845,96.845,96.845,96.845
0,2,1,79.811,80.39,79.811,79.63
1,2,1,80.442,80.676,80.442,80.351
2,2,1,85.174,85.618,85.174,85.083
3,2,1,86.751,87.173,86.751,86.677
4,2,1,88.644,88.656,88.644,88.636
5,2,1,88.644,88.832,88.644,88.609
6,2,1,90.852,90.915,90.852,90.839
7,2,1,89.59,89.589,89.59,89.588
8,2,1,89.905,89.917,89.905,89.908
9,2,1,89.905,89.917,89.905,89.908
10,2,1,90.536,90.548,90.536,90.538
11,2,1,91.167,91.203,91.167,91.17
12,2,1,91.483,91.535,91.483,91.486
13,2,1,91.167,91.203,91.167,91.17
14,2,1,91.798,91.809,91.798,91.8
15,2,1,92.744,92.744,92.744,92.743
16,2,1,94.637,94.638,94.637,94.636
17,2,1,94.953,94.957,94.953,94.951
