iter,step,fold,acc,prec,rec,f1score
0,2,0,83.596,84.209,83.596,83.491
1,2,0,82.019,82.914,82.019,81.853
2,2,0,83.281,84.373,83.281,83.105
3,2,0,82.965,84.127,82.965,82.775
4,2,0,83.912,85.029,83.912,83.742
5,2,0,84.227,85.622,84.227,84.028
6,2,0,83.281,84.373,83.281,83.105
7,2,0,84.227,85.442,84.227,84.05
8,2,0,84.858,86.099,84.858,84.688
9,2,0,85.804,86.828,85.804,85.673
10,2,0,85.489,86.583,85.489,85.346
11,2,0,86.12,87.075,86.12,86.0
12,2,0,87.066,88.496,87.066,86.912
13,2,0,86.12,87.237,86.12,85.983
14,2,0,85.489,86.756,85.489,85.326
15,2,0,85.174,86.519,85.174,84.997
16,2,0,84.543,86.049,84.543,84.336
17,2,0,85.489,86.756,85.489,85.326
18,2,0,85.489,86.756,85.489,85.326
19,2,0,84.858,86.283,84.858,84.667
20,2,0,85.174,86.176,85.174,85.036
21,2,0,85.489,86.424,85.489,85.364
22,2,0,85.174,86.34,85.174,85.017
23,2,0,85.174,86.34,85.174,85.017
24,2,0,86.12,87.605,86.12,85.945
25,2,0,85.174,86.34,85.174,85.017
26,2,0,86.751,88.071,86.751,86.602
27,2,0,86.751,88.071,86.751,86.602
28,2,0,86.435,88.037,86.435,86.254
29,2,0,85.804,87.374,85.804,85.615
30,2,0,86.12,87.605,86.12,85.945
31,2,0,86.435,87.651,86.435,86.293
32,2,0,86.435,87.651,86.435,86.293
33,2,0,86.751,88.071,86.751,86.602
34,2,0,86.751,88.071,86.751,86.602
35,2,0,86.751,88.071,86.751,86.602
36,2,0,86.12,87.414,86.12,85.964
37,2,0,86.435,87.837,86.435,86.274
38,2,0,86.12,87.414,86.12,85.964
39,2,0,86.12,87.414,86.12,85.964
40,2,0,86.751,87.891,86.751,86.62
41,2,0,86.751,87.891,86.751,86.62
42,2,0,86.12,87.414,86.12,85.964
43,2,0,86.12,87.414,86.12,85.964
44,2,0,86.751,88.071,86.751,86.602
45,2,0,86.435,87.837,86.435,86.274
46,2,0,86.435,87.651,86.435,86.293
47,2,0,86.751,88.071,86.751,86.602
48,2,0,86.751,88.071,86.751,86.602
49,2,0,85.804,87.178,85.804,85.636
50,2,0,86.12,87.605,86.12,85.945
0,2,1,79.811,80.39,79.811,79.63
1,2,1,78.549,78.991,78.549,78.382
2,2,1,77.918,78.344,77.918,77.747
3,2,1,78.549,78.902,78.549,78.406
4,2,1,76.341,76.61,76.341,76.196
5,2,1,76.656,76.782,76.656,76.568
6,2,1,76.025,76.017,76.025,76.018
7,2,1,76.025,76.017,76.025,76.018
8,2,1,76.025,76.017,76.025,76.009
9,2,1,76.972,76.963,76.972,76.961
10,2,1,76.972,77.037,76.972,76.911
11,2,1,76.656,76.738,76.656,76.586
12,2,1,76.972,77.185,76.972,76.854
13,2,1,77.287,77.475,77.287,77.181
14,2,1,76.972,77.331,76.972,76.806
15,2,1,78.233,78.468,78.233,78.122
16,2,1,78.864,79.183,78.864,78.735
17,2,1,77.603,77.766,77.603,77.508
18,2,1,77.603,77.766,77.603,77.508
19,2,1,77.603,77.766,77.603,77.508
20,2,1,77.918,78.181,77.918,77.794
21,2,1,78.864,79.183,78.864,78.735
22,2,1,78.233,78.468,78.233,78.122
23,2,1,78.864,79.183,78.864,78.735
24,2,1,81.073,81.316,81.073,80.984
25,2,1,81.073,81.316,81.073,80.984
26,2,1,81.073,81.393,81.073,80.966
27,2,1,82.019,82.498,82.019,81.89
28,2,1,82.019,82.498,82.019,81.89
29,2,1,81.073,81.481,81.073,80.947
30,2,1,81.388,81.852,81.388,81.254
31,2,1,82.019,82.498,82.019,81.89
32,2,1,81.703,82.227,81.703,81.562
33,2,1,81.703,82.227,81.703,81.562
34,2,1,81.703,82.227,81.703,81.562
35,2,1,82.019,82.498,82.019,81.89
36,2,1,82.019,82.498,82.019,81.89
37,2,1,81.388,81.958,81.388,81.233
38,2,1,82.334,82.677,82.334,82.235
39,2,1,82.334,82.677,82.334,82.235
40,2,1,82.019,82.401,82.019,81.909
41,2,1,82.019,82.401,82.019,81.909
42,2,1,83.596,84.059,83.596,83.487
43,2,1,83.596,84.059,83.596,83.487
44,2,1,83.596,84.059,83.596,83.487
45,2,1,83.596,84.059,83.596,83.487
46,2,1,83.596,84.059,83.596,83.487
47,2,1,83.912,84.331,83.912,83.813
48,2,1,83.281,83.597,83.281,83.195
49,2,1,83.596,84.059,83.596,83.487
50,2,1,83.912,84.157,83.912,83.844
0,2,2,81.388,82.28,81.388,81.226
1,2,2,79.18,79.612,79.18,79.076
2,2,2,77.918,78.171,77.918,77.844
3,2,2,78.864,79.246,78.864,78.768
4,2,2,78.549,78.884,78.549,78.46
5,2,2,80.126,80.731,80.126,79.998
6,2,2,83.281,84.742,83.281,83.069
7,2,2,81.703,82.406,81.703,81.576
8,2,2,84.543,85.538,84.543,84.408
9,2,2,82.965,83.578,82.965,82.864
10,2,2,85.174,86.19,85.174,85.045
11,2,2,84.543,85.876,84.543,84.369
12,2,2,83.596,84.348,83.596,83.482
13,2,2,84.227,85.291,84.227,84.081
14,2,2,84.543,85.7,84.543,84.389
15,2,2,84.858,86.114,84.858,84.698
16,2,2,85.489,86.597,85.489,85.354
17,2,2,85.489,86.597,85.489,85.354
18,2,2,84.543,85.876,84.543,84.369
19,2,2,84.858,86.299,84.858,84.677
20,2,2,84.543,85.876,84.543,84.369
21,2,2,85.174,86.534,85.174,85.007
22,2,2,85.489,86.959,85.489,85.316
23,2,2,86.435,88.051,86.435,86.264
24,2,2,86.12,87.619,86.12,85.954
25,2,2,86.435,87.85,86.435,86.283
26,2,2,86.435,88.051,86.435,86.264
27,2,2,86.435,87.85,86.435,86.283
28,2,2,86.751,88.279,86.751,86.593
29,2,2,86.751,88.084,86.751,86.611
30,2,2,87.382,88.74,87.382,87.248
31,2,2,87.382,88.557,87.382,87.264
32,2,2,85.804,86.686,85.804,85.698
33,2,2,85.174,86.19,85.174,85.045
34,2,2,85.489,86.597,85.489,85.354
35,2,2,85.489,86.597,85.489,85.354
36,2,2,85.489,86.597,85.489,85.354
37,2,2,85.174,86.19,85.174,85.045
38,2,2,85.489,86.597,85.489,85.354
39,2,2,85.489,86.597,85.489,85.354
40,2,2,85.489,86.597,85.489,85.354
41,2,2,85.804,86.841,85.804,85.681
42,2,2,90.221,90.571,90.221,90.192
43,2,2,90.536,90.843,90.536,90.511
44,2,2,90.536,91.051,90.536,90.497
45,2,2,90.536,91.051,90.536,90.497
46,2,2,90.221,90.791,90.221,90.176
47,2,2,88.959,89.775,88.959,88.888
48,2,2,89.59,90.421,89.59,89.523
49,2,2,89.905,90.67,89.905,89.845
50,2,2,88.959,90.099,88.959,88.863
0,5,0,83.596,84.209,83.596,83.491
1,5,0,82.334,82.81,82.334,82.239
2,5,0,83.912,84.593,83.912,83.8
3,5,0,84.543,85.24,84.543,84.435
4,5,0,86.435,88.253,86.435,86.233
5,5,0,86.435,88.253,86.435,86.233
6,5,0,86.751,87.725,86.751,86.636
7,5,0,87.697,88.785,87.697,87.583
8,5,0,86.435,87.651,86.435,86.293
9,5,0,86.751,88.071,86.751,86.602
10,5,0,88.013,89.027,88.013,87.909
11,5,0,88.644,89.518,88.644,88.559
12,5,0,88.644,89.518,88.644,88.559
13,5,0,87.382,88.545,87.382,87.257
14,5,0,86.12,87.237,86.12,85.983
15,5,0,86.435,87.651,86.435,86.293
16,5,0,86.12,87.237,86.12,85.983
17,5,0,86.12,87.237,86.12,85.983
18,5,0,86.435,87.651,86.435,86.293
19,5,0,86.751,87.891,86.751,86.62
20,5,0,86.751,87.891,86.751,86.62
0,5,1,79.811,80.39,79.811,79.63
1,5,1,82.334,82.677,82.334,82.235
2,5,1,78.233,78.54,78.233,78.1
3,5,1,78.864,79.587,78.864,78.634
4,5,1,82.334,82.677,82.334,82.235
5,5,1,81.703,82.125,81.703,81.582
6,5,1,80.442,80.933,80.442,80.29
7,5,1,86.12,86.638,86.12,86.028
8,5,1,86.751,87.282,86.751,86.663
9,5,1,85.489,86.11,85.489,85.376
10,5,1,85.489,86.24,85.489,85.359
11,5,1,85.489,86.24,85.489,85.359
12,5,1,82.65,83.379,82.65,82.483
13,5,1,83.596,84.425,83.596,83.428
14,5,1,82.965,83.772,82.965,82.791
