iter,step,fold,acc,prec,rec,f1score
0,2,0,83.596,84.209,83.596,83.491
1,2,0,83.281,84.076,83.281,83.146
2,2,0,82.65,84.06,82.65,82.418
3,2,0,82.65,84.06,82.65,82.418
4,2,0,82.334,83.822,82.334,82.085
5,2,0,82.334,83.822,82.334,82.085
6,2,0,82.65,84.252,82.65,82.392
7,2,0,82.65,84.252,82.65,82.392
8,2,0,83.596,85.576,83.596,83.311
9,2,0,83.596,85.811,83.596,83.282
10,2,0,83.596,85.811,83.596,83.282
11,2,0,82.019,85.021,82.019,81.551
12,2,0,83.281,85.129,83.281,83.005
13,2,0,82.334,84.953,82.334,81.929
14,2,0,82.965,84.687,82.965,82.698
15,2,0,83.596,85.811,83.596,83.282
16,2,0,82.334,84.018,82.334,82.057
17,2,0,82.019,83.786,82.019,81.722
18,2,0,81.388,82.918,81.388,81.111
19,2,0,81.388,82.918,81.388,81.111
20,2,0,79.811,80.84,79.811,79.585
21,2,0,79.495,80.44,79.495,79.279
22,2,0,79.811,80.84,79.811,79.585
23,2,0,79.811,80.84,79.811,79.585
24,2,0,79.811,80.84,79.811,79.585
25,2,0,80.442,81.656,80.442,80.195
26,2,0,80.126,81.246,80.126,79.89
27,2,0,80.442,81.656,80.442,80.195
28,2,0,80.442,81.827,80.442,80.166
29,2,0,80.442,81.827,80.442,80.166
30,2,0,80.126,81.409,80.126,79.861
31,2,0,80.126,81.409,80.126,79.861
32,2,0,80.126,81.409,80.126,79.861
33,2,0,80.442,81.656,80.442,80.195
34,2,0,80.126,81.409,80.126,79.861
35,2,0,80.126,81.409,80.126,79.861
36,2,0,80.126,81.409,80.126,79.861
37,2,0,80.126,81.584,80.126,79.83
38,2,0,79.811,81.162,79.811,79.526
39,2,0,80.126,81.584,80.126,79.83
40,2,0,80.126,81.584,80.126,79.83
41,2,0,79.811,81.162,79.811,79.526
42,2,0,80.126,81.584,80.126,79.83
43,2,0,80.126,81.584,80.126,79.83
44,2,0,79.18,80.498,79.18,78.886
45,2,0,79.18,80.498,79.18,78.886
46,2,0,79.18,80.498,79.18,78.886
47,2,0,79.18,80.498,79.18,78.886
48,2,0,78.864,80.251,78.864,78.55
49,2,0,78.864,80.251,78.864,78.55
50,2,0,78.864,80.251,78.864,78.55
0,2,1,79.811,80.39,79.811,79.63
1,2,1,81.073,81.316,81.073,80.984
2,2,1,78.233,79.672,78.233,77.822
3,2,1,77.603,78.83,77.603,77.219
4,2,1,77.918,80.264,77.918,77.3
5,2,1,79.18,81.419,79.18,78.643
6,2,1,78.549,80.963,78.549,77.949
7,2,1,77.603,79.578,77.603,77.049
8,2,1,77.603,79.578,77.603,77.049
9,2,1,77.603,79.371,77.603,77.094
10,2,1,78.233,80.994,78.233,77.549
11,2,1,77.287,79.565,77.287,76.652
12,2,1,76.656,78.441,76.656,76.103
13,2,1,76.341,78.001,76.341,75.804
14,2,1,76.025,77.567,76.025,75.505
15,2,1,76.341,78.001,76.341,75.804
16,2,1,76.656,78.441,76.656,76.103
17,2,1,76.656,78.441,76.656,76.103
18,2,1,76.341,78.001,76.341,75.804
19,2,1,76.656,78.441,76.656,76.103
20,2,1,74.132,74.95,74.132,73.754
21,2,1,73.502,74.173,73.502,73.155
22,2,1,73.817,74.45,73.817,73.494
23,2,1,74.132,74.833,74.132,73.794
24,2,1,74.132,74.833,74.132,73.794
25,2,1,74.132,74.833,74.132,73.794
26,2,1,74.132,74.833,74.132,73.794
27,2,1,74.132,74.833,74.132,73.794
28,2,1,73.817,74.45,73.817,73.494
29,2,1,73.502,74.07,73.502,73.194
30,2,1,74.132,74.833,74.132,73.794
