iter,step,fold,acc,prec,rec,f1score
0,2,0,94.637,94.719,94.637,94.632
1,2,0,94.637,94.719,94.637,94.632
2,2,0,94.637,94.719,94.637,94.632
3,2,0,94.322,94.429,94.322,94.315
4,2,0,94.322,94.429,94.322,94.315
5,2,0,94.637,94.678,94.637,94.634
6,2,0,94.637,94.678,94.637,94.634
7,2,0,94.953,95.013,94.953,94.949
8,2,0,94.953,95.013,94.953,94.949
9,2,0,94.637,94.678,94.637,94.634
10,2,0,94.953,95.013,94.953,94.949
11,2,0,95.584,95.61,95.584,95.582
12,2,0,95.584,95.584,95.584,95.584
13,2,0,95.268,95.269,95.268,95.268
14,2,0,95.268,95.269,95.268,95.268
15,2,0,95.584,95.59,95.584,95.583
16,2,0,95.268,95.269,95.268,95.268
17,2,0,95.584,95.59,95.584,95.583
18,2,0,95.584,95.59,95.584,95.583
19,2,0,95.584,95.584,95.584,95.584
20,2,0,96.215,96.215,96.215,96.215
21,2,0,96.215,96.221,96.215,96.214
22,2,0,96.215,96.221,96.215,96.214
23,2,0,95.268,95.31,95.268,95.265
24,2,0,95.268,95.31,95.268,95.265
25,2,0,95.584,95.584,95.584,95.584
26,2,0,95.584,95.584,95.584,95.584
27,2,0,95.584,95.59,95.584,95.583
28,2,0,95.584,95.59,95.584,95.583
29,2,0,95.899,95.914,95.899,95.898
30,2,0,95.899,95.914,95.899,95.898
31,2,0,95.268,95.282,95.268,95.267
32,2,0,95.268,95.282,95.268,95.267
33,2,0,95.584,95.59,95.584,95.583
34,2,0,95.584,95.59,95.584,95.583
35,2,0,96.215,96.221,96.215,96.214
36,2,0,96.845,96.852,96.845,96.845
37,2,0,96.215,96.221,96.215,96.214
38,2,0,96.215,96.221,96.215,96.214
39,2,0,96.215,96.221,96.215,96.214
40,2,0,96.215,96.221,96.215,96.214
41,2,0,96.215,96.221,96.215,96.214
42,2,0,96.215,96.221,96.215,96.214
43,2,0,96.845,96.852,96.845,96.845
44,2,0,97.161,97.162,97.161,97.161
45,2,0,96.845,96.854,96.845,96.846
46,2,0,96.53,96.532,96.53,96.53
47,2,0,96.53,96.532,96.53,96.53
48,2,0,96.845,96.854,96.845,96.846
49,2,0,97.161,97.179,97.161,97.161
50,2,0,97.161,97.179,97.161,97.161
51,2,0,97.476,97.485,97.476,97.477
52,2,0,97.476,97.485,97.476,97.477
53,2,0,97.792,97.794,97.792,97.792
54,2,0,96.845,96.845,96.845,96.845
55,2,0,96.845,96.845,96.845,96.845
56,2,0,96.845,96.845,96.845,96.845
57,2,0,97.161,97.163,97.161,97.161
58,2,0,97.161,97.163,97.161,97.161
59,2,0,96.845,96.854,96.845,96.846
60,2,0,96.845,96.854,96.845,96.846
61,2,0,97.476,97.485,97.476,97.477
62,2,0,97.476,97.485,97.476,97.477
63,2,0,96.845,96.854,96.845,96.846
64,2,0,96.845,96.854,96.845,96.846
65,2,0,97.161,97.179,97.161,97.161
66,2,0,97.161,97.179,97.161,97.161
67,2,0,97.476,97.485,97.476,97.477
68,2,0,97.476,97.485,97.476,97.477
69,2,0,96.845,96.854,96.845,96.846
70,2,0,96.845,96.854,96.845,96.846
71,2,0,96.53,96.532,96.53,96.53
72,2,0,96.845,96.845,96.845,96.845
73,2,0,97.792,97.81,97.792,97.792
74,2,0,97.792,97.81,97.792,97.792
75,2,0,97.476,97.508,97.476,97.477
76,2,0,97.476,97.508,97.476,97.477
77,2,0,97.476,97.508,97.476,97.477
78,2,0,97.476,97.508,97.476,97.477
79,2,0,97.792,97.81,97.792,97.792
80,2,0,97.792,97.81,97.792,97.792
81,2,0,97.161,97.179,97.161,97.161
82,2,0,97.161,97.179,97.161,97.161
83,2,0,97.792,97.81,97.792,97.792
84,2,0,97.792,97.81,97.792,97.792
85,2,0,97.161,97.179,97.161,97.161
86,2,0,97.476,97.508,97.476,97.477
87,2,0,97.476,97.485,97.476,97.477
88,2,0,97.476,97.485,97.476,97.477
89,2,0,97.792,97.81,97.792,97.792
90,2,0,97.792,97.81,97.792,97.792
91,2,0,98.107,98.115,98.107,98.107
92,2,0,98.107,98.115,98.107,98.107
93,2,0,97.476,97.485,97.476,97.477
94,2,0,97.476,97.485,97.476,97.477
95,2,0,97.792,97.81,97.792,97.792
96,2,0,97.792,97.81,97.792,97.792
97,2,0,98.107,98.115,98.107,98.107
98,2,0,97.792,97.794,97.792,97.792
99,2,0,97.792,97.794,97.792,97.792
100,2,0,97.792,97.794,97.792,97.792
0,2,1,95.584,95.589,95.584,95.582
1,2,1,95.584,95.584,95.584,95.584
2,2,1,95.584,95.584,95.584,95.584
3,2,1,95.268,95.281,95.268,95.266
4,2,1,95.584,95.608,95.584,95.581
5,2,1,95.584,95.584,95.584,95.584
6,2,1,95.584,95.584,95.584,95.584
7,2,1,96.215,96.22,96.215,96.213
8,2,1,96.53,96.544,96.53,96.528
9,2,1,96.845,96.872,96.845,96.843
10,2,1,96.845,96.872,96.845,96.843
11,2,1,97.161,97.162,97.161,97.16
12,2,1,97.161,97.162,97.161,97.16
13,2,1,97.161,97.162,97.161,97.16
14,2,1,97.161,97.162,97.161,97.16
15,2,1,97.161,97.176,97.161,97.16
16,2,1,97.161,97.176,97.161,97.16
17,2,1,96.215,96.22,96.215,96.213
18,2,1,96.215,96.22,96.215,96.213
19,2,1,96.845,96.851,96.845,96.844
20,2,1,96.845,96.851,96.845,96.844
21,2,1,97.161,97.162,97.161,97.16
22,2,1,97.476,97.476,97.476,97.476
23,2,1,97.476,97.476,97.476,97.476
24,2,1,97.476,97.476,97.476,97.476
25,2,1,97.476,97.476,97.476,97.476
26,2,1,97.476,97.476,97.476,97.476
27,2,1,97.161,97.162,97.161,97.16
28,2,1,97.161,97.162,97.161,97.16
29,2,1,97.161,97.162,97.161,97.16
30,2,1,97.161,97.162,97.161,97.16
31,2,1,96.845,96.851,96.845,96.844
32,2,1,96.845,96.851,96.845,96.844
33,2,1,97.161,97.163,97.161,97.161
34,2,1,97.161,97.163,97.161,97.161
35,2,1,97.476,97.476,97.476,97.476
36,2,1,97.161,97.162,97.161,97.16
37,2,1,97.476,97.476,97.476,97.476
38,2,1,97.476,97.476,97.476,97.476
39,2,1,97.161,97.162,97.161,97.16
40,2,1,97.161,97.162,97.161,97.16
41,2,1,97.792,97.811,97.792,97.792
42,2,1,97.792,97.811,97.792,97.792
43,2,1,97.792,97.794,97.792,97.792
44,2,1,97.792,97.794,97.792,97.792
45,2,1,97.476,97.485,97.476,97.477
46,2,1,97.476,97.485,97.476,97.477
47,2,1,97.792,97.794,97.792,97.792
48,2,1,97.476,97.476,97.476,97.476
49,2,1,97.476,97.485,97.476,97.477
50,2,1,97.476,97.485,97.476,97.477
51,2,1,97.792,97.793,97.792,97.791
52,2,1,97.792,97.793,97.792,97.791
53,2,1,98.107,98.114,98.107,98.107
54,2,1,97.792,97.793,97.792,97.791
55,2,1,97.792,97.793,97.792,97.791
56,2,1,97.792,97.793,97.792,97.791
57,2,1,98.107,98.114,98.107,98.107
58,2,1,98.107,98.114,98.107,98.107
59,2,1,98.107,98.114,98.107,98.107
60,2,1,98.107,98.114,98.107,98.107
61,2,1,98.107,98.114,98.107,98.107
62,2,1,98.107,98.114,98.107,98.107
63,2,1,97.792,97.793,97.792,97.791
64,2,1,97.792,97.793,97.792,97.791
65,2,1,96.845,96.908,96.845,96.842
66,2,1,97.476,97.504,97.476,97.475
67,2,1,97.476,97.504,97.476,97.475
68,2,1,97.476,97.504,97.476,97.475
69,2,1,97.792,97.807,97.792,97.791
70,2,1,97.792,97.807,97.792,97.791
71,2,1,97.476,97.504,97.476,97.475
72,2,1,97.476,97.504,97.476,97.475
73,2,1,97.476,97.483,97.476,97.476
74,2,1,98.107,98.114,98.107,98.107
75,2,1,98.107,98.107,98.107,98.107
76,2,1,98.107,98.107,98.107,98.107
77,2,1,97.792,97.807,97.792,97.791
78,2,1,97.792,97.807,97.792,97.791
79,2,1,97.161,97.176,97.161,97.16
80,2,1,97.161,97.176,97.161,97.16
81,2,1,97.476,97.483,97.476,97.476
82,2,1,97.476,97.483,97.476,97.476
83,2,1,98.107,98.107,98.107,98.107
84,2,1,98.107,98.107,98.107,98.107
85,2,1,98.107,98.114,98.107,98.107
86,2,1,98.107,98.107,98.107,98.107
87,2,1,97.476,97.476,97.476,97.476
88,2,1,97.476,97.476,97.476,97.476
89,2,1,98.107,98.114,98.107,98.107
90,2,1,98.423,98.424,98.423,98.422
91,2,1,97.792,97.793,97.792,97.791
92,2,1,97.792,97.793,97.792,97.791
93,2,1,97.792,97.794,97.792,97.792
94,2,1,97.792,97.794,97.792,97.792
95,2,1,97.161,97.163,97.161,97.161
96,2,1,97.161,97.163,97.161,97.161
97,2,1,97.161,97.162,97.161,97.16
98,2,1,97.161,97.162,97.161,97.16
99,2,1,97.476,97.483,97.476,97.476
100,2,1,97.476,97.483,97.476,97.476
0,2,2,96.215,96.242,96.215,96.213
1,2,2,96.215,96.221,96.215,96.214
2,2,2,95.899,95.914,95.899,95.898
3,2,2,96.215,96.221,96.215,96.214
4,2,2,96.53,96.546,96.53,96.529
5,2,2,96.53,96.546,96.53,96.529
6,2,2,96.53,96.546,96.53,96.529
7,2,2,96.845,96.852,96.845,96.845
8,2,2,96.845,96.852,96.845,96.845
9,2,2,97.161,97.162,97.161,97.161
10,2,2,96.845,96.852,96.845,96.845
11,2,2,97.161,97.163,97.161,97.161
12,2,2,97.161,97.163,97.161,97.161
13,2,2,96.845,96.852,96.845,96.845
14,2,2,97.476,97.506,97.476,97.475
15,2,2,97.476,97.476,97.476,97.476
16,2,2,97.476,97.476,97.476,97.476
17,2,2,97.161,97.162,97.161,97.161
18,2,2,97.161,97.162,97.161,97.161
19,2,2,97.792,97.81,97.792,97.792
20,2,2,97.161,97.163,97.161,97.161
21,2,2,97.476,97.484,97.476,97.476
22,2,2,97.476,97.484,97.476,97.476
23,2,2,97.476,97.484,97.476,97.476
24,2,2,98.107,98.115,98.107,98.107
25,2,2,97.476,97.484,97.476,97.476
26,2,2,97.476,97.484,97.476,97.476
27,2,2,97.792,97.81,97.792,97.792
28,2,2,97.792,97.81,97.792,97.792
29,2,2,97.792,97.81,97.792,97.792
30,2,2,97.792,97.81,97.792,97.792
31,2,2,98.423,98.425,98.423,98.423
32,2,2,98.423,98.425,98.423,98.423
33,2,2,98.738,98.77,98.738,98.738
34,2,2,98.738,98.77,98.738,98.738
35,2,2,98.107,98.115,98.107,98.107
36,2,2,98.107,98.115,98.107,98.107
37,2,2,98.423,98.441,98.423,98.423
38,2,2,98.423,98.441,98.423,98.423
39,2,2,98.738,98.746,98.738,98.738
40,2,2,98.738,98.746,98.738,98.738
41,2,2,98.423,98.425,98.423,98.423
42,2,2,98.423,98.425,98.423,98.423
43,2,2,98.107,98.115,98.107,98.107
44,2,2,98.107,98.115,98.107,98.107
45,2,2,98.107,98.107,98.107,98.107
46,2,2,98.107,98.107,98.107,98.107
47,2,2,98.107,98.115,98.107,98.107
48,2,2,98.107,98.115,98.107,98.107
49,2,2,98.423,98.424,98.423,98.423
50,2,2,98.423,98.425,98.423,98.423
51,2,2,99.369,99.377,99.369,99.369
52,2,2,99.369,99.377,99.369,99.369
53,2,2,98.423,98.425,98.423,98.423
54,2,2,98.738,98.746,98.738,98.738
55,2,2,98.738,98.77,98.738,98.738
56,2,2,98.738,98.77,98.738,98.738
57,2,2,98.738,98.77,98.738,98.738
58,2,2,98.738,98.77,98.738,98.738
59,2,2,99.369,99.377,99.369,99.369
60,2,2,99.054,99.071,99.054,99.054
61,2,2,99.054,99.071,99.054,99.054
62,2,2,99.054,99.071,99.054,99.054
63,2,2,99.054,99.071,99.054,99.054
64,2,2,99.054,99.071,99.054,99.054
65,2,2,99.369,99.377,99.369,99.369
66,2,2,99.369,99.377,99.369,99.369
67,2,2,98.738,98.738,98.738,98.738
68,2,2,98.738,98.738,98.738,98.738
69,2,2,98.738,98.746,98.738,98.738
70,2,2,98.738,98.746,98.738,98.738
71,2,2,99.369,99.377,99.369,99.369
72,2,2,99.054,99.071,99.054,99.054
73,2,2,99.054,99.056,99.054,99.054
74,2,2,99.054,99.056,99.054,99.054
75,2,2,98.738,98.746,98.738,98.738
76,2,2,98.738,98.746,98.738,98.738
77,2,2,99.054,99.071,99.054,99.054
78,2,2,99.054,99.071,99.054,99.054
79,2,2,98.738,98.746,98.738,98.738
80,2,2,98.738,98.746,98.738,98.738
81,2,2,99.369,99.369,99.369,99.369
82,2,2,99.369,99.369,99.369,99.369
83,2,2,98.423,98.441,98.423,98.423
84,2,2,98.423,98.441,98.423,98.423
85,2,2,99.054,99.056,99.054,99.054
86,2,2,99.054,99.056,99.054,99.054
87,2,2,99.054,99.056,99.054,99.054
88,2,2,98.738,98.746,98.738,98.738
89,2,2,98.738,98.746,98.738,98.738
90,2,2,98.738,98.746,98.738,98.738
91,2,2,99.054,99.056,99.054,99.054
92,2,2,98.738,98.746,98.738,98.738
93,2,2,99.054,99.056,99.054,99.054
94,2,2,99.054,99.056,99.054,99.054
95,2,2,99.685,99.687,99.685,99.685
96,2,2,99.369,99.369,99.369,99.369
97,2,2,99.369,99.369,99.369,99.369
98,2,2,99.369,99.369,99.369,99.369
99,2,2,99.054,99.071,99.054,99.054
100,2,2,99.685,99.687,99.685,99.685
0,5,0,94.637,94.719,94.637,94.632
1,5,0,95.268,95.282,95.268,95.267
2,5,0,95.268,95.282,95.268,95.267
3,5,0,94.953,95.013,94.953,94.949
4,5,0,94.953,95.013,94.953,94.949
5,5,0,95.268,95.282,95.268,95.267
6,5,0,95.268,95.31,95.268,95.265
7,5,0,95.899,95.914,95.899,95.898
8,5,0,95.899,95.914,95.899,95.898
9,5,0,95.899,95.914,95.899,95.898
10,5,0,96.215,96.242,96.215,96.213
11,5,0,96.53,96.532,96.53,96.53
12,5,0,96.53,96.532,96.53,96.53
13,5,0,96.53,96.532,96.53,96.53
14,5,0,97.161,97.163,97.161,97.161
15,5,0,96.845,96.852,96.845,96.845
16,5,0,97.792,97.793,97.792,97.792
17,5,0,96.53,96.532,96.53,96.53
18,5,0,96.53,96.532,96.53,96.53
19,5,0,96.53,96.531,96.53,96.53
20,5,0,96.845,96.845,96.845,96.845
21,5,0,96.845,96.854,96.845,96.846
22,5,0,96.845,96.854,96.845,96.846
23,5,0,97.161,97.163,97.161,97.161
24,5,0,97.161,97.163,97.161,97.161
25,5,0,96.53,96.532,96.53,96.53
26,5,0,96.53,96.532,96.53,96.53
27,5,0,97.792,97.81,97.792,97.792
28,5,0,97.792,97.81,97.792,97.792
29,5,0,97.476,97.485,97.476,97.477
30,5,0,97.476,97.485,97.476,97.477
31,5,0,97.476,97.485,97.476,97.477
32,5,0,96.845,96.845,96.845,96.845
33,5,0,97.476,97.485,97.476,97.477
34,5,0,97.792,97.81,97.792,97.792
35,5,0,98.107,98.115,98.107,98.107
36,5,0,97.476,97.485,97.476,97.477
37,5,0,98.107,98.139,98.107,98.107
38,5,0,98.107,98.139,98.107,98.107
39,5,0,97.476,97.485,97.476,97.477
40,5,0,97.476,97.485,97.476,97.477
0,5,1,95.584,95.589,95.584,95.582
1,5,1,95.899,95.912,95.899,95.897
2,5,1,95.899,95.912,95.899,95.897
3,5,1,96.845,96.872,96.845,96.843
4,5,1,96.845,96.872,96.845,96.843
5,5,1,96.53,96.544,96.53,96.528
6,5,1,96.53,96.544,96.53,96.528
7,5,1,97.476,97.485,97.476,97.477
8,5,1,97.476,97.485,97.476,97.477
9,5,1,97.476,97.476,97.476,97.476
10,5,1,97.476,97.476,97.476,97.476
11,5,1,97.161,97.162,97.161,97.16
12,5,1,97.161,97.162,97.161,97.16
13,5,1,97.792,97.807,97.792,97.791
14,5,1,97.792,97.807,97.792,97.791
15,5,1,97.476,97.483,97.476,97.476
16,5,1,97.476,97.483,97.476,97.476
17,5,1,97.792,97.793,97.792,97.791
18,5,1,97.792,97.793,97.792,97.791
19,5,1,97.792,97.793,97.792,97.791
20,5,1,97.792,97.793,97.792,97.791
21,5,1,98.738,98.738,98.738,98.738
22,5,1,98.738,98.738,98.738,98.738
23,5,1,98.423,98.424,98.423,98.422
24,5,1,98.738,98.738,98.738,98.738
25,5,1,97.792,97.794,97.792,97.792
26,5,1,97.792,97.794,97.792,97.792
27,5,1,98.107,98.114,98.107,98.107
28,5,1,98.107,98.114,98.107,98.107
29,5,1,98.423,98.425,98.423,98.423
30,5,1,98.423,98.425,98.423,98.423
31,5,1,98.423,98.425,98.423,98.423
32,5,1,98.423,98.425,98.423,98.423
33,5,1,98.738,98.747,98.738,98.738
34,5,1,98.738,98.747,98.738,98.738
35,5,1,98.423,98.425,98.423,98.423
36,5,1,98.423,98.425,98.423,98.423
37,5,1,98.423,98.441,98.423,98.423
38,5,1,98.423,98.441,98.423,98.423
39,5,1,98.107,98.107,98.107,98.107
40,5,1,98.738,98.747,98.738,98.738
0,5,2,96.215,96.242,96.215,96.213
1,5,2,96.53,96.531,96.53,96.53
2,5,2,96.845,96.845,96.845,96.845
3,5,2,97.161,97.162,97.161,97.161
4,5,2,97.161,97.163,97.161,97.161
5,5,2,96.845,96.845,96.845,96.845
6,5,2,96.845,96.845,96.845,96.845
7,5,2,96.845,96.845,96.845,96.845
8,5,2,96.845,96.845,96.845,96.845
9,5,2,96.845,96.845,96.845,96.845
10,5,2,96.845,96.845,96.845,96.845
11,5,2,97.161,97.163,97.161,97.161
12,5,2,97.161,97.163,97.161,97.161
13,5,2,97.476,97.484,97.476,97.476
14,5,2,97.476,97.484,97.476,97.476
15,5,2,97.161,97.162,97.161,97.161
16,5,2,97.161,97.162,97.161,97.161
17,5,2,97.792,97.808,97.792,97.791
18,5,2,97.792,97.808,97.792,97.791
19,5,2,97.161,97.162,97.161,97.161
20,5,2,97.161,97.162,97.161,97.161
