iter,step,fold,acc,prec,rec,f1score
0,2,0,94.637,94.719,94.637,94.632
1,2,0,94.953,95.013,94.953,94.949
2,2,0,94.953,95.013,94.953,94.949
3,2,0,94.953,95.013,94.953,94.949
4,2,0,94.953,95.013,94.953,94.949
5,2,0,94.322,94.381,94.322,94.317
6,2,0,95.268,95.31,95.268,95.265
7,2,0,94.953,95.062,94.953,94.947
8,2,0,95.584,95.645,95.584,95.58
9,2,0,94.953,95.013,94.953,94.949
10,2,0,94.953,95.013,94.953,94.949
11,2,0,95.268,95.31,95.268,95.265
12,2,0,95.268,95.31,95.268,95.265
13,2,0,94.637,94.719,94.637,94.632
14,2,0,95.268,95.31,95.268,95.265
15,2,0,95.899,95.985,95.899,95.895
16,2,0,95.899,95.985,95.899,95.895
17,2,0,95.268,95.352,95.268,95.264
18,2,0,95.268,95.352,95.268,95.264
19,2,0,95.268,95.352,95.268,95.264
20,2,0,95.268,95.352,95.268,95.264
21,2,0,95.584,95.645,95.584,95.58
22,2,0,95.584,95.645,95.584,95.58
23,2,0,94.637,94.678,94.637,94.634
24,2,0,94.637,94.678,94.637,94.634
25,2,0,94.953,95.013,94.953,94.949
26,2,0,95.268,95.31,95.268,95.265
27,2,0,95.268,95.31,95.268,95.265
28,2,0,95.268,95.31,95.268,95.265
29,2,0,95.584,95.61,95.584,95.582
30,2,0,95.268,95.31,95.268,95.265
31,2,0,94.322,94.381,94.322,94.317
32,2,0,95.584,95.61,95.584,95.582
33,2,0,95.584,95.61,95.584,95.582
34,2,0,95.584,95.61,95.584,95.582
35,2,0,95.268,95.31,95.268,95.265
36,2,0,94.637,94.678,94.637,94.634
37,2,0,95.268,95.31,95.268,95.265
38,2,0,95.268,95.31,95.268,95.265
39,2,0,95.584,95.645,95.584,95.58
40,2,0,95.584,95.645,95.584,95.58
41,2,0,96.215,96.278,96.215,96.212
42,2,0,95.584,95.645,95.584,95.58
43,2,0,95.584,95.645,95.584,95.58
44,2,0,95.899,95.942,95.899,95.897
45,2,0,96.53,96.574,96.53,96.528
46,2,0,96.53,96.574,96.53,96.528
47,2,0,95.584,95.645,95.584,95.58
48,2,0,95.899,95.985,95.899,95.895
49,2,0,95.584,95.61,95.584,95.582
50,2,0,95.584,95.61,95.584,95.582
51,2,0,95.268,95.352,95.268,95.264
52,2,0,95.268,95.352,95.268,95.264
53,2,0,95.584,95.645,95.584,95.58
54,2,0,95.584,95.645,95.584,95.58
55,2,0,95.584,95.645,95.584,95.58
56,2,0,95.899,95.942,95.899,95.897
57,2,0,95.584,95.645,95.584,95.58
58,2,0,95.584,95.645,95.584,95.58
59,2,0,95.899,95.942,95.899,95.897
60,2,0,95.899,95.942,95.899,95.897
61,2,0,95.899,95.942,95.899,95.897
62,2,0,95.899,95.942,95.899,95.897
63,2,0,95.584,95.61,95.584,95.582
64,2,0,94.953,95.013,94.953,94.949
65,2,0,95.268,95.31,95.268,95.265
66,2,0,96.215,96.242,96.215,96.213
67,2,0,95.584,95.61,95.584,95.582
68,2,0,95.584,95.61,95.584,95.582
69,2,0,95.584,95.61,95.584,95.582
70,2,0,95.584,95.645,95.584,95.58
71,2,0,95.584,95.61,95.584,95.582
72,2,0,95.584,95.61,95.584,95.582
73,2,0,95.584,95.61,95.584,95.582
74,2,0,95.584,95.61,95.584,95.582
75,2,0,95.584,95.61,95.584,95.582
76,2,0,95.584,95.61,95.584,95.582
77,2,0,95.584,95.61,95.584,95.582
78,2,0,95.584,95.61,95.584,95.582
79,2,0,96.215,96.242,96.215,96.213
80,2,0,96.215,96.242,96.215,96.213
81,2,0,96.215,96.278,96.215,96.212
82,2,0,96.215,96.278,96.215,96.212
83,2,0,96.53,96.574,96.53,96.528
84,2,0,96.215,96.242,96.215,96.213
85,2,0,96.53,96.574,96.53,96.528
86,2,0,96.215,96.242,96.215,96.213
87,2,0,96.215,96.278,96.215,96.212
88,2,0,96.215,96.278,96.215,96.212
89,2,0,96.215,96.278,96.215,96.212
90,2,0,96.215,96.278,96.215,96.212
91,2,0,95.584,95.61,95.584,95.582
92,2,0,95.584,95.61,95.584,95.582
93,2,0,95.268,95.31,95.268,95.265
94,2,0,95.584,95.61,95.584,95.582
95,2,0,95.268,95.31,95.268,95.265
96,2,0,95.268,95.31,95.268,95.265
97,2,0,95.584,95.61,95.584,95.582
98,2,0,95.899,95.942,95.899,95.897
99,2,0,95.899,95.914,95.899,95.898
100,2,0,95.899,95.914,95.899,95.898
0,2,1,95.584,95.589,95.584,95.582
1,2,1,95.584,95.608,95.584,95.581
2,2,1,95.584,95.608,95.584,95.581
3,2,1,95.584,95.589,95.584,95.582
4,2,1,96.215,96.22,96.215,96.213
5,2,1,95.268,95.307,95.268,95.264
6,2,1,95.584,95.608,95.584,95.581
7,2,1,95.584,95.589,95.584,95.582
8,2,1,95.584,95.589,95.584,95.582
9,2,1,94.953,95.01,94.953,94.947
10,2,1,95.584,95.608,95.584,95.581
11,2,1,95.268,95.307,95.268,95.264
12,2,1,95.268,95.307,95.268,95.264
13,2,1,95.268,95.269,95.268,95.267
14,2,1,95.268,95.269,95.268,95.267
15,2,1,94.953,94.953,94.953,94.953
16,2,1,94.953,94.953,94.953,94.953
17,2,1,95.268,95.281,95.268,95.266
18,2,1,95.268,95.281,95.268,95.266
19,2,1,94.637,94.649,94.637,94.635
20,2,1,94.637,94.649,94.637,94.635
21,2,1,94.637,94.638,94.637,94.636
22,2,1,94.637,94.638,94.637,94.636
23,2,1,94.322,94.344,94.322,94.318
24,2,1,94.637,94.649,94.637,94.635
25,2,1,95.268,95.281,95.268,95.266
26,2,1,95.268,95.281,95.268,95.266
27,2,1,95.899,95.9,95.899,95.898
28,2,1,95.899,95.9,95.899,95.898
29,2,1,95.584,95.584,95.584,95.584
30,2,1,95.584,95.584,95.584,95.584
31,2,1,96.215,96.22,96.215,96.213
32,2,1,96.53,96.544,96.53,96.528
33,2,1,96.53,96.531,96.53,96.529
34,2,1,96.53,96.531,96.53,96.529
35,2,1,95.584,95.584,95.584,95.584
36,2,1,95.268,95.269,95.268,95.267
37,2,1,95.584,95.589,95.584,95.582
38,2,1,96.53,96.544,96.53,96.528
39,2,1,96.215,96.22,96.215,96.213
40,2,1,96.215,96.22,96.215,96.213
41,2,1,96.215,96.22,96.215,96.213
42,2,1,96.215,96.22,96.215,96.213
43,2,1,96.215,96.22,96.215,96.213
44,2,1,96.215,96.22,96.215,96.213
45,2,1,95.584,95.584,95.584,95.584
46,2,1,95.584,95.584,95.584,95.584
47,2,1,95.268,95.269,95.268,95.267
48,2,1,95.584,95.584,95.584,95.584
49,2,1,95.899,95.9,95.899,95.898
50,2,1,96.215,96.215,96.215,96.215
51,2,1,96.53,96.533,96.53,96.53
52,2,1,96.53,96.533,96.53,96.53
53,2,1,96.215,96.215,96.215,96.215
54,2,1,96.215,96.215,96.215,96.215
55,2,1,96.215,96.215,96.215,96.215
56,2,1,96.215,96.215,96.215,96.215
57,2,1,95.899,95.9,95.899,95.898
58,2,1,95.899,95.9,95.899,95.898
59,2,1,95.899,95.9,95.899,95.898
60,2,1,95.899,95.9,95.899,95.898
61,2,1,95.899,95.912,95.899,95.897
62,2,1,95.899,95.912,95.899,95.897
63,2,1,95.899,95.9,95.899,95.898
64,2,1,95.584,95.589,95.584,95.582
65,2,1,95.899,95.9,95.899,95.898
66,2,1,95.899,95.9,95.899,95.898
67,2,1,96.215,96.215,96.215,96.215
68,2,1,96.53,96.533,96.53,96.53
69,2,1,96.215,96.22,96.215,96.213
70,2,1,96.215,96.22,96.215,96.213
71,2,1,96.215,96.22,96.215,96.213
72,2,1,96.215,96.22,96.215,96.213
73,2,1,95.899,95.902,95.899,95.9
74,2,1,95.899,95.902,95.899,95.9
75,2,1,96.215,96.215,96.215,96.215
76,2,1,96.845,96.845,96.845,96.845
77,2,1,95.584,95.589,95.584,95.582
78,2,1,95.899,95.9,95.899,95.898
79,2,1,95.584,95.584,95.584,95.584
80,2,1,96.53,96.533,96.53,96.53
81,2,1,95.899,95.9,95.899,95.898
82,2,1,95.899,95.9,95.899,95.898
83,2,1,95.584,95.589,95.584,95.582
84,2,1,95.584,95.608,95.584,95.581
85,2,1,95.584,95.584,95.584,95.584
86,2,1,95.584,95.589,95.584,95.582
87,2,1,95.584,95.589,95.584,95.582
88,2,1,95.584,95.589,95.584,95.582
89,2,1,95.268,95.281,95.268,95.266
90,2,1,95.584,95.589,95.584,95.582
91,2,1,95.899,95.9,95.899,95.898
92,2,1,95.899,95.9,95.899,95.898
93,2,1,95.899,95.9,95.899,95.898
94,2,1,95.899,95.9,95.899,95.898
95,2,1,95.268,95.269,95.268,95.267
96,2,1,95.268,95.269,95.268,95.267
97,2,1,95.268,95.269,95.268,95.267
98,2,1,95.268,95.269,95.268,95.267
99,2,1,96.53,96.533,96.53,96.53
100,2,1,95.899,95.9,95.899,95.898
0,2,2,96.215,96.242,96.215,96.213
1,2,2,96.215,96.221,96.215,96.214
2,2,2,96.215,96.221,96.215,96.214
3,2,2,96.215,96.221,96.215,96.214
4,2,2,96.215,96.221,96.215,96.214
5,2,2,96.215,96.221,96.215,96.214
6,2,2,96.53,96.531,96.53,96.53
7,2,2,95.899,95.914,95.899,95.898
8,2,2,95.899,95.914,95.899,95.898
9,2,2,96.215,96.221,96.215,96.214
10,2,2,96.215,96.221,96.215,96.214
11,2,2,95.584,95.611,95.584,95.582
12,2,2,95.584,95.611,95.584,95.582
13,2,2,96.53,96.531,96.53,96.53
14,2,2,96.53,96.531,96.53,96.53
15,2,2,96.53,96.531,96.53,96.53
16,2,2,96.215,96.221,96.215,96.214
17,2,2,96.215,96.221,96.215,96.214
18,2,2,96.215,96.221,96.215,96.214
19,2,2,96.215,96.221,96.215,96.214
20,2,2,96.215,96.221,96.215,96.214
21,2,2,95.899,95.914,95.899,95.898
22,2,2,95.899,95.914,95.899,95.898
23,2,2,95.899,95.914,95.899,95.898
24,2,2,95.899,95.914,95.899,95.898
25,2,2,95.899,95.914,95.899,95.898
26,2,2,95.899,95.914,95.899,95.898
27,2,2,96.53,96.531,96.53,96.53
28,2,2,96.215,96.221,96.215,96.214
29,2,2,96.215,96.221,96.215,96.214
30,2,2,96.215,96.221,96.215,96.214
31,2,2,96.53,96.531,96.53,96.53
32,2,2,96.53,96.531,96.53,96.53
33,2,2,96.215,96.221,96.215,96.214
34,2,2,96.215,96.221,96.215,96.214
35,2,2,96.53,96.531,96.53,96.53
36,2,2,96.215,96.221,96.215,96.214
37,2,2,96.53,96.531,96.53,96.53
38,2,2,96.53,96.531,96.53,96.53
39,2,2,96.215,96.221,96.215,96.214
40,2,2,96.215,96.221,96.215,96.214
41,2,2,95.899,95.914,95.899,95.898
42,2,2,95.899,95.914,95.899,95.898
43,2,2,96.215,96.221,96.215,96.214
44,2,2,96.53,96.531,96.53,96.53
45,2,2,95.899,95.914,95.899,95.898
46,2,2,96.215,96.221,96.215,96.214
47,2,2,96.215,96.221,96.215,96.214
48,2,2,96.215,96.221,96.215,96.214
49,2,2,96.215,96.221,96.215,96.214
50,2,2,96.215,96.221,96.215,96.214
51,2,2,96.215,96.221,96.215,96.214
52,2,2,96.215,96.221,96.215,96.214
53,2,2,96.215,96.221,96.215,96.214
54,2,2,96.215,96.221,96.215,96.214
55,2,2,96.215,96.221,96.215,96.214
56,2,2,96.215,96.221,96.215,96.214
57,2,2,96.215,96.221,96.215,96.214
58,2,2,96.215,96.221,96.215,96.214
59,2,2,96.215,96.221,96.215,96.214
60,2,2,96.215,96.221,96.215,96.214
61,2,2,96.215,96.221,96.215,96.214
62,2,2,96.215,96.221,96.215,96.214
63,2,2,96.215,96.221,96.215,96.214
64,2,2,96.53,96.531,96.53,96.53
65,2,2,96.215,96.221,96.215,96.214
66,2,2,96.215,96.221,96.215,96.214
67,2,2,96.53,96.546,96.53,96.529
68,2,2,96.53,96.546,96.53,96.529
69,2,2,97.161,97.177,97.161,97.16
70,2,2,97.161,97.177,97.161,97.16
71,2,2,96.53,96.546,96.53,96.529
72,2,2,96.53,96.546,96.53,96.529
73,2,2,96.215,96.242,96.215,96.213
74,2,2,96.215,96.242,96.215,96.213
75,2,2,96.845,96.874,96.845,96.844
76,2,2,96.845,96.874,96.845,96.844
77,2,2,96.845,96.874,96.845,96.844
78,2,2,96.53,96.546,96.53,96.529
79,2,2,96.215,96.242,96.215,96.213
80,2,2,96.53,96.546,96.53,96.529
81,2,2,96.845,96.874,96.845,96.844
82,2,2,96.845,96.874,96.845,96.844
83,2,2,96.53,96.546,96.53,96.529
84,2,2,96.215,96.242,96.215,96.213
85,2,2,96.53,96.546,96.53,96.529
86,2,2,96.53,96.546,96.53,96.529
87,2,2,96.215,96.242,96.215,96.213
88,2,2,96.215,96.242,96.215,96.213
89,2,2,97.161,97.162,97.161,97.161
90,2,2,97.161,97.162,97.161,97.161
91,2,2,97.161,97.162,97.161,97.161
92,2,2,97.161,97.162,97.161,97.161
93,2,2,97.161,97.162,97.161,97.161
94,2,2,97.161,97.162,97.161,97.161
95,2,2,97.161,97.177,97.161,97.16
96,2,2,96.845,96.852,96.845,96.845
97,2,2,97.161,97.162,97.161,97.161
98,2,2,97.161,97.162,97.161,97.161
99,2,2,97.792,97.808,97.792,97.791
100,2,2,97.792,97.808,97.792,97.791
0,5,0,94.637,94.719,94.637,94.632
1,5,0,95.584,95.61,95.584,95.582
2,5,0,95.584,95.61,95.584,95.582
3,5,0,94.637,94.719,94.637,94.632
4,5,0,94.953,95.062,94.953,94.947
5,5,0,95.268,95.31,95.268,95.265
6,5,0,95.268,95.31,95.268,95.265
7,5,0,94.322,94.381,94.322,94.317
8,5,0,94.322,94.381,94.322,94.317
9,5,0,94.637,94.719,94.637,94.632
10,5,0,94.637,94.719,94.637,94.632
11,5,0,94.953,95.013,94.953,94.949
12,5,0,94.953,95.013,94.953,94.949
13,5,0,94.322,94.381,94.322,94.317
14,5,0,94.322,94.429,94.322,94.315
15,5,0,94.953,95.062,94.953,94.947
16,5,0,94.953,95.062,94.953,94.947
17,5,0,94.953,95.062,94.953,94.947
18,5,0,94.953,95.013,94.953,94.949
19,5,0,94.637,94.719,94.637,94.632
20,5,0,94.953,95.013,94.953,94.949
21,5,0,95.584,95.645,95.584,95.58
22,5,0,95.584,95.645,95.584,95.58
23,5,0,95.584,95.645,95.584,95.58
24,5,0,95.584,95.645,95.584,95.58
25,5,0,94.953,95.013,94.953,94.949
26,5,0,94.953,95.013,94.953,94.949
27,5,0,94.637,94.678,94.637,94.634
28,5,0,94.637,94.651,94.637,94.636
29,5,0,95.268,95.31,95.268,95.265
30,5,0,95.268,95.282,95.268,95.267
31,5,0,95.268,95.282,95.268,95.267
32,5,0,94.953,94.979,94.953,94.95
33,5,0,94.953,94.979,94.953,94.95
34,5,0,95.899,95.914,95.899,95.898
35,5,0,94.953,94.979,94.953,94.95
