iter,step,fold,acc,prec,rec,f1score
0,2,0,65.931,65.965,65.931,65.853
1,2,0,65.931,65.989,65.931,65.83
2,2,0,66.246,66.322,66.246,66.135
3,2,0,65.931,65.965,65.931,65.853
4,2,0,65.615,65.658,65.615,65.526
5,2,0,65.931,65.965,65.931,65.853
6,2,0,66.246,66.273,66.246,66.179
7,2,0,66.246,66.295,66.246,66.158
8,2,0,66.562,66.601,66.562,66.485
9,2,0,66.246,66.295,66.246,66.158
10,2,0,65.615,65.612,65.615,65.582
11,2,0,65.615,65.612,65.615,65.582
12,2,0,64.669,64.678,64.669,64.609
13,2,0,64.038,64.034,64.038,63.995
14,2,0,64.038,64.034,64.038,63.995
15,2,0,64.669,64.66,64.669,64.641
16,2,0,65.3,65.29,65.3,65.284
17,2,0,65.3,65.293,65.3,65.273
18,2,0,64.984,64.989,64.984,64.934
19,2,0,65.615,65.658,65.615,65.526
20,2,0,65.615,65.658,65.615,65.526
21,2,0,65.931,65.965,65.931,65.853
22,2,0,65.931,65.965,65.931,65.853
23,2,0,65.931,65.965,65.931,65.853
24,2,0,65.931,65.965,65.931,65.853
25,2,0,64.984,64.979,64.984,64.95
26,2,0,65.931,65.947,65.931,65.873
27,2,0,65.931,65.947,65.931,65.873
28,2,0,66.562,66.566,66.562,66.521
29,2,0,66.877,66.89,66.877,66.829
30,2,0,67.192,67.237,67.192,67.118
31,2,0,67.192,67.237,67.192,67.118
32,2,0,67.192,67.263,67.192,67.096
33,2,0,67.192,67.237,67.192,67.118
34,2,0,67.192,67.237,67.192,67.118
35,2,0,67.192,67.296,67.192,67.072
36,2,0,67.192,67.296,67.192,67.072
37,2,0,67.192,67.296,67.192,67.072
38,2,0,67.508,67.598,67.508,67.401
39,2,0,67.508,67.598,67.508,67.401
40,2,0,67.192,67.296,67.192,67.072
41,2,0,67.192,67.296,67.192,67.072
42,2,0,67.508,67.634,67.508,67.375
43,2,0,68.77,69.014,68.77,68.586
44,2,0,68.77,69.014,68.77,68.586
45,2,0,68.139,68.427,68.139,67.918
46,2,0,68.139,68.427,68.139,67.918
47,2,0,68.139,68.427,68.139,67.918
48,2,0,67.508,67.841,67.508,67.247
49,2,0,68.139,68.427,68.139,67.918
50,2,0,67.508,67.78,67.508,67.283
51,2,0,67.508,67.78,67.508,67.283
52,2,0,67.508,67.725,67.508,67.316
53,2,0,67.508,67.725,67.508,67.316
54,2,0,67.508,67.725,67.508,67.316
55,2,0,67.508,67.725,67.508,67.316
56,2,0,67.508,67.725,67.508,67.316
57,2,0,67.508,67.677,67.508,67.347
58,2,0,67.508,67.634,67.508,67.375
59,2,0,67.508,67.677,67.508,67.347
60,2,0,67.508,67.677,67.508,67.347
61,2,0,67.508,67.677,67.508,67.347
62,2,0,67.823,67.975,67.823,67.678
63,2,0,68.139,68.274,68.139,68.009
64,2,0,68.139,68.274,68.139,68.009
65,2,0,68.139,68.274,68.139,68.009
66,2,0,68.77,68.914,68.77,68.642
67,2,0,68.77,68.914,68.77,68.642
68,2,0,68.454,68.616,68.454,68.312
69,2,0,68.454,68.616,68.454,68.312
70,2,0,68.454,68.616,68.454,68.312
71,2,0,68.454,68.665,68.454,68.284
72,2,0,68.454,68.665,68.454,68.284
73,2,0,68.454,68.665,68.454,68.284
74,2,0,68.454,68.616,68.454,68.312
75,2,0,68.454,68.616,68.454,68.312
76,2,0,68.454,68.616,68.454,68.312
77,2,0,68.77,68.961,68.77,68.615
78,2,0,68.77,68.961,68.77,68.615
79,2,0,68.77,69.014,68.77,68.586
80,2,0,69.085,69.365,69.085,68.887
81,2,0,69.085,69.365,69.085,68.887
82,2,0,69.085,69.365,69.085,68.887
83,2,0,69.085,69.365,69.085,68.887
84,2,0,69.085,69.365,69.085,68.887
85,2,0,68.77,69.073,68.77,68.553
86,2,0,69.085,69.308,69.085,68.918
87,2,0,69.401,69.658,69.401,69.22
88,2,0,69.716,69.951,69.716,69.552
89,2,0,69.401,69.658,69.401,69.22
90,2,0,69.401,69.658,69.401,69.22
91,2,0,69.401,69.658,69.401,69.22
92,2,0,69.085,69.365,69.085,68.887
93,2,0,69.085,69.365,69.085,68.887
94,2,0,69.085,69.308,69.085,68.918
95,2,0,68.77,69.014,68.77,68.586
96,2,0,69.085,69.43,69.085,68.854
97,2,0,68.77,69.073,68.77,68.553
98,2,0,68.77,69.14,68.77,68.519
99,2,0,68.77,69.14,68.77,68.519
100,2,0,69.401,69.72,69.401,69.189
0,2,1,64.038,64.032,64.038,63.87
1,2,1,64.353,64.362,64.353,64.171
2,2,1,64.353,64.343,64.353,64.203
3,2,1,64.353,64.33,64.353,64.233
4,2,1,64.669,64.655,64.669,64.535
5,2,1,65.3,65.279,65.3,65.195
6,2,1,65.3,65.279,65.3,65.195
7,2,1,66.246,66.261,66.246,66.104
8,2,1,66.562,66.592,66.562,66.406
9,2,1,66.246,66.315,66.246,66.04
10,2,1,65.931,65.979,65.931,65.74
11,2,1,66.562,66.655,66.562,66.339
12,2,1,66.246,66.315,66.246,66.04
13,2,1,65.931,65.952,65.931,65.772
14,2,1,66.246,66.261,66.246,66.104
15,2,1,66.246,66.261,66.246,66.104
16,2,1,65.615,65.644,65.615,65.439
17,2,1,65.615,65.644,65.615,65.439
18,2,1,65.931,65.952,65.931,65.772
19,2,1,66.562,66.57,66.562,66.435
20,2,1,67.508,67.539,67.508,67.371
21,2,1,67.508,67.517,67.508,67.398
22,2,1,67.192,67.263,67.192,67.008
23,2,1,67.508,67.568,67.508,67.341
24,2,1,66.562,66.655,66.562,66.339
25,2,1,67.192,67.299,67.192,66.975
26,2,1,66.246,66.351,66.246,66.003
27,2,1,66.562,66.655,66.562,66.339
28,2,1,66.562,66.655,66.562,66.339
29,2,1,66.877,66.959,66.877,66.675
30,2,1,66.246,66.285,66.246,66.073
31,2,1,66.562,66.592,66.562,66.406
