iter,step,fold,acc,prec,rec,f1score
0,2,0,65.931,65.965,65.931,65.853
1,2,0,65.931,65.989,65.931,65.83
2,2,0,65.931,65.989,65.931,65.83
3,2,0,65.615,65.658,65.615,65.526
4,2,0,65.615,65.658,65.615,65.526
5,2,0,66.562,66.581,66.562,66.505
6,2,0,66.562,66.581,66.562,66.505
7,2,0,66.246,66.256,66.246,66.198
8,2,0,66.246,66.256,66.246,66.198
9,2,0,66.877,66.878,66.877,66.845
10,2,0,66.877,66.878,66.877,66.845
11,2,0,68.454,68.538,68.454,68.362
12,2,0,68.454,68.538,68.454,68.362
13,2,0,68.77,68.874,68.77,68.667
14,2,0,68.77,68.874,68.77,68.667
15,2,0,68.77,68.874,68.77,68.667
16,2,0,68.77,68.874,68.77,68.667
17,2,0,69.085,69.175,69.085,68.994
18,2,0,69.085,69.175,69.085,68.994
19,2,0,69.401,69.554,69.401,69.276
20,2,0,69.401,69.554,69.401,69.276
21,2,0,69.401,69.554,69.401,69.276
22,2,0,69.085,69.175,69.085,68.994
23,2,0,69.085,69.175,69.085,68.994
24,2,0,69.085,69.175,69.085,68.994
25,2,0,68.77,68.84,68.77,68.689
26,2,0,68.77,68.84,68.77,68.689
27,2,0,68.454,68.538,68.454,68.362
28,2,0,68.454,68.538,68.454,68.362
29,2,0,68.454,68.538,68.454,68.362
30,2,0,68.139,68.236,68.139,68.034
31,2,0,67.508,67.543,67.508,67.444
32,2,0,67.508,67.543,67.508,67.444
33,2,0,67.508,67.567,67.508,67.423
34,2,0,67.508,67.567,67.508,67.423
35,2,0,68.139,68.236,68.139,68.034
36,2,0,68.139,68.236,68.139,68.034
37,2,0,67.823,67.901,67.823,67.729
38,2,0,67.823,67.901,67.823,67.729
39,2,0,67.508,67.543,67.508,67.444
40,2,0,67.508,67.543,67.508,67.444
41,2,0,67.823,67.872,67.823,67.75
42,2,0,67.823,67.872,67.823,67.75
43,2,0,67.508,67.598,67.508,67.401
44,2,0,67.508,67.598,67.508,67.401
45,2,0,67.192,67.263,67.192,67.096
46,2,0,67.192,67.263,67.192,67.096
47,2,0,67.192,67.263,67.192,67.096
48,2,0,67.192,67.263,67.192,67.096
49,2,0,67.508,67.567,67.508,67.423
50,2,0,67.508,67.567,67.508,67.423
51,2,0,67.823,67.901,67.823,67.729
52,2,0,67.823,67.901,67.823,67.729
53,2,0,67.823,67.901,67.823,67.729
54,2,0,67.823,67.901,67.823,67.729
55,2,0,67.508,67.598,67.508,67.401
56,2,0,67.823,67.935,67.823,67.705
57,2,0,67.823,67.935,67.823,67.705
58,2,0,67.823,67.935,67.823,67.705
59,2,0,66.562,66.601,66.562,66.485
60,2,0,66.562,66.601,66.562,66.485
61,2,0,66.877,66.908,66.877,66.811
62,2,0,66.877,66.908,66.877,66.811
63,2,0,67.192,67.215,67.192,67.137
64,2,0,67.192,67.215,67.192,67.137
65,2,0,67.192,67.215,67.192,67.137
66,2,0,67.192,67.215,67.192,67.137
67,2,0,66.877,66.89,66.877,66.829
68,2,0,66.877,66.89,66.877,66.829
69,2,0,67.192,67.2,67.192,67.153
70,2,0,67.192,67.2,67.192,67.153
71,2,0,67.192,67.2,67.192,67.153
72,2,0,67.192,67.2,67.192,67.153
73,2,0,66.877,66.931,66.877,66.791
74,2,0,66.877,66.931,66.877,66.791
75,2,0,66.877,66.931,66.877,66.791
76,2,0,66.877,66.931,66.877,66.791
77,2,0,66.877,66.931,66.877,66.791
78,2,0,66.877,66.931,66.877,66.791
79,2,0,66.877,66.931,66.877,66.791
80,2,0,66.877,66.931,66.877,66.791
81,2,0,66.877,66.908,66.877,66.811
82,2,0,66.877,66.908,66.877,66.811
83,2,0,66.877,66.89,66.877,66.829
84,2,0,66.877,66.89,66.877,66.829
85,2,0,66.562,66.581,66.562,66.505
86,2,0,66.246,66.256,66.246,66.198
87,2,0,66.246,66.256,66.246,66.198
88,2,0,66.562,66.581,66.562,66.505
89,2,0,66.877,66.89,66.877,66.829
90,2,0,67.508,67.543,67.508,67.444
91,2,0,67.508,67.543,67.508,67.444
92,2,0,67.508,67.543,67.508,67.444
93,2,0,67.508,67.543,67.508,67.444
94,2,0,67.508,67.543,67.508,67.444
95,2,0,67.508,67.543,67.508,67.444
96,2,0,67.508,67.543,67.508,67.444
97,2,0,67.508,67.598,67.508,67.401
98,2,0,67.508,67.598,67.508,67.401
99,2,0,66.877,66.931,66.877,66.791
100,2,0,66.877,66.931,66.877,66.791
0,2,1,64.038,64.032,64.038,63.87
1,2,1,64.353,64.362,64.353,64.171
2,2,1,64.353,64.362,64.353,64.171
3,2,1,64.038,64.017,64.038,63.902
4,2,1,64.038,64.017,64.038,63.902
5,2,1,64.038,64.017,64.038,63.902
6,2,1,64.038,64.017,64.038,63.902
7,2,1,65.3,65.27,65.3,65.22
8,2,1,65.3,65.27,65.3,65.22
9,2,1,65.3,65.27,65.3,65.22
10,2,1,65.3,65.27,65.3,65.22
11,2,1,65.3,65.267,65.3,65.241
12,2,1,65.3,65.267,65.3,65.241
13,2,1,65.615,65.585,65.615,65.547
14,2,1,65.615,65.585,65.615,65.547
15,2,1,65.615,65.592,65.615,65.524
16,2,1,65.615,65.592,65.615,65.524
17,2,1,65.615,65.583,65.615,65.567
18,2,1,65.615,65.583,65.615,65.567
19,2,1,65.615,65.583,65.615,65.567
20,2,1,65.615,65.583,65.615,65.567
21,2,1,65.615,65.583,65.615,65.567
22,2,1,65.615,65.583,65.615,65.567
23,2,1,65.3,65.27,65.3,65.22
24,2,1,65.3,65.27,65.3,65.22
25,2,1,65.615,65.604,65.615,65.499
26,2,1,65.615,65.604,65.615,65.499
27,2,1,64.984,64.983,64.984,64.837
28,2,1,64.984,64.983,64.984,64.837
29,2,1,64.353,64.33,64.353,64.233
30,2,1,64.353,64.33,64.353,64.233
31,2,1,64.984,64.983,64.984,64.837
