iter,step,fold,acc,prec,rec,f1score
0,2,0,65.931,65.965,65.931,65.853
1,2,0,65.931,65.989,65.931,65.83
2,2,0,65.931,65.989,65.931,65.83
3,2,0,66.562,66.694,66.562,66.411
4,2,0,66.562,66.694,66.562,66.411
5,2,0,66.246,66.355,66.246,66.108
6,2,0,66.246,66.355,66.246,66.108
7,2,0,65.931,66.053,65.931,65.777
8,2,0,65.931,66.053,65.931,65.777
9,2,0,65.931,66.053,65.931,65.777
10,2,0,65.931,66.053,65.931,65.777
11,2,0,66.562,66.736,66.562,66.381
12,2,0,66.562,66.736,66.562,66.381
13,2,0,65.931,66.053,65.931,65.777
14,2,0,65.931,66.053,65.931,65.777
15,2,0,66.562,66.626,66.562,66.463
16,2,0,66.562,66.626,66.562,66.463
17,2,0,65.931,65.947,65.931,65.873
18,2,0,65.931,65.947,65.931,65.873
19,2,0,66.246,66.256,66.246,66.198
20,2,0,66.246,66.256,66.246,66.198
21,2,0,66.246,66.245,66.246,66.213
22,2,0,66.246,66.245,66.246,66.213
23,2,0,66.246,66.245,66.246,66.213
24,2,0,66.246,66.245,66.246,66.213
25,2,0,65.931,65.933,65.931,65.89
26,2,0,65.931,65.933,65.931,65.89
27,2,0,65.931,65.933,65.931,65.89
28,2,0,65.931,65.933,65.931,65.89
29,2,0,65.931,65.933,65.931,65.89
30,2,0,65.931,65.933,65.931,65.89
31,2,0,65.931,65.925,65.931,65.904
32,2,0,65.931,65.925,65.931,65.904
33,2,0,66.562,66.566,66.562,66.521
34,2,0,66.562,66.566,66.562,66.521
35,2,0,67.508,67.503,67.508,67.488
36,2,0,67.508,67.503,67.508,67.488
37,2,0,67.192,67.186,67.192,67.187
38,2,0,67.192,67.186,67.192,67.187
39,2,0,67.192,67.186,67.192,67.187
40,2,0,67.192,67.186,67.192,67.187
41,2,0,67.508,67.501,67.508,67.498
42,2,0,67.508,67.501,67.508,67.498
43,2,0,68.454,68.454,68.454,68.43
44,2,0,68.454,68.454,68.454,68.43
45,2,0,68.139,68.135,68.139,68.12
46,2,0,68.139,68.135,68.139,68.12
47,2,0,67.192,67.237,67.192,67.118
48,2,0,67.192,67.237,67.192,67.118
49,2,0,67.192,67.237,67.192,67.118
50,2,0,67.192,67.237,67.192,67.118
51,2,0,67.508,67.567,67.508,67.423
52,2,0,67.508,67.567,67.508,67.423
53,2,0,67.508,67.543,67.508,67.444
54,2,0,67.508,67.543,67.508,67.444
55,2,0,66.877,66.931,66.877,66.791
56,2,0,66.877,66.931,66.877,66.791
57,2,0,66.877,66.931,66.877,66.791
58,2,0,66.877,66.931,66.877,66.791
59,2,0,66.562,66.601,66.562,66.485
60,2,0,66.562,66.601,66.562,66.485
61,2,0,65.931,65.947,65.931,65.873
62,2,0,65.931,65.947,65.931,65.873
63,2,0,65.931,65.947,65.931,65.873
64,2,0,65.931,65.947,65.931,65.873
65,2,0,66.562,66.601,66.562,66.485
66,2,0,66.562,66.601,66.562,66.485
67,2,0,66.562,66.581,66.562,66.505
68,2,0,66.562,66.581,66.562,66.505
69,2,0,66.877,66.908,66.877,66.811
70,2,0,66.877,66.908,66.877,66.811
71,2,0,66.877,66.908,66.877,66.811
72,2,0,66.877,66.908,66.877,66.811
73,2,0,66.246,66.295,66.246,66.158
74,2,0,66.246,66.295,66.246,66.158
75,2,0,66.562,66.626,66.562,66.463
76,2,0,66.562,66.626,66.562,66.463
77,2,0,67.508,67.567,67.508,67.423
78,2,0,67.508,67.567,67.508,67.423
79,2,0,68.139,68.178,68.139,68.076
80,2,0,68.139,68.178,68.139,68.076
81,2,0,67.823,67.872,67.823,67.75
82,2,0,67.823,67.872,67.823,67.75
83,2,0,67.823,67.872,67.823,67.75
84,2,0,67.823,67.872,67.823,67.75
85,2,0,67.823,67.872,67.823,67.75
86,2,0,67.823,67.872,67.823,67.75
87,2,0,67.508,67.567,67.508,67.423
88,2,0,67.508,67.567,67.508,67.423
89,2,0,67.823,67.935,67.823,67.705
90,2,0,67.823,67.935,67.823,67.705
91,2,0,67.508,67.598,67.508,67.401
92,2,0,67.508,67.598,67.508,67.401
93,2,0,67.192,67.296,67.192,67.072
94,2,0,67.192,67.296,67.192,67.072
95,2,0,67.192,67.296,67.192,67.072
96,2,0,67.192,67.296,67.192,67.072
97,2,0,67.192,67.237,67.192,67.118
98,2,0,67.192,67.237,67.192,67.118
99,2,0,66.877,66.89,66.877,66.829
100,2,0,66.877,66.89,66.877,66.829
0,2,1,64.038,64.032,64.038,63.87
1,2,1,63.722,63.721,63.722,63.537
2,2,1,63.722,63.721,63.722,63.537
3,2,1,63.722,63.704,63.722,63.57
4,2,1,63.722,63.704,63.722,63.57
5,2,1,63.407,63.379,63.407,63.268
6,2,1,63.407,63.379,63.407,63.268
7,2,1,63.407,63.392,63.407,63.237
8,2,1,63.407,63.392,63.407,63.237
9,2,1,63.091,63.065,63.091,62.936
10,2,1,63.091,63.065,63.091,62.936
11,2,1,63.091,63.065,63.091,62.936
12,2,1,63.091,63.065,63.091,62.936
13,2,1,63.407,63.379,63.407,63.268
14,2,1,63.407,63.379,63.407,63.268
15,2,1,63.407,63.379,63.407,63.268
16,2,1,63.407,63.379,63.407,63.268
17,2,1,65.3,65.27,65.3,65.22
18,2,1,65.3,65.27,65.3,65.22
19,2,1,65.3,65.27,65.3,65.22
20,2,1,65.3,65.27,65.3,65.22
21,2,1,65.615,65.592,65.615,65.524
22,2,1,65.615,65.592,65.615,65.524
23,2,1,65.3,65.27,65.3,65.22
24,2,1,65.3,65.27,65.3,65.22
25,2,1,64.984,64.983,64.984,64.837
26,2,1,64.984,64.983,64.984,64.837
27,2,1,64.984,64.967,64.984,64.866
28,2,1,64.984,64.967,64.984,64.866
29,2,1,64.984,64.956,64.984,64.892
30,2,1,64.984,64.956,64.984,64.892
31,2,1,64.669,64.643,64.669,64.563
