iter,step,fold,acc,prec,rec,f1score
0,2,0,65.931,65.965,65.931,65.853
1,2,0,65.931,65.965,65.931,65.853
2,2,0,65.931,65.965,65.931,65.853
3,2,0,65.931,65.965,65.931,65.853
4,2,0,65.931,65.965,65.931,65.853
5,2,0,65.931,65.965,65.931,65.853
6,2,0,65.931,65.965,65.931,65.853
7,2,0,65.931,65.965,65.931,65.853
8,2,0,65.931,65.965,65.931,65.853
9,2,0,65.931,65.965,65.931,65.853
10,2,0,65.931,65.965,65.931,65.853
11,2,0,65.931,65.965,65.931,65.853
12,2,0,65.931,65.965,65.931,65.853
13,2,0,65.931,65.965,65.931,65.853
14,2,0,65.615,65.658,65.615,65.526
15,2,0,65.615,65.658,65.615,65.526
16,2,0,65.615,65.658,65.615,65.526
17,2,0,65.615,65.658,65.615,65.526
18,2,0,65.615,65.658,65.615,65.526
19,2,0,65.615,65.658,65.615,65.526
20,2,0,65.615,65.658,65.615,65.526
21,2,0,65.615,65.658,65.615,65.526
22,2,0,65.931,65.965,65.931,65.853
23,2,0,65.615,65.638,65.615,65.547
24,2,0,65.615,65.638,65.615,65.547
25,2,0,65.615,65.638,65.615,65.547
26,2,0,65.615,65.638,65.615,65.547
27,2,0,65.931,65.965,65.931,65.853
28,2,0,65.931,65.965,65.931,65.853
29,2,0,65.931,65.965,65.931,65.853
30,2,0,66.246,66.273,66.246,66.179
31,2,0,66.246,66.273,66.246,66.179
32,2,0,66.562,66.581,66.562,66.505
33,2,0,66.246,66.273,66.246,66.179
34,2,0,66.246,66.256,66.246,66.198
35,2,0,66.246,66.256,66.246,66.198
36,2,0,66.246,66.256,66.246,66.198
37,2,0,66.246,66.256,66.246,66.198
38,2,0,66.246,66.256,66.246,66.198
39,2,0,66.246,66.256,66.246,66.198
40,2,0,66.246,66.256,66.246,66.198
41,2,0,66.246,66.256,66.246,66.198
42,2,0,66.246,66.256,66.246,66.198
43,2,0,66.246,66.256,66.246,66.198
44,2,0,66.246,66.256,66.246,66.198
45,2,0,66.562,66.566,66.562,66.521
46,2,0,66.246,66.256,66.246,66.198
47,2,0,66.246,66.256,66.246,66.198
48,2,0,65.931,65.933,65.931,65.89
49,2,0,66.246,66.256,66.246,66.198
50,2,0,66.246,66.256,66.246,66.198
51,2,0,66.246,66.256,66.246,66.198
52,2,0,66.246,66.256,66.246,66.198
53,2,0,66.246,66.256,66.246,66.198
54,2,0,66.246,66.256,66.246,66.198
55,2,0,66.246,66.256,66.246,66.198
56,2,0,66.246,66.256,66.246,66.198
57,2,0,66.246,66.256,66.246,66.198
58,2,0,66.246,66.256,66.246,66.198
59,2,0,66.246,66.256,66.246,66.198
60,2,0,66.246,66.256,66.246,66.198
61,2,0,66.246,66.256,66.246,66.198
62,2,0,66.246,66.256,66.246,66.198
63,2,0,65.931,65.947,65.931,65.873
64,2,0,65.931,65.947,65.931,65.873
65,2,0,65.931,65.947,65.931,65.873
66,2,0,65.931,65.947,65.931,65.873
67,2,0,66.246,66.256,66.246,66.198
68,2,0,66.246,66.256,66.246,66.198
69,2,0,66.246,66.256,66.246,66.198
70,2,0,66.246,66.256,66.246,66.198
71,2,0,66.246,66.256,66.246,66.198
72,2,0,66.246,66.256,66.246,66.198
73,2,0,66.246,66.256,66.246,66.198
74,2,0,66.246,66.256,66.246,66.198
75,2,0,66.246,66.256,66.246,66.198
76,2,0,66.246,66.256,66.246,66.198
77,2,0,66.246,66.256,66.246,66.198
78,2,0,66.562,66.581,66.562,66.505
79,2,0,66.562,66.581,66.562,66.505
80,2,0,66.562,66.581,66.562,66.505
81,2,0,66.562,66.581,66.562,66.505
82,2,0,66.246,66.273,66.246,66.179
83,2,0,66.246,66.273,66.246,66.179
84,2,0,66.246,66.273,66.246,66.179
85,2,0,66.246,66.273,66.246,66.179
86,2,0,66.562,66.601,66.562,66.485
87,2,0,66.562,66.601,66.562,66.485
88,2,0,66.562,66.601,66.562,66.485
89,2,0,66.562,66.601,66.562,66.485
90,2,0,66.562,66.601,66.562,66.485
91,2,0,66.562,66.601,66.562,66.485
92,2,0,66.562,66.601,66.562,66.485
93,2,0,66.562,66.601,66.562,66.485
94,2,0,66.562,66.601,66.562,66.485
95,2,0,66.562,66.601,66.562,66.485
96,2,0,66.562,66.601,66.562,66.485
97,2,0,66.562,66.601,66.562,66.485
98,2,0,66.562,66.601,66.562,66.485
99,2,0,66.562,66.601,66.562,66.485
100,2,0,66.562,66.601,66.562,66.485
0,2,1,64.038,64.032,64.038,63.87
1,2,1,64.038,64.032,64.038,63.87
2,2,1,64.038,64.032,64.038,63.87
3,2,1,64.038,64.032,64.038,63.87
4,2,1,64.038,64.032,64.038,63.87
5,2,1,64.038,64.032,64.038,63.87
6,2,1,64.038,64.032,64.038,63.87
7,2,1,63.722,63.704,63.722,63.57
8,2,1,63.722,63.704,63.722,63.57
9,2,1,63.722,63.704,63.722,63.57
10,2,1,63.722,63.704,63.722,63.57
11,2,1,63.722,63.704,63.722,63.57
12,2,1,63.722,63.704,63.722,63.57
13,2,1,63.722,63.704,63.722,63.57
14,2,1,63.722,63.704,63.722,63.57
15,2,1,63.722,63.704,63.722,63.57
16,2,1,63.722,63.704,63.722,63.57
17,2,1,63.722,63.704,63.722,63.57
18,2,1,63.722,63.704,63.722,63.57
19,2,1,63.722,63.704,63.722,63.57
20,2,1,63.722,63.704,63.722,63.57
21,2,1,63.722,63.704,63.722,63.57
22,2,1,63.722,63.704,63.722,63.57
23,2,1,63.722,63.704,63.722,63.57
24,2,1,64.038,64.017,64.038,63.902
25,2,1,64.038,64.017,64.038,63.902
26,2,1,64.038,64.017,64.038,63.902
27,2,1,64.038,64.017,64.038,63.902
28,2,1,64.038,64.017,64.038,63.902
29,2,1,64.038,64.017,64.038,63.902
30,2,1,64.038,64.017,64.038,63.902
31,2,1,64.038,64.017,64.038,63.902
32,2,1,64.038,64.017,64.038,63.902
33,2,1,64.038,64.017,64.038,63.902
34,2,1,64.038,64.017,64.038,63.902
35,2,1,64.038,64.017,64.038,63.902
36,2,1,64.038,64.017,64.038,63.902
37,2,1,64.038,64.017,64.038,63.902
38,2,1,64.038,64.017,64.038,63.902
39,2,1,64.038,64.017,64.038,63.902
40,2,1,64.038,64.017,64.038,63.902
41,2,1,64.038,64.017,64.038,63.902
42,2,1,64.038,64.017,64.038,63.902
43,2,1,64.038,64.017,64.038,63.902
44,2,1,64.038,64.017,64.038,63.902
45,2,1,64.038,64.017,64.038,63.902
46,2,1,64.038,64.017,64.038,63.902
47,2,1,64.038,64.017,64.038,63.902
48,2,1,64.038,64.017,64.038,63.902
49,2,1,64.038,64.017,64.038,63.902
50,2,1,64.038,64.017,64.038,63.902
51,2,1,64.038,64.017,64.038,63.902
52,2,1,64.038,64.017,64.038,63.902
53,2,1,64.353,64.33,64.353,64.233
54,2,1,64.669,64.655,64.669,64.535
55,2,1,64.353,64.343,64.353,64.203
56,2,1,64.353,64.343,64.353,64.203
57,2,1,64.353,64.343,64.353,64.203
58,2,1,64.353,64.33,64.353,64.233
59,2,1,64.353,64.33,64.353,64.233
60,2,1,64.353,64.33,64.353,64.233
61,2,1,64.353,64.33,64.353,64.233
62,2,1,64.038,64.017,64.038,63.902
63,2,1,64.038,64.017,64.038,63.902
64,2,1,64.038,64.017,64.038,63.902
65,2,1,64.038,64.017,64.038,63.902
66,2,1,64.038,64.017,64.038,63.902
67,2,1,64.038,64.017,64.038,63.902
68,2,1,64.038,64.017,64.038,63.902
69,2,1,64.038,64.017,64.038,63.902
70,2,1,64.038,64.017,64.038,63.902
71,2,1,64.038,64.017,64.038,63.902
72,2,1,64.038,64.017,64.038,63.902
73,2,1,64.038,64.017,64.038,63.902
74,2,1,64.038,64.017,64.038,63.902
75,2,1,64.038,64.017,64.038,63.902
76,2,1,64.038,64.017,64.038,63.902
77,2,1,64.038,64.017,64.038,63.902
78,2,1,64.038,64.017,64.038,63.902
79,2,1,64.038,64.017,64.038,63.902
80,2,1,64.038,64.017,64.038,63.902
81,2,1,64.038,64.017,64.038,63.902
82,2,1,64.038,64.017,64.038,63.902
83,2,1,64.038,64.017,64.038,63.902
84,2,1,64.038,64.017,64.038,63.902
85,2,1,63.722,63.692,63.722,63.6
86,2,1,63.722,63.692,63.722,63.6
87,2,1,63.722,63.692,63.722,63.6
88,2,1,63.722,63.692,63.722,63.6
89,2,1,63.722,63.692,63.722,63.6
90,2,1,63.722,63.692,63.722,63.6
91,2,1,63.722,63.692,63.722,63.6
92,2,1,63.722,63.692,63.722,63.6
93,2,1,63.722,63.692,63.722,63.6
94,2,1,63.722,63.692,63.722,63.6
95,2,1,63.722,63.692,63.722,63.6
96,2,1,63.722,63.692,63.722,63.6
97,2,1,63.722,63.692,63.722,63.6
98,2,1,63.722,63.692,63.722,63.6
99,2,1,63.722,63.692,63.722,63.6
100,2,1,63.722,63.692,63.722,63.6
0,2,2,66.562,66.645,66.562,66.473
1,2,2,66.562,66.645,66.562,66.473
2,2,2,66.562,66.645,66.562,66.473
3,2,2,66.562,66.645,66.562,66.473
4,2,2,66.562,66.645,66.562,66.473
5,2,2,66.562,66.645,66.562,66.473
6,2,2,66.562,66.645,66.562,66.473
7,2,2,66.562,66.645,66.562,66.473
8,2,2,66.562,66.645,66.562,66.473
9,2,2,66.562,66.645,66.562,66.473
10,2,2,66.562,66.645,66.562,66.473
11,2,2,66.562,66.645,66.562,66.473
12,2,2,66.562,66.645,66.562,66.473
13,2,2,66.562,66.645,66.562,66.473
14,2,2,66.562,66.645,66.562,66.473
15,2,2,66.562,66.645,66.562,66.473
16,2,2,66.562,66.645,66.562,66.473
17,2,2,66.562,66.645,66.562,66.473
18,2,2,66.562,66.645,66.562,66.473
19,2,2,66.246,66.342,66.246,66.145
20,2,2,66.246,66.342,66.246,66.145
21,2,2,66.246,66.342,66.246,66.145
22,2,2,66.246,66.342,66.246,66.145
23,2,2,66.246,66.342,66.246,66.145
24,2,2,66.246,66.342,66.246,66.145
25,2,2,66.246,66.342,66.246,66.145
26,2,2,66.562,66.679,66.562,66.449
27,2,2,66.562,66.679,66.562,66.449
28,2,2,66.562,66.679,66.562,66.449
29,2,2,67.192,67.317,67.192,67.082
30,2,2,67.192,67.317,67.192,67.082
31,2,2,67.192,67.317,67.192,67.082
32,2,2,67.192,67.317,67.192,67.082
33,2,2,67.192,67.317,67.192,67.082
34,2,2,67.192,67.317,67.192,67.082
35,2,2,67.192,67.317,67.192,67.082
36,2,2,67.192,67.317,67.192,67.082
37,2,2,67.192,67.317,67.192,67.082
38,2,2,67.192,67.317,67.192,67.082
39,2,2,67.192,67.317,67.192,67.082
40,2,2,67.192,67.317,67.192,67.082
41,2,2,67.192,67.317,67.192,67.082
42,2,2,67.192,67.317,67.192,67.082
43,2,2,67.192,67.317,67.192,67.082
44,2,2,67.192,67.317,67.192,67.082
45,2,2,67.192,67.317,67.192,67.082
46,2,2,67.192,67.317,67.192,67.082
47,2,2,67.192,67.317,67.192,67.082
48,2,2,67.192,67.317,67.192,67.082
49,2,2,67.192,67.317,67.192,67.082
50,2,2,67.192,67.317,67.192,67.082
51,2,2,66.877,66.98,66.877,66.778
52,2,2,66.877,66.98,66.877,66.778
53,2,2,66.877,66.98,66.877,66.778
54,2,2,66.877,66.98,66.877,66.778
55,2,2,66.877,66.98,66.877,66.778
56,2,2,66.877,66.98,66.877,66.778
57,2,2,65.931,66.077,65.931,65.789
58,2,2,65.931,66.077,65.931,65.789
59,2,2,65.931,66.077,65.931,65.789
60,2,2,65.931,66.077,65.931,65.789
61,2,2,65.931,66.077,65.931,65.789
62,2,2,66.246,66.378,66.246,66.12
63,2,2,66.246,66.378,66.246,66.12
64,2,2,66.246,66.378,66.246,66.12
65,2,2,65.931,66.04,65.931,65.816
66,2,2,65.931,66.04,65.931,65.816
67,2,2,65.931,66.04,65.931,65.816
68,2,2,65.931,66.04,65.931,65.816
69,2,2,65.931,66.04,65.931,65.816
70,2,2,65.931,66.04,65.931,65.816
71,2,2,65.931,66.04,65.931,65.816
72,2,2,65.615,65.738,65.615,65.487
73,2,2,65.615,65.738,65.615,65.487
74,2,2,65.931,66.04,65.931,65.816
75,2,2,65.931,66.04,65.931,65.816
76,2,2,65.931,66.04,65.931,65.816
77,2,2,65.931,66.04,65.931,65.816
78,2,2,65.931,66.04,65.931,65.816
79,2,2,65.931,66.04,65.931,65.816
80,2,2,65.931,66.04,65.931,65.816
81,2,2,65.931,66.04,65.931,65.816
82,2,2,65.931,66.04,65.931,65.816
83,2,2,65.931,66.04,65.931,65.816
84,2,2,65.931,66.04,65.931,65.816
85,2,2,65.931,66.04,65.931,65.816
86,2,2,65.931,66.04,65.931,65.816
87,2,2,65.931,66.04,65.931,65.816
88,2,2,65.931,66.04,65.931,65.816
89,2,2,65.931,66.04,65.931,65.816
90,2,2,65.931,66.04,65.931,65.816
91,2,2,65.931,66.04,65.931,65.816
92,2,2,65.931,66.04,65.931,65.816
93,2,2,65.931,66.04,65.931,65.816
94,2,2,65.931,66.04,65.931,65.816
95,2,2,66.562,66.718,66.562,66.423
96,2,2,66.562,66.718,66.562,66.423
97,2,2,67.192,67.458,67.192,66.997
98,2,2,66.877,67.164,66.877,66.663
99,2,2,66.877,67.164,66.877,66.663
100,2,2,66.877,67.164,66.877,66.663
0,5,0,65.931,65.965,65.931,65.853
1,5,0,65.931,65.965,65.931,65.853
2,5,0,65.931,65.965,65.931,65.853
