iter,step,fold,acc,prec,rec,f1score
0,2,0,65.931,65.965,65.931,65.853
1,2,0,65.931,65.965,65.931,65.853
2,2,0,65.931,65.965,65.931,65.853
3,2,0,66.246,66.322,66.246,66.135
4,2,0,66.246,66.322,66.246,66.135
5,2,0,66.246,66.322,66.246,66.135
6,2,0,66.246,66.322,66.246,66.135
7,2,0,67.192,67.334,67.192,67.045
8,2,0,67.192,67.334,67.192,67.045
9,2,0,67.192,67.296,67.192,67.072
10,2,0,67.192,67.296,67.192,67.072
11,2,0,66.877,66.995,66.877,66.742
12,2,0,66.877,66.995,66.877,66.742
13,2,0,66.562,66.898,66.562,66.273
14,2,0,66.562,66.898,66.562,66.273
15,2,0,66.877,67.192,66.877,66.611
16,2,0,66.877,67.192,66.877,66.611
17,2,0,66.877,67.192,66.877,66.611
18,2,0,66.877,67.192,66.877,66.611
19,2,0,66.877,67.192,66.877,66.611
20,2,0,66.877,67.192,66.877,66.611
21,2,0,66.877,67.192,66.877,66.611
22,2,0,66.877,67.192,66.877,66.611
23,2,0,67.192,67.549,67.192,66.909
24,2,0,67.192,67.549,67.192,66.909
25,2,0,66.877,67.256,66.877,66.571
26,2,0,66.877,67.256,66.877,66.571
27,2,0,66.877,67.256,66.877,66.571
28,2,0,66.877,67.256,66.877,66.571
29,2,0,66.877,67.256,66.877,66.571
30,2,0,66.877,67.256,66.877,66.571
31,2,0,66.562,66.964,66.562,66.231
32,2,0,66.562,66.964,66.562,66.231
33,2,0,66.562,66.964,66.562,66.231
34,2,0,65.931,66.454,65.931,65.501
35,2,0,65.931,66.454,65.931,65.501
36,2,0,65.931,66.454,65.931,65.501
37,2,0,65.931,66.454,65.931,65.501
38,2,0,65.931,66.454,65.931,65.501
39,2,0,65.931,66.454,65.931,65.501
40,2,0,65.931,66.454,65.931,65.501
41,2,0,65.931,66.454,65.931,65.501
42,2,0,65.931,66.454,65.931,65.501
43,2,0,66.246,66.745,66.246,65.845
44,2,0,66.877,67.327,66.877,66.528
45,2,0,66.562,66.964,66.562,66.231
46,2,0,66.562,66.964,66.562,66.231
47,2,0,66.562,66.964,66.562,66.231
48,2,0,66.562,66.964,66.562,66.231
49,2,0,66.562,66.964,66.562,66.231
50,2,0,66.562,66.964,66.562,66.231
51,2,0,67.508,67.841,67.508,67.247
52,2,0,67.508,67.841,67.508,67.247
53,2,0,67.508,67.841,67.508,67.247
54,2,0,67.508,67.841,67.508,67.247
55,2,0,67.508,67.841,67.508,67.247
56,2,0,67.508,67.841,67.508,67.247
57,2,0,67.508,67.841,67.508,67.247
58,2,0,67.508,67.841,67.508,67.247
59,2,0,67.192,67.549,67.192,66.909
60,2,0,67.192,67.549,67.192,66.909
61,2,0,67.508,67.841,67.508,67.247
62,2,0,67.508,67.841,67.508,67.247
63,2,0,67.508,67.841,67.508,67.247
64,2,0,67.508,67.841,67.508,67.247
65,2,0,67.823,68.272,67.823,67.506
66,2,0,67.823,68.272,67.823,67.506
67,2,0,67.823,68.272,67.823,67.506
68,2,0,67.823,68.272,67.823,67.506
69,2,0,67.823,68.272,67.823,67.506
70,2,0,67.823,68.272,67.823,67.506
71,2,0,67.508,67.983,67.508,67.166
72,2,0,67.823,68.272,67.823,67.506
73,2,0,68.454,68.926,68.454,68.143
74,2,0,68.454,68.926,68.454,68.143
75,2,0,68.454,68.926,68.454,68.143
76,2,0,68.454,68.926,68.454,68.143
77,2,0,68.454,68.926,68.454,68.143
78,2,0,68.139,68.638,68.139,67.803
79,2,0,67.508,68.064,67.508,67.121
80,2,0,67.508,68.064,67.508,67.121
81,2,0,67.508,68.064,67.508,67.121
82,2,0,67.508,68.064,67.508,67.121
83,2,0,67.192,67.776,67.192,66.779
84,2,0,67.192,67.776,67.192,66.779
85,2,0,67.192,67.776,67.192,66.779
86,2,0,67.192,67.776,67.192,66.779
87,2,0,67.192,67.776,67.192,66.779
88,2,0,67.192,67.776,67.192,66.779
89,2,0,67.192,67.776,67.192,66.779
90,2,0,67.192,67.776,67.192,66.779
91,2,0,67.508,68.152,67.508,67.074
92,2,0,67.508,68.152,67.508,67.074
93,2,0,67.508,68.152,67.508,67.074
94,2,0,67.508,68.152,67.508,67.074
95,2,0,67.192,67.776,67.192,66.779
96,2,0,67.192,67.776,67.192,66.779
97,2,0,67.192,67.776,67.192,66.779
98,2,0,67.192,67.776,67.192,66.779
99,2,0,67.192,67.776,67.192,66.779
100,2,0,67.508,68.064,67.508,67.121
0,2,1,64.038,64.032,64.038,63.87
1,2,1,63.722,63.704,63.722,63.57
2,2,1,63.722,63.704,63.722,63.57
3,2,1,63.407,63.379,63.407,63.268
4,2,1,63.407,63.379,63.407,63.268
5,2,1,63.407,63.379,63.407,63.268
6,2,1,63.407,63.379,63.407,63.268
7,2,1,63.091,63.065,63.091,62.936
8,2,1,63.091,63.065,63.091,62.936
9,2,1,63.091,63.065,63.091,62.936
10,2,1,63.091,63.065,63.091,62.936
11,2,1,63.091,63.055,63.091,62.966
12,2,1,63.091,63.055,63.091,62.966
13,2,1,63.091,63.055,63.091,62.966
14,2,1,63.091,63.055,63.091,62.966
15,2,1,62.461,62.438,62.461,62.268
16,2,1,62.461,62.438,62.461,62.268
17,2,1,61.514,61.517,61.514,61.216
18,2,1,61.514,61.517,61.514,61.216
19,2,1,62.461,62.476,62.461,62.191
20,2,1,62.461,62.476,62.461,62.191
21,2,1,62.461,62.438,62.461,62.268
22,2,1,62.461,62.438,62.461,62.268
23,2,1,62.145,62.125,62.145,61.933
24,2,1,62.145,62.125,62.145,61.933
25,2,1,62.145,62.125,62.145,61.933
26,2,1,62.145,62.125,62.145,61.933
27,2,1,62.145,62.125,62.145,61.933
28,2,1,62.145,62.125,62.145,61.933
29,2,1,61.83,61.797,61.83,61.634
30,2,1,61.83,61.797,61.83,61.634
31,2,1,61.514,61.471,61.514,61.335
32,2,1,61.514,61.471,61.514,61.335
33,2,1,61.514,61.471,61.514,61.335
34,2,1,61.514,61.471,61.514,61.335
35,2,1,61.514,61.471,61.514,61.335
36,2,1,61.514,61.471,61.514,61.335
37,2,1,61.514,61.471,61.514,61.335
38,2,1,61.514,61.471,61.514,61.335
39,2,1,61.514,61.471,61.514,61.335
40,2,1,61.514,61.471,61.514,61.335
41,2,1,61.514,61.471,61.514,61.335
42,2,1,61.514,61.471,61.514,61.335
43,2,1,61.514,61.471,61.514,61.335
44,2,1,61.514,61.471,61.514,61.335
45,2,1,61.514,61.483,61.514,61.298
46,2,1,61.514,61.483,61.514,61.298
47,2,1,61.514,61.483,61.514,61.298
48,2,1,61.514,61.483,61.514,61.298
49,2,1,61.514,61.483,61.514,61.298
50,2,1,61.514,61.483,61.514,61.298
51,2,1,61.83,61.787,61.83,61.669
52,2,1,62.145,62.102,62.145,62.002
53,2,1,62.145,62.102,62.145,62.002
54,2,1,62.145,62.102,62.145,62.002
55,2,1,62.461,62.438,62.461,62.268
56,2,1,62.461,62.438,62.461,62.268
57,2,1,62.461,62.438,62.461,62.268
58,2,1,62.461,62.438,62.461,62.268
59,2,1,62.776,62.752,62.776,62.603
60,2,1,62.776,62.752,62.776,62.603
61,2,1,62.776,62.752,62.776,62.603
62,2,1,62.776,62.752,62.776,62.603
63,2,1,62.776,62.752,62.776,62.603
64,2,1,62.776,62.752,62.776,62.603
65,2,1,62.776,62.752,62.776,62.603
66,2,1,62.776,62.752,62.776,62.603
67,2,1,62.461,62.438,62.461,62.268
68,2,1,62.776,62.752,62.776,62.603
69,2,1,62.776,62.752,62.776,62.603
70,2,1,62.776,62.752,62.776,62.603
71,2,1,62.776,62.752,62.776,62.603
72,2,1,62.776,62.752,62.776,62.603
73,2,1,62.461,62.438,62.461,62.268
74,2,1,62.461,62.438,62.461,62.268
75,2,1,62.461,62.438,62.461,62.268
76,2,1,62.461,62.438,62.461,62.268
77,2,1,62.461,62.438,62.461,62.268
78,2,1,62.461,62.438,62.461,62.268
79,2,1,62.461,62.438,62.461,62.268
80,2,1,62.461,62.438,62.461,62.268
81,2,1,62.776,62.752,62.776,62.603
82,2,1,62.776,62.752,62.776,62.603
83,2,1,62.461,62.426,62.461,62.302
84,2,1,62.461,62.426,62.461,62.302
85,2,1,62.461,62.426,62.461,62.302
86,2,1,62.461,62.426,62.461,62.302
87,2,1,62.461,62.426,62.461,62.302
88,2,1,62.461,62.426,62.461,62.302
89,2,1,62.461,62.426,62.461,62.302
90,2,1,62.461,62.426,62.461,62.302
91,2,1,62.776,62.752,62.776,62.603
92,2,1,62.776,62.752,62.776,62.603
93,2,1,63.091,63.055,63.091,62.966
94,2,1,63.091,63.055,63.091,62.966
95,2,1,63.091,63.055,63.091,62.966
96,2,1,63.091,63.055,63.091,62.966
97,2,1,63.091,63.055,63.091,62.966
98,2,1,63.091,63.055,63.091,62.966
99,2,1,62.776,62.752,62.776,62.603
100,2,1,62.776,62.752,62.776,62.603
0,2,2,66.562,66.645,66.562,66.473
1,2,2,66.877,66.948,66.877,66.8
2,2,2,66.877,66.948,66.877,66.8
3,2,2,66.562,66.679,66.562,66.449
4,2,2,66.562,66.679,66.562,66.449
5,2,2,67.508,67.81,67.508,67.298
6,2,2,67.508,67.81,67.508,67.298
7,2,2,67.823,68.048,67.823,67.662
8,2,2,67.823,68.048,67.823,67.662
9,2,2,67.823,68.048,67.823,67.662
10,2,2,67.823,68.048,67.823,67.662
11,2,2,68.454,68.639,68.454,68.324
12,2,2,68.454,68.639,68.454,68.324
13,2,2,68.454,68.639,68.454,68.324
14,2,2,68.454,68.639,68.454,68.324
15,2,2,68.454,68.639,68.454,68.324
16,2,2,68.454,68.639,68.454,68.324
17,2,2,68.454,68.639,68.454,68.324
18,2,2,68.454,68.639,68.454,68.324
19,2,2,67.823,67.919,67.823,67.738
20,2,2,67.823,67.919,67.823,67.738
21,2,2,67.823,67.919,67.823,67.738
22,2,2,67.823,67.919,67.823,67.738
23,2,2,67.192,67.317,67.192,67.082
24,2,2,67.192,67.317,67.192,67.082
25,2,2,68.139,68.343,68.139,67.993
26,2,2,68.139,68.343,68.139,67.993
27,2,2,67.823,68.048,67.823,67.662
28,2,2,67.823,68.048,67.823,67.662
29,2,2,68.139,68.456,68.139,67.933
30,2,2,68.139,68.456,68.139,67.933
31,2,2,67.823,68.233,67.823,67.563
32,2,2,67.823,68.233,67.823,67.563
33,2,2,68.139,68.456,68.139,67.933
34,2,2,68.139,68.456,68.139,67.933
35,2,2,69.401,69.575,69.401,69.286
36,2,2,69.401,69.575,69.401,69.286
37,2,2,70.032,70.267,70.032,69.895
38,2,2,70.032,70.267,70.032,69.895
39,2,2,70.032,70.267,70.032,69.895
40,2,2,70.032,70.267,70.032,69.895
41,2,2,70.662,70.853,70.662,70.553
42,2,2,70.662,70.853,70.662,70.553
43,2,2,70.662,70.853,70.662,70.553
44,2,2,70.662,70.853,70.662,70.553
45,2,2,70.662,70.853,70.662,70.553
46,2,2,70.662,70.853,70.662,70.553
47,2,2,70.662,70.853,70.662,70.553
48,2,2,70.662,70.853,70.662,70.553
49,2,2,70.662,70.805,70.662,70.575
50,2,2,70.662,70.805,70.662,70.575
51,2,2,70.662,70.805,70.662,70.575
52,2,2,70.662,70.805,70.662,70.575
53,2,2,70.347,70.509,70.347,70.247
54,2,2,70.347,70.509,70.347,70.247
55,2,2,70.347,70.509,70.347,70.247
56,2,2,70.347,70.509,70.347,70.247
57,2,2,70.347,70.509,70.347,70.247
58,2,2,70.347,70.509,70.347,70.247
59,2,2,70.347,70.509,70.347,70.247
60,2,2,70.347,70.509,70.347,70.247
61,2,2,70.662,70.853,70.662,70.553
62,2,2,70.662,70.853,70.662,70.553
63,2,2,70.662,70.853,70.662,70.553
64,2,2,70.662,70.853,70.662,70.553
65,2,2,70.662,70.853,70.662,70.553
66,2,2,70.662,70.853,70.662,70.553
67,2,2,70.662,70.853,70.662,70.553
68,2,2,70.662,70.853,70.662,70.553
69,2,2,70.347,70.56,70.347,70.224
70,2,2,70.347,70.56,70.347,70.224
71,2,2,69.716,69.975,69.716,69.564
72,2,2,69.716,69.975,69.716,69.564
73,2,2,69.716,69.975,69.716,69.564
74,2,2,69.716,69.975,69.716,69.564
75,2,2,69.716,69.92,69.716,69.591
76,2,2,69.716,69.92,69.716,69.591
77,2,2,69.716,69.92,69.716,69.591
78,2,2,69.716,69.92,69.716,69.591
79,2,2,69.716,69.92,69.716,69.591
80,2,2,69.716,69.92,69.716,69.591
81,2,2,69.716,69.92,69.716,69.591
82,2,2,69.716,69.92,69.716,69.591
83,2,2,70.032,70.267,70.032,69.895
84,2,2,70.032,70.267,70.032,69.895
85,2,2,70.347,70.617,70.347,70.199
86,2,2,70.347,70.617,70.347,70.199
87,2,2,70.347,70.617,70.347,70.199
88,2,2,70.662,70.908,70.662,70.529
89,2,2,70.347,70.56,70.347,70.224
90,2,2,70.347,70.56,70.347,70.224
91,2,2,70.662,70.853,70.662,70.553
92,2,2,70.662,70.853,70.662,70.553
93,2,2,70.662,70.853,70.662,70.553
94,2,2,70.662,70.853,70.662,70.553
95,2,2,70.662,70.853,70.662,70.553
96,2,2,70.662,70.853,70.662,70.553
97,2,2,70.032,70.327,70.032,69.868
98,2,2,70.032,70.327,70.032,69.868
99,2,2,70.032,70.327,70.032,69.868
100,2,2,70.032,70.327,70.032,69.868
0,5,0,65.931,65.965,65.931,65.853
1,5,0,66.246,66.295,66.246,66.158
2,5,0,66.246,66.295,66.246,66.158
