iter,step,fold,acc,prec,rec,f1score
0,2,0,78.233,79.128,78.233,78.004
1,2,0,79.18,79.51,79.18,79.086
2,2,0,76.656,76.654,76.656,76.652
3,2,0,80.126,80.713,80.126,79.988
4,2,0,58.044,59.194,58.044,57.17
5,2,0,77.287,77.292,77.287,77.277
6,2,0,80.126,80.242,80.126,80.087
7,2,0,80.442,80.643,80.442,80.384
8,2,0,76.341,76.345,76.341,76.342
9,2,0,75.71,75.709,75.71,75.703
10,2,0,77.918,78.31,77.918,77.798
11,2,0,78.864,79.082,78.864,78.795
12,2,0,80.442,81.498,80.442,80.223
13,2,0,79.811,80.006,79.811,79.751
14,2,0,80.442,80.882,80.442,80.336
15,2,0,80.442,80.712,80.442,80.37
16,2,0,79.18,79.204,79.18,79.164
17,2,0,82.019,82.541,82.019,81.913
18,2,0,82.334,83.169,82.334,82.182
19,2,0,81.703,82.273,81.703,81.586
20,2,0,77.603,77.603,77.603,77.596
21,2,0,79.811,80.006,79.811,79.751
22,2,0,76.972,76.976,76.972,76.973
23,2,0,81.073,81.432,81.073,80.987
24,2,0,80.442,80.712,80.442,80.37
25,2,0,81.388,82.007,81.388,81.259
26,2,0,81.703,82.273,81.703,81.586
27,2,0,76.025,76.055,76.025,76.028
28,2,0,80.126,80.431,80.126,80.045
29,2,0,81.388,81.897,81.388,81.278
30,2,0,81.388,81.897,81.388,81.278
31,2,0,81.073,81.868,81.073,80.909
32,2,0,82.019,82.777,82.019,81.874
33,2,0,80.757,80.996,80.757,80.694
34,2,0,81.073,82.155,81.073,80.861
35,2,0,82.334,83.169,82.334,82.182
36,2,0,80.442,80.643,80.442,80.384
37,2,0,81.388,81.897,81.388,81.278
38,2,0,82.65,83.3,82.65,82.53
39,2,0,81.703,82.167,81.703,81.604
40,2,0,77.603,77.635,77.603,77.581
41,2,0,82.019,82.653,82.019,81.894
42,2,0,82.65,83.427,82.65,82.51
43,2,0,82.65,83.566,82.65,82.489
44,2,0,82.019,82.653,82.019,81.894
45,2,0,82.019,82.44,82.019,81.93
46,2,0,82.019,82.653,82.019,81.894
47,2,0,83.281,84.218,83.281,83.126
48,2,0,82.019,82.541,82.019,81.913
49,2,0,82.65,83.3,82.65,82.53
50,2,0,82.019,82.541,82.019,81.913
51,2,0,82.334,83.038,82.334,82.202
52,2,0,82.65,83.185,82.65,82.548
53,2,0,83.281,84.076,83.281,83.146
54,2,0,79.18,79.187,79.18,79.171
55,2,0,82.65,83.185,82.65,82.548
56,2,0,82.334,82.81,82.334,82.239
57,2,0,82.965,83.564,82.965,82.856
58,2,0,82.65,83.185,82.65,82.548
59,2,0,82.965,83.686,82.965,82.838
60,2,0,82.965,83.686,82.965,82.838
61,2,0,82.965,83.564,82.965,82.856
62,2,0,79.811,79.837,79.811,79.795
63,2,0,82.965,83.564,82.965,82.856
64,2,0,82.965,83.686,82.965,82.838
65,2,0,82.65,82.99,82.65,82.579
66,2,0,82.65,83.185,82.65,82.548
67,2,0,83.596,84.209,83.596,83.491
68,2,0,80.442,80.498,80.442,80.418
69,2,0,81.388,81.567,81.388,81.34
70,2,0,76.972,77.014,76.972,76.974
71,2,0,82.65,83.082,82.65,82.564
72,2,0,82.334,82.555,82.334,82.282
73,2,0,82.965,83.453,82.965,82.873
74,2,0,49.527,55.992,49.527,35.041
75,2,0,56.782,64.18,56.782,51.219
76,2,0,62.145,64.501,62.145,60.913
77,2,0,53.312,59.561,53.312,45.806
78,2,0,64.353,64.444,64.353,64.347
79,2,0,70.347,71.434,70.347,69.832
80,2,0,61.83,63.346,61.83,61.034
81,2,0,67.192,68.175,67.192,66.891
82,2,0,69.401,71.462,69.401,68.819
83,2,0,78.233,79.128,78.233,78.004
84,2,0,77.918,80.615,77.918,77.32
85,2,0,68.139,68.49,68.139,67.883
86,2,0,69.401,69.425,69.401,69.357
87,2,0,75.079,77.352,75.079,74.431
88,2,0,76.656,76.849,76.656,76.642
89,2,0,71.924,73.042,71.924,71.683
90,2,0,78.549,78.572,78.549,78.532
91,2,0,78.233,78.267,78.233,78.212
92,2,0,81.703,81.764,81.703,81.682
93,2,0,77.603,77.635,77.603,77.581
94,2,0,79.811,79.821,79.811,79.813
95,2,0,66.562,68.453,66.562,65.896
96,2,0,79.811,79.841,79.811,79.813
97,2,0,77.918,79.335,77.918,77.571
98,2,0,83.281,83.476,83.281,83.237
99,2,0,80.757,81.36,80.757,80.624
100,2,0,82.334,82.629,82.334,82.269
0,2,1,73.817,73.931,73.817,73.707
1,2,1,74.132,74.229,74.132,74.034
2,2,1,74.132,74.461,74.132,73.932
3,2,1,77.603,77.977,77.603,77.442
4,2,1,74.132,74.274,74.132,74.012
5,2,1,73.817,73.805,73.817,73.804
