iter,step,fold,acc,prec,rec,f1score
0,2,0,78.233,79.128,78.233,78.004
1,2,0,80.757,81.479,80.757,80.602
2,2,0,80.757,81.479,80.757,80.602
3,2,0,80.757,81.479,80.757,80.602
4,2,0,80.757,81.479,80.757,80.602
5,2,0,80.757,81.479,80.757,80.602
6,2,0,80.757,81.479,80.757,80.602
7,2,0,80.757,81.479,80.757,80.602
8,2,0,80.757,81.479,80.757,80.602
9,2,0,80.757,81.479,80.757,80.602
10,2,0,80.757,81.479,80.757,80.602
11,2,0,80.757,81.479,80.757,80.602
12,2,0,80.757,81.479,80.757,80.602
13,2,0,80.757,81.479,80.757,80.602
14,2,0,80.757,81.479,80.757,80.602
15,2,0,80.757,81.479,80.757,80.602
16,2,0,80.757,81.479,80.757,80.602
17,2,0,80.757,81.479,80.757,80.602
18,2,0,80.757,81.479,80.757,80.602
19,2,0,80.757,81.479,80.757,80.602
20,2,0,80.757,81.479,80.757,80.602
21,2,0,80.757,81.479,80.757,80.602
22,2,0,80.757,81.479,80.757,80.602
23,2,0,80.757,81.479,80.757,80.602
24,2,0,80.757,81.479,80.757,80.602
25,2,0,80.757,81.479,80.757,80.602
26,2,0,80.757,81.479,80.757,80.602
27,2,0,80.757,81.479,80.757,80.602
28,2,0,80.757,81.479,80.757,80.602
29,2,0,80.757,81.479,80.757,80.602
30,2,0,80.757,81.479,80.757,80.602
31,2,0,80.757,81.479,80.757,80.602
32,2,0,80.757,81.479,80.757,80.602
33,2,0,80.757,81.479,80.757,80.602
34,2,0,80.757,81.479,80.757,80.602
35,2,0,80.757,81.479,80.757,80.602
36,2,0,80.757,81.479,80.757,80.602
37,2,0,80.757,81.479,80.757,80.602
38,2,0,80.757,81.479,80.757,80.602
39,2,0,80.757,81.479,80.757,80.602
40,2,0,80.757,81.479,80.757,80.602
41,2,0,80.757,81.479,80.757,80.602
42,2,0,80.757,81.479,80.757,80.602
43,2,0,80.757,81.479,80.757,80.602
44,2,0,80.757,81.479,80.757,80.602
45,2,0,80.757,81.479,80.757,80.602
46,2,0,80.757,81.479,80.757,80.602
47,2,0,80.757,81.479,80.757,80.602
48,2,0,80.757,81.479,80.757,80.602
49,2,0,80.757,81.479,80.757,80.602
50,2,0,80.757,81.479,80.757,80.602
51,2,0,80.757,81.479,80.757,80.602
52,2,0,80.757,81.479,80.757,80.602
53,2,0,80.757,81.479,80.757,80.602
54,2,0,80.757,81.479,80.757,80.602
55,2,0,80.757,81.479,80.757,80.602
56,2,0,80.757,81.479,80.757,80.602
57,2,0,80.757,81.479,80.757,80.602
58,2,0,80.757,81.479,80.757,80.602
59,2,0,80.757,81.479,80.757,80.602
60,2,0,80.757,81.479,80.757,80.602
61,2,0,80.757,81.479,80.757,80.602
62,2,0,80.757,81.479,80.757,80.602
63,2,0,80.757,81.479,80.757,80.602
64,2,0,80.757,81.479,80.757,80.602
65,2,0,80.757,81.479,80.757,80.602
66,2,0,80.757,81.479,80.757,80.602
67,2,0,80.757,81.479,80.757,80.602
68,2,0,80.757,81.479,80.757,80.602
69,2,0,80.757,81.479,80.757,80.602
70,2,0,80.757,81.479,80.757,80.602
71,2,0,80.757,81.479,80.757,80.602
72,2,0,80.757,81.479,80.757,80.602
73,2,0,80.757,81.479,80.757,80.602
74,2,0,80.757,81.479,80.757,80.602
75,2,0,80.757,81.479,80.757,80.602
76,2,0,80.757,81.479,80.757,80.602
77,2,0,80.757,81.479,80.757,80.602
78,2,0,80.757,81.479,80.757,80.602
79,2,0,80.757,81.479,80.757,80.602
80,2,0,80.757,81.479,80.757,80.602
81,2,0,80.757,81.479,80.757,80.602
82,2,0,80.757,81.479,80.757,80.602
83,2,0,80.757,81.479,80.757,80.602
84,2,0,80.757,81.479,80.757,80.602
85,2,0,80.757,81.479,80.757,80.602
86,2,0,80.757,81.479,80.757,80.602
87,2,0,80.757,81.479,80.757,80.602
88,2,0,80.757,81.479,80.757,80.602
89,2,0,80.757,81.479,80.757,80.602
90,2,0,80.757,81.479,80.757,80.602
91,2,0,80.757,81.479,80.757,80.602
92,2,0,80.757,81.479,80.757,80.602
93,2,0,80.757,81.479,80.757,80.602
94,2,0,80.757,81.479,80.757,80.602
95,2,0,80.757,81.479,80.757,80.602
96,2,0,80.757,81.479,80.757,80.602
97,2,0,80.757,81.479,80.757,80.602
98,2,0,80.757,81.479,80.757,80.602
99,2,0,80.757,81.479,80.757,80.602
100,2,0,80.757,81.479,80.757,80.602
0,2,1,73.817,73.931,73.817,73.707
1,2,1,75.079,75.262,75.079,74.951
2,2,1,75.079,75.262,75.079,74.951
3,2,1,75.079,75.262,75.079,74.951
4,2,1,75.079,75.262,75.079,74.951
5,2,1,75.079,75.262,75.079,74.951
6,2,1,75.079,75.262,75.079,74.951
7,2,1,75.079,75.262,75.079,74.951
8,2,1,75.079,75.262,75.079,74.951
9,2,1,75.079,75.262,75.079,74.951
10,2,1,75.079,75.262,75.079,74.951
11,2,1,75.079,75.262,75.079,74.951
12,2,1,75.079,75.262,75.079,74.951
13,2,1,75.079,75.262,75.079,74.951
14,2,1,75.079,75.262,75.079,74.951
15,2,1,75.079,75.262,75.079,74.951
16,2,1,75.079,75.262,75.079,74.951
17,2,1,75.079,75.262,75.079,74.951
18,2,1,75.079,75.262,75.079,74.951
19,2,1,75.079,75.262,75.079,74.951
20,2,1,75.079,75.262,75.079,74.951
21,2,1,75.079,75.262,75.079,74.951
22,2,1,75.079,75.262,75.079,74.951
23,2,1,75.079,75.262,75.079,74.951
24,2,1,75.079,75.262,75.079,74.951
25,2,1,75.079,75.262,75.079,74.951
26,2,1,75.079,75.262,75.079,74.951
27,2,1,75.079,75.262,75.079,74.951
28,2,1,75.079,75.262,75.079,74.951
29,2,1,75.079,75.262,75.079,74.951
30,2,1,75.079,75.262,75.079,74.951
31,2,1,75.079,75.262,75.079,74.951
32,2,1,75.079,75.262,75.079,74.951
33,2,1,75.079,75.262,75.079,74.951
34,2,1,75.079,75.262,75.079,74.951
35,2,1,75.079,75.262,75.079,74.951
36,2,1,75.079,75.262,75.079,74.951
37,2,1,75.079,75.262,75.079,74.951
38,2,1,75.079,75.262,75.079,74.951
39,2,1,75.079,75.262,75.079,74.951
40,2,1,75.079,75.262,75.079,74.951
41,2,1,75.079,75.262,75.079,74.951
42,2,1,75.079,75.262,75.079,74.951
43,2,1,75.079,75.262,75.079,74.951
44,2,1,75.079,75.262,75.079,74.951
45,2,1,75.079,75.262,75.079,74.951
46,2,1,75.079,75.262,75.079,74.951
47,2,1,75.079,75.262,75.079,74.951
48,2,1,75.079,75.262,75.079,74.951
49,2,1,75.079,75.262,75.079,74.951
50,2,1,75.079,75.262,75.079,74.951
51,2,1,75.079,75.262,75.079,74.951
52,2,1,75.079,75.262,75.079,74.951
53,2,1,75.079,75.262,75.079,74.951
54,2,1,75.079,75.262,75.079,74.951
55,2,1,75.079,75.262,75.079,74.951
56,2,1,75.079,75.262,75.079,74.951
57,2,1,75.079,75.262,75.079,74.951
58,2,1,75.079,75.262,75.079,74.951
59,2,1,75.079,75.262,75.079,74.951
60,2,1,75.079,75.262,75.079,74.951
61,2,1,75.079,75.262,75.079,74.951
62,2,1,75.079,75.262,75.079,74.951
63,2,1,75.079,75.262,75.079,74.951
64,2,1,75.079,75.262,75.079,74.951
65,2,1,75.079,75.262,75.079,74.951
66,2,1,75.079,75.262,75.079,74.951
67,2,1,75.079,75.262,75.079,74.951
68,2,1,75.079,75.262,75.079,74.951
69,2,1,75.079,75.262,75.079,74.951
70,2,1,75.079,75.262,75.079,74.951
71,2,1,75.079,75.262,75.079,74.951
72,2,1,75.079,75.262,75.079,74.951
73,2,1,75.079,75.262,75.079,74.951
74,2,1,75.079,75.262,75.079,74.951
75,2,1,75.079,75.262,75.079,74.951
76,2,1,75.079,75.262,75.079,74.951
77,2,1,75.079,75.262,75.079,74.951
78,2,1,75.079,75.262,75.079,74.951
79,2,1,75.079,75.262,75.079,74.951
80,2,1,75.079,75.262,75.079,74.951
81,2,1,75.079,75.262,75.079,74.951
82,2,1,75.079,75.262,75.079,74.951
83,2,1,75.079,75.262,75.079,74.951
84,2,1,75.079,75.262,75.079,74.951
85,2,1,75.079,75.262,75.079,74.951
86,2,1,75.079,75.262,75.079,74.951
87,2,1,75.079,75.262,75.079,74.951
88,2,1,75.079,75.262,75.079,74.951
89,2,1,75.079,75.262,75.079,74.951
90,2,1,75.079,75.262,75.079,74.951
91,2,1,75.079,75.262,75.079,74.951
92,2,1,75.079,75.262,75.079,74.951
93,2,1,75.079,75.262,75.079,74.951
94,2,1,75.079,75.262,75.079,74.951
95,2,1,75.079,75.262,75.079,74.951
96,2,1,75.079,75.262,75.079,74.951
97,2,1,75.079,75.262,75.079,74.951
98,2,1,75.079,75.262,75.079,74.951
99,2,1,75.079,75.262,75.079,74.951
100,2,1,75.079,75.262,75.079,74.951
0,2,2,73.186,73.624,73.186,73.013
1,2,2,75.079,75.476,75.079,74.943
2,2,2,75.079,75.476,75.079,74.943
3,2,2,75.079,75.476,75.079,74.943
4,2,2,75.079,75.476,75.079,74.943
5,2,2,75.079,75.476,75.079,74.943
6,2,2,75.079,75.476,75.079,74.943
7,2,2,75.079,75.476,75.079,74.943
8,2,2,75.079,75.476,75.079,74.943
9,2,2,75.079,75.476,75.079,74.943
10,2,2,75.079,75.476,75.079,74.943
11,2,2,75.079,75.476,75.079,74.943
12,2,2,75.079,75.476,75.079,74.943
13,2,2,75.079,75.476,75.079,74.943
14,2,2,75.079,75.476,75.079,74.943
15,2,2,75.079,75.476,75.079,74.943
16,2,2,75.079,75.476,75.079,74.943
17,2,2,75.079,75.476,75.079,74.943
18,2,2,75.079,75.476,75.079,74.943
19,2,2,75.079,75.476,75.079,74.943
20,2,2,75.079,75.476,75.079,74.943
21,2,2,75.079,75.476,75.079,74.943
22,2,2,75.079,75.476,75.079,74.943
23,2,2,75.079,75.476,75.079,74.943
24,2,2,75.079,75.476,75.079,74.943
25,2,2,75.079,75.476,75.079,74.943
26,2,2,75.079,75.476,75.079,74.943
27,2,2,75.079,75.476,75.079,74.943
28,2,2,75.079,75.476,75.079,74.943
29,2,2,75.079,75.476,75.079,74.943
30,2,2,75.079,75.476,75.079,74.943
31,2,2,75.079,75.476,75.079,74.943
32,2,2,75.079,75.476,75.079,74.943
33,2,2,75.079,75.476,75.079,74.943
34,2,2,75.079,75.476,75.079,74.943
35,2,2,75.079,75.476,75.079,74.943
36,2,2,75.079,75.476,75.079,74.943
37,2,2,75.079,75.476,75.079,74.943
38,2,2,75.079,75.476,75.079,74.943
39,2,2,75.079,75.476,75.079,74.943
40,2,2,75.079,75.476,75.079,74.943
41,2,2,75.079,75.476,75.079,74.943
42,2,2,75.079,75.476,75.079,74.943
43,2,2,75.079,75.476,75.079,74.943
44,2,2,75.079,75.476,75.079,74.943
45,2,2,75.079,75.476,75.079,74.943
46,2,2,75.079,75.476,75.079,74.943
47,2,2,75.079,75.476,75.079,74.943
48,2,2,75.079,75.476,75.079,74.943
49,2,2,75.079,75.476,75.079,74.943
50,2,2,75.079,75.476,75.079,74.943
51,2,2,75.079,75.476,75.079,74.943
