iter,step,fold,acc,prec,rec,f1score
0,2,0,70.032,70.741,70.032,69.87
1,2,0,78.549,78.953,78.549,78.433
2,2,0,71.609,71.686,71.609,71.544
3,2,0,72.555,73.228,72.555,72.266
4,2,0,80.126,80.608,80.126,80.009
5,2,0,70.347,71.224,70.347,70.142
6,2,0,69.401,69.541,69.401,69.387
7,2,0,68.139,69.617,68.139,67.692
8,2,0,77.287,77.332,77.287,77.26
9,2,0,62.145,64.858,62.145,60.725
10,2,0,72.555,72.753,72.555,72.443
11,2,0,81.073,82.155,81.073,80.861
12,2,0,67.508,69.403,67.508,66.89
13,2,0,65.931,67.331,65.931,65.426
14,2,0,71.609,71.781,71.609,71.592
15,2,0,76.025,76.096,76.025,75.985
16,2,0,76.341,76.432,76.341,76.294
17,2,0,81.388,81.466,81.388,81.361
18,2,0,68.454,69.377,68.454,68.202
19,2,0,67.508,67.528,67.508,67.512
20,2,0,64.353,67.357,64.353,63.062
21,2,0,67.823,69.831,67.823,67.182
22,2,0,66.562,68.796,66.562,65.767
23,2,0,63.722,65.719,63.722,62.823
24,2,0,63.091,65.333,63.091,62.018
25,2,0,72.871,72.926,72.871,72.872
26,2,0,65.615,67.497,65.615,64.898
27,2,0,64.984,67.127,64.984,64.116
28,2,0,75.394,75.462,75.394,75.353
29,2,0,72.555,72.662,72.555,72.55
30,2,0,69.085,70.551,69.085,68.675
31,2,0,75.71,75.784,75.71,75.71
32,2,0,70.032,70.402,70.032,69.963
33,2,0,77.287,77.428,77.287,77.28
34,2,0,70.032,70.476,70.032,69.944
35,2,0,74.448,74.567,74.448,74.382
36,2,0,74.448,74.521,74.448,74.448
37,2,0,75.71,75.729,75.71,75.713
38,2,0,76.972,77.002,76.972,76.949
39,2,0,81.073,81.524,81.073,80.97
40,2,0,77.918,77.948,77.918,77.921
41,2,0,73.502,73.513,73.502,73.504
42,2,0,73.186,73.206,73.186,73.189
43,2,0,79.811,79.81,79.811,79.807
44,2,0,74.763,74.799,74.763,74.733
45,2,0,74.132,74.512,74.132,74.081
46,2,0,79.495,79.791,79.495,79.412
47,2,0,72.871,73.103,72.871,72.844
48,2,0,79.18,79.231,79.18,79.155
49,2,0,68.77,70.604,68.77,68.231
50,2,0,67.508,69.242,67.508,66.947
51,2,0,75.71,75.752,75.71,75.712
52,2,0,74.448,74.659,74.448,74.428
53,2,0,71.293,72.144,71.293,71.11
54,2,0,72.24,72.76,72.24,72.148
55,2,0,80.757,80.799,80.757,80.738
56,2,0,72.555,72.626,72.555,72.555
57,2,0,78.233,78.337,78.233,78.19
58,2,0,70.347,71.224,70.347,70.142
59,2,0,82.334,82.555,82.334,82.282
60,2,0,75.71,75.892,75.71,75.63
61,2,0,75.71,75.752,75.71,75.712
62,2,0,68.139,69.923,68.139,67.589
63,2,0,78.233,78.337,78.233,78.19
64,2,0,77.918,78.228,77.918,77.818
65,2,0,73.502,73.532,73.502,73.47
66,2,0,82.334,82.81,82.334,82.239
67,2,0,71.924,72.245,71.924,71.877
68,2,0,83.912,84.473,83.912,83.817
69,2,0,76.656,76.714,76.656,76.658
70,2,0,83.596,83.907,83.596,83.536
71,2,0,76.341,76.345,76.341,76.342
72,2,0,75.71,75.928,75.71,75.691
73,2,0,81.703,81.918,81.703,81.65
74,2,0,48.896,23.908,48.896,32.114
75,2,0,64.038,68.315,64.038,62.181
76,2,0,64.669,66.86,64.669,63.756
77,2,0,48.896,49.457,48.896,32.666
78,2,0,71.609,71.947,71.609,71.427
79,2,0,65.615,66.086,65.615,65.206
80,2,0,65.931,67.612,65.931,65.313
81,2,0,64.038,67.543,64.038,62.496
82,2,0,64.984,66.258,64.984,64.493
83,2,0,62.461,66.72,62.461,60.344
84,2,0,65.615,67.497,65.615,64.898
85,2,0,77.287,77.854,77.287,77.117
