iter,step,fold,acc,prec,rec,f1score
0,2,0,71.924,74.063,71.924,71.133
1,2,0,70.662,70.731,70.662,70.662
2,2,0,75.71,77.828,75.71,75.129
3,2,0,71.924,79.481,71.924,69.767
4,2,0,71.293,71.313,71.293,71.297
5,2,0,77.603,77.749,77.603,77.544
6,2,0,72.24,72.67,72.24,72.032
7,2,0,75.079,75.191,75.079,75.074
8,2,0,77.603,77.646,77.603,77.605
9,2,0,70.032,70.194,70.032,69.909
10,2,0,70.032,70.059,70.032,69.988
11,2,0,70.347,70.415,70.347,70.279
12,2,0,82.334,82.345,82.334,82.327
13,2,0,83.281,83.724,83.281,83.198
14,2,0,84.858,85.929,84.858,84.709
15,2,0,80.442,80.882,80.442,80.336
16,2,0,78.864,79.32,78.864,78.74
17,2,0,71.609,71.735,71.609,71.6
18,2,0,72.24,72.251,72.24,72.243
19,2,0,71.293,71.757,71.293,71.209
20,2,0,84.543,84.595,84.543,84.527
21,2,0,78.864,78.884,78.864,78.867
22,2,0,66.246,67.731,66.246,65.295
23,2,0,82.019,82.541,82.019,81.913
24,2,0,75.079,76.746,75.079,74.579
25,2,0,84.227,84.546,84.227,84.169
26,2,0,80.126,81.584,80.126,79.83
27,2,0,86.751,87.891,86.751,86.62
28,2,0,86.435,86.829,86.435,86.38
29,2,0,78.549,78.547,78.549,78.545
30,2,0,73.186,73.206,73.186,73.189
31,2,0,82.334,82.334,82.334,82.334
32,2,0,82.965,83.82,82.965,82.818
33,2,0,73.502,73.874,73.502,73.449
34,2,0,86.12,86.791,86.12,86.031
35,2,0,83.281,83.302,83.281,83.271
36,2,0,81.388,81.71,81.388,81.312
37,2,0,75.394,75.787,75.394,75.346
38,2,0,86.12,87.414,86.12,85.964
39,2,0,81.073,81.083,81.073,81.074
40,2,0,81.703,81.713,81.703,81.695
41,2,0,87.066,87.827,87.066,86.977
42,2,0,76.972,77.388,76.972,76.836
43,2,0,71.924,71.987,71.924,71.869
44,2,0,87.697,88.785,87.697,87.583
45,2,0,85.489,87.596,85.489,85.237
46,2,0,73.502,73.685,73.502,73.404
47,2,0,79.495,83.77,79.495,78.719
48,2,0,83.596,83.996,83.596,83.522
49,2,0,78.549,78.678,78.549,78.5
50,2,0,78.549,78.633,78.549,78.513
51,2,0,84.227,85.275,84.227,84.071
52,2,0,78.549,78.598,78.549,78.523
53,2,0,83.596,83.907,83.596,83.536
54,2,0,86.435,87.48,86.435,86.31
55,2,0,88.013,88.597,88.013,87.948
56,2,0,88.959,89.501,88.959,88.904
57,2,0,84.858,85.184,84.858,84.802
58,2,0,83.281,85.129,83.281,83.005
59,2,0,77.918,79.168,77.918,77.606
60,2,0,78.233,78.352,78.233,78.23
61,2,0,88.644,88.73,88.644,88.63
62,2,0,63.091,65.17,63.091,62.099
63,2,0,74.132,74.512,74.132,74.081
64,2,0,81.388,81.406,81.388,81.377
65,2,0,66.562,66.674,66.562,66.552
66,2,0,82.65,82.669,82.65,82.652
67,2,0,82.65,82.782,82.65,82.616
68,2,0,85.804,86.189,85.804,85.746
69,2,0,87.382,88.376,87.382,87.273
70,2,0,66.562,68.796,66.562,65.767
71,2,0,76.656,77.357,76.656,76.561
72,2,0,61.83,65.19,61.83,60.03
73,2,0,74.448,74.452,74.448,74.449
74,2,0,57.729,68.141,57.729,51.449
75,2,0,63.407,68.085,63.407,61.284
76,2,0,67.823,72.493,67.823,65.77
77,2,0,60.568,61.748,60.568,59.887
78,2,0,70.662,72.471,70.662,69.899
79,2,0,61.514,61.567,61.514,61.341
80,2,0,64.669,67.415,64.669,63.519
81,2,0,64.353,74.471,64.353,59.784
82,2,0,64.353,69.473,64.353,62.226
83,2,0,74.448,75.314,74.448,74.144
84,2,0,71.293,71.307,71.293,71.265
85,2,0,75.71,76.239,75.71,75.639
86,2,0,72.24,72.238,72.24,72.228
87,2,0,65.615,69.321,65.615,64.188
88,2,0,77.603,77.622,77.603,77.605
89,2,0,64.353,67.136,64.353,62.493
90,2,0,80.757,83.359,80.757,80.297
91,2,0,75.71,76.283,75.71,75.514
92,2,0,71.924,72.234,71.924,71.759
93,2,0,88.959,89.627,88.959,88.894
94,2,0,80.126,80.956,80.126,79.943
95,2,0,72.24,73.062,72.24,72.077
96,2,0,68.454,69.804,68.454,67.731
97,2,0,69.085,72.514,69.085,68.079
98,2,0,81.703,81.99,81.703,81.636
99,2,0,81.388,81.634,81.388,81.327
100,2,0,72.24,74.118,72.24,71.547
0,2,1,66.877,69.087,66.877,65.401
1,2,1,62.461,62.436,62.461,62.443
2,2,1,68.139,69.101,68.139,67.416
3,2,1,68.139,71.564,68.139,66.324
4,2,1,72.24,72.59,72.24,71.991
5,2,1,71.924,72.466,71.924,71.877
6,2,1,61.199,61.363,61.199,61.207
7,2,1,74.132,74.127,74.132,74.103
8,2,1,81.703,82.34,81.703,81.54
9,2,1,76.025,76.025,76.025,76.025
10,2,1,77.287,77.31,77.287,77.249
11,2,1,75.079,76.632,75.079,74.513
12,2,1,72.871,73.166,72.871,72.66
13,2,1,78.549,78.589,78.549,78.557
14,2,1,78.233,78.229,78.233,78.23
15,2,1,77.918,79.085,77.918,77.559
16,2,1,71.609,72.022,71.609,71.583
17,2,1,67.823,69.719,67.823,66.611
18,2,1,81.388,83.718,81.388,80.928
19,2,1,77.603,79.371,77.603,77.094
20,2,1,81.388,83.045,81.388,81.037
21,2,1,75.079,75.561,75.079,74.84
22,2,1,83.281,83.451,83.281,83.224
23,2,1,78.549,79.597,78.549,78.235
24,2,1,76.972,77.127,76.972,76.875
25,2,1,74.763,76.039,74.763,74.264
26,2,1,76.972,77.331,76.972,76.806
27,2,1,77.918,78.933,77.918,77.595
28,2,1,80.126,80.661,80.126,79.96
29,2,1,74.448,75.108,74.448,74.133
30,2,1,79.18,80.119,79.18,79.11
31,2,1,80.757,81.309,80.757,80.596
32,2,1,78.233,79.34,78.233,77.898
33,2,1,82.65,83.104,82.65,82.638
34,2,1,84.858,86.871,84.858,84.558
35,2,1,78.549,80.101,78.549,78.124
36,2,1,84.858,87.377,84.858,84.499
37,2,1,85.804,86.788,85.804,85.649
38,2,1,88.328,89.587,88.328,88.184
39,2,1,74.763,74.754,74.763,74.756
40,2,1,89.274,89.993,89.274,89.191
41,2,1,64.669,64.672,64.669,64.504
42,2,1,86.751,88.661,86.751,86.513
43,2,1,88.328,89.587,88.328,88.184
44,2,1,80.757,81.551,80.757,80.547
45,2,1,89.274,89.993,89.274,89.191
46,2,1,74.132,74.39,74.132,73.961
47,2,1,82.334,82.509,82.334,82.34
48,2,1,88.328,88.351,88.328,88.318
49,2,1,67.823,67.899,67.823,67.837
50,2,1,89.274,90.14,89.274,89.178
51,2,1,81.073,81.245,81.073,81.078
52,2,1,86.12,86.355,86.12,86.067
53,2,1,66.246,66.218,66.246,66.216
54,2,1,92.429,92.652,92.429,92.406
55,2,1,83.281,84.667,83.281,83.023
56,2,1,81.703,82.34,81.703,81.54
57,2,1,66.562,66.792,66.562,66.219
58,2,1,75.394,75.386,75.394,75.387
59,2,1,85.174,87.093,85.174,84.894
60,2,1,83.281,86.062,83.281,82.831
61,2,1,85.804,86.788,85.804,85.649
62,2,1,82.965,82.962,82.965,82.96
63,2,1,81.073,81.194,81.073,81.016
64,2,1,82.334,84.884,82.334,81.879
65,2,1,88.328,89.407,88.328,88.201
66,2,1,84.543,86.652,84.543,84.222
67,2,1,87.697,87.695,87.697,87.695
68,2,1,87.382,87.455,87.382,87.387
69,2,1,79.811,81.088,79.811,79.482
70,2,1,81.703,83.486,81.703,81.341
71,2,1,84.543,84.543,84.543,84.535
72,2,1,87.382,87.559,87.382,87.344
73,2,1,90.221,90.765,90.221,90.161
74,2,1,51.735,59.675,51.735,42.787
75,2,1,59.306,60.647,59.306,56.85
76,2,1,51.104,52.575,51.104,48.752
77,2,1,64.669,68.342,64.669,62.087
78,2,1,65.615,66.724,65.615,65.35
79,2,1,65.3,65.486,65.3,64.944
80,2,1,59.937,62.483,59.937,58.649
81,2,1,61.514,61.514,61.514,61.514
82,2,1,60.252,60.477,60.252,60.247
83,2,1,58.991,75.086,58.991,49.809
84,2,1,70.032,70.025,70.032,70.027
85,2,1,70.347,71.45,70.347,70.167
86,2,1,60.252,60.275,60.252,60.261
87,2,1,62.776,63.238,62.776,62.703
88,2,1,60.883,60.96,60.883,60.9
89,2,1,63.091,63.067,63.091,63.074
90,2,1,68.139,71.849,68.139,66.216
91,2,1,84.858,86.053,84.858,84.66
92,2,1,64.984,67.849,64.984,62.871
93,2,1,73.186,73.743,73.186,73.141
94,2,1,64.984,65.358,64.984,64.444
95,2,1,80.757,84.453,80.757,80.057
96,2,1,73.817,73.911,73.817,73.828
97,2,1,58.991,59.579,58.991,58.819
98,2,1,65.3,65.873,65.3,65.208
99,2,1,73.502,74.111,73.502,73.449
100,2,1,83.596,84.572,83.596,83.406
0,2,2,69.716,71.751,69.716,68.862
1,2,2,66.877,67.185,66.877,66.789
2,2,2,69.085,69.533,69.085,68.835
3,2,2,71.924,72.227,71.924,71.867
4,2,2,80.126,82.002,80.126,79.78
5,2,2,69.085,69.192,69.085,69.003
6,2,2,60.252,60.884,60.252,59.859
7,2,2,76.656,76.656,76.656,76.656
8,2,2,70.347,70.548,70.347,70.31
9,2,2,72.555,72.591,72.555,72.555
10,2,2,71.293,71.428,71.293,71.275
11,2,2,75.079,77.393,75.079,74.456
12,2,2,82.334,84.719,82.334,81.98
13,2,2,70.347,70.356,70.347,70.349
14,2,2,79.811,83.03,79.811,79.241
15,2,2,62.145,62.235,62.145,61.988
16,2,2,72.555,72.935,72.555,72.482
17,2,2,79.18,81.093,79.18,78.799
18,2,2,84.543,85.876,84.543,84.369
19,2,2,77.603,79.118,77.603,77.25
20,2,2,67.192,67.818,67.192,66.801
21,2,2,82.019,83.809,82.019,81.736
22,2,2,76.656,77.042,76.656,76.539
23,2,2,81.388,81.912,81.388,81.286
24,2,2,67.508,73.474,67.508,65.077
25,2,2,82.334,83.489,82.334,82.148
26,2,2,79.18,80.065,79.18,78.986
27,2,2,78.549,79.859,78.549,78.261
28,2,2,70.978,76.661,70.978,69.178
29,2,2,71.924,72.459,71.924,71.808
30,2,2,74.763,74.887,74.763,74.751
31,2,2,79.495,79.669,79.495,79.447
32,2,2,78.233,78.305,78.233,78.206
33,2,2,70.032,70.03,70.032,70.024
34,2,2,85.174,85.899,85.174,85.078
35,2,2,79.811,79.871,79.811,79.79
36,2,2,78.864,80.109,78.864,78.597
37,2,2,81.073,82.176,81.073,80.872
38,2,2,83.596,85.596,83.596,83.324
39,2,2,84.227,84.227,84.227,84.227
40,2,2,83.912,83.919,83.912,83.908
41,2,2,76.341,76.339,76.341,76.339
42,2,2,80.442,81.236,80.442,80.283
43,2,2,72.871,72.907,72.871,72.843
44,2,2,78.549,78.744,78.549,78.492
45,2,2,79.18,82.048,79.18,78.638
46,2,2,81.073,81.178,81.073,81.044
