iter,step,fold,acc,prec,rec,f1score
0,2,0,89.59,89.84,89.59,89.563
1,2,0,89.59,89.766,89.59,89.569
2,2,0,89.905,90.119,89.905,89.882
3,2,0,89.59,89.84,89.59,89.563
4,2,0,90.221,90.476,90.221,90.195
5,2,0,90.536,90.838,90.536,90.508
6,2,0,91.167,91.475,91.167,91.141
7,2,0,91.167,91.475,91.167,91.141
8,2,0,91.167,91.475,91.167,91.141
9,2,0,91.167,91.475,91.167,91.141
10,2,0,91.483,91.749,91.483,91.461
11,2,0,91.167,91.475,91.167,91.141
12,2,0,91.483,91.841,91.483,91.455
13,2,0,91.483,91.841,91.483,91.455
14,2,0,92.114,92.386,92.114,92.093
15,2,0,92.429,92.749,92.429,92.407
16,2,0,92.429,92.749,92.429,92.407
17,2,0,93.06,93.297,93.06,93.044
18,2,0,93.375,93.576,93.375,93.362
19,2,0,93.375,93.576,93.375,93.362
20,2,0,93.691,93.857,93.691,93.68
21,2,0,94.006,94.142,94.006,93.998
22,2,0,94.006,94.142,94.006,93.998
23,2,0,93.691,93.857,93.691,93.68
24,2,0,93.691,93.933,93.691,93.676
25,2,0,94.006,94.211,94.006,93.994
26,2,0,94.006,94.211,94.006,93.994
27,2,0,94.006,94.211,94.006,93.994
28,2,0,94.006,94.211,94.006,93.994
29,2,0,94.322,94.492,94.322,94.312
30,2,0,94.953,95.126,94.953,94.944
31,2,0,94.953,95.126,94.953,94.944
32,2,0,94.953,95.126,94.953,94.944
33,2,0,94.953,95.126,94.953,94.944
34,2,0,95.268,95.409,95.268,95.261
35,2,0,95.268,95.409,95.268,95.261
36,2,0,95.268,95.409,95.268,95.261
37,2,0,94.637,94.775,94.637,94.63
38,2,0,95.268,95.409,95.268,95.261
39,2,0,95.899,95.985,95.899,95.895
40,2,0,95.899,95.985,95.899,95.895
41,2,0,95.268,95.352,95.268,95.264
42,2,0,94.953,95.062,94.953,94.947
43,2,0,95.268,95.352,95.268,95.264
44,2,0,95.584,95.695,95.584,95.578
45,2,0,95.268,95.409,95.268,95.261
46,2,0,94.953,95.126,94.953,94.944
47,2,0,94.953,95.126,94.953,94.944
48,2,0,94.953,95.126,94.953,94.944
49,2,0,94.637,94.719,94.637,94.632
50,2,0,94.637,94.719,94.637,94.632
51,2,0,94.637,94.719,94.637,94.632
52,2,0,94.637,94.719,94.637,94.632
53,2,0,94.637,94.719,94.637,94.632
54,2,0,94.637,94.719,94.637,94.632
55,2,0,94.637,94.719,94.637,94.632
56,2,0,94.637,94.719,94.637,94.632
57,2,0,94.637,94.719,94.637,94.632
58,2,0,94.637,94.719,94.637,94.632
59,2,0,94.322,94.381,94.322,94.317
60,2,0,94.322,94.381,94.322,94.317
61,2,0,94.322,94.429,94.322,94.315
62,2,0,94.322,94.381,94.322,94.317
