iter,step,fold,acc,prec,rec,f1score
0,2,0,89.59,89.84,89.59,89.563
1,2,0,89.59,89.766,89.59,89.569
2,2,0,88.959,89.204,88.959,88.93
3,2,0,89.59,89.84,89.59,89.563
4,2,0,89.59,89.766,89.59,89.569
5,2,0,89.274,89.484,89.274,89.25
6,2,0,89.59,89.927,89.59,89.556
7,2,0,90.221,90.668,90.221,90.181
8,2,0,90.221,90.668,90.221,90.181
9,2,0,90.221,90.668,90.221,90.181
10,2,0,90.221,90.668,90.221,90.181
11,2,0,90.221,90.668,90.221,90.181
12,2,0,90.536,90.934,90.536,90.501
13,2,0,90.852,91.203,90.852,90.822
14,2,0,90.536,90.934,90.536,90.501
15,2,0,90.852,91.308,90.852,90.814
16,2,0,90.852,91.203,90.852,90.822
17,2,0,91.167,91.573,91.167,91.135
18,2,0,90.536,90.934,90.536,90.501
19,2,0,90.852,91.203,90.852,90.822
20,2,0,90.852,91.203,90.852,90.822
21,2,0,91.167,91.573,91.167,91.135
22,2,0,90.852,91.203,90.852,90.822
23,2,0,91.167,91.573,91.167,91.135
24,2,0,91.167,91.573,91.167,91.135
25,2,0,91.167,91.573,91.167,91.135
26,2,0,90.852,91.308,90.852,90.814
27,2,0,90.852,91.308,90.852,90.814
28,2,0,90.852,91.308,90.852,90.814
29,2,0,90.852,91.308,90.852,90.814
30,2,0,90.852,91.308,90.852,90.814
31,2,0,90.852,91.308,90.852,90.814
32,2,0,90.536,90.934,90.536,90.501
33,2,0,90.536,90.934,90.536,90.501
34,2,0,90.536,90.934,90.536,90.501
35,2,0,90.536,90.934,90.536,90.501
36,2,0,90.221,90.668,90.221,90.181
37,2,0,90.221,90.668,90.221,90.181
38,2,0,88.959,89.289,88.959,88.923
39,2,0,88.959,89.289,88.959,88.923
40,2,0,87.697,87.931,87.697,87.665
41,2,0,88.644,88.926,88.644,88.61
42,2,0,88.013,88.212,88.013,87.985
43,2,0,88.328,88.567,88.328,88.298
44,2,0,88.013,88.212,88.013,87.985
45,2,0,88.328,88.567,88.328,88.298
46,2,0,87.697,87.861,87.697,87.673
47,2,0,88.013,88.212,88.013,87.985
48,2,0,87.382,87.577,87.382,87.353
49,2,0,87.697,87.861,87.697,87.673
50,2,0,88.013,88.148,88.013,87.992
51,2,0,87.697,87.861,87.697,87.673
52,2,0,88.328,88.567,88.328,88.298
53,2,0,88.328,88.567,88.328,88.298
54,2,0,88.959,89.289,88.959,88.923
55,2,0,88.959,89.289,88.959,88.923
56,2,0,88.644,88.926,88.644,88.61
57,2,0,89.274,89.563,89.274,89.243
58,2,0,88.644,88.848,88.644,88.618
59,2,0,89.274,89.563,89.274,89.243
60,2,0,88.644,88.926,88.644,88.61
61,2,0,88.959,89.204,88.959,88.93
62,2,0,88.959,89.131,88.959,88.937
