iter,step,fold,acc,prec,rec,f1score
0,2,0,89.59,89.84,89.59,89.563
1,2,0,89.59,89.766,89.59,89.569
2,2,0,89.59,89.766,89.59,89.569
3,2,0,89.905,90.119,89.905,89.882
4,2,0,89.905,90.119,89.905,89.882
5,2,0,89.59,89.84,89.59,89.563
6,2,0,89.59,89.84,89.59,89.563
7,2,0,89.905,90.119,89.905,89.882
8,2,0,89.905,90.119,89.905,89.882
9,2,0,90.221,90.476,90.221,90.195
10,2,0,90.221,90.476,90.221,90.195
11,2,0,90.536,90.838,90.536,90.508
12,2,0,90.536,90.838,90.536,90.508
13,2,0,90.852,91.113,90.852,90.828
14,2,0,90.852,91.113,90.852,90.828
15,2,0,90.852,91.113,90.852,90.828
16,2,0,90.852,91.113,90.852,90.828
17,2,0,91.167,91.475,91.167,91.141
18,2,0,90.852,91.113,90.852,90.828
19,2,0,91.167,91.475,91.167,91.141
20,2,0,91.167,91.475,91.167,91.141
21,2,0,91.483,91.841,91.483,91.455
22,2,0,91.483,91.841,91.483,91.455
23,2,0,91.483,91.841,91.483,91.455
24,2,0,91.483,91.841,91.483,91.455
25,2,0,91.483,91.841,91.483,91.455
26,2,0,91.483,91.841,91.483,91.455
27,2,0,91.483,91.841,91.483,91.455
28,2,0,91.483,91.841,91.483,91.455
29,2,0,91.483,91.841,91.483,91.455
30,2,0,91.483,91.841,91.483,91.455
31,2,0,92.744,92.941,92.744,92.73
32,2,0,92.744,92.941,92.744,92.73
33,2,0,93.06,93.223,93.06,93.048
34,2,0,93.06,93.223,93.06,93.048
35,2,0,93.06,93.223,93.06,93.048
36,2,0,93.06,93.223,93.06,93.048
37,2,0,94.006,94.211,94.006,93.994
38,2,0,94.006,94.211,94.006,93.994
39,2,0,94.006,94.211,94.006,93.994
40,2,0,94.006,94.211,94.006,93.994
41,2,0,94.322,94.492,94.322,94.312
42,2,0,94.322,94.492,94.322,94.312
43,2,0,94.637,94.775,94.637,94.63
44,2,0,94.637,94.775,94.637,94.63
45,2,0,94.637,94.775,94.637,94.63
46,2,0,94.637,94.775,94.637,94.63
47,2,0,94.637,94.775,94.637,94.63
48,2,0,94.637,94.775,94.637,94.63
49,2,0,94.637,94.775,94.637,94.63
50,2,0,94.637,94.775,94.637,94.63
51,2,0,94.953,95.062,94.953,94.947
52,2,0,94.953,95.062,94.953,94.947
53,2,0,94.953,95.062,94.953,94.947
54,2,0,94.953,95.062,94.953,94.947
55,2,0,94.953,95.062,94.953,94.947
56,2,0,94.953,95.062,94.953,94.947
57,2,0,94.953,95.062,94.953,94.947
58,2,0,94.953,95.062,94.953,94.947
59,2,0,94.953,95.013,94.953,94.949
60,2,0,94.953,95.013,94.953,94.949
61,2,0,95.268,95.352,95.268,95.264
62,2,0,95.268,95.352,95.268,95.264
