iter,step,fold,acc,prec,rec,f1score
0,2,0,94.953,94.979,94.953,94.95
1,2,0,95.268,95.282,95.268,95.267
2,2,0,94.637,94.678,94.637,94.634
3,2,0,94.953,94.979,94.953,94.95
4,2,0,95.268,95.282,95.268,95.267
5,2,0,94.953,94.979,94.953,94.95
6,2,0,94.637,94.678,94.637,94.634
7,2,0,94.953,94.979,94.953,94.95
8,2,0,94.953,94.979,94.953,94.95
9,2,0,95.268,95.282,95.268,95.267
10,2,0,94.953,94.979,94.953,94.95
11,2,0,95.268,95.282,95.268,95.267
12,2,0,95.268,95.282,95.268,95.267
13,2,0,95.268,95.282,95.268,95.267
14,2,0,95.268,95.282,95.268,95.267
15,2,0,95.268,95.282,95.268,95.267
16,2,0,94.953,94.979,94.953,94.95
17,2,0,95.268,95.282,95.268,95.267
18,2,0,95.268,95.31,95.268,95.265
19,2,0,94.953,94.979,94.953,94.95
20,2,0,94.953,94.979,94.953,94.95
21,2,0,95.268,95.282,95.268,95.267
22,2,0,95.268,95.282,95.268,95.267
23,2,0,94.953,94.979,94.953,94.95
24,2,0,94.953,94.979,94.953,94.95
25,2,0,95.268,95.282,95.268,95.267
26,2,0,95.268,95.31,95.268,95.265
27,2,0,95.584,95.61,95.584,95.582
28,2,0,95.584,95.61,95.584,95.582
29,2,0,95.584,95.61,95.584,95.582
30,2,0,95.584,95.61,95.584,95.582
31,2,0,95.268,95.282,95.268,95.267
32,2,0,95.268,95.282,95.268,95.267
33,2,0,95.268,95.282,95.268,95.267
34,2,0,95.268,95.282,95.268,95.267
35,2,0,94.953,94.979,94.953,94.95
36,2,0,95.584,95.61,95.584,95.582
37,2,0,95.268,95.282,95.268,95.267
38,2,0,95.584,95.61,95.584,95.582
39,2,0,95.268,95.282,95.268,95.267
40,2,0,95.584,95.59,95.584,95.583
41,2,0,95.268,95.282,95.268,95.267
42,2,0,95.268,95.282,95.268,95.267
43,2,0,95.584,95.61,95.584,95.582
44,2,0,95.268,95.31,95.268,95.265
45,2,0,95.268,95.282,95.268,95.267
46,2,0,95.584,95.61,95.584,95.582
47,2,0,95.268,95.282,95.268,95.267
48,2,0,95.899,95.914,95.899,95.898
49,2,0,95.268,95.282,95.268,95.267
50,2,0,94.953,94.979,94.953,94.95
51,2,0,95.268,95.282,95.268,95.267
52,2,0,95.584,95.61,95.584,95.582
53,2,0,95.584,95.61,95.584,95.582
54,2,0,95.584,95.61,95.584,95.582
55,2,0,95.584,95.61,95.584,95.582
56,2,0,95.268,95.31,95.268,95.265
57,2,0,95.268,95.31,95.268,95.265
58,2,0,95.268,95.31,95.268,95.265
59,2,0,95.268,95.31,95.268,95.265
60,2,0,95.268,95.31,95.268,95.265
61,2,0,95.584,95.61,95.584,95.582
62,2,0,95.268,95.31,95.268,95.265
63,2,0,95.268,95.31,95.268,95.265
64,2,0,95.268,95.31,95.268,95.265
65,2,0,95.584,95.61,95.584,95.582
66,2,0,95.268,95.31,95.268,95.265
67,2,0,95.268,95.31,95.268,95.265
68,2,0,95.584,95.61,95.584,95.582
69,2,0,95.899,95.914,95.899,95.898
70,2,0,95.899,95.914,95.899,95.898
71,2,0,95.268,95.31,95.268,95.265
72,2,0,95.268,95.31,95.268,95.265
73,2,0,95.268,95.282,95.268,95.267
74,2,0,95.268,95.31,95.268,95.265
75,2,0,95.268,95.31,95.268,95.265
76,2,0,95.268,95.31,95.268,95.265
77,2,0,95.584,95.61,95.584,95.582
78,2,0,95.268,95.31,95.268,95.265
79,2,0,95.268,95.31,95.268,95.265
80,2,0,95.268,95.31,95.268,95.265
81,2,0,95.268,95.282,95.268,95.267
82,2,0,95.268,95.282,95.268,95.267
83,2,0,94.953,94.979,94.953,94.95
84,2,0,95.268,95.31,95.268,95.265
85,2,0,94.953,94.979,94.953,94.95
86,2,0,94.953,94.979,94.953,94.95
87,2,0,95.584,95.61,95.584,95.582
88,2,0,95.268,95.31,95.268,95.265
89,2,0,94.953,94.979,94.953,94.95
90,2,0,95.584,95.61,95.584,95.582
91,2,0,94.953,94.979,94.953,94.95
92,2,0,94.953,94.979,94.953,94.95
93,2,0,94.953,94.979,94.953,94.95
94,2,0,95.584,95.61,95.584,95.582
95,2,0,95.268,95.31,95.268,95.265
96,2,0,95.268,95.31,95.268,95.265
97,2,0,95.268,95.31,95.268,95.265
98,2,0,95.268,95.31,95.268,95.265
99,2,0,95.584,95.59,95.584,95.583
100,2,0,95.268,95.282,95.268,95.267
0,2,1,97.161,97.163,97.161,97.161
1,2,1,97.161,97.163,97.161,97.161
2,2,1,96.215,96.224,96.215,96.215
3,2,1,96.845,96.855,96.845,96.846
4,2,1,96.215,96.224,96.215,96.215
5,2,1,96.215,96.224,96.215,96.215
6,2,1,96.53,96.549,96.53,96.531
7,2,1,96.845,96.855,96.845,96.846
8,2,1,96.53,96.533,96.53,96.53
9,2,1,96.845,96.855,96.845,96.846
10,2,1,96.53,96.533,96.53,96.53
11,2,1,96.53,96.533,96.53,96.53
12,2,1,96.53,96.533,96.53,96.53
13,2,1,96.845,96.855,96.845,96.846
14,2,1,96.53,96.549,96.53,96.531
15,2,1,96.845,96.855,96.845,96.846
16,2,1,96.845,96.855,96.845,96.846
17,2,1,96.845,96.879,96.845,96.847
18,2,1,96.53,96.533,96.53,96.53
19,2,1,96.53,96.533,96.53,96.53
20,2,1,96.53,96.533,96.53,96.53
21,2,1,96.53,96.533,96.53,96.53
22,2,1,96.53,96.533,96.53,96.53
23,2,1,96.53,96.533,96.53,96.53
24,2,1,96.53,96.533,96.53,96.53
25,2,1,96.845,96.855,96.845,96.846
26,2,1,96.845,96.855,96.845,96.846
27,2,1,96.53,96.533,96.53,96.53
28,2,1,96.845,96.855,96.845,96.846
29,2,1,96.845,96.855,96.845,96.846
30,2,1,96.53,96.533,96.53,96.53
31,2,1,96.53,96.533,96.53,96.53
32,2,1,96.53,96.533,96.53,96.53
33,2,1,96.845,96.855,96.845,96.846
34,2,1,96.53,96.533,96.53,96.53
35,2,1,96.845,96.855,96.845,96.846
36,2,1,96.53,96.533,96.53,96.53
37,2,1,96.215,96.224,96.215,96.215
38,2,1,96.53,96.533,96.53,96.53
39,2,1,96.53,96.549,96.53,96.531
40,2,1,96.845,96.855,96.845,96.846
41,2,1,96.53,96.549,96.53,96.531
42,2,1,96.53,96.533,96.53,96.53
43,2,1,96.53,96.533,96.53,96.53
44,2,1,96.53,96.533,96.53,96.53
45,2,1,96.215,96.224,96.215,96.215
46,2,1,96.215,96.224,96.215,96.215
47,2,1,96.53,96.533,96.53,96.53
48,2,1,96.845,96.855,96.845,96.846
49,2,1,96.845,96.855,96.845,96.846
50,2,1,96.53,96.533,96.53,96.53
51,2,1,96.53,96.533,96.53,96.53
52,2,1,96.845,96.855,96.845,96.846
53,2,1,96.845,96.855,96.845,96.846
54,2,1,96.53,96.533,96.53,96.53
55,2,1,96.53,96.533,96.53,96.53
56,2,1,96.53,96.533,96.53,96.53
57,2,1,96.53,96.533,96.53,96.53
58,2,1,96.53,96.533,96.53,96.53
59,2,1,96.53,96.533,96.53,96.53
60,2,1,96.53,96.533,96.53,96.53
61,2,1,96.845,96.855,96.845,96.846
62,2,1,96.845,96.855,96.845,96.846
63,2,1,96.53,96.533,96.53,96.53
64,2,1,96.53,96.533,96.53,96.53
65,2,1,96.53,96.533,96.53,96.53
66,2,1,96.845,96.855,96.845,96.846
67,2,1,96.53,96.533,96.53,96.53
68,2,1,96.845,96.855,96.845,96.846
69,2,1,96.845,96.855,96.845,96.846
70,2,1,96.53,96.533,96.53,96.53
71,2,1,96.53,96.533,96.53,96.53
72,2,1,96.53,96.533,96.53,96.53
73,2,1,96.53,96.533,96.53,96.53
74,2,1,96.53,96.533,96.53,96.53
75,2,1,96.53,96.533,96.53,96.53
76,2,1,96.845,96.855,96.845,96.846
77,2,1,96.53,96.533,96.53,96.53
78,2,1,96.845,96.855,96.845,96.846
79,2,1,96.53,96.533,96.53,96.53
80,2,1,96.53,96.533,96.53,96.53
81,2,1,96.53,96.533,96.53,96.53
82,2,1,96.53,96.533,96.53,96.53
83,2,1,96.53,96.533,96.53,96.53
84,2,1,96.53,96.533,96.53,96.53
85,2,1,96.53,96.533,96.53,96.53
86,2,1,96.53,96.533,96.53,96.53
87,2,1,96.53,96.533,96.53,96.53
88,2,1,96.53,96.533,96.53,96.53
89,2,1,96.53,96.533,96.53,96.53
90,2,1,96.53,96.533,96.53,96.53
91,2,1,96.215,96.215,96.215,96.215
92,2,1,96.53,96.533,96.53,96.53
93,2,1,96.53,96.533,96.53,96.53
94,2,1,96.53,96.533,96.53,96.53
95,2,1,96.53,96.533,96.53,96.53
96,2,1,96.53,96.533,96.53,96.53
97,2,1,96.53,96.533,96.53,96.53
98,2,1,96.215,96.215,96.215,96.215
99,2,1,96.53,96.533,96.53,96.53
100,2,1,96.53,96.533,96.53,96.53
0,2,2,97.476,97.484,97.476,97.476
1,2,2,97.161,97.163,97.161,97.161
2,2,2,97.161,97.179,97.161,97.161
3,2,2,97.476,97.508,97.476,97.476
4,2,2,97.476,97.508,97.476,97.476
5,2,2,98.107,98.115,98.107,98.107
6,2,2,97.161,97.179,97.161,97.161
7,2,2,97.476,97.484,97.476,97.476
8,2,2,97.476,97.508,97.476,97.476
9,2,2,97.476,97.508,97.476,97.476
10,2,2,97.476,97.508,97.476,97.476
11,2,2,97.161,97.179,97.161,97.161
12,2,2,97.476,97.508,97.476,97.476
13,2,2,97.476,97.508,97.476,97.476
14,2,2,97.476,97.508,97.476,97.476
15,2,2,97.792,97.81,97.792,97.792
16,2,2,97.792,97.81,97.792,97.792
17,2,2,97.476,97.508,97.476,97.476
18,2,2,97.161,97.179,97.161,97.161
19,2,2,97.476,97.508,97.476,97.476
20,2,2,97.476,97.508,97.476,97.476
21,2,2,97.792,97.81,97.792,97.792
22,2,2,97.476,97.508,97.476,97.476
23,2,2,97.792,97.81,97.792,97.792
24,2,2,97.476,97.508,97.476,97.476
25,2,2,97.476,97.508,97.476,97.476
26,2,2,97.792,97.81,97.792,97.792
27,2,2,97.476,97.484,97.476,97.476
28,2,2,97.792,97.81,97.792,97.792
29,2,2,97.476,97.508,97.476,97.476
30,2,2,97.792,97.81,97.792,97.792
31,2,2,97.476,97.508,97.476,97.476
32,2,2,97.476,97.508,97.476,97.476
33,2,2,97.476,97.508,97.476,97.476
34,2,2,97.476,97.508,97.476,97.476
35,2,2,97.792,97.81,97.792,97.792
36,2,2,97.792,97.81,97.792,97.792
37,2,2,97.792,97.81,97.792,97.792
38,2,2,97.476,97.508,97.476,97.476
39,2,2,97.476,97.484,97.476,97.476
40,2,2,97.792,97.81,97.792,97.792
41,2,2,97.792,97.81,97.792,97.792
42,2,2,97.792,97.81,97.792,97.792
43,2,2,98.107,98.115,98.107,98.107
44,2,2,97.476,97.508,97.476,97.476
45,2,2,97.476,97.508,97.476,97.476
46,2,2,97.792,97.81,97.792,97.792
47,2,2,97.792,97.81,97.792,97.792
48,2,2,97.476,97.508,97.476,97.476
49,2,2,97.476,97.508,97.476,97.476
50,2,2,97.476,97.484,97.476,97.476
51,2,2,97.792,97.81,97.792,97.792
52,2,2,97.476,97.508,97.476,97.476
53,2,2,97.476,97.508,97.476,97.476
54,2,2,97.476,97.508,97.476,97.476
55,2,2,97.476,97.508,97.476,97.476
56,2,2,97.792,97.81,97.792,97.792
57,2,2,97.476,97.484,97.476,97.476
58,2,2,97.792,97.81,97.792,97.792
59,2,2,97.476,97.484,97.476,97.476
60,2,2,97.792,97.81,97.792,97.792
61,2,2,97.476,97.484,97.476,97.476
62,2,2,97.476,97.484,97.476,97.476
63,2,2,97.476,97.484,97.476,97.476
64,2,2,97.792,97.81,97.792,97.792
65,2,2,97.792,97.81,97.792,97.792
66,2,2,97.476,97.484,97.476,97.476
67,2,2,97.476,97.484,97.476,97.476
68,2,2,97.792,97.81,97.792,97.792
69,2,2,97.792,97.81,97.792,97.792
70,2,2,97.476,97.484,97.476,97.476
71,2,2,97.792,97.81,97.792,97.792
72,2,2,97.476,97.484,97.476,97.476
73,2,2,97.792,97.81,97.792,97.792
74,2,2,97.792,97.81,97.792,97.792
