iter,step,fold,acc,prec,rec,f1score
0,2,0,94.953,94.979,94.953,94.95
1,2,0,95.268,95.282,95.268,95.267
2,2,0,95.268,95.282,95.268,95.267
3,2,0,95.268,95.31,95.268,95.265
4,2,0,95.268,95.31,95.268,95.265
5,2,0,95.268,95.31,95.268,95.265
6,2,0,95.268,95.31,95.268,95.265
7,2,0,95.268,95.282,95.268,95.267
8,2,0,95.268,95.282,95.268,95.267
9,2,0,94.953,94.979,94.953,94.95
10,2,0,94.953,94.979,94.953,94.95
11,2,0,95.268,95.31,95.268,95.265
12,2,0,95.584,95.61,95.584,95.582
13,2,0,95.584,95.61,95.584,95.582
14,2,0,95.584,95.61,95.584,95.582
15,2,0,95.584,95.61,95.584,95.582
16,2,0,95.584,95.61,95.584,95.582
17,2,0,95.584,95.61,95.584,95.582
18,2,0,95.584,95.61,95.584,95.582
19,2,0,95.268,95.282,95.268,95.267
20,2,0,95.268,95.282,95.268,95.267
21,2,0,95.584,95.61,95.584,95.582
22,2,0,95.584,95.61,95.584,95.582
23,2,0,94.953,94.979,94.953,94.95
24,2,0,95.584,95.61,95.584,95.582
25,2,0,95.584,95.61,95.584,95.582
26,2,0,95.584,95.61,95.584,95.582
27,2,0,95.584,95.61,95.584,95.582
28,2,0,95.584,95.61,95.584,95.582
29,2,0,95.584,95.61,95.584,95.582
30,2,0,95.268,95.31,95.268,95.265
31,2,0,95.584,95.61,95.584,95.582
32,2,0,95.584,95.61,95.584,95.582
33,2,0,95.268,95.282,95.268,95.267
34,2,0,95.268,95.282,95.268,95.267
35,2,0,95.584,95.61,95.584,95.582
36,2,0,95.584,95.61,95.584,95.582
37,2,0,95.584,95.61,95.584,95.582
38,2,0,95.584,95.61,95.584,95.582
39,2,0,95.584,95.61,95.584,95.582
40,2,0,95.584,95.61,95.584,95.582
41,2,0,95.584,95.61,95.584,95.582
42,2,0,95.584,95.61,95.584,95.582
43,2,0,95.584,95.61,95.584,95.582
44,2,0,95.584,95.61,95.584,95.582
45,2,0,95.584,95.61,95.584,95.582
46,2,0,95.584,95.61,95.584,95.582
47,2,0,95.584,95.61,95.584,95.582
48,2,0,95.584,95.61,95.584,95.582
49,2,0,95.584,95.61,95.584,95.582
50,2,0,95.584,95.61,95.584,95.582
51,2,0,95.268,95.282,95.268,95.267
52,2,0,95.268,95.282,95.268,95.267
53,2,0,95.584,95.61,95.584,95.582
54,2,0,95.584,95.61,95.584,95.582
55,2,0,95.584,95.61,95.584,95.582
56,2,0,95.584,95.61,95.584,95.582
57,2,0,95.584,95.61,95.584,95.582
58,2,0,95.584,95.61,95.584,95.582
59,2,0,95.584,95.61,95.584,95.582
60,2,0,95.584,95.61,95.584,95.582
61,2,0,95.584,95.61,95.584,95.582
62,2,0,95.268,95.282,95.268,95.267
63,2,0,95.584,95.61,95.584,95.582
64,2,0,95.584,95.61,95.584,95.582
65,2,0,95.268,95.31,95.268,95.265
66,2,0,95.268,95.31,95.268,95.265
67,2,0,95.268,95.282,95.268,95.267
68,2,0,95.268,95.282,95.268,95.267
69,2,0,95.268,95.282,95.268,95.267
70,2,0,95.268,95.282,95.268,95.267
71,2,0,95.268,95.282,95.268,95.267
72,2,0,95.268,95.282,95.268,95.267
73,2,0,95.584,95.61,95.584,95.582
74,2,0,95.584,95.61,95.584,95.582
75,2,0,95.268,95.282,95.268,95.267
76,2,0,95.268,95.282,95.268,95.267
77,2,0,95.268,95.282,95.268,95.267
78,2,0,95.268,95.282,95.268,95.267
79,2,0,95.268,95.282,95.268,95.267
80,2,0,95.268,95.282,95.268,95.267
81,2,0,95.584,95.61,95.584,95.582
82,2,0,95.584,95.61,95.584,95.582
83,2,0,95.268,95.282,95.268,95.267
84,2,0,95.268,95.282,95.268,95.267
85,2,0,95.268,95.282,95.268,95.267
86,2,0,95.268,95.282,95.268,95.267
87,2,0,95.268,95.282,95.268,95.267
88,2,0,95.268,95.282,95.268,95.267
89,2,0,95.584,95.61,95.584,95.582
90,2,0,95.584,95.61,95.584,95.582
91,2,0,95.268,95.282,95.268,95.267
92,2,0,95.268,95.282,95.268,95.267
93,2,0,95.268,95.31,95.268,95.265
94,2,0,95.268,95.31,95.268,95.265
95,2,0,95.268,95.282,95.268,95.267
96,2,0,95.268,95.282,95.268,95.267
97,2,0,95.268,95.282,95.268,95.267
98,2,0,95.268,95.282,95.268,95.267
99,2,0,95.584,95.61,95.584,95.582
100,2,0,95.584,95.61,95.584,95.582
0,2,1,97.161,97.163,97.161,97.161
1,2,1,97.161,97.163,97.161,97.161
2,2,1,97.161,97.163,97.161,97.161
3,2,1,96.53,96.533,96.53,96.53
4,2,1,96.53,96.533,96.53,96.53
5,2,1,97.161,97.163,97.161,97.161
6,2,1,97.161,97.163,97.161,97.161
7,2,1,96.845,96.845,96.845,96.845
8,2,1,96.845,96.845,96.845,96.845
9,2,1,96.845,96.855,96.845,96.846
10,2,1,96.845,96.855,96.845,96.846
11,2,1,97.161,97.163,97.161,97.161
12,2,1,97.161,97.163,97.161,97.161
13,2,1,97.161,97.163,97.161,97.161
14,2,1,97.161,97.163,97.161,97.161
15,2,1,96.53,96.533,96.53,96.53
16,2,1,96.53,96.533,96.53,96.53
17,2,1,96.845,96.845,96.845,96.845
18,2,1,96.845,96.845,96.845,96.845
19,2,1,96.845,96.845,96.845,96.845
20,2,1,96.845,96.845,96.845,96.845
21,2,1,97.161,97.163,97.161,97.161
22,2,1,97.161,97.163,97.161,97.161
23,2,1,97.161,97.163,97.161,97.161
24,2,1,97.161,97.163,97.161,97.161
25,2,1,97.161,97.163,97.161,97.161
26,2,1,97.161,97.163,97.161,97.161
27,2,1,96.845,96.845,96.845,96.845
28,2,1,96.845,96.845,96.845,96.845
29,2,1,96.845,96.845,96.845,96.845
30,2,1,96.845,96.845,96.845,96.845
31,2,1,96.845,96.845,96.845,96.845
32,2,1,96.845,96.845,96.845,96.845
33,2,1,96.53,96.533,96.53,96.53
34,2,1,96.53,96.533,96.53,96.53
35,2,1,96.53,96.533,96.53,96.53
36,2,1,96.53,96.533,96.53,96.53
37,2,1,96.845,96.845,96.845,96.845
38,2,1,96.845,96.845,96.845,96.845
39,2,1,96.53,96.533,96.53,96.53
40,2,1,96.53,96.533,96.53,96.53
41,2,1,96.845,96.845,96.845,96.845
42,2,1,96.845,96.845,96.845,96.845
43,2,1,96.845,96.845,96.845,96.845
44,2,1,96.845,96.845,96.845,96.845
45,2,1,96.845,96.845,96.845,96.845
46,2,1,96.845,96.845,96.845,96.845
47,2,1,96.53,96.533,96.53,96.53
48,2,1,96.53,96.533,96.53,96.53
49,2,1,96.53,96.533,96.53,96.53
50,2,1,96.53,96.533,96.53,96.53
51,2,1,96.53,96.533,96.53,96.53
52,2,1,96.53,96.533,96.53,96.53
53,2,1,96.53,96.533,96.53,96.53
54,2,1,96.845,96.845,96.845,96.845
55,2,1,96.845,96.845,96.845,96.845
56,2,1,96.845,96.845,96.845,96.845
57,2,1,96.53,96.533,96.53,96.53
58,2,1,96.53,96.533,96.53,96.53
59,2,1,96.53,96.533,96.53,96.53
60,2,1,96.53,96.533,96.53,96.53
61,2,1,96.53,96.533,96.53,96.53
62,2,1,96.53,96.533,96.53,96.53
63,2,1,96.53,96.533,96.53,96.53
64,2,1,96.845,96.845,96.845,96.845
65,2,1,96.53,96.533,96.53,96.53
66,2,1,96.845,96.845,96.845,96.845
67,2,1,96.53,96.533,96.53,96.53
68,2,1,96.53,96.533,96.53,96.53
69,2,1,96.53,96.533,96.53,96.53
70,2,1,96.53,96.533,96.53,96.53
71,2,1,96.53,96.533,96.53,96.53
72,2,1,96.53,96.533,96.53,96.53
73,2,1,96.53,96.533,96.53,96.53
74,2,1,96.53,96.533,96.53,96.53
75,2,1,96.53,96.533,96.53,96.53
76,2,1,96.53,96.533,96.53,96.53
77,2,1,96.53,96.533,96.53,96.53
78,2,1,96.53,96.533,96.53,96.53
79,2,1,96.53,96.533,96.53,96.53
80,2,1,96.53,96.533,96.53,96.53
81,2,1,96.53,96.533,96.53,96.53
82,2,1,96.53,96.533,96.53,96.53
83,2,1,96.53,96.533,96.53,96.53
84,2,1,96.53,96.533,96.53,96.53
85,2,1,96.53,96.533,96.53,96.53
86,2,1,96.53,96.533,96.53,96.53
87,2,1,96.53,96.533,96.53,96.53
88,2,1,96.53,96.533,96.53,96.53
89,2,1,96.53,96.533,96.53,96.53
90,2,1,96.53,96.533,96.53,96.53
91,2,1,96.53,96.533,96.53,96.53
92,2,1,96.53,96.533,96.53,96.53
93,2,1,96.53,96.533,96.53,96.53
94,2,1,96.53,96.533,96.53,96.53
95,2,1,96.215,96.224,96.215,96.215
96,2,1,96.53,96.549,96.53,96.531
97,2,1,96.53,96.533,96.53,96.53
98,2,1,96.53,96.549,96.53,96.531
99,2,1,96.53,96.533,96.53,96.53
100,2,1,96.53,96.533,96.53,96.53
0,2,2,97.476,97.484,97.476,97.476
1,2,2,97.476,97.484,97.476,97.476
2,2,2,97.476,97.484,97.476,97.476
3,2,2,97.476,97.484,97.476,97.476
4,2,2,97.476,97.484,97.476,97.476
5,2,2,97.161,97.163,97.161,97.161
6,2,2,97.161,97.163,97.161,97.161
7,2,2,97.476,97.484,97.476,97.476
8,2,2,97.476,97.484,97.476,97.476
9,2,2,97.792,97.794,97.792,97.792
10,2,2,97.476,97.484,97.476,97.476
11,2,2,97.476,97.484,97.476,97.476
12,2,2,97.476,97.484,97.476,97.476
13,2,2,97.476,97.484,97.476,97.476
14,2,2,97.792,97.81,97.792,97.792
15,2,2,97.476,97.484,97.476,97.476
16,2,2,97.792,97.81,97.792,97.792
17,2,2,97.476,97.484,97.476,97.476
18,2,2,97.476,97.484,97.476,97.476
19,2,2,97.476,97.484,97.476,97.476
20,2,2,97.792,97.81,97.792,97.792
21,2,2,97.476,97.484,97.476,97.476
22,2,2,97.476,97.484,97.476,97.476
23,2,2,97.476,97.484,97.476,97.476
24,2,2,97.476,97.484,97.476,97.476
25,2,2,97.792,97.81,97.792,97.792
26,2,2,97.792,97.81,97.792,97.792
27,2,2,97.792,97.81,97.792,97.792
28,2,2,97.476,97.484,97.476,97.476
29,2,2,97.792,97.81,97.792,97.792
30,2,2,97.476,97.484,97.476,97.476
31,2,2,97.476,97.484,97.476,97.476
32,2,2,97.476,97.484,97.476,97.476
33,2,2,97.476,97.484,97.476,97.476
34,2,2,97.476,97.484,97.476,97.476
35,2,2,97.476,97.484,97.476,97.476
36,2,2,96.845,96.845,96.845,96.845
37,2,2,97.476,97.484,97.476,97.476
38,2,2,97.476,97.484,97.476,97.476
39,2,2,97.792,97.81,97.792,97.792
40,2,2,97.792,97.81,97.792,97.792
41,2,2,97.476,97.484,97.476,97.476
42,2,2,97.476,97.484,97.476,97.476
43,2,2,97.792,97.81,97.792,97.792
44,2,2,97.792,97.81,97.792,97.792
45,2,2,97.161,97.179,97.161,97.161
46,2,2,97.161,97.179,97.161,97.161
47,2,2,97.476,97.484,97.476,97.476
48,2,2,97.476,97.484,97.476,97.476
49,2,2,97.792,97.794,97.792,97.792
50,2,2,97.792,97.794,97.792,97.792
51,2,2,96.845,96.845,96.845,96.845
52,2,2,97.476,97.476,97.476,97.476
53,2,2,97.476,97.476,97.476,97.476
54,2,2,97.792,97.794,97.792,97.792
55,2,2,97.476,97.476,97.476,97.476
56,2,2,98.107,98.115,98.107,98.107
57,2,2,97.792,97.81,97.792,97.792
58,2,2,97.792,97.81,97.792,97.792
59,2,2,97.476,97.484,97.476,97.476
60,2,2,97.476,97.484,97.476,97.476
61,2,2,97.161,97.163,97.161,97.161
62,2,2,97.161,97.163,97.161,97.161
63,2,2,97.476,97.484,97.476,97.476
64,2,2,97.161,97.163,97.161,97.161
65,2,2,97.792,97.81,97.792,97.792
66,2,2,97.792,97.81,97.792,97.792
67,2,2,97.476,97.484,97.476,97.476
68,2,2,97.476,97.484,97.476,97.476
69,2,2,97.792,97.81,97.792,97.792
70,2,2,97.792,97.81,97.792,97.792
71,2,2,97.476,97.484,97.476,97.476
72,2,2,97.476,97.484,97.476,97.476
73,2,2,96.845,96.845,96.845,96.845
74,2,2,96.845,96.845,96.845,96.845
