iter,step,fold,acc,prec,rec,f1score
0,2,0,94.953,94.979,94.953,94.95
1,2,0,95.584,95.59,95.584,95.583
2,2,0,95.268,95.282,95.268,95.267
3,2,0,95.899,95.9,95.899,95.899
4,2,0,95.584,95.59,95.584,95.583
5,2,0,96.215,96.215,96.215,96.215
6,2,0,96.215,96.215,96.215,96.215
7,2,0,95.584,95.59,95.584,95.583
8,2,0,95.899,95.9,95.899,95.899
9,2,0,95.899,95.9,95.899,95.899
10,2,0,95.899,95.9,95.899,95.899
11,2,0,95.584,95.59,95.584,95.583
12,2,0,95.899,95.9,95.899,95.899
13,2,0,95.899,95.914,95.899,95.898
14,2,0,95.899,95.914,95.899,95.898
15,2,0,95.584,95.59,95.584,95.583
16,2,0,96.53,96.531,96.53,96.53
17,2,0,96.53,96.531,96.53,96.53
18,2,0,96.53,96.531,96.53,96.53
19,2,0,96.53,96.531,96.53,96.53
20,2,0,96.53,96.531,96.53,96.53
21,2,0,96.53,96.532,96.53,96.53
22,2,0,96.845,96.845,96.845,96.845
23,2,0,96.53,96.532,96.53,96.53
24,2,0,96.53,96.532,96.53,96.53
25,2,0,96.215,96.223,96.215,96.215
26,2,0,96.215,96.223,96.215,96.215
27,2,0,95.899,95.901,95.899,95.899
28,2,0,96.215,96.223,96.215,96.215
29,2,0,96.53,96.532,96.53,96.53
30,2,0,96.53,96.532,96.53,96.53
31,2,0,96.845,96.845,96.845,96.845
32,2,0,97.161,97.163,97.161,97.161
33,2,0,97.161,97.179,97.161,97.161
34,2,0,97.161,97.179,97.161,97.161
35,2,0,97.161,97.179,97.161,97.161
36,2,0,96.845,96.854,96.845,96.846
37,2,0,96.845,96.854,96.845,96.846
38,2,0,96.845,96.854,96.845,96.846
39,2,0,96.845,96.854,96.845,96.846
40,2,0,96.845,96.854,96.845,96.846
41,2,0,96.845,96.854,96.845,96.846
42,2,0,96.53,96.532,96.53,96.53
43,2,0,97.161,97.179,97.161,97.161
44,2,0,97.161,97.179,97.161,97.161
45,2,0,97.161,97.179,97.161,97.161
46,2,0,97.161,97.179,97.161,97.161
47,2,0,96.845,96.854,96.845,96.846
48,2,0,96.845,96.877,96.845,96.846
49,2,0,97.161,97.179,97.161,97.161
50,2,0,97.476,97.508,97.476,97.477
51,2,0,96.845,96.854,96.845,96.846
52,2,0,96.845,96.877,96.845,96.846
53,2,0,97.161,97.179,97.161,97.161
54,2,0,96.53,96.548,96.53,96.53
55,2,0,96.845,96.854,96.845,96.846
56,2,0,97.476,97.485,97.476,97.477
57,2,0,97.161,97.163,97.161,97.161
58,2,0,96.53,96.532,96.53,96.53
59,2,0,96.845,96.854,96.845,96.846
60,2,0,96.215,96.215,96.215,96.215
61,2,0,96.845,96.854,96.845,96.846
62,2,0,96.845,96.854,96.845,96.846
63,2,0,96.53,96.532,96.53,96.53
64,2,0,95.899,95.9,95.899,95.899
65,2,0,95.584,95.59,95.584,95.583
66,2,0,96.215,96.215,96.215,96.215
67,2,0,96.53,96.532,96.53,96.53
68,2,0,97.161,97.179,97.161,97.161
69,2,0,96.53,96.532,96.53,96.53
70,2,0,96.53,96.532,96.53,96.53
71,2,0,96.845,96.854,96.845,96.846
72,2,0,97.161,97.179,97.161,97.161
73,2,0,97.161,97.179,97.161,97.161
74,2,0,97.161,97.179,97.161,97.161
75,2,0,97.161,97.179,97.161,97.161
76,2,0,97.161,97.179,97.161,97.161
77,2,0,96.215,96.215,96.215,96.215
78,2,0,96.215,96.215,96.215,96.215
79,2,0,97.161,97.179,97.161,97.161
80,2,0,96.845,96.854,96.845,96.846
81,2,0,96.53,96.532,96.53,96.53
82,2,0,96.845,96.854,96.845,96.846
83,2,0,97.161,97.179,97.161,97.161
84,2,0,97.161,97.179,97.161,97.161
85,2,0,97.161,97.179,97.161,97.161
86,2,0,96.845,96.854,96.845,96.846
87,2,0,97.161,97.179,97.161,97.161
88,2,0,96.845,96.854,96.845,96.846
89,2,0,97.161,97.179,97.161,97.161
90,2,0,97.476,97.508,97.476,97.477
91,2,0,97.161,97.179,97.161,97.161
92,2,0,97.476,97.508,97.476,97.477
93,2,0,97.476,97.508,97.476,97.477
94,2,0,97.161,97.179,97.161,97.161
95,2,0,96.845,96.854,96.845,96.846
96,2,0,97.161,97.179,97.161,97.161
97,2,0,97.476,97.508,97.476,97.477
98,2,0,97.476,97.508,97.476,97.477
99,2,0,97.161,97.179,97.161,97.161
100,2,0,97.161,97.179,97.161,97.161
0,2,1,97.161,97.163,97.161,97.161
1,2,1,97.792,97.811,97.792,97.792
2,2,1,97.476,97.485,97.476,97.477
3,2,1,97.161,97.163,97.161,97.161
4,2,1,96.845,96.845,96.845,96.845
5,2,1,96.215,96.215,96.215,96.215
6,2,1,96.845,96.845,96.845,96.845
7,2,1,97.161,97.163,97.161,97.161
8,2,1,97.476,97.485,97.476,97.477
9,2,1,97.476,97.485,97.476,97.477
10,2,1,97.161,97.163,97.161,97.161
11,2,1,97.476,97.485,97.476,97.477
12,2,1,97.476,97.485,97.476,97.477
13,2,1,97.476,97.485,97.476,97.477
14,2,1,97.476,97.485,97.476,97.477
15,2,1,97.161,97.211,97.161,97.162
16,2,1,97.792,97.794,97.792,97.792
17,2,1,97.161,97.163,97.161,97.161
18,2,1,97.161,97.18,97.161,97.162
19,2,1,97.161,97.18,97.161,97.162
20,2,1,96.845,96.879,96.845,96.847
21,2,1,96.53,96.549,96.53,96.531
22,2,1,96.215,96.248,96.215,96.216
23,2,1,96.845,96.879,96.845,96.847
24,2,1,96.53,96.581,96.53,96.531
25,2,1,96.53,96.581,96.53,96.531
26,2,1,97.161,97.211,97.161,97.162
27,2,1,96.53,96.549,96.53,96.531
28,2,1,96.53,96.549,96.53,96.531
29,2,1,97.161,97.18,97.161,97.162
30,2,1,95.899,95.95,95.899,95.901
31,2,1,96.215,96.248,96.215,96.216
32,2,1,96.53,96.581,96.53,96.531
33,2,1,95.899,95.996,95.899,95.901
34,2,1,96.845,96.879,96.845,96.847
35,2,1,96.53,96.581,96.53,96.531
36,2,1,98.107,98.116,98.107,98.108
37,2,1,97.161,97.18,97.161,97.162
38,2,1,97.476,97.509,97.476,97.477
39,2,1,96.845,96.855,96.845,96.846
40,2,1,97.161,97.18,97.161,97.162
41,2,1,96.845,96.855,96.845,96.846
42,2,1,97.476,97.509,97.476,97.477
43,2,1,96.845,96.855,96.845,96.846
44,2,1,97.161,97.18,97.161,97.162
45,2,1,97.161,97.18,97.161,97.162
46,2,1,97.476,97.485,97.476,97.477
47,2,1,97.161,97.163,97.161,97.161
48,2,1,96.845,96.855,96.845,96.846
49,2,1,97.161,97.18,97.161,97.162
50,2,1,96.845,96.845,96.845,96.845
51,2,1,96.53,96.533,96.53,96.53
52,2,1,97.161,97.163,97.161,97.161
53,2,1,96.845,96.855,96.845,96.846
54,2,1,97.161,97.18,97.161,97.162
55,2,1,96.845,96.855,96.845,96.846
56,2,1,96.53,96.533,96.53,96.53
57,2,1,96.845,96.855,96.845,96.846
58,2,1,96.845,96.855,96.845,96.846
59,2,1,96.845,96.855,96.845,96.846
60,2,1,96.53,96.533,96.53,96.53
61,2,1,96.845,96.855,96.845,96.846
62,2,1,97.161,97.18,97.161,97.162
63,2,1,96.53,96.533,96.53,96.53
64,2,1,96.53,96.533,96.53,96.53
65,2,1,96.53,96.533,96.53,96.53
66,2,1,97.161,97.163,97.161,97.161
67,2,1,97.161,97.163,97.161,97.161
68,2,1,97.161,97.163,97.161,97.161
