iter,step,fold,acc,prec,rec,f1score
0,2,0,94.953,94.979,94.953,94.95
1,2,0,95.584,95.59,95.584,95.583
2,2,0,95.268,95.282,95.268,95.267
3,2,0,95.584,95.59,95.584,95.583
4,2,0,95.584,95.59,95.584,95.583
5,2,0,95.268,95.282,95.268,95.267
6,2,0,95.584,95.59,95.584,95.583
7,2,0,95.584,95.61,95.584,95.582
8,2,0,95.584,95.61,95.584,95.582
9,2,0,95.584,95.61,95.584,95.582
10,2,0,95.584,95.61,95.584,95.582
11,2,0,95.899,95.914,95.899,95.898
12,2,0,95.899,95.914,95.899,95.898
13,2,0,95.899,95.914,95.899,95.898
14,2,0,95.899,95.914,95.899,95.898
15,2,0,95.899,95.914,95.899,95.898
16,2,0,95.899,95.914,95.899,95.898
17,2,0,95.899,95.914,95.899,95.898
18,2,0,95.899,95.914,95.899,95.898
19,2,0,95.584,95.59,95.584,95.583
20,2,0,95.584,95.59,95.584,95.583
21,2,0,95.899,95.914,95.899,95.898
22,2,0,95.584,95.59,95.584,95.583
23,2,0,95.584,95.59,95.584,95.583
24,2,0,95.899,95.9,95.899,95.899
25,2,0,95.584,95.59,95.584,95.583
26,2,0,95.584,95.59,95.584,95.583
27,2,0,95.899,95.9,95.899,95.899
28,2,0,95.899,95.9,95.899,95.899
29,2,0,96.215,96.215,96.215,96.215
30,2,0,96.215,96.215,96.215,96.215
31,2,0,95.899,95.9,95.899,95.899
32,2,0,95.899,95.9,95.899,95.899
33,2,0,95.584,95.59,95.584,95.583
34,2,0,95.268,95.282,95.268,95.267
35,2,0,94.953,94.958,94.953,94.952
36,2,0,95.268,95.269,95.268,95.268
37,2,0,95.584,95.59,95.584,95.583
38,2,0,95.584,95.59,95.584,95.583
39,2,0,96.53,96.531,96.53,96.53
40,2,0,96.53,96.531,96.53,96.53
41,2,0,95.899,95.9,95.899,95.899
42,2,0,96.215,96.215,96.215,96.215
43,2,0,95.899,95.9,95.899,95.899
44,2,0,96.215,96.215,96.215,96.215
45,2,0,95.899,95.9,95.899,95.899
46,2,0,95.584,95.59,95.584,95.583
47,2,0,95.899,95.9,95.899,95.899
48,2,0,96.215,96.215,96.215,96.215
49,2,0,95.899,95.9,95.899,95.899
50,2,0,95.899,95.9,95.899,95.899
51,2,0,96.215,96.215,96.215,96.215
52,2,0,95.899,95.9,95.899,95.899
53,2,0,95.899,95.9,95.899,95.899
54,2,0,95.584,95.59,95.584,95.583
55,2,0,96.215,96.215,96.215,96.215
56,2,0,95.899,95.9,95.899,95.899
57,2,0,95.899,95.9,95.899,95.899
58,2,0,95.899,95.9,95.899,95.899
59,2,0,95.584,95.59,95.584,95.583
60,2,0,95.584,95.59,95.584,95.583
61,2,0,95.899,95.9,95.899,95.899
62,2,0,95.899,95.9,95.899,95.899
63,2,0,95.584,95.59,95.584,95.583
64,2,0,95.584,95.59,95.584,95.583
65,2,0,96.215,96.215,96.215,96.215
66,2,0,96.215,96.215,96.215,96.215
67,2,0,96.215,96.215,96.215,96.215
68,2,0,96.215,96.215,96.215,96.215
69,2,0,96.215,96.215,96.215,96.215
70,2,0,95.899,95.9,95.899,95.899
71,2,0,95.899,95.9,95.899,95.899
72,2,0,95.899,95.9,95.899,95.899
73,2,0,95.899,95.9,95.899,95.899
74,2,0,96.215,96.215,96.215,96.215
75,2,0,95.899,95.901,95.899,95.899
76,2,0,96.215,96.215,96.215,96.215
77,2,0,96.215,96.215,96.215,96.215
78,2,0,96.215,96.215,96.215,96.215
79,2,0,96.53,96.532,96.53,96.53
80,2,0,97.161,97.179,97.161,97.161
81,2,0,96.845,96.854,96.845,96.846
82,2,0,96.53,96.532,96.53,96.53
83,2,0,96.53,96.532,96.53,96.53
84,2,0,96.53,96.532,96.53,96.53
85,2,0,97.161,97.179,97.161,97.161
86,2,0,96.53,96.532,96.53,96.53
87,2,0,96.845,96.854,96.845,96.846
88,2,0,96.845,96.854,96.845,96.846
89,2,0,96.845,96.854,96.845,96.846
90,2,0,96.53,96.532,96.53,96.53
91,2,0,97.161,97.179,97.161,97.161
92,2,0,97.161,97.179,97.161,97.161
93,2,0,97.476,97.508,97.476,97.477
94,2,0,97.161,97.179,97.161,97.161
95,2,0,96.845,96.854,96.845,96.846
96,2,0,96.845,96.854,96.845,96.846
97,2,0,96.53,96.532,96.53,96.53
98,2,0,96.53,96.532,96.53,96.53
99,2,0,96.53,96.532,96.53,96.53
100,2,0,96.53,96.532,96.53,96.53
0,2,1,97.161,97.163,97.161,97.161
1,2,1,97.792,97.811,97.792,97.792
2,2,1,96.845,96.855,96.845,96.846
3,2,1,96.53,96.549,96.53,96.531
4,2,1,96.215,96.224,96.215,96.215
5,2,1,96.215,96.215,96.215,96.215
6,2,1,96.845,96.855,96.845,96.846
7,2,1,97.161,97.163,97.161,97.161
8,2,1,97.476,97.476,97.476,97.476
9,2,1,97.792,97.794,97.792,97.792
10,2,1,97.476,97.485,97.476,97.477
11,2,1,97.476,97.485,97.476,97.477
12,2,1,97.792,97.794,97.792,97.792
13,2,1,97.476,97.485,97.476,97.477
14,2,1,97.792,97.794,97.792,97.792
15,2,1,97.792,97.794,97.792,97.792
16,2,1,97.476,97.485,97.476,97.477
17,2,1,97.792,97.811,97.792,97.792
18,2,1,97.161,97.18,97.161,97.162
19,2,1,97.792,97.794,97.792,97.792
20,2,1,97.792,97.794,97.792,97.792
21,2,1,97.792,97.794,97.792,97.792
22,2,1,97.792,97.794,97.792,97.792
23,2,1,97.792,97.794,97.792,97.792
24,2,1,97.792,97.794,97.792,97.792
25,2,1,97.476,97.485,97.476,97.477
26,2,1,97.476,97.485,97.476,97.477
27,2,1,97.161,97.18,97.161,97.162
28,2,1,97.161,97.18,97.161,97.162
29,2,1,96.53,96.581,96.53,96.531
30,2,1,96.845,96.879,96.845,96.847
31,2,1,96.845,96.879,96.845,96.847
32,2,1,96.845,96.879,96.845,96.847
33,2,1,96.845,96.855,96.845,96.846
34,2,1,97.161,97.18,97.161,97.162
35,2,1,97.161,97.18,97.161,97.162
36,2,1,96.845,96.879,96.845,96.847
37,2,1,97.161,97.18,97.161,97.162
38,2,1,96.845,96.855,96.845,96.846
39,2,1,97.161,97.18,97.161,97.162
40,2,1,96.845,96.855,96.845,96.846
41,2,1,97.476,97.485,97.476,97.477
42,2,1,97.476,97.485,97.476,97.477
43,2,1,97.792,97.794,97.792,97.792
44,2,1,98.107,98.107,98.107,98.107
45,2,1,97.476,97.476,97.476,97.476
46,2,1,97.161,97.163,97.161,97.161
47,2,1,97.161,97.162,97.161,97.16
48,2,1,96.845,96.845,96.845,96.845
49,2,1,97.161,97.163,97.161,97.161
50,2,1,97.476,97.476,97.476,97.476
51,2,1,98.107,98.116,98.107,98.108
52,2,1,97.476,97.485,97.476,97.477
53,2,1,97.476,97.485,97.476,97.477
54,2,1,97.476,97.485,97.476,97.477
55,2,1,97.792,97.811,97.792,97.792
56,2,1,96.845,96.855,96.845,96.846
57,2,1,97.476,97.509,97.476,97.477
58,2,1,97.476,97.509,97.476,97.477
59,2,1,97.476,97.509,97.476,97.477
60,2,1,97.161,97.18,97.161,97.162
61,2,1,97.792,97.811,97.792,97.792
62,2,1,97.792,97.811,97.792,97.792
63,2,1,97.476,97.485,97.476,97.477
64,2,1,97.792,97.811,97.792,97.792
65,2,1,97.161,97.18,97.161,97.162
66,2,1,97.161,97.18,97.161,97.162
67,2,1,97.161,97.18,97.161,97.162
68,2,1,97.161,97.18,97.161,97.162
