iter,step,fold,acc,prec,rec,f1score
0,2,0,94.953,94.979,94.953,94.95
1,2,0,95.584,95.59,95.584,95.583
2,2,0,95.584,95.59,95.584,95.583
3,2,0,95.268,95.282,95.268,95.267
4,2,0,95.268,95.282,95.268,95.267
5,2,0,95.584,95.59,95.584,95.583
6,2,0,95.584,95.59,95.584,95.583
7,2,0,96.215,96.215,96.215,96.215
8,2,0,96.215,96.215,96.215,96.215
9,2,0,96.215,96.215,96.215,96.215
10,2,0,96.215,96.215,96.215,96.215
11,2,0,95.899,95.9,95.899,95.899
12,2,0,95.899,95.9,95.899,95.899
13,2,0,95.899,95.9,95.899,95.899
14,2,0,96.215,96.215,96.215,96.215
15,2,0,95.899,95.9,95.899,95.899
16,2,0,95.899,95.9,95.899,95.899
17,2,0,95.899,95.9,95.899,95.899
18,2,0,95.899,95.9,95.899,95.899
19,2,0,95.899,95.9,95.899,95.899
20,2,0,95.899,95.901,95.899,95.899
21,2,0,96.215,96.221,96.215,96.214
22,2,0,96.215,96.221,96.215,96.214
23,2,0,96.53,96.531,96.53,96.53
24,2,0,96.53,96.531,96.53,96.53
25,2,0,96.53,96.531,96.53,96.53
26,2,0,96.53,96.531,96.53,96.53
27,2,0,96.53,96.531,96.53,96.53
28,2,0,96.53,96.531,96.53,96.53
29,2,0,96.53,96.531,96.53,96.53
30,2,0,96.53,96.531,96.53,96.53
31,2,0,96.215,96.221,96.215,96.214
32,2,0,96.215,96.221,96.215,96.214
33,2,0,96.215,96.221,96.215,96.214
34,2,0,96.215,96.221,96.215,96.214
35,2,0,96.53,96.531,96.53,96.53
36,2,0,96.53,96.531,96.53,96.53
37,2,0,96.53,96.531,96.53,96.53
38,2,0,96.53,96.531,96.53,96.53
39,2,0,95.899,95.9,95.899,95.899
40,2,0,95.899,95.9,95.899,95.899
41,2,0,96.215,96.221,96.215,96.214
42,2,0,96.215,96.221,96.215,96.214
43,2,0,96.53,96.531,96.53,96.53
44,2,0,96.53,96.531,96.53,96.53
45,2,0,96.215,96.215,96.215,96.215
46,2,0,96.215,96.215,96.215,96.215
47,2,0,96.215,96.215,96.215,96.215
48,2,0,96.215,96.215,96.215,96.215
49,2,0,96.215,96.215,96.215,96.215
50,2,0,96.215,96.215,96.215,96.215
51,2,0,96.215,96.215,96.215,96.215
52,2,0,96.215,96.215,96.215,96.215
53,2,0,96.215,96.215,96.215,96.215
54,2,0,96.215,96.215,96.215,96.215
55,2,0,95.899,95.9,95.899,95.899
56,2,0,95.899,95.9,95.899,95.899
57,2,0,95.899,95.9,95.899,95.899
58,2,0,95.899,95.9,95.899,95.899
59,2,0,95.899,95.9,95.899,95.899
60,2,0,95.899,95.9,95.899,95.899
61,2,0,96.215,96.215,96.215,96.215
62,2,0,95.899,95.9,95.899,95.899
63,2,0,95.899,95.9,95.899,95.899
64,2,0,95.899,95.9,95.899,95.899
65,2,0,96.215,96.215,96.215,96.215
66,2,0,96.215,96.215,96.215,96.215
67,2,0,95.899,95.9,95.899,95.899
68,2,0,95.899,95.9,95.899,95.899
69,2,0,96.215,96.215,96.215,96.215
70,2,0,96.215,96.215,96.215,96.215
71,2,0,96.215,96.215,96.215,96.215
72,2,0,96.215,96.215,96.215,96.215
73,2,0,96.53,96.532,96.53,96.53
74,2,0,96.53,96.532,96.53,96.53
75,2,0,96.215,96.215,96.215,96.215
76,2,0,96.215,96.215,96.215,96.215
77,2,0,96.215,96.215,96.215,96.215
78,2,0,96.215,96.215,96.215,96.215
79,2,0,96.215,96.215,96.215,96.215
80,2,0,96.215,96.215,96.215,96.215
81,2,0,95.899,95.901,95.899,95.899
82,2,0,95.899,95.901,95.899,95.899
83,2,0,96.215,96.215,96.215,96.215
84,2,0,96.215,96.215,96.215,96.215
85,2,0,96.215,96.215,96.215,96.215
86,2,0,96.215,96.215,96.215,96.215
87,2,0,96.215,96.215,96.215,96.215
88,2,0,96.215,96.215,96.215,96.215
89,2,0,96.215,96.215,96.215,96.215
90,2,0,96.215,96.215,96.215,96.215
91,2,0,96.845,96.854,96.845,96.846
92,2,0,96.845,96.854,96.845,96.846
93,2,0,96.845,96.854,96.845,96.846
94,2,0,96.845,96.854,96.845,96.846
95,2,0,96.215,96.215,96.215,96.215
96,2,0,96.215,96.215,96.215,96.215
97,2,0,96.845,96.877,96.845,96.846
98,2,0,96.53,96.532,96.53,96.53
99,2,0,95.899,95.9,95.899,95.899
100,2,0,95.899,95.9,95.899,95.899
0,2,1,97.161,97.163,97.161,97.161
1,2,1,96.845,96.855,96.845,96.846
2,2,1,96.845,96.855,96.845,96.846
3,2,1,96.845,96.845,96.845,96.845
4,2,1,96.845,96.845,96.845,96.845
5,2,1,96.845,96.845,96.845,96.845
6,2,1,97.161,97.163,97.161,97.161
7,2,1,97.161,97.163,97.161,97.161
8,2,1,97.161,97.163,97.161,97.161
9,2,1,97.476,97.485,97.476,97.477
10,2,1,97.476,97.485,97.476,97.477
11,2,1,96.845,96.855,96.845,96.846
12,2,1,96.845,96.855,96.845,96.846
13,2,1,96.845,96.845,96.845,96.845
14,2,1,96.845,96.845,96.845,96.845
15,2,1,96.845,96.845,96.845,96.845
16,2,1,96.845,96.845,96.845,96.845
17,2,1,96.845,96.845,96.845,96.845
18,2,1,96.845,96.845,96.845,96.845
19,2,1,97.161,97.163,97.161,97.161
20,2,1,97.161,97.163,97.161,97.161
21,2,1,97.476,97.476,97.476,97.476
22,2,1,97.476,97.476,97.476,97.476
23,2,1,97.792,97.794,97.792,97.792
24,2,1,97.792,97.794,97.792,97.792
25,2,1,97.476,97.485,97.476,97.477
26,2,1,97.476,97.485,97.476,97.477
27,2,1,97.476,97.485,97.476,97.477
28,2,1,97.476,97.485,97.476,97.477
29,2,1,97.161,97.18,97.161,97.162
30,2,1,97.161,97.18,97.161,97.162
31,2,1,97.161,97.18,97.161,97.162
32,2,1,97.476,97.485,97.476,97.477
33,2,1,97.476,97.485,97.476,97.477
34,2,1,97.476,97.485,97.476,97.477
35,2,1,97.476,97.485,97.476,97.477
36,2,1,97.476,97.485,97.476,97.477
37,2,1,97.476,97.485,97.476,97.477
38,2,1,97.476,97.485,97.476,97.477
39,2,1,98.107,98.107,98.107,98.107
40,2,1,98.107,98.107,98.107,98.107
41,2,1,98.423,98.424,98.423,98.422
42,2,1,98.423,98.424,98.423,98.422
43,2,1,97.792,97.794,97.792,97.792
44,2,1,97.792,97.794,97.792,97.792
45,2,1,98.107,98.107,98.107,98.107
46,2,1,98.107,98.107,98.107,98.107
47,2,1,98.423,98.424,98.423,98.422
48,2,1,98.423,98.424,98.423,98.422
49,2,1,98.423,98.424,98.423,98.422
50,2,1,98.423,98.424,98.423,98.422
51,2,1,98.107,98.107,98.107,98.107
52,2,1,98.107,98.107,98.107,98.107
53,2,1,98.107,98.107,98.107,98.107
54,2,1,98.107,98.107,98.107,98.107
55,2,1,98.107,98.107,98.107,98.107
56,2,1,98.107,98.107,98.107,98.107
57,2,1,98.107,98.107,98.107,98.107
58,2,1,98.107,98.107,98.107,98.107
59,2,1,98.738,98.738,98.738,98.738
60,2,1,98.738,98.738,98.738,98.738
61,2,1,97.476,97.485,97.476,97.477
62,2,1,97.476,97.485,97.476,97.477
63,2,1,97.792,97.842,97.792,97.793
64,2,1,97.476,97.485,97.476,97.477
65,2,1,97.792,97.811,97.792,97.792
66,2,1,97.792,97.811,97.792,97.792
67,2,1,97.792,97.811,97.792,97.792
68,2,1,97.792,97.811,97.792,97.792
