iter,step,fold,acc,prec,rec,f1score
0,2,0,94.953,94.979,94.953,94.95
1,2,0,95.268,95.282,95.268,95.267
2,2,0,95.268,95.31,95.268,95.265
3,2,0,95.268,95.31,95.268,95.265
4,2,0,95.268,95.31,95.268,95.265
5,2,0,95.268,95.31,95.268,95.265
6,2,0,95.268,95.31,95.268,95.265
7,2,0,95.268,95.31,95.268,95.265
8,2,0,95.268,95.31,95.268,95.265
9,2,0,95.268,95.31,95.268,95.265
10,2,0,95.268,95.31,95.268,95.265
11,2,0,95.268,95.31,95.268,95.265
12,2,0,95.268,95.31,95.268,95.265
13,2,0,95.268,95.31,95.268,95.265
14,2,0,95.268,95.31,95.268,95.265
15,2,0,95.268,95.31,95.268,95.265
16,2,0,95.268,95.31,95.268,95.265
17,2,0,95.268,95.31,95.268,95.265
18,2,0,95.268,95.31,95.268,95.265
19,2,0,95.268,95.31,95.268,95.265
20,2,0,95.268,95.31,95.268,95.265
21,2,0,95.268,95.31,95.268,95.265
22,2,0,95.268,95.31,95.268,95.265
23,2,0,95.584,95.61,95.584,95.582
24,2,0,95.584,95.61,95.584,95.582
25,2,0,95.584,95.61,95.584,95.582
26,2,0,95.584,95.61,95.584,95.582
27,2,0,95.584,95.61,95.584,95.582
28,2,0,95.584,95.61,95.584,95.582
29,2,0,95.584,95.61,95.584,95.582
30,2,0,95.584,95.61,95.584,95.582
31,2,0,95.584,95.61,95.584,95.582
32,2,0,95.584,95.61,95.584,95.582
33,2,0,95.584,95.61,95.584,95.582
34,2,0,95.584,95.61,95.584,95.582
35,2,0,95.584,95.61,95.584,95.582
36,2,0,95.584,95.61,95.584,95.582
37,2,0,95.584,95.61,95.584,95.582
38,2,0,95.584,95.61,95.584,95.582
39,2,0,95.584,95.61,95.584,95.582
40,2,0,95.584,95.61,95.584,95.582
41,2,0,95.584,95.61,95.584,95.582
42,2,0,95.584,95.61,95.584,95.582
43,2,0,95.584,95.61,95.584,95.582
44,2,0,95.584,95.61,95.584,95.582
45,2,0,95.584,95.61,95.584,95.582
46,2,0,95.584,95.61,95.584,95.582
47,2,0,95.584,95.61,95.584,95.582
48,2,0,95.584,95.61,95.584,95.582
49,2,0,95.584,95.61,95.584,95.582
50,2,0,95.584,95.61,95.584,95.582
51,2,0,95.584,95.61,95.584,95.582
52,2,0,95.584,95.61,95.584,95.582
53,2,0,95.584,95.61,95.584,95.582
54,2,0,95.584,95.61,95.584,95.582
55,2,0,95.584,95.61,95.584,95.582
56,2,0,95.584,95.61,95.584,95.582
57,2,0,95.584,95.61,95.584,95.582
58,2,0,95.584,95.61,95.584,95.582
59,2,0,95.584,95.61,95.584,95.582
60,2,0,95.584,95.61,95.584,95.582
61,2,0,95.584,95.61,95.584,95.582
62,2,0,95.584,95.61,95.584,95.582
63,2,0,95.584,95.61,95.584,95.582
64,2,0,95.584,95.61,95.584,95.582
65,2,0,95.584,95.61,95.584,95.582
66,2,0,95.584,95.61,95.584,95.582
67,2,0,95.584,95.61,95.584,95.582
68,2,0,95.584,95.61,95.584,95.582
69,2,0,95.584,95.61,95.584,95.582
70,2,0,95.584,95.61,95.584,95.582
71,2,0,95.584,95.61,95.584,95.582
72,2,0,95.584,95.61,95.584,95.582
73,2,0,95.584,95.61,95.584,95.582
74,2,0,95.584,95.61,95.584,95.582
75,2,0,95.584,95.61,95.584,95.582
76,2,0,95.584,95.61,95.584,95.582
77,2,0,95.584,95.61,95.584,95.582
78,2,0,95.584,95.61,95.584,95.582
79,2,0,95.584,95.61,95.584,95.582
80,2,0,95.584,95.61,95.584,95.582
81,2,0,95.584,95.61,95.584,95.582
82,2,0,95.584,95.61,95.584,95.582
83,2,0,95.584,95.61,95.584,95.582
84,2,0,95.584,95.61,95.584,95.582
85,2,0,95.584,95.61,95.584,95.582
86,2,0,95.584,95.61,95.584,95.582
87,2,0,95.584,95.61,95.584,95.582
88,2,0,95.584,95.61,95.584,95.582
89,2,0,95.584,95.61,95.584,95.582
90,2,0,95.584,95.61,95.584,95.582
91,2,0,95.584,95.61,95.584,95.582
92,2,0,95.584,95.61,95.584,95.582
93,2,0,95.584,95.61,95.584,95.582
94,2,0,95.584,95.61,95.584,95.582
95,2,0,95.584,95.61,95.584,95.582
96,2,0,95.584,95.61,95.584,95.582
97,2,0,95.584,95.61,95.584,95.582
98,2,0,95.584,95.61,95.584,95.582
99,2,0,95.584,95.61,95.584,95.582
100,2,0,95.584,95.61,95.584,95.582
0,2,1,97.161,97.163,97.161,97.161
1,2,1,97.161,97.163,97.161,97.161
2,2,1,97.161,97.163,97.161,97.161
3,2,1,97.161,97.163,97.161,97.161
4,2,1,97.161,97.163,97.161,97.161
5,2,1,97.161,97.163,97.161,97.161
6,2,1,97.161,97.163,97.161,97.161
7,2,1,97.161,97.163,97.161,97.161
8,2,1,97.161,97.163,97.161,97.161
9,2,1,97.161,97.163,97.161,97.161
10,2,1,97.161,97.163,97.161,97.161
11,2,1,97.161,97.163,97.161,97.161
12,2,1,97.161,97.163,97.161,97.161
13,2,1,97.161,97.163,97.161,97.161
14,2,1,97.161,97.163,97.161,97.161
15,2,1,97.161,97.163,97.161,97.161
16,2,1,97.161,97.163,97.161,97.161
17,2,1,97.161,97.163,97.161,97.161
18,2,1,97.161,97.163,97.161,97.161
19,2,1,97.161,97.163,97.161,97.161
20,2,1,97.161,97.163,97.161,97.161
21,2,1,97.161,97.163,97.161,97.161
22,2,1,97.161,97.163,97.161,97.161
23,2,1,97.161,97.163,97.161,97.161
24,2,1,97.161,97.163,97.161,97.161
25,2,1,97.161,97.163,97.161,97.161
26,2,1,97.161,97.163,97.161,97.161
27,2,1,97.161,97.163,97.161,97.161
28,2,1,97.161,97.163,97.161,97.161
29,2,1,97.161,97.163,97.161,97.161
30,2,1,97.161,97.163,97.161,97.161
31,2,1,97.161,97.163,97.161,97.161
32,2,1,97.161,97.163,97.161,97.161
33,2,1,97.161,97.163,97.161,97.161
34,2,1,97.161,97.163,97.161,97.161
35,2,1,97.161,97.163,97.161,97.161
36,2,1,97.161,97.163,97.161,97.161
37,2,1,97.161,97.163,97.161,97.161
38,2,1,97.161,97.163,97.161,97.161
39,2,1,97.161,97.163,97.161,97.161
40,2,1,97.161,97.163,97.161,97.161
41,2,1,97.161,97.163,97.161,97.161
42,2,1,97.161,97.163,97.161,97.161
43,2,1,97.161,97.163,97.161,97.161
44,2,1,97.161,97.163,97.161,97.161
45,2,1,97.161,97.163,97.161,97.161
46,2,1,97.161,97.163,97.161,97.161
47,2,1,97.161,97.163,97.161,97.161
48,2,1,97.161,97.163,97.161,97.161
49,2,1,97.161,97.163,97.161,97.161
50,2,1,97.161,97.163,97.161,97.161
51,2,1,97.161,97.163,97.161,97.161
52,2,1,97.161,97.163,97.161,97.161
53,2,1,97.161,97.163,97.161,97.161
54,2,1,97.161,97.163,97.161,97.161
55,2,1,97.161,97.163,97.161,97.161
56,2,1,97.161,97.163,97.161,97.161
57,2,1,97.161,97.163,97.161,97.161
58,2,1,97.161,97.163,97.161,97.161
59,2,1,97.161,97.163,97.161,97.161
60,2,1,97.161,97.163,97.161,97.161
61,2,1,97.161,97.163,97.161,97.161
62,2,1,97.161,97.163,97.161,97.161
63,2,1,97.161,97.163,97.161,97.161
64,2,1,97.161,97.163,97.161,97.161
65,2,1,97.161,97.163,97.161,97.161
66,2,1,97.161,97.163,97.161,97.161
67,2,1,97.161,97.163,97.161,97.161
68,2,1,97.161,97.163,97.161,97.161
69,2,1,97.161,97.163,97.161,97.161
70,2,1,97.161,97.163,97.161,97.161
71,2,1,97.161,97.163,97.161,97.161
72,2,1,97.161,97.163,97.161,97.161
73,2,1,97.161,97.163,97.161,97.161
74,2,1,97.161,97.163,97.161,97.161
75,2,1,97.161,97.163,97.161,97.161
76,2,1,97.161,97.163,97.161,97.161
77,2,1,97.161,97.163,97.161,97.161
78,2,1,97.161,97.163,97.161,97.161
79,2,1,97.161,97.163,97.161,97.161
80,2,1,97.161,97.163,97.161,97.161
81,2,1,97.161,97.163,97.161,97.161
82,2,1,97.161,97.163,97.161,97.161
83,2,1,97.161,97.163,97.161,97.161
84,2,1,97.161,97.163,97.161,97.161
85,2,1,97.161,97.163,97.161,97.161
86,2,1,97.161,97.163,97.161,97.161
87,2,1,97.161,97.163,97.161,97.161
88,2,1,97.161,97.163,97.161,97.161
89,2,1,97.161,97.163,97.161,97.161
90,2,1,97.161,97.163,97.161,97.161
91,2,1,97.161,97.163,97.161,97.161
92,2,1,97.161,97.163,97.161,97.161
93,2,1,97.161,97.163,97.161,97.161
94,2,1,97.161,97.163,97.161,97.161
95,2,1,97.161,97.163,97.161,97.161
96,2,1,97.161,97.163,97.161,97.161
97,2,1,97.161,97.163,97.161,97.161
98,2,1,97.161,97.163,97.161,97.161
99,2,1,97.161,97.163,97.161,97.161
100,2,1,97.161,97.163,97.161,97.161
0,2,2,97.476,97.484,97.476,97.476
1,2,2,98.107,98.107,98.107,98.107
2,2,2,98.107,98.107,98.107,98.107
3,2,2,98.107,98.107,98.107,98.107
4,2,2,98.107,98.107,98.107,98.107
5,2,2,98.107,98.107,98.107,98.107
6,2,2,98.107,98.107,98.107,98.107
7,2,2,98.107,98.107,98.107,98.107
8,2,2,98.107,98.107,98.107,98.107
9,2,2,98.107,98.107,98.107,98.107
10,2,2,98.107,98.107,98.107,98.107
11,2,2,98.107,98.107,98.107,98.107
12,2,2,98.107,98.107,98.107,98.107
13,2,2,98.107,98.107,98.107,98.107
14,2,2,98.107,98.107,98.107,98.107
15,2,2,98.107,98.107,98.107,98.107
16,2,2,98.107,98.107,98.107,98.107
17,2,2,98.107,98.107,98.107,98.107
18,2,2,98.107,98.107,98.107,98.107
19,2,2,98.107,98.107,98.107,98.107
20,2,2,98.107,98.107,98.107,98.107
21,2,2,98.107,98.107,98.107,98.107
22,2,2,98.107,98.107,98.107,98.107
23,2,2,98.107,98.107,98.107,98.107
24,2,2,98.107,98.107,98.107,98.107
25,2,2,98.107,98.107,98.107,98.107
26,2,2,98.107,98.107,98.107,98.107
27,2,2,98.107,98.107,98.107,98.107
28,2,2,98.107,98.107,98.107,98.107
29,2,2,98.107,98.107,98.107,98.107
30,2,2,98.107,98.107,98.107,98.107
31,2,2,98.107,98.107,98.107,98.107
32,2,2,98.107,98.107,98.107,98.107
33,2,2,98.107,98.107,98.107,98.107
34,2,2,98.107,98.107,98.107,98.107
35,2,2,98.107,98.107,98.107,98.107
36,2,2,98.107,98.107,98.107,98.107
37,2,2,98.107,98.107,98.107,98.107
38,2,2,98.107,98.107,98.107,98.107
39,2,2,98.107,98.107,98.107,98.107
40,2,2,98.107,98.107,98.107,98.107
41,2,2,98.107,98.107,98.107,98.107
42,2,2,98.107,98.107,98.107,98.107
43,2,2,98.107,98.107,98.107,98.107
44,2,2,98.107,98.107,98.107,98.107
45,2,2,98.107,98.107,98.107,98.107
46,2,2,98.107,98.107,98.107,98.107
47,2,2,98.107,98.107,98.107,98.107
48,2,2,98.107,98.107,98.107,98.107
49,2,2,98.107,98.107,98.107,98.107
50,2,2,98.107,98.107,98.107,98.107
51,2,2,98.107,98.107,98.107,98.107
52,2,2,98.107,98.107,98.107,98.107
53,2,2,98.107,98.107,98.107,98.107
54,2,2,98.107,98.107,98.107,98.107
55,2,2,98.107,98.107,98.107,98.107
56,2,2,98.107,98.107,98.107,98.107
57,2,2,98.107,98.107,98.107,98.107
58,2,2,98.107,98.107,98.107,98.107
59,2,2,98.107,98.107,98.107,98.107
60,2,2,98.107,98.107,98.107,98.107
61,2,2,98.107,98.107,98.107,98.107
62,2,2,98.107,98.107,98.107,98.107
63,2,2,98.107,98.107,98.107,98.107
64,2,2,98.107,98.107,98.107,98.107
65,2,2,98.107,98.107,98.107,98.107
66,2,2,98.107,98.107,98.107,98.107
67,2,2,98.107,98.107,98.107,98.107
68,2,2,98.107,98.107,98.107,98.107
69,2,2,98.107,98.107,98.107,98.107
70,2,2,98.107,98.107,98.107,98.107
71,2,2,98.107,98.107,98.107,98.107
72,2,2,98.107,98.107,98.107,98.107
73,2,2,98.107,98.107,98.107,98.107
74,2,2,98.107,98.107,98.107,98.107
